1001_134708_000000_000000	BOOK XIV	BOOK fourteen	true	29.835	31.51	18
1001_134708_000001_000000	Song of the Redwood-Tree	Song of the Redwood Tree	false	32.18	37.05	15.243169
1001_134708_000002_000000	1 A California song, A prophecy and indirection, a thought impalpable to breathe as air, A chorus of dryads, fading, departing, or hamadryads departing, A murmuring, fateful, giant voice, out of the earth and sky, Voice of a mighty dying tree in the redwood forest dense.	one A California song, A prophecy and indirection, a thought impalpable to breathe as air, A chorus of dryads, fading, departing, or hamadryads departing, A murmuring, fateful, giant voice, out of the earth and sky, Voice of a mighty dying tree in the redwood forest dense.	true	37.05	64.78	18.48845
1001_134708_000003_000000	Farewell my brethren, Farewell O earth and sky, farewell ye neighboring waters, My time has ended, my term has come.	Farewell my brethren, Farewell O earth and sky, farewell ye neighboring waters, My time has ended, my term has come.	true	66.56	81.64	13
1001_134708_000004_000000	Along the northern coast, Just back from the rock-bound shore and the caves, In the saline air from the sea in the Mendocino country, With the surge for base and accompaniment low and hoarse, With crackling blows of axes sounding musically driven by strong arms, Riven deep by the sharp tongues of the axes, there in the redwood forest dense, I heard the might tree its death-chant chanting.	Along the northern coast, Just back from the rock bound shore and the caves, In the saline air from the sea in the Mendocino country, With the surge for base and accompaniment low and hoarse, With crackling blows of axes sounding musically driven by strong arms, Riven deep by the sharp tongues of the axes, there in the redwood forest dense, I heard the might tree its death chant chanting.	false	84.74	114.31	15
1001_134708_000005_000000	The choppers heard not, the camp shanties echoed not, The quick-ear'd teamsters and chain and jack-screw men heard not, As the wood-spirits came from their haunts of a thousand years to join the refrain, But in my soul I plainly heard.	The choppers heard not, the camp shanties echoed not, The quick ear'd teamsters and chain and jack screw men heard not, As the wood spirits came from their haunts of a thousand years to join the refrain, But in my soul I plainly heard.	true	115.82	132.79	15
1001_134708_000006_000000	Murmuring out of its myriad leaves, Down from its lofty top rising two hundred feet high, Out of its stalwart trunk and limbs, out of its foot-thick bark, That chant of the seasons and time, chant not of the past only but the future.	Murmuring out of its myriad leaves, Down from its lofty top rising two hundred feet high, Out of its stalwart trunk and limbs, out of its foot thick bark, That chant of the seasons and time, chant not of the past only but the future.	true	133.91	158.5	17.307392
1001_134708_000007_000000	You untold life of me, And all you venerable and innocent joys, Perennial hardy life of me with joys 'mid rain and many a summer sun, And the white snows and night and the wild winds; O the great patient rugged joys, my soul's strong joys unreck'd by man, (For know I bear the soul befitting me, I too have consciousness, identity, And all the rocks and mountains have, and all the earth,) Joys of the life befitting me and brothers mine, Our time, our term has come.	You untold life of me, And all you venerable and innocent joys, Perennial hardy life of me with joys 'mid rain and many a summer sun, And the white snows and night and the wild winds; O the great patient rugged joys, my soul's strong joys unreck'd by man, (For know I bear the soul befitting me, I too have consciousness, identity, And all the rocks and mountains have, and all the earth,) Joys of the life befitting me and brothers mine, Our time, our term has come.	true	159.29	209.44	12
1001_134708_000008_000000	Nor yield we mournfully majestic brothers, We who have grandly fill'd our time, With Nature's calm content, with tacit huge delight, We welcome what we wrought for through the past, And leave the field for them.	Nor yield we mournfully majestic brothers, We who have grandly fill'd our time, With Nature's calm content, with tacit huge delight, We welcome what we wrought for through the past, And leave the field for them.	true	211.4	234.04	12
1001_134708_000009_000000	For them predicted long, For a superber race, they too to grandly fill their time, For them we abdicate, in them ourselves ye forest kings.' In them these skies and airs, these mountain peaks, Shasta, Nevadas, These huge precipitous cliffs, this amplitude, these valleys, far Yosemite, To be in them absorb'd, assimilated.	For them predicted long, For a superber race, they too to grandly fill their time, For them we abdicate, in them ourselves ye forest kings.' In them these skies and airs, these mountain peaks, Shasta, Nevadas, These huge precipitous cliffs, this amplitude, these valleys, far Yosemite, To be in them absorb'd, assimilated.	false	235.31	273.4	16
1001_134708_000010_000000	Then to a loftier strain, Still prouder, more ecstatic rose the chant, As if the heirs, the deities of the West, Joining with master-tongue bore part.	Then to a loftier strain, Still prouder, more ecstatic rose the chant, As if the heirs, the deities of the West, Joining with master tongue bore part.	false	276.05	287.98	18
1001_134708_000011_000000	Not wan from Asia's fetiches, Nor red from Europe's old dynastic slaughter-house, (Area of murder-plots of thrones, with scent left yet of wars and scaffolds everywhere, But come from Nature's long and harmless throes, peacefully builded thence, These virgin lands, lands of the Western shore, To the new culminating man, to you, the empire new, You promis'd long, we pledge, we dedicate.	Not wan from Asia's fetiches, Nor red from Europe's old dynastic slaughter house, (Area of murder plots of thrones, with scent left yet of wars and scaffolds everywhere, But come from Nature's long and harmless throes, peacefully builded thence, These virgin lands, lands of the Western shore, To the new culminating man, to you, the empire new, You promis'd long, we pledge, we dedicate.	true	288.98	322.39	16
1001_134708_000012_000000	You occult deep volitions, You average spiritual manhood, purpose of all, pois'd on yourself, giving not taking law, You womanhood divine, mistress and source of all, whence life and love and aught that comes from life and love, You unseen moral essence of all the vast materials of America, age upon age working in death the same as life,) You that, sometimes known, oftener unknown, really shape and mould the New World, adjusting it to Time and Space, You hidden national will lying in your abysms, conceal'd but ever alert, You past and present purposes tenaciously pursued, may-be unconscious of yourselves, Unswerv'd by all the passing errors, perturbations of the surface; You vital, universal, deathless germs, beneath all creeds, arts, statutes, literatures, Here build your homes for good, establish here, these areas entire, lands of the Western shore, We pledge, we dedicate to you.	You occult deep volitions, You average spiritual manhood, purpose of all, pois'd on yourself, giving not taking law, You womanhood divine, mistress and source of all, whence life and love and aught that comes from life and love, You unseen moral essence of all the vast materials of America, age upon age working in death the same as life,) You that, sometimes known, oftener unknown, really shape and mould the New World, adjusting it to Time and Space, You hidden national will lying in your abysms, conceal'd but ever alert, You past and present purposes tenaciously pursued, may be unconscious of yourselves, Unswerv'd by all the passing errors, perturbations of the surface; You vital, universal, deathless germs, beneath all creeds, arts, statutes, literatures, Here build your homes for good, establish here, these areas entire, lands of the Western shore, We pledge, we dedicate to you.	false	322.7	404.5	19.000145
1001_134708_000013_000000	For man of you, your characteristic race, Here may he hardy, sweet, gigantic grow, here tower proportionate to Nature, Here climb the vast pure spaces unconfined, uncheck'd by wall or roof, Here laugh with storm or sun, here joy, here patiently inure, Here heed himself, unfold himself, (not others' formulas heed,) here fill his time, To duly fall, to aid, unreck'd at last, To disappear, to serve.	For man of you, your characteristic race, Here may he hardy, sweet, gigantic grow, here tower proportionate to Nature, Here climb the vast pure spaces unconfined, uncheck'd by wall or roof, Here laugh with storm or sun, here joy, here patiently inure, Here heed himself, unfold himself, (not others' formulas heed,) here fill his time, To duly fall, to aid, unreck'd at last, To disappear, to serve.	true	405.68	443.14	20.72394
1001_134708_000014_000000	Thus on the northern coast, In the echo of teamsters' calls and the clinking chains, and the music of choppers' axes, The falling trunk and limbs, the crash, the muffled shriek, the groan, Such words combined from the redwood-tree, as of voices ecstatic, ancient and rustling, The century-lasting, unseen dryads, singing, withdrawing, All their recesses of forests and mountains leaving, From the Cascade range to the Wahsatch, or Idaho far, or Utah, To the deities of the modern henceforth yielding, The chorus and indications, the vistas of coming humanity, the settlements, features all, In the Mendocino woods I caught.	Thus on the northern coast, In the echo of teamsters' calls and the clinking chains, and the music of choppers' axes, The falling trunk and limbs, the crash, the muffled shriek, the groan, Such words combined from the redwood tree, as of voices ecstatic, ancient and rustling, The century lasting, unseen dryads, singing, withdrawing, All their recesses of forests and mountains leaving, From the Cascade range to the Wahsatch, or Idaho far, or Utah, To the deities of the modern henceforth yielding, The chorus and indications, the vistas of coming humanity, the settlements, features all, In the Mendocino woods I caught.	true	445.13	494.91	18.907516
1001_134708_000015_000000	2 The flashing and golden pageant of California, The sudden and gorgeous drama, the sunny and ample lands, The long and varied stretch from Puget sound to Colorado south, Lands bathed in sweeter, rarer, healthier air, valleys and mountain cliffs, The fields of Nature long prepared and fallow, the silent, cyclic chemistry, The slow and steady ages plodding, the unoccupied surface ripening, the rich ores forming beneath; At last the New arriving, assuming, taking possession, A swarming and busy race settling and organizing everywhere, Ships coming in from the whole round world, and going out to the whole world, To India and China and Australia and the thousand island paradises of the Pacific, Populous cities, the latest inventions, the steamers on the rivers, the railroads, with many a thrifty farm, with machinery, And wool and wheat and the grape, and diggings of yellow gold.	two The flashing and golden pageant of California, The sudden and gorgeous drama, the sunny and ample lands, The long and varied stretch from Puget sound to Colorado south, Lands bathed in sweeter, rarer, healthier air, valleys and mountain cliffs, The fields of Nature long prepared and fallow, the silent, cyclic chemistry, The slow and steady ages plodding, the unoccupied surface ripening, the rich ores forming beneath; At last the New arriving, assuming, taking possession, A swarming and busy race settling and organizing everywhere, Ships coming in from the whole round world, and going out to the whole world, To India and China and Australia and the thousand island paradises of the Pacific, Populous cities, the latest inventions, the steamers on the rivers, the railroads, with many a thrifty farm, with machinery, And wool and wheat and the grape, and diggings of yellow gold.	false	494.91	569.52	18.354565
1001_134708_000016_000000	3 But more in you than these, lands of the Western shore, (These but the means, the implements, the standing-ground,) I see in you, certain to come, the promise of thousands of years, till now deferr'd, Promis'd to be fulfill'd, our common kind, the race.	three But more in you than these, lands of the Western shore, (These but the means, the implements, the standing ground,) I see in you, certain to come, the promise of thousands of years, till now deferr'd, Promis'd to be fulfill'd, our common kind, the race.	true	569.52	591.19	18.925587
1001_134708_000017_000000	The new society at last, proportionate to Nature, In man of you, more than your mountain peaks or stalwart trees imperial, In woman more, far more, than all your gold or vines, or even vital air.	The new society at last, proportionate to Nature, In man of you, more than your mountain peaks or stalwart trees imperial, In woman more, far more, than all your gold or vines, or even vital air.	true	592.22	607.6	19
1001_134708_000018_000000	Fresh come, to a new world indeed, yet long prepared, I see the genius of the modern, child of the real and ideal, Clearing the ground for broad humanity, the true America, heir of the past so grand, To build a grander future.	Fresh come, to a new world indeed, yet long prepared, I see the genius of the modern, child of the real and ideal, Clearing the ground for broad humanity, the true America, heir of the past so grand, To build a grander future.	true	609.11	632.58	18.599293
1001_134708_000019_000000	BOOK XV	BOOK fifteen	false	632.58	632.58	
1001_134708_000020_000000	A Song for Occupations	A Song for Occupations	false	632.58	632.58	
1001_134708_000021_000000	1 A song for occupations! In the labor of engines and trades and the labor of fields I find the developments, And find the eternal meanings.	one A song for occupations! In the labor of engines and trades and the labor of fields I find the developments, And find the eternal meanings.	false	632.58	632.58	
