1046_133224_000000_000000	THE SINGLE TAX.	THE SINGLE TAX.	true	29.58	30.97	24.2251
1046_133224_000001_000000	This idea was first formulated by Mr. Henry George in 1879, and has grown steadily in favor.	This idea was first formulated by mr Henry George in eighteen seventy nine, and has grown steadily in favor.	true	31.79	39.58	20
1046_133224_000001_000001	Single-tax men assert as a fundamental principle that all men are equally entitled to the use of the earth; therefore, no one should be allowed to hold valuable land without paying to the community the value of the privilege.	Single tax men assert as a fundamental principle that all men are equally entitled to the use of the earth; therefore, no one should be allowed to hold valuable land without paying to the community the value of the privilege.	true	39.98	53.32	19
1046_133224_000001_000002	They hold that this is the only rightful source of public revenue, and they would therefore abolish all taxation--local, state and national--except a tax upon the rental value of land exclusive of its improvements, the revenue thus raised to be divided among local, state and general governments, as the revenue from certain direct taxes is now divided between local and state governments.	They hold that this is the only rightful source of public revenue, and they would therefore abolish all taxation-local, state and national-except a tax upon the rental value of land exclusive of its improvements, the revenue thus raised to be divided among local, state and general governments, as the revenue from certain direct taxes is now divided between local and state governments.	true	53.99	82	21.537842
1046_133224_000002_000000	The single tax would not fall on all land, but only on valuable land, and on that in proportion to its value.	The single tax would not fall on all land, but only on valuable land, and on that in proportion to its value.	true	82.07	90.1	21.423447
1046_133224_000002_000001	It would thus be a tax, not on use or improvements, but on ownership of land, taking what would otherwise go to the landlord as owner.	It would thus be a tax, not on use or improvements, but on ownership of land, taking what would otherwise go to the landlord as owner.	true	90.14	98.76	21
1046_133224_000003_000000	In accordance with the principle that all men are equally entitled to the use of the earth, they would solve the transportation problem by public ownership and control of all highways, including the roadbeds of railroads, leaving their use equally free to all.	In accordance with the principle that all men are equally entitled to the use of the earth, they would solve the transportation problem by public ownership and control of all highways, including the roadbeds of railroads, leaving their use equally free to all.	true	98.76	114.76	21.983381
1046_133224_000004_000000	The single-tax system would, they claim, dispense with a horde of tax-gatherers, simplify government, and greatly reduce its cost; give us with all the world that absolute free trade which now exists between the States of the Union: abolish all taxes on private issues of money; take the weight of taxation from agricultural districts, where land has little or no value apart from improvements, and put it upon valuable land, such as city lots and mineral deposits.	The single tax system would, they claim, dispense with a horde of tax gatherers, simplify government, and greatly reduce its cost; give us with all the world that absolute free trade which now exists between the States of the Union: abolish all taxes on private issues of money; take the weight of taxation from agricultural districts, where land has little or no value apart from improvements, and put it upon valuable land, such as city lots and mineral deposits.	true	114.8	146.02	22.060986
1046_133224_000004_000001	It would call upon men to contribute for public expenses in proportion to the natural opportunities they monopolize, and make it unprofitable for speculators to hold land unused or only partly used, thus opening to labor unlimited fields of employment, solving the labor problem and abolishing involuntary poverty.	It would call upon men to contribute for public expenses in proportion to the natural opportunities they monopolize, and make it unprofitable for speculators to hold land unused or only partly used, thus opening to labor unlimited fields of employment, solving the labor problem and abolishing involuntary poverty.	true	146.93	170.17	22.956612
1046_133224_000005_000000	THE MYSTERIES OF HYPNOTISM.	THE MYSTERIES OF HYPNOTISM.	true	171.47	173.65	26.732374
1046_133224_000006_000000	A Compend of the General Claims Made by Professional Hypnotists.	A Compend of the General Claims Made by Professional Hypnotists.	true	173.96	178.3	22
1046_133224_000007_000000	Animal magnetism is the nerve-force of all human and animal bodies, and is common to every person in a greater or less degree.	Animal magnetism is the nerve force of all human and animal bodies, and is common to every person in a greater or less degree.	true	178.88	187.9	19
1046_133224_000007_000001	It may be transmitted from one person to another.	It may be transmitted from one person to another.	true	188.39	191.41	23.697199
1046_133224_000007_000002	The transmitting force is the concentrated effort of will-power, which sends the magnetic current through the nerves of the operator to the different parts of the body of his subject.	The transmitting force is the concentrated effort of will power, which sends the magnetic current through the nerves of the operator to the different parts of the body of his subject.	true	191.78	202.24	21.748709
1046_133224_000007_000003	It may be transmitted by and through the eyes, as well as the finger tips, and the application of the whole open hands, to different regions of the body of the subject, as well as to the mind. The effect of this force upon the subject will depend very much upon the health, mental capacity and general character of the operator.	It may be transmitted by and through the eyes, as well as the finger tips, and the application of the whole open hands, to different regions of the body of the subject, as well as to the mind. The effect of this force upon the subject will depend very much upon the health, mental capacity and general character of the operator.	false	202.55	225.31	22.449553
1046_133224_000007_000004	Its action in general should be soothing and quieting upon the nervous system; stimulating to the circulation of the blood, the brain and other vital organs of the body of the subject.	Its action in general should be soothing and quieting upon the nervous system; stimulating to the circulation of the blood, the brain and other vital organs of the body of the subject.	true	225.77	237.25	22
1046_133224_000007_000005	It is the use and application of this power or force that constitutes hypnotism.	It is the use and application of this power or force that constitutes hypnotism.	true	237.59	243.49	25.181149
1046_133224_000008_000000	Magnetism is a quality that inheres in every human being, and it may be cultivated like any other physical or mental force of which men and women are constituted.	Magnetism is a quality that inheres in every human being, and it may be cultivated like any other physical or mental force of which men and women are constituted.	true	244.25	254.35	19
