1160_134674_000000_000000	[Footnote 150: Ammianus (xxix.	[Footnote one hundred fifty: Ammianus (x x i x.	false	0	3.36	14.9761915
1160_134674_000000_000001	6) and Zosimus (I.	six) and Zosimus (I.	false	3.36	4.86	22
1160_134674_000000_000002	iv.	i v.	false	4.86	5.61	17.424976
1160_134674_000000_000003	p. 219, 220) carefully mark the origin and progress of the Quadic and Sarmatian war.]	p. two hundred nineteen, two hundred twenty) carefully mark the origin and progress of the Quadic and Sarmatian war.]	false	5.61	18.015	16.9401
1160_134674_000001_000000	Chapter XXV: Reigns Of Jovian And Valentinian, Division Of The Empire.--Part VII.	Chapter twenty five: Reigns Of Jovian And Valentinian, Division Of The Empire.--Part seven.	true	18.015	24.73	18.303885
1160_134674_000002_000000	The mind of Valentinian, who then resided at Treves, was deeply affected by the calamities of Illyricum; but the lateness of the season suspended the execution of his designs till the ensuing spring.	The mind of Valentinian, who then resided at Treves, was deeply affected by the calamities of Illyricum; but the lateness of the season suspended the execution of his designs till the ensuing spring.	true	25.28	39.28	18
1160_134674_000002_000001	He marched in person, with a considerable part of the forces of Gaul, from the banks of the Moselle: and to the suppliant ambassadors of the Sarmatians, who met him on the way, he returned a doubtful answer, that, as soon as he reached the scene of action, he should examine, and pronounce.	He marched in person, with a considerable part of the forces of Gaul, from the banks of the Moselle: and to the suppliant ambassadors of the Sarmatians, who met him on the way, he returned a doubtful answer, that, as soon as he reached the scene of action, he should examine, and pronounce.	false	39.44	58.57	19
1160_134674_000002_000002	When he arrived at Sirmium, he gave audience to the deputies of the Illyrian provinces; who loudly congratulated their own felicity under the auspicious government of Probus, his Praetorian praefect.	When he arrived at Sirmium, he gave audience to the deputies of the Illyrian provinces; who loudly congratulated their own felicity under the auspicious government of Probus, his Praetorian praefect.	true	58.67	72.81	19.540327
1160_134674_000002_000003	[151] Valentinian, who was flattered by these demonstrations of their loyalty and gratitude, imprudently asked the deputy of Epirus, a Cynic philosopher of intrepid sincerity, [152] whether he was freely sent by the wishes of the province.	[one hundred fifty one] Valentinian, who was flattered by these demonstrations of their loyalty and gratitude, imprudently asked the deputy of Epirus, a Cynic philosopher of intrepid sincerity, [one hundred fifty two] whether he was freely sent by the wishes of the province.	false	72.81	88.53	18
1160_134674_000002_000004	"With tears and groans am I sent," replied Iphicles, "by a reluctant people." The emperor paused: but the impunity of his ministers established the pernicious maxim, that they might oppress his subjects, without injuring his service.	"With tears and groans am I sent," replied Iphicles, "by a reluctant people." The emperor paused: but the impunity of his ministers established the pernicious maxim, that they might oppress his subjects, without injuring his service.	false	88.53	107.26	20.622229
1160_134674_000002_000005	A strict inquiry into their conduct would have relieved the public discontent.	A strict inquiry into their conduct would have relieved the public discontent.	false	107.51	112.63	20.415228
