1160_139727_000000_000000	"Look round the habitable world, how few Know their own good, or, knowing it, pursue!"	"Look round the habitable world, how few Know their own good, or, knowing it, pursue!"	false	0	3.87	15.700449
1160_139727_000001_000000	Those who govern, having much business on their hands, do not generally like to take the trouble of considering and carrying into execution new projects.	Those who govern, having much business on their hands, do not generally like to take the trouble of considering and carrying into execution new projects.	false	3.87	8.445	21.99873
1160_139727_000001_000001	The best public measures are therefore seldom _adopted from previous wisdom, but forc'd by the occasion_.	The best public measures are therefore seldom underscore adopted from previous wisdom, but forc'd by the occasion underscore.	false	8.445	9.78	21.979864
1160_139727_000002_000000	The Governor of Pennsylvania, in sending it down to the Assembly, expressed his approbation of the plan, "as appearing to him to be drawn up with great clearness and strength of judgment, and therefore recommended it as well worthy of their closest and most serious attention." The House, however, by the management of a certain member, took it up when I happen'd to be absent, which I thought not very fair, and reprobated it without paying any attention to it at all, to my no small mortification.	The Governor of Pennsylvania, in sending it down to the Assembly, expressed his approbation of the plan, "as appearing to him to be drawn up with great clearness and strength of judgment, and therefore recommended it as well worthy of their closest and most serious attention." The House, however, by the management of a certain member, took it up when I happen'd to be absent, which I thought not very fair, and reprobated it without paying any attention to it at all, to my no small mortification.	false	9.78	20.61	20.286142
1160_139727_000003_000000	XV	fifteen	true	20.61	21.64	21.13013
1160_139727_000004_000000	QUARRELS WITH THE PROPRIETARY GOVERNORS	QUARRELS WITH THE PROPRIETARY GOVERNORS	true	21.77	24.13	20.180843
1160_139727_000005_000000	In my journey to Boston this year, I met at New York with our new governor, Mr. Morris, just arriv'd there from England, with whom I had been before intimately acquainted.	In my journey to Boston this year, I met at New York with our new governor, mr Morris, just arriv'd there from England, with whom I had been before intimately acquainted.	true	24.5	35.29	20
1160_139727_000005_000001	He brought a commission to supersede Mr. Hamilton, who, tir'd with the disputes his proprietary instructions subjected him to, had resign'd.	He brought a commission to supersede mr Hamilton, who, tir'd with the disputes his proprietary instructions subjected him to, had resign'd.	false	35.39	44.65	20.865833
1160_139727_000005_000002	Mr. Morris ask'd me if I thought he must expect as uncomfortable an administration.	mr Morris ask'd me if I thought he must expect as uncomfortable an administration.	true	44.87	50.62	17
1160_139727_000005_000003	I said, "No; you may, on the contrary, have a very comfortable one, if you will only take care not to enter into any dispute with the Assembly." "My dear friend," says he, pleasantly, "how can you advise my avoiding disputes?	I said, "No; you may, on the contrary, have a very comfortable one, if you will only take care not to enter into any dispute with the Assembly." "My dear friend," says he, pleasantly, "how can you advise my avoiding disputes?	true	50.81	66.31	20.905407
1160_139727_000005_000004	You know I love disputing; it is one of my greatest pleasures; however, to show the regard I have for your counsel, I promise you I will, if possible, avoid them." He had some reason for loving to dispute, being eloquent, an acute sophister, and, therefore, generally successful in argumentative conversation.	You know I love disputing; it is one of my greatest pleasures; however, to show the regard I have for your counsel, I promise you I will, if possible, avoid them." He had some reason for loving to dispute, being eloquent, an acute sophister, and, therefore, generally successful in argumentative conversation.	true	66.53	88.42	20.458742
