1224_121064_000000_000000	Chapter 46.	Chapter forty six.	true	4.08	5.56	20
1224_121064_000000_000001	Unlimited Credit.	Unlimited Credit.	false	6.59	35.46	17.640831
1224_121064_000001_000000	About two o'clock the following day a calash, drawn by a pair of magnificent English horses, stopped at the door of Monte Cristo and a person, dressed in a blue coat, with buttons of a similar color, a white waistcoat, over which was displayed a massive gold chain, brown trousers, and a quantity of black hair descending so low over his eyebrows as to leave it doubtful whether it were not artificial so little did its jetty glossiness assimilate with the deep wrinkles stamped on his features--a person, in a word, who, although evidently past fifty, desired to be taken for not more than forty, bent forwards from the carriage door, on the panels of which were emblazoned the armorial bearings of a baron, and directed his groom to inquire at the porter's lodge whether the Count of Monte Cristo resided there, and if he were within.	About two o'clock the following day a calash, drawn by a pair of magnificent English horses, stopped at the door of Monte Cristo and a person, dressed in a blue coat, with buttons of a similar color, a white waistcoat, over which was displayed a massive gold chain, brown trousers, and a quantity of black hair descending so low over his eyebrows as to leave it doubtful whether it were not artificial so little did its jetty glossiness assimilate with the deep wrinkles stamped on his features-a person, in a word, who, although evidently past fifty, desired to be taken for not more than forty, bent forwards from the carriage door, on the panels of which were emblazoned the armorial bearings of a baron, and directed his groom to inquire at the porter's lodge whether the Count of Monte Cristo resided there, and if he were within.	true	35.46	89.86	16
1224_121064_000001_000001	While waiting, the occupant of the carriage surveyed the house, the garden as far as he could distinguish it, and the livery of servants who passed to and fro, with an attention so close as to be somewhat impertinent.	While waiting, the occupant of the carriage surveyed the house, the garden as far as he could distinguish it, and the livery of servants who passed to and fro, with an attention so close as to be somewhat impertinent.	true	90.29	103.45	17
1224_121064_000001_000002	His glance was keen but showed cunning rather than intelligence; his lips were straight, and so thin that, as they closed, they were drawn in over the teeth; his cheek-bones were broad and projecting, a never-failing proof of audacity and craftiness; while the flatness of his forehead, and the enlargement of the back of his skull, which rose much higher than his large and coarsely shaped ears, combined to form a physiognomy anything but prepossessing, save in the eyes of such as considered that the owner of so splendid an equipage must needs be all that was admirable and enviable, more especially when they gazed on the enormous diamond that glittered in his shirt, and the red ribbon that depended from his button-hole.	His glance was keen but showed cunning rather than intelligence; his lips were straight, and so thin that, as they closed, they were drawn in over the teeth; his cheek bones were broad and projecting, a never failing proof of audacity and craftiness; while the flatness of his forehead, and the enlargement of the back of his skull, which rose much higher than his large and coarsely shaped ears, combined to form a physiognomy anything but prepossessing, save in the eyes of such as considered that the owner of so splendid an equipage must needs be all that was admirable and enviable, more especially when they gazed on the enormous diamond that glittered in his shirt, and the red ribbon that depended from his button hole.	true	103.94	148.75	15
1224_121064_000002_000000	The groom, in obedience to his orders, tapped at the window of the porter's lodge, saying, "Pray, does not the Count of Monte Cristo live here?"	The groom, in obedience to his orders, tapped at the window of the porter's lodge, saying, "Pray, does not the Count of Monte Cristo live here?"	true	150.14	159.01	18
1224_121064_000003_000000	"His excellency does reside here," replied the concierge; "but"--added he, glancing an inquiring look at Ali.	"His excellency does reside here," replied the concierge; "but"--added he, glancing an inquiring look at Ali.	true	159.89	167.98	19
1224_121064_000003_000001	Ali returned a sign in the negative.	Ali returned a sign in the negative.	true	168.47	170.95	16
1224_121064_000003_000002	"But what?" asked the groom.	"But what?" asked the groom.	true	171.38	173.38	19.806808
1224_121064_000004_000000	"His excellency does not receive visitors to-day."	"His excellency does not receive visitors to day."	true	173.9	177.04	18
1224_121064_000005_000000	"Then here is my master's card,--the Baron Danglars.	"Then here is my master's card,--the Baron Danglars.	true	177.92	181.57	17.352055
1224_121064_000005_000001	You will take it to the count, and say that, although in haste to attend the Chamber, my master came out of his way to have the honor of calling upon him."	You will take it to the count, and say that, although in haste to attend the Chamber, my master came out of his way to have the honor of calling upon him."	true	181.67	190.03	17
1224_121064_000006_000000	"I never speak to his excellency," replied the concierge; "the valet de chambre will carry your message." The groom returned to the carriage. "Well?" asked Danglars.	"I never speak to his excellency," replied the concierge; "the valet de chambre will carry your message." The groom returned to the carriage. "Well?" asked Danglars.	true	190.7	201.58	18.209444
1224_121064_000006_000001	The man, somewhat crest-fallen by the rebuke he had received, repeated what the concierge had said.	The man, somewhat crest fallen by the rebuke he had received, repeated what the concierge had said.	true	201.77	207.61	16
1224_121064_000006_000002	"Bless me," murmured Baron Danglars, "this must surely be a prince instead of a count by their styling him 'excellency,' and only venturing to address him by the medium of his valet de chambre.	"Bless me," murmured Baron Danglars, "this must surely be a prince instead of a count by their styling him 'excellency,' and only venturing to address him by the medium of his valet de chambre.	false	207.74	219.55	18
1224_121064_000006_000003	However, it does not signify; he has a letter of credit on me, so I must see him when he requires his money."	However, it does not signify; he has a letter of credit on me, so I must see him when he requires his money."	true	219.68	227.77	19.435946
1224_121064_000007_000000	Then, throwing himself back in his carriage, Danglars called out to his coachman, in a voice that might be heard across the road, "To the Chamber of Deputies."	Then, throwing himself back in his carriage, Danglars called out to his coachman, in a voice that might be heard across the road, "To the Chamber of Deputies."	true	227.87	237.82	23.420858
1224_121064_000008_000000	Apprised in time of the visit paid him, Monte Cristo had, from behind the blinds of his pavilion, as minutely observed the baron, by means of an excellent lorgnette, as Danglars himself had scrutinized the house, garden, and servants.	Apprised in time of the visit paid him, Monte Cristo had, from behind the blinds of his pavilion, as minutely observed the baron, by means of an excellent lorgnette, as Danglars himself had scrutinized the house, garden, and servants.	true	238.43	253.39	17.51351
1224_121064_000008_000001	"That fellow has a decidedly bad countenance," said the count in a tone of disgust, as he shut up his glass into its ivory case.	"That fellow has a decidedly bad countenance," said the count in a tone of disgust, as he shut up his glass into its ivory case.	true	253.76	262.24	16
1224_121064_000008_000002	"How comes it that all do not retreat in aversion at sight of that flat, receding, serpent-like forehead, round, vulture-shaped head, and sharp-hooked nose, like the beak of a buzzard?	"How comes it that all do not retreat in aversion at sight of that flat, receding, serpent like forehead, round, vulture shaped head, and sharp hooked nose, like the beak of a buzzard?	true	262.61	274.48	19
1224_121064_000008_000003	Ali," cried he, striking at the same time on the brazen gong.	Ali," cried he, striking at the same time on the brazen gong.	true	274.64	278.56	20.273537
1224_121064_000008_000004	Ali appeared.	Ali appeared.	true	278.84	280.09	21.618872
1224_121064_000008_000005	"Summon Bertuccio," said the count.	"Summon Bertuccio," said the count.	true	280.1	282.58	22.658022
1224_121064_000008_000006	Almost immediately Bertuccio entered the apartment.	Almost immediately Bertuccio entered the apartment.	true	282.92	285.82	14
1224_121064_000008_000007	"Did your excellency desire to see me?" inquired he.	"Did your excellency desire to see me?" inquired he.	true	286.07	289.21	16
1224_121064_000008_000008	"I did," replied the count.	"I did," replied the count.	true	289.58	291.34	20.92021
1224_121064_000008_000009	"You no doubt observed the horses standing a few minutes since at the door?"	"You no doubt observed the horses standing a few minutes since at the door?"	true	291.47	295.84	14
1224_121064_000009_000000	"Certainly, your excellency.	"Certainly, your excellency.	true	296.36	298.08	9
1224_121064_000009_000001	I noticed them for their remarkable beauty."	I noticed them for their remarkable beauty."	true	298.08	300.7	16
