1283_129808_000000_000000	CHAPTER XXVIII.	CHAPTER twenty eight.	true	15.825	17.08	29.185293
1283_129808_000000_000001	THE HONOUR OF M. DE RIVAROL	THE HONOUR OF m DE r i v a r o l	false	17.18	20.55	19.582865
1283_129808_000001_000000	During the capitulation and for some time after, Captain Blood and the greater portion of his buccaneers had been at their post on the heights of Nuestra Senora de la Poupa, utterly in ignorance of what was taking place.	During the capitulation and for some time after, Captain Blood and the greater portion of his buccaneers had been at their post on the heights of Nuestra Senora de la Poupa, utterly in ignorance of what was taking place.	false	20.55	31.54	23.056997
1283_129808_000001_000001	Blood, although the man chiefly, if not solely, responsible for the swift reduction of the city, which was proving a veritable treasure-house, was not even shown the consideration of being called to the council of officers which with M. de Rivarol determined the terms of the capitulation.	Blood, although the man chiefly, if not solely, responsible for the swift reduction of the city, which was proving a veritable treasure house, was not even shown the consideration of being called to the council of officers which with m de Rivarol determined the terms of the capitulation.	false	31.88	47.74	21.6205
1283_129808_000002_000000	This was a slight that at another time Captain Blood would not have borne for a moment.	This was a slight that at another time Captain Blood would not have borne for a moment.	true	48.5	52.51	25.073168
1283_129808_000002_000001	But at present, in his odd frame of mind, and its divorcement from piracy, he was content to smile his utter contempt of the French General.	But at present, in his odd frame of mind, and its divorcement from piracy, he was content to smile his utter contempt of the French General.	true	52.7	60.16	24.24714
1283_129808_000002_000002	Not so, however, his captains, and still less his men.	Not so, however, his captains, and still less his men.	false	60.35	63.85	21.562874
1283_129808_000002_000003	Resentment smouldered amongst them for a while, to flame out violently at the end of that week in Cartagena.	Resentment smouldered amongst them for a while, to flame out violently at the end of that week in Cartagena.	true	63.95	69.43	21.81093
1283_129808_000002_000004	It was only by undertaking to voice their grievance to the Baron that their captain was able for the moment to pacify them.	It was only by undertaking to voice their grievance to the Baron that their captain was able for the moment to pacify them.	true	69.86	76.3	21.237831
1283_129808_000002_000005	That done, he went at once in quest of M. de Rivarol.	That done, he went at once in quest of m de Rivarol.	false	76.4	79.51	27.92722
1283_129808_000003_000000	He found him in the offices which the Baron had set up in the town, with a staff of clerks to register the treasure brought in and to cast up the surrendered account-books, with a view to ascertaining precisely what were the sums yet to be delivered up.	He found him in the offices which the Baron had set up in the town, with a staff of clerks to register the treasure brought in and to cast up the surrendered account books, with a view to ascertaining precisely what were the sums yet to be delivered up.	true	79.94	93.07	24.34092
1283_129808_000003_000001	The Baron sat there scrutinizing ledgers, like a city merchant, and checking figures to make sure that all was correct to the last peso.	The Baron sat there scrutinizing ledgers, like a city merchant, and checking figures to make sure that all was correct to the last peso.	true	93.47	100.66	24.889864
1283_129808_000003_000002	A choice occupation this for the General of the King's Armies by Sea and Land.	A choice occupation this for the General of the King's Armies by Sea and Land.	true	101.03	105.37	20.98159
1283_129808_000003_000003	He looked up irritated by the interruption which Captain Blood's advent occasioned.	He looked up irritated by the interruption which Captain Blood's advent occasioned.	true	105.68	109.8	24.65087
1283_129808_000004_000000	"M. le Baron," the latter greeted him.	"M. le Baron," the latter greeted him.	false	109.8	112.62	22.210575
1283_129808_000004_000001	"I must speak frankly; and you must suffer it.	"I must speak frankly; and you must suffer it.	true	112.62	115.03	23.217134
1283_129808_000004_000002	My men are on the point of mutiny."	My men are on the point of mutiny."	true	115.04	116.85	22.543093
1283_129808_000005_000000	M. de Rivarol considered him with a faint lift of the eyebrows.	M. de Rivarol considered him with a faint lift of the eyebrows.	false	116.85	121.18	21.432041
1283_129808_000006_000000	"Captain Blood, I, too, will speak frankly; and you, too, must suffer it.	"Captain Blood, I, too, will speak frankly; and you, too, must suffer it.	false	121.82	126.13	23.321505
1283_129808_000006_000001	If there is a mutiny, you and your captains shall be held personally responsible.	If there is a mutiny, you and your captains shall be held personally responsible.	true	126.35	130.57	23.712473
1283_129808_000006_000002	The mistake you make is in assuming with me the tone of an ally, whereas I have given you clearly to understand from the first that you are simply in the position of having accepted service under me. Your proper apprehension of that fact will save the waste of a deal of words."	The mistake you make is in assuming with me the tone of an ally, whereas I have given you clearly to understand from the first that you are simply in the position of having accepted service under me. Your proper apprehension of that fact will save the waste of a deal of words."	false	130.73	145.12	23.317091
1283_129808_000007_000000	Blood contained himself with difficulty.	Blood contained himself with difficulty.	true	145.94	148.06	25.889704
1283_129808_000007_000001	One of these fine days, he felt, that for the sake of humanity he must slit the comb of this supercilious, arrogant cockerel.	One of these fine days, he felt, that for the sake of humanity he must slit the comb of this supercilious, arrogant cockerel.	false	148.37	154.57	23
1283_129808_000008_000000	"You may define our positions as you please," said he.	"You may define our positions as you please," said he.	true	155.33	158.47	23.659134
1283_129808_000008_000001	"But I'll remind you that the nature of a thing is not changed by the name you give it. I am concerned with facts; chiefly with the fact that we entered into definite articles with you.	"But I'll remind you that the nature of a thing is not changed by the name you give it. I am concerned with facts; chiefly with the fact that we entered into definite articles with you.	true	158.69	167.89	23.559326
1283_129808_000008_000002	Those articles provide for a certain distribution of the spoil.	Those articles provide for a certain distribution of the spoil.	true	168.11	171.46	23.428493
