1313_135020_000000_000000	Then out from among the trees marched Private Files, bearing the banner of Oogaboo, which fluttered from a long pole.	Then out from among the trees marched Private Files, bearing the banner of Oogaboo, which fluttered from a long pole.
1313_135020_000000_000001	This pole he stuck in the ground just in front of the well and then he cried in a loud voice:	This pole he stuck in the ground just in front of the well and then he cried in a loud voice:
1313_135020_000001_000000	"I hereby conquer this territory in the name of Queen Ann Soforth of Oogaboo, and all the inhabitants of the land I proclaim her slaves!"	"I hereby conquer this territory in the name of Queen Ann Soforth of Oogaboo, and all the inhabitants of the land I proclaim her slaves!"
1313_135020_000003_000000	"Is the coast clear, Private Files?"	"Is the coast clear, Private Files?"
1313_135020_000004_000000	"There is no coast here," was the reply, "but all's well."	"There is no coast here," was the reply, "but all's well."
1313_135020_000006_000002	Spare us, and we will be your slaves forever!"	Spare us, and we will be your slaves forever!"
1313_135020_000008_000000	Files turned around and, seeing the strangers for the first time, examined them with much curiosity.	Files turned around and, seeing the strangers for the first time, examined them with much curiosity.
1313_135020_000010_000000	"Permit us to introduce ourselves," replied Shaggy, stepping forward. "This is Tik-Tok, the Clockwork Man--who works better than some meat people.	"Permit us to introduce ourselves," replied Shaggy, stepping forward. "This is Tik Tok, the Clockwork Man-who works better than some meat people.
1313_135020_000011_000001	I'm sorry I've conquered you."	I'm sorry I've conquered you."
1313_135020_000012_000000	"But you haven't conquered us yet," called Betsy indignantly.	"But you haven't conquered us yet," called Betsy indignantly.
1313_135020_000013_000000	"No," agreed Files, "that is a fact.	"No," agreed Files, "that is a fact.
1313_135020_000013_000001	But if my officers will kindly command me to conquer you, I will do so at once, after which we can stop arguing and converse more at our ease."	But if my officers will kindly command me to conquer you, I will do so at once, after which we can stop arguing and converse more at our ease."
1313_135020_000014_000000	The officers had by this time risen from their knees and brushed the dust from their trousers.	The officers had by this time risen from their knees and brushed the dust from their trousers.
1313_135020_000016_000000	"That's all right," replied Shaggy.	"That's all right," replied Shaggy.
