1313_135022_000002_000000	Chapter Ten	Chapter Ten
1313_135022_000003_000000	A Terrible Tumble Through a Tube	A Terrible Tumble Through a Tube
1313_135022_000004_000001	But no one suspected any especial danger until after they had entered Ruggedo's cavern, and so they were journeying along in quite a contented manner when Tik-Tok, who marched ahead, suddenly disappeared.	But no one suspected any especial danger until after they had entered Ruggedo's cavern, and so they were journeying along in quite a contented manner when Tik Tok, who marched ahead, suddenly disappeared.
1313_135022_000005_000000	The officers thought he must have turned a corner, so they kept on their way and all of them likewise disappeared--one after another. Queen Ann was rather surprised at this, and in hastening forward to learn the reason she also vanished from sight.	The officers thought he must have turned a corner, so they kept on their way and all of them likewise disappeared-one after another. Queen Ann was rather surprised at this, and in hastening forward to learn the reason she also vanished from sight.
1313_135022_000006_000000	Betsy Bobbin had tired her feet by walking, so she was now riding upon the back of the stout little mule, facing backward and talking to Shaggy and Polychrome, who were just behind.	Betsy Bobbin had tired her feet by walking, so she was now riding upon the back of the stout little mule, facing backward and talking to Shaggy and Polychrome, who were just behind.
1313_135022_000006_000001	Suddenly Hank pitched forward and began falling and Betsy would have tumbled over his head had she not grabbed the mule's shaggy neck with both arms and held on for dear life.	Suddenly Hank pitched forward and began falling and Betsy would have tumbled over his head had she not grabbed the mule's shaggy neck with both arms and held on for dear life.
1313_135022_000007_000000	All around was darkness, and they were not falling directly downward but seemed to be sliding along a steep incline.	All around was darkness, and they were not falling directly downward but seemed to be sliding along a steep incline.
1313_135022_000007_000001	Hank's hoofs were resting upon some smooth substance over which he slid with the swiftness of the wind.	Hank's hoofs were resting upon some smooth substance over which he slid with the swiftness of the wind.
1313_135022_000007_000002	Once Betsy's heels flew up and struck a similar substance overhead.	Once Betsy's heels flew up and struck a similar substance overhead.
1313_135022_000007_000003	They were, indeed, descending the "Hollow Tube" that led to the other side of the world.	They were, indeed, descending the "Hollow Tube" that led to the other side of the world.
1313_135022_000009_000000	After several minutes had passed and no harm had befallen them, Betsy gained courage.	After several minutes had passed and no harm had befallen them, Betsy gained courage.
1313_135022_000009_000001	She could see nothing at all, nor could she hear anything except the rush of air past her ears as they plunged downward along the Tube.	She could see nothing at all, nor could she hear anything except the rush of air past her ears as they plunged downward along the Tube.
1313_135022_000009_000002	Whether she and Hank were alone, or the others were with them, she could not tell.	Whether she and Hank were alone, or the others were with them, she could not tell.
1313_135022_000009_000004	There was Tik-Tok, flat upon his back and sliding headforemost down the incline.	There was Tik Tok, flat upon his back and sliding headforemost down the incline.
1313_135022_000009_000005	And there were the Officers of the Army of Oogaboo, all tangled up in a confused crowd, flapping their arms and trying to shield their faces from the clanking swords, which swung back and forth during the swift journey and pommeled everyone within their reach.	And there were the Officers of the Army of Oogaboo, all tangled up in a confused crowd, flapping their arms and trying to shield their faces from the clanking swords, which swung back and forth during the swift journey and pommeled everyone within their reach.
1313_135022_000011_000000	"This is awful, Hank!" cried Betsy in a loud voice, and Queen Ann heard her and called out: "Are you safe, Betsy?"	"This is awful, Hank!" cried Betsy in a loud voice, and Queen Ann heard her and called out: "Are you safe, Betsy?"
1313_135022_000013_000000	"Don't ask her that, please don't!" said Shaggy, who was not too far away to overhear them.	"Don't ask her that, please don't!" said Shaggy, who was not too far away to overhear them.
1313_135022_000014_000000	"Why?" said Betsy.	"Why?" said Betsy.
1313_135022_000018_000000	"Be patient and you'll find out, my dear," said Polychrome.	"Be patient and you'll find out, my dear," said Polychrome.
1313_135022_000018_000001	"But isn't this an odd experience?	"But isn't this an odd experience?
1313_135022_000019_000000	"How do you know we're in the center of the earth?" asked Betsy, her voice trembling a little through nervousness.	"How do you know we're in the center of the earth?" asked Betsy, her voice trembling a little through nervousness.
1313_135022_000020_000001	"I have often heard of this passage, which was once built by a Magician who was a great traveler.	"I have often heard of this passage, which was once built by a Magician who was a great traveler.
