1322_137588_000004_000000	BOOK II.	BOOK two.
1322_137588_000006_000002	So it befell on a time when King Arthur was at London, there came a knight and told the king tidings how that the King Rience of North Wales had reared a great number of people, and were entered into the land, and burnt and slew the king's true liege people.	So it befell on a time when King Arthur was at London, there came a knight and told the king tidings how that the King Rience of North Wales had reared a great number of people, and were entered into the land, and burnt and slew the king's true liege people.
1322_137588_000006_000003	If this be true, said Arthur, it were great shame unto mine estate but that he were mightily withstood.	If this be true, said Arthur, it were great shame unto mine estate but that he were mightily withstood.
1322_137588_000006_000004	It is truth, said the knight, for I saw the host myself.	It is truth, said the knight, for I saw the host myself.
1322_137588_000006_000005	Well, said the king, let make a cry, that all the lords, knights, and gentlemen of arms, should draw unto a castle called Camelot in those days, and there the king would let make a council-general and a great jousts.	Well, said the king, let make a cry, that all the lords, knights, and gentlemen of arms, should draw unto a castle called Camelot in those days, and there the king would let make a council general and a great jousts.
1322_137588_000007_000001	And when she came before King Arthur, she told from whom she came, and how she was sent on message unto him for these causes.	And when she came before King Arthur, she told from whom she came, and how she was sent on message unto him for these causes.
1322_137588_000007_000002	Then she let her mantle fall that was richly furred; and then was she girt with a noble sword whereof the king had marvel, and said, Damosel, for what cause are ye girt with that sword? it beseemeth you not.	Then she let her mantle fall that was richly furred; and then was she girt with a noble sword whereof the king had marvel, and said, Damosel, for what cause are ye girt with that sword? it beseemeth you not.
1322_137588_000007_000005	Then Arthur took the sword by the sheath and by the girdle and pulled at it eagerly, but the sword would not out.	Then Arthur took the sword by the sheath and by the girdle and pulled at it eagerly, but the sword would not out.
1322_137588_000008_000000	Sir, said the damosel, you need not to pull half so hard, for he that shall pull it out shall do it with little might.	Sir, said the damosel, you need not to pull half so hard, for he that shall pull it out shall do it with little might.
1322_137588_000008_000005	By my faith, said Arthur, here are good knights, as I deem, as any be in the world, but their grace is not to help you, wherefore I am displeased.	By my faith, said Arthur, here are good knights, as I deem, as any be in the world, but their grace is not to help you, wherefore I am displeased.
1322_137588_000009_000000	CHAPTER II.	CHAPTER two.
1322_137588_000010_000002	And so he went privily into the court, and saw this adventure, whereof it raised his heart, and he would assay it as other knights did, but for he was poor and poorly arrayed he put him not far in press.	And so he went privily into the court, and saw this adventure, whereof it raised his heart, and he would assay it as other knights did, but for he was poor and poorly arrayed he put him not far in press.
1322_137588_000010_000004	And as the damosel took her leave of Arthur and of all the barons, so departing, this knight Balin called unto her, and said, Damosel, I pray you of your courtesy, suffer me as well to assay as these lords; though that I be so poorly clothed, in my heart meseemeth I am fully assured as some of these others, and meseemeth in my heart to speed right well.	And as the damosel took her leave of Arthur and of all the barons, so departing, this knight Balin called unto her, and said, Damosel, I pray you of your courtesy, suffer me as well to assay as these lords; though that I be so poorly clothed, in my heart meseemeth I am fully assured as some of these others, and meseemeth in my heart to speed right well.
1322_137588_000010_000006	And then she said unto the knight, Sir, it needeth not to put me to more pain or labour, for it seemeth not you to speed there as other have failed.	And then she said unto the knight, Sir, it needeth not to put me to more pain or labour, for it seemeth not you to speed there as other have failed.
