1322_137589_000002_000000	Now go we hence, said Balin, and well be we met.	Now go we hence, said Balin, and well be we met.
1322_137589_000002_000003	For I would wit it, said the dwarf.	For I would wit it, said the dwarf.
1322_137589_000002_000006	As for that, said Balin, I fear not greatly, but I am right heavy that I have displeased my lord King Arthur, for the death of this knight.	As for that, said Balin, I fear not greatly, but I am right heavy that I have displeased my lord King Arthur, for the death of this knight.
1322_137589_000002_000007	So as they talked together, there came a king of Cornwall riding, the which hight King Mark.	So as they talked together, there came a king of Cornwall riding, the which hight King Mark.
1322_137589_000003_000000	CHAPTER VIII.	CHAPTER eight.
1322_137589_000004_000004	Then said Merlin to Balin, Thou hast done thyself great hurt, because that thou savest not this lady that slew herself, that might have saved her an thou wouldest.	Then said Merlin to Balin, Thou hast done thyself great hurt, because that thou savest not this lady that slew herself, that might have saved her an thou wouldest.
1322_137589_000004_000008	Therewith Merlin vanished away suddenly.	Therewith Merlin vanished away suddenly.
1322_137589_000004_000010	First, said the king, tell me your name.	First, said the king, tell me your name.
1322_137589_000004_000014	We have little to do, said the two knights, to tell thee.	We have little to do, said the two knights, to tell thee.
1322_137589_000004_000019	Ah! said Balin, ye are Merlin; we will be ruled by your counsel.	Ah! said Balin, ye are Merlin; we will be ruled by your counsel.
1322_137589_000004_000020	Come on, said Merlin, ye shall have great worship, and look that ye do knightly, for ye shall have great need.	Come on, said Merlin, ye shall have great worship, and look that ye do knightly, for ye shall have great need.
1322_137589_000004_000021	As for that, said Balin, dread you not, we will do what we may.	As for that, said Balin, dread you not, we will do what we may.
1322_137589_000005_000000	CHAPTER IX.	CHAPTER nine.
1322_137589_000006_000003	Abide, said Merlin, here in a strait way ye shall meet with him; and therewith he showed Balin and his brother where he rode.	Abide, said Merlin, here in a strait way ye shall meet with him; and therewith he showed Balin and his brother where he rode.
1322_137589_000007_000002	Then said he thus: Knights full of prowess, slay me not, for by my life ye may win, and by my death ye shall win nothing.	Then said he thus: Knights full of prowess, slay me not, for by my life ye may win, and by my death ye shall win nothing.
1322_137589_000007_000005	By whom? said King Arthur.	By whom? said King Arthur.
1322_137589_000007_000016	But, sir, are ye purveyed, said Merlin, for to-morn the host of Nero, King Rience's brother, will set on you or noon with a great host, and therefore make you ready, for I will depart from you.	But, sir, are ye purveyed, said Merlin, for to morn the host of Nero, King Rience's brother, will set on you or noon with a great host, and therefore make you ready, for I will depart from you.
1322_137589_000010_000000	In the meanwhile came one to King Lot, and told him while he tarried there Nero was destroyed and slain with all his people.	In the meanwhile came one to King Lot, and told him while he tarried there Nero was destroyed and slain with all his people.
