1365_134804_000000_000000	"But," resumed the dowager, "you are wearing mourning for him."	"But," resumed the dowager, "you are wearing mourning for him."	false	0	3.6	19
1365_134804_000001_000000	He replied, "It is because I was a servant in his family in my youth."	He replied, "It is because I was a servant in his family in my youth."	false	3.6	6.66	20.521076
1365_134804_000002_000000	Another thing which was remarked, was, that every time that he encountered in the town a young Savoyard who was roaming about the country and seeking chimneys to sweep, the mayor had him summoned, inquired his name, and gave him money.	Another thing which was remarked, was, that every time that he encountered in the town a young Savoyard who was roaming about the country and seeking chimneys to sweep, the mayor had him summoned, inquired his name, and gave him money.	false	6.66	22.83	20.33097
1365_134804_000002_000001	The little Savoyards told each other about it: a great many of them passed that way.	The little Savoyards told each other about it: a great many of them passed that way.	false	22.83	24.135	17.349745
1365_134804_000003_000000	CHAPTER V--VAGUE FLASHES ON THE HORIZON	CHAPTER five-VAGUE FLASHES ON THE HORIZON	true	24.135	27.52	18.21229
1365_134804_000004_000000	Little by little, and in the course of time, all this opposition subsided.	Little by little, and in the course of time, all this opposition subsided.	true	28.61	32.86	19.802174
1365_134804_000004_000001	There had at first been exercised against M. Madeleine, in virtue of a sort of law which all those who rise must submit to, blackening and calumnies; then they grew to be nothing more than ill-nature, then merely malicious remarks, then even this entirely disappeared; respect became complete, unanimous, cordial, and towards 1821 the moment arrived when the word "Monsieur le Maire" was pronounced at M. sur M. with almost the same accent as "Monseigneur the Bishop" had been pronounced in D---- in 1815.	There had at first been exercised against m Madeleine, in virtue of a sort of law which all those who rise must submit to, blackening and calumnies; then they grew to be nothing more than ill nature, then merely malicious remarks, then even this entirely disappeared; respect became complete, unanimous, cordial, and towards eighteen twenty one the moment arrived when the word "Monsieur le Maire" was pronounced at m sur m with almost the same accent as "Monseigneur the Bishop" had been pronounced in D---- in eighteen fifteen.	false	33.23	69.79	21.150208
1365_134804_000004_000002	People came from a distance of ten leagues around to consult M. Madeleine.	People came from a distance of ten leagues around to consult m Madeleine.	false	70.13	74.35	15
1365_134804_000004_000003	He put an end to differences, he prevented lawsuits, he reconciled enemies.	He put an end to differences, he prevented lawsuits, he reconciled enemies.	true	74.72	79.69	22
1365_134804_000004_000004	Every one took him for the judge, and with good reason.	Every one took him for the judge, and with good reason.	true	79.94	82.99	20.702278
1365_134804_000004_000005	It seemed as though he had for a soul the book of the natural law.	It seemed as though he had for a soul the book of the natural law.	true	83.21	87.22	20
