14_212_000000_000000	Catherine spoke the pleasure she really felt on hearing this part of the arrangement.	Catherine spoke the pleasure she really felt on hearing this part of the arrangement.	false	0	2.52	13.923377
14_212_000001_000000	"Oh! yes," rejoined the other, "Maria is gone.	"Oh! yes," rejoined the other, "Maria is gone.	false	2.52	2.67	17
14_212_000001_000001	She was quite wild to go. She thought it would be something very fine.	She was quite wild to go. She thought it would be something very fine.	false	2.67	2.67	
14_212_000001_000002	I cannot say I admire her taste; and for my part, I was determined from the first not to go, if they pressed me ever so much."	I cannot say I admire her taste; and for my part, I was determined from the first not to go, if they pressed me ever so much."	false	2.67	2.67	
14_212_000002_000000	Catherine, a little doubtful of this, could not help answering, "I wish you could have gone too.	Catherine, a little doubtful of this, could not help answering, "I wish you could have gone too.	false	2.67	5.52	15.542276
14_212_000002_000001	It is a pity you could not all go."	It is a pity you could not all go."	false	5.52	7.2	11
14_212_000003_000000	"Thank you; but it is quite a matter of indifference to me.	"Thank you; but it is quite a matter of indifference to me.	false	7.2	10.2	16.783913
14_212_000003_000001	Indeed, I would not have gone on any account.	Indeed, I would not have gone on any account.	false	10.2	10.2	
14_212_000003_000002	I was saying so to Emily and Sophia when you overtook us."	I was saying so to Emily and Sophia when you overtook us."	false	10.2	10.2	
14_212_000004_000000	Catherine was still unconvinced; but glad that Anne should have the friendship of an Emily and a Sophia to console her, she bade her adieu without much uneasiness, and returned home, pleased that the party had not been prevented by her refusing to join it, and very heartily wishing that it might be too pleasant to allow either James or Isabella to resent her resistance any longer.	Catherine was still unconvinced; but glad that Anne should have the friendship of an Emily and a Sophia to console her, she bade her adieu without much uneasiness, and returned home, pleased that the party had not been prevented by her refusing to join it, and very heartily wishing that it might be too pleasant to allow either james or Isabella to resent her resistance any longer.	false	10.2	21.42	19.630342
14_212_000005_000000	CHAPTER 15	CHAPTER fifteen	true	21.42	22.87	17.82771
14_212_000006_000000	Early the next day, a note from Isabella, speaking peace and tenderness in every line, and entreating the immediate presence of her friend on a matter of the utmost importance, hastened Catherine, in the happiest state of confidence and curiosity, to Edgar's Buildings.	Early the next day, a note from Isabella, speaking peace and tenderness in every line, and entreating the immediate presence of her friend on a matter of the utmost importance, hastened Catherine, in the happiest state of confidence and curiosity, to Edgar's Buildings.	true	26.72	42.19	20.255419
14_212_000006_000001	The two youngest Miss Thorpes were by themselves in the parlour; and, on Anne's quitting it to call her sister, Catherine took the opportunity of asking the other for some particulars of their yesterday's party.	The two youngest Miss Thorpes were by themselves in the parlour; and, on Anne's quitting it to call her sister, Catherine took the opportunity of asking the other for some particulars of their yesterday's party.	true	43.01	55	20.608479
