1401_14358_000000_000000	Charles and his warriors went after the Saracens into Spain.	Charles and his warriors went after the Saracens into Spain.	false	0	4.35	21.623758
1401_14358_000000_000001	They took and fired Saragossa, and Marsilius was hung to the carob-tree under which he had planned his villainy with Gan; and Gan was hung and drawn and quartered in Roncesvalles, amidst the execrations of the country.	They took and fired Saragossa, and Marsilius was hung to the carob tree under which he had planned his villainy with Gan; and Gan was hung and drawn and quartered in Roncesvalles, amidst the execrations of the country.	false	4.35	19.68	20.624739
1401_14358_000001_000000	RINALDO AND BAYARD	RINALDO AND BAYARD	true	19.68	21.37	23.625687
1401_14358_000002_000000	CHARLEMAGNE was overwhelmed with grief at the loss of so many of his bravest warriors at the disaster of Roncesvalles, and bitterly reproached himself for his credulity in resigning himself so completely to the counsels of the treacherous Count Gan.	CHARLEMAGNE was overwhelmed with grief at the loss of so many of his bravest warriors at the disaster of Roncesvalles, and bitterly reproached himself for his credulity in resigning himself so completely to the counsels of the treacherous Count Gan.	true	22.1	35.62	20.713995
1401_14358_000002_000001	Yet he soon fell into a similar snare when he suffered his unworthy son, Charlot, to acquire such an influence over him, that he constantly led him into acts of cruelty and injustice that in his right mind he would have scorned to commit.	Yet he soon fell into a similar snare when he suffered his unworthy son, Charlot, to acquire such an influence over him, that he constantly led him into acts of cruelty and injustice that in his right mind he would have scorned to commit.	true	36.41	50.14	20.097713
1401_14358_000002_000002	Rinaldo and his brothers, for some slight offence to the imperious young prince, were forced to fly from Paris, and to take shelter in their castle of Montalban; for Charles had publicly said, if he could take them he would hang them all.	Rinaldo and his brothers, for some slight offence to the imperious young prince, were forced to fly from Paris, and to take shelter in their castle of Montalban; for Charles had publicly said, if he could take them he would hang them all.	true	50.69	63.85	22.47944
1401_14358_000002_000003	He sent numbers of his bravest knights to arrest them, but all without success.	He sent numbers of his bravest knights to arrest them, but all without success.	true	64.52	68.65	22.245104
1401_14358_000002_000004	Either Rinaldo foiled their efforts and sent them back, stripped of their armor and of their glory, or, after meeting and conferring with him, they came back and told the king they could not be his instruments for such a work.	Either Rinaldo foiled their efforts and sent them back, stripped of their armor and of their glory, or, after meeting and conferring with him, they came back and told the king they could not be his instruments for such a work.	false	69.2	80.23	23.336378
1401_14358_000003_000000	At last Charles himself raised a great army, and went in person to compel the paladin to submit.	At last Charles himself raised a great army, and went in person to compel the paladin to submit.	true	81.23	86.5	22.09189
1401_14358_000003_000001	He ravaged all the country round about Montalban, so that supplies of food should be cut off, and he threatened death to any who should attempt to issue forth, hoping to compel the garrison to submit for want of food.	He ravaged all the country round about Montalban, so that supplies of food should be cut off, and he threatened death to any who should attempt to issue forth, hoping to compel the garrison to submit for want of food.	false	86.96	98.77	21.07136
1401_14358_000004_000000	Rinaldo's resources had been brought so low that it seemed useless to contend any longer.	Rinaldo's resources had been brought so low that it seemed useless to contend any longer.	true	99.77	104.38	18.836641
1401_14358_000004_000001	His brothers had been taken prisoners in a skirmish, and his only hope of saving their lives was in making terms with the king.	His brothers had been taken prisoners in a skirmish, and his only hope of saving their lives was in making terms with the king.	true	104.75	110.95	20.121109
1401_14358_000005_000000	So he sent a messenger, offering to yield himself and his castle if the king would spare his and his brothers' lives.	So he sent a messenger, offering to yield himself and his castle if the king would spare his and his brothers' lives.	true	112.16	118.15	21.550617
1401_14358_000005_000001	While the messenger was gone Rinaldo, impatient to learn what tidings he might bring, rode out to meet him.	While the messenger was gone Rinaldo, impatient to learn what tidings he might bring, rode out to meet him.	true	118.76	124.75	21.711157
1401_14358_000005_000002	When he had ridden as far as he thought prudent he stopped in a wood, and alighting, tied Bayard to a tree.	When he had ridden as far as he thought prudent he stopped in a wood, and alighting, tied Bayard to a tree.	false	125.51	131.47	20.812248
1401_14358_000005_000003	Then he sat down, and, as he waited, he fell asleep.	Then he sat down, and, as he waited, he fell asleep.	true	132.14	135.21	21.008455
1401_14358_000005_000004	Bayard meanwhile got loose, and strayed away where the grass tempted him.	Bayard meanwhile got loose, and strayed away where the grass tempted him.	false	135.21	139.57	22.932222
1401_14358_000005_000005	Just then came along some country people, who said to one another, "Look, is not that the great horse Bayard that Rinaldo rides?	Just then came along some country people, who said to one another, "Look, is not that the great horse Bayard that Rinaldo rides?	true	140.24	147.55	22.275322
1401_14358_000005_000006	Let us take him, and carry him to King Charles, who will pay us well for our trouble." They did so, and the king was delighted with his prize, and gave them a present that made them rich to their dying day.	Let us take him, and carry him to King Charles, who will pay us well for our trouble." They did so, and the king was delighted with his prize, and gave them a present that made them rich to their dying day.	true	147.71	158.5	21.37813
1401_14358_000006_000000	When Rinaldo woke he looked round for his horse, and, finding him not, he groaned, and said, "O unlucky hour that I was born! how fortune persecutes me!" So desperate was he that he took off his armor and his spurs, saying, "What need have I of these, since Bayard is lost?" While he stood thus lamenting, a man came from the thicket, seemingly bent with age.	When Rinaldo woke he looked round for his horse, and, finding him not, he groaned, and said, "O unlucky hour that I was born! how fortune persecutes me!" So desperate was he that he took off his armor and his spurs, saying, "What need have I of these, since Bayard is lost?" While he stood thus lamenting, a man came from the thicket, seemingly bent with age.	true	159.29	181.27	21.647625
1401_14358_000006_000001	He had a long beard hanging over his breast, and eyebrows that almost covered his eyes.	He had a long beard hanging over his breast, and eyebrows that almost covered his eyes.	true	181.55	186.55	21.486025
1401_14358_000006_000002	He bade Rinaldo good day.	He bade Rinaldo good day.	true	187.07	188.74	21.476969
1401_14358_000006_000003	Rinaldo thanked him, and said, "A good day I have hardly had since I was born." Then said the old man, "Signor Rinaldo, you must not despair, for God will make all things turn to the best." Rinaldo answered, "My trouble is too heavy for me to hope relief.	Rinaldo thanked him, and said, "A good day I have hardly had since I was born." Then said the old man, "Signor Rinaldo, you must not despair, for God will make all things turn to the best." Rinaldo answered, "My trouble is too heavy for me to hope relief.	true	189.05	205.06	22.523233
1401_14358_000006_000004	The king has taken my brothers, and means to put them to death.	The king has taken my brothers, and means to put them to death.	true	205.07	208.12	21.945898
