1425_139290_000000_000000	God speed the day!	God speed the day!	false	0	1.05	-20
1425_139290_000001_000000	_Till then, and ever,_ Yours truly, WENDELL PHILLIPS	underscore Till then, and ever,underscore Yours truly, WENDELL PHILLIPS	false	1.05	3.75	18
1425_139290_000002_000000	FREDERICK DOUGLASS.	FREDERICK DOUGLASS.	false	3.75	4.29	28
1425_139290_000003_000000	Frederick Douglass was born in slavery as Frederick Augustus Washington Bailey near Easton in Talbot County, Maryland.	Frederick Douglass was born in slavery as Frederick Augustus Washington Bailey near Easton in Talbot County, Maryland.	false	4.29	5.46	11
1425_139290_000003_000001	He was not sure of the exact year of his birth, but he knew that it was 1817 or 1818.	He was not sure of the exact year of his birth, but he knew that it was eighteen seventeen or eighteen eighteen.	false	5.46	8.46	20.168617
1425_139290_000003_000002	As a young boy he was sent to Baltimore, to be a house servant, where he learned to read and write, with the assistance of his master's wife.	As a young boy he was sent to Baltimore, to be a house servant, where he learned to read and write, with the assistance of his master's wife.	false	8.46	9.09	13
1425_139290_000003_000003	In 1838 he escaped from slavery and went to New York City, where he married Anna Murray, a free colored woman whom he had met in Baltimore.	In eighteen thirty eight he escaped from slavery and went to New York City, where he married Anna Murray, a free colored woman whom he had met in Baltimore.	false	9.09	9.69	21.80827
1425_139290_000003_000004	Soon thereafter he changed his name to Frederick Douglass.	Soon thereafter he changed his name to Frederick Douglass.	false	9.69	9.9	13
1425_139290_000003_000005	In 1841 he addressed a convention of the Massachusetts Anti-Slavery Society in Nantucket and so greatly impressed the group that they immediately employed him as an agent.	In eighteen forty one he addressed a convention of the Massachusetts Anti Slavery Society in Nantucket and so greatly impressed the group that they immediately employed him as an agent.	false	9.9	12.42	20.569838
1425_139290_000003_000006	He was such an impressive orator that numerous persons doubted if he had ever been a slave, so he wrote _Narrative Of The Life Of Frederick Douglass_.	He was such an impressive orator that numerous persons doubted if he had ever been a slave, so he wrote underscore Narrative Of The Life Of Frederick Douglass underscore.	false	12.42	16.02	22.144
1425_139290_000003_000007	During the Civil War he assisted in the recruiting of colored men for the 54th and 55th Massachusetts Regiments and consistently argued for the emancipation of slaves.	During the Civil War he assisted in the recruiting of colored men for the fifty fourth and fifty fifth Massachusetts Regiments and consistently argued for the emancipation of slaves.	false	16.02	16.23	-20
1425_139290_000003_000008	After the war he was active in securing and protecting the rights of the freemen.	After the war he was active in securing and protecting the rights of the freemen.	false	16.23	16.32	-20
1425_139290_000003_000009	In his later years, at different times, he was secretary of the Santo Domingo Commission, marshall and recorder of deeds of the District of Columbia, and United States Minister to Haiti.	In his later years, at different times, he was secretary of the Santo Domingo Commission, marshall and recorder of deeds of the District of Columbia, and United States Minister to Haiti.	false	16.32	16.53	-20
1425_139290_000003_000010	His other autobiographical works are _My Bondage And My Freedom_ and _Life And Times Of Frederick Douglass_, published in 1855 and 1881 respectively.	His other autobiographical works are underscore My Bondage And My Freedom underscore and underscore Life And Times Of Frederick Douglass underscore, published in eighteen fifty five and eighteen eighty one respectively.	false	16.53	18.21	16.565659
1425_139290_000003_000011	He died in 1895.	He died in eighteen ninety five.	false	18.21	18.45	-20
1425_139290_000004_000000	CHAPTER I	CHAPTER one	true	18.45	19.42	23.283613
1425_139290_000005_000000	I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.	I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.	true	20.48	26.83	17
1425_139290_000005_000001	I have no accurate knowledge of my age, never having seen any authentic record containing it.	I have no accurate knowledge of my age, never having seen any authentic record containing it.	true	27.08	32.77	17
1425_139290_000005_000002	By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.	By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.	true	33.11	43.36	15
1425_139290_000005_000003	I do not remember to have ever met a slave who could tell of his birthday.	I do not remember to have ever met a slave who could tell of his birthday.	true	44.18	48.07	18
1425_139290_000005_000004	They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.	They seldom come nearer to it than planting time, harvest time, cherry time, spring time, or fall time.	true	48.44	55.54	20
1425_139290_000005_000005	A want of information concerning my own was a source of unhappiness to me even during childhood.	A want of information concerning my own was a source of unhappiness to me even during childhood.	true	56.27	61.87	13
1425_139290_000005_000006	The white children could tell their ages.	The white children could tell their ages.	true	62.33	64.42	19
1425_139290_000005_000007	I could not tell why I ought to be deprived of the same privilege.	I could not tell why I ought to be deprived of the same privilege.	true	64.58	68.11	19
1425_139290_000005_000008	I was not allowed to make any inquiries of my master concerning it.	I was not allowed to make any inquiries of my master concerning it.	true	68.42	72.43	20
1425_139290_000005_000009	He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.	He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.	true	72.59	79.21	18
1425_139290_000005_000010	The nearest estimate I can give makes me now between twenty-seven and twenty-eight years of age.	The nearest estimate I can give makes me now between twenty seven and twenty eight years of age.	true	79.73	85.27	15
1425_139290_000005_000011	I come to this, from hearing my master say, some time during 1835, I was about seventeen years old.	I come to this, from hearing my master say, some time during eighteen thirty five, I was about seventeen years old.	true	85.79	92.74	18
1425_139290_000006_000000	My mother was named Harriet Bailey.	My mother was named Harriet Bailey.	true	93.44	95.56	19
1425_139290_000006_000001	She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.	She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.	true	95.81	100.51	22.520329
1425_139290_000006_000002	My mother was of a darker complexion than either my grandmother or grandfather.	My mother was of a darker complexion than either my grandmother or grandfather.	false	100.73	105.01	21
1425_139290_000007_000000	My father was a white man.	My father was a white man.	true	105.5	107.02	18.96748
1425_139290_000007_000001	He was admitted to be such by all I ever heard speak of my parentage.	He was admitted to be such by all I ever heard speak of my parentage.	true	107.33	111.52	20
1425_139290_000007_000002	The opinion was also whispered that my master was my father; but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.	The opinion was also whispered that my master was my father; but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.	true	111.86	120.79	20.410284
1425_139290_000007_000003	My mother and I were separated when I was but an infant--before I knew her as my mother.	My mother and I were separated when I was but an infant-before I knew her as my mother.	true	121.46	126.82	17.750448
1425_139290_000007_000004	It is a common custom, in the part of Maryland from which I ran away, to part children from their mothers at a very early age.	It is a common custom, in the part of Maryland from which I ran away, to part children from their mothers at a very early age.	false	127.16	134.14	15
1425_139290_000007_000005	Frequently, before the child has reached its twelfth month, its mother is taken from it, and hired out on some farm a considerable distance off, and the child is placed under the care of an old woman, too old for field labor.	Frequently, before the child has reached its twelfth month, its mother is taken from it, and hired out on some farm a considerable distance off, and the child is placed under the care of an old woman, too old for field labor.	false	134.33	146.95	19
1425_139290_000007_000006	For what this separation is done, I do not know, unless it be to hinder the development of the child's affection toward its mother, and to blunt and destroy the natural affection of the mother for the child.	For what this separation is done, I do not know, unless it be to hinder the development of the child's affection toward its mother, and to blunt and destroy the natural affection of the mother for the child.	true	147.44	158.47	19
1425_139290_000007_000007	This is the inevitable result.	This is the inevitable result.	true	158.72	160.66	19
1425_139290_000008_000000	I never saw my mother, to know her as such, more than four or five times in my life; and each of these times was very short in duration, and at night.	I never saw my mother, to know her as such, more than four or five times in my life; and each of these times was very short in duration, and at night.	true	161.27	170.35	18
1425_139290_000008_000001	She was hired by a Mr. Stewart, who lived about twelve miles from my home.	She was hired by a mr Stewart, who lived about twelve miles from my home.	true	170.9	175.33	20.540817
1425_139290_000008_000002	She made her journeys to see me in the night, travelling the whole distance on foot, after the performance of her day's work.	She made her journeys to see me in the night, travelling the whole distance on foot, after the performance of her day's work.	true	175.79	182.655	19.719818
1425_139290_000008_000003	She was a field hand, and a whipping is the penalty of not being in the field at sunrise, unless a slave has special permission from his or her master to the contrary--a permission which they seldom get, and one that gives to him that gives it the proud name of being a kind master.	She was a field hand, and a whipping is the penalty of not being in the field at sunrise, unless a slave has special permission from his or her master to the contrary-a permission which they seldom get, and one that gives to him that gives it the proud name of being a kind master.	true	182.655	197.59	18
1425_139290_000008_000004	I do not recollect of ever seeing my mother by the light of day.	I do not recollect of ever seeing my mother by the light of day.	true	197.96	201.37	17
1425_139290_000008_000005	She was with me in the night.	She was with me in the night.	true	201.8	203.44	20.266949
1425_139290_000008_000006	She would lie down with me, and get me to sleep, but long before I waked she was gone.	She would lie down with me, and get me to sleep, but long before I waked she was gone.	true	203.57	208.75	19.90865
1425_139290_000008_000007	Very little communication ever took place between us.	Very little communication ever took place between us.	true	209.21	212.29	17
1425_139290_000008_000008	Death soon ended what little we could have while she lived, and with it her hardships and suffering.	Death soon ended what little we could have while she lived, and with it her hardships and suffering.	true	212.48	218.05	17
1425_139290_000008_000009	She died when I was about seven years old, on one of my master's farms, near Lee's Mill.	She died when I was about seven years old, on one of my master's farms, near Lee's Mill.	true	218.45	223.87	18.417038
1425_139290_000008_000010	I was not allowed to be present during her illness, at her death, or burial.	I was not allowed to be present during her illness, at her death, or burial.	true	224.24	228.4	20
1425_139290_000008_000011	She was gone long before I knew any thing about it.	She was gone long before I knew any thing about it.	true	228.77	231.64	20
1425_139290_000008_000012	Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care, I received the tidings of her death with much the same emotions I should have probably felt at the death of a stranger.	Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care, I received the tidings of her death with much the same emotions I should have probably felt at the death of a stranger.	true	231.98	244.45	19
1425_139290_000009_000000	Called thus suddenly away, she left me without the slightest intimation of who my father was.	Called thus suddenly away, she left me without the slightest intimation of who my father was.	true	245.21	250.33	13
1425_139290_000009_000001	The whisper that my master was my father, may or may not be true; and, true or false, it is of but little consequence to my purpose whilst the fact remains, in all its glaring odiousness, that slaveholders have ordained, and by law established, that the children of slave women shall in all cases follow the condition of their mothers; and this is done too obviously to administer to their own lusts, and make a gratification of their wicked desires profitable as well as pleasurable; for by this cunning arrangement, the slaveholder, in cases not a few, sustains to his slaves the double relation of master and father.	The whisper that my master was my father, may or may not be true; and, true or false, it is of but little consequence to my purpose whilst the fact remains, in all its glaring odiousness, that slaveholders have ordained, and by law established, that the children of slave women shall in all cases follow the condition of their mothers; and this is done too obviously to administer to their own lusts, and make a gratification of their wicked desires profitable as well as pleasurable; for by this cunning arrangement, the slaveholder, in cases not a few, sustains to his slaves the double relation of master and father.	false	250.85	288.37	18
1425_139290_000010_000000	I know of such cases; and it is worthy of remark that such slaves invariably suffer greater hardships, and have more to contend with, than others.	I know of such cases; and it is worthy of remark that such slaves invariably suffer greater hardships, and have more to contend with, than others.	true	288.83	297.49	16
1425_139290_000010_000001	They are, in the first place, a constant offence to their mistress.	They are, in the first place, a constant offence to their mistress.	true	297.89	302.29	19.226688
1425_139290_000010_000002	She is ever disposed to find fault with them; they can seldom do any thing to please her; she is never better pleased than when she sees them under the lash, especially when she suspects her husband of showing to his mulatto children favors which he withholds from his black slaves.	She is ever disposed to find fault with them; they can seldom do any thing to please her; she is never better pleased than when she sees them under the lash, especially when she suspects her husband of showing to his mulatto children favors which he withholds from his black slaves.	false	302.45	319.06	17
1425_139290_000010_000003	The master is frequently compelled to sell this class of his slaves, out of deference to the feelings of his white wife; and, cruel as the deed may strike any one to be, for a man to sell his own children to human flesh-mongers, it is often the dictate of humanity for him to do so; for, unless he does this, he must not only whip them himself, but must stand by and see one white son tie up his brother, of but few shades darker complexion than himself, and ply the gory lash to his naked back; and if he lisp one word of disapproval, it is set down to his parental partiality, and only makes a bad matter worse, both for himself and the slave whom he would protect and defend.	The master is frequently compelled to sell this class of his slaves, out of deference to the feelings of his white wife; and, cruel as the deed may strike any one to be, for a man to sell his own children to human flesh mongers, it is often the dictate of humanity for him to do so; for, unless he does this, he must not only whip them himself, but must stand by and see one white son tie up his brother, of but few shades darker complexion than himself, and ply the gory lash to his naked back; and if he lisp one word of disapproval, it is set down to his parental partiality, and only makes a bad matter worse, both for himself and the slave whom he would protect and defend.	true	319.16	362.77	20
1425_139290_000011_000000	Every year brings with it multitudes of this class of slaves.	Every year brings with it multitudes of this class of slaves.	true	363.59	367.24	18
1425_139290_000011_000001	It was doubtless in consequence of a knowledge of this fact, that one great statesman of the south predicted the downfall of slavery by the inevitable laws of population.	It was doubtless in consequence of a knowledge of this fact, that one great statesman of the south predicted the downfall of slavery by the inevitable laws of population.	true	367.31	377.17	19
