1425_139297_000000_000000	CHAPTER VIII	CHAPTER eight	true	20.76	21.73	22.011929
1425_139297_000001_000000	In a very short time after I went to live at Baltimore, my old master's youngest son Richard died; and in about three years and six months after his death, my old master, Captain Anthony, died, leaving only his son, Andrew, and daughter, Lucretia, to share his estate.	In a very short time after I went to live at Baltimore, my old master's youngest son Richard died; and in about three years and six months after his death, my old master, Captain Anthony, died, leaving only his son, Andrew, and daughter, Lucretia, to share his estate.	true	22.82	40.3	19.882326
1425_139297_000001_000001	He died while on a visit to see his daughter at Hillsborough.	He died while on a visit to see his daughter at Hillsborough.	true	41.63	45.07	21
1425_139297_000001_000002	Cut off thus unexpectedly, he left no will as to the disposal of his property.	Cut off thus unexpectedly, he left no will as to the disposal of his property.	true	45.2	50.62	20
1425_139297_000001_000003	It was therefore necessary to have a valuation of the property, that it might be equally divided between Mrs. Lucretia and Master Andrew.	It was therefore necessary to have a valuation of the property, that it might be equally divided between mrs Lucretia and Master Andrew.	true	50.84	59.38	19
1425_139297_000001_000004	I was immediately sent for, to be valued with the other property.	I was immediately sent for, to be valued with the other property.	true	60.08	63.64	22
1425_139297_000001_000005	Here again my feelings rose up in detestation of slavery.	Here again my feelings rose up in detestation of slavery.	true	64.22	67.75	15
1425_139297_000001_000006	I had now a new conception of my degraded condition.	I had now a new conception of my degraded condition.	true	68.03	71.47	17
1425_139297_000001_000007	Prior to this, I had become, if not insensible to my lot, at least partly so.	Prior to this, I had become, if not insensible to my lot, at least partly so.	true	71.81	77.26	21.776365
1425_139297_000001_000008	I left Baltimore with a young heart overborne with sadness, and a soul full of apprehension.	I left Baltimore with a young heart overborne with sadness, and a soul full of apprehension.	true	77.78	83.35	17
1425_139297_000001_000009	I took passage with Captain Rowe, in the schooner Wild Cat, and, after a sail of about twenty-four hours, I found myself near the place of my birth.	I took passage with Captain Rowe, in the schooner Wild Cat, and, after a sail of about twenty four hours, I found myself near the place of my birth.	true	83.66	92.71	20.79535
1425_139297_000001_000010	I had now been absent from it almost, if not quite, five years.	I had now been absent from it almost, if not quite, five years.	true	93.11	97.15	18
1425_139297_000001_000011	I, however, remembered the place very well.	I, however, remembered the place very well.	true	97.7	100.93	19.781467
