1445_139404_000001_000000	AUTHOR'S NOTE TO "THOSE EXTRAORDINARY TWINS"	AUTHOR'S NOTE TO "THOSE EXTRAORDINARY TWINS"
1445_139404_000002_000006	No--that is a thought which comes later; in the beginning he is only proposing to tell a little tale, a very little tale, a six-page tale.	No-that is a thought which comes later; in the beginning he is only proposing to tell a little tale, a very little tale, a six page tale.
1445_139404_000003_000002	Much the same thing happened with PUDD'NHEAD WILSON.	Much the same thing happened with PUDD'NHEAD WILSON.
1445_139404_000003_000003	I had a sufficiently hard time with that tale, because it changed itself from a farce to a tragedy while I was going along with it--a most embarrassing circumstance.	I had a sufficiently hard time with that tale, because it changed itself from a farce to a tragedy while I was going along with it-a most embarrassing circumstance.
1445_139404_000003_000006	It took me months to make that discovery.	It took me months to make that discovery.
1445_139404_000003_000007	I carried the manuscript back and forth across the Atlantic two or three times, and read it and studied over it on shipboard; and at last I saw where the difficulty lay.	I carried the manuscript back and forth across the Atlantic two or three times, and read it and studied over it on shipboard; and at last I saw where the difficulty lay.
1445_139404_000003_000008	I had no further trouble.	I had no further trouble.
1445_139404_000003_000009	I pulled one of the stories out by the roots, and left the other--a kind of literary Caesarean operation.	I pulled one of the stories out by the roots, and left the other-a kind of literary Caesarean operation.
1445_139404_000005_000000	Originally the story was called THOSE EXTRAORDINARY TWINS.	Originally the story was called THOSE EXTRAORDINARY TWINS.
1445_139404_000005_000001	I meant to make it very short.	I meant to make it very short.
1445_139404_000005_000005	Among them came a stranger named Pudd'nhead Wilson, and a woman named Roxana; and presently the doings of these two pushed up into prominence a young fellow named Tom Driscoll, whose proper place was away in the obscure background.	Among them came a stranger named Pudd'nhead Wilson, and a woman named Roxana; and presently the doings of these two pushed up into prominence a young fellow named Tom Driscoll, whose proper place was away in the obscure background.
1445_139404_000006_000001	I hunted about and found them--found them stranded, idle, forgotten, and permanently useless.	I hunted about and found them-found them stranded, idle, forgotten, and permanently useless.
1445_139404_000007_000000	I didn't know what to do with her.	I didn't know what to do with her.
1445_139404_000007_000004	I thought and thought and studied and studied; but I arrived at nothing.	I thought and thought and studied and studied; but I arrived at nothing.
1445_139404_000007_000005	I finally saw plainly that there was really no way but one--I must simply give her the grand bounce.	I finally saw plainly that there was really no way but one-I must simply give her the grand bounce.
1445_139404_000007_000006	It grieved me to do it, for after associating with her so much I had come to kind of like her after a fashion, notwithstanding she was such an ass and said such stupid, irritating things and was so nauseatingly sentimental.	It grieved me to do it, for after associating with her so much I had come to kind of like her after a fashion, notwithstanding she was such an ass and said such stupid, irritating things and was so nauseatingly sentimental.
1445_139404_000007_000008	So at the top of Chapter XVII I put a "Calendar" remark concerning July the Fourth, and began the chapter with this statistic:	So at the top of Chapter seventeen I put a "Calendar" remark concerning July the Fourth, and began the chapter with this statistic:
1445_139404_000009_000000	It seemed abrupt, but I thought maybe the reader wouldn't notice it, because I changed the subject right away to something else.	It seemed abrupt, but I thought maybe the reader wouldn't notice it, because I changed the subject right away to something else.
1445_139404_000010_000000	Still the story was unsatisfactory.	Still the story was unsatisfactory.
1445_139404_000010_000002	There was a radical defect somewhere, and I must search it out and cure it.	There was a radical defect somewhere, and I must search it out and cure it.
1445_139404_000011_000004	Also I took the twins apart and made two separate men of them.	Also I took the twins apart and made two separate men of them.
