1460_138290_000000_000000	When the love-led man had ceased from his labours, Bathsheba came and looked him in the face.	When the love led man had ceased from his labours, Bathsheba came and looked him in the face.	false	1.29	8.1	22
1460_138290_000001_000000	"Gabriel, will you stay on with me?" she said, smiling winningly, and not troubling to bring her lips quite together again at the end, because there was going to be another smile soon.	"Gabriel, will you stay on with me?" she said, smiling winningly, and not troubling to bring her lips quite together again at the end, because there was going to be another smile soon.	false	8.1	15.84	23.725382
1460_138290_000002_000000	"I will," said Gabriel.	"I will," said Gabriel.	false	15.84	17.04	11.653089
1460_138290_000003_000000	And she smiled on him again.	And she smiled on him again.	false	17.04	18.84	19.918568
1460_138290_000004_000000	CHAPTER XXII	CHAPTER twenty two	false	18.84	20.04	19
1460_138290_000005_000000	THE GREAT BARN AND THE SHEEP-SHEARERS	THE GREAT BARN AND THE SHEEP SHEARERS	true	20.04	22.18	16
1460_138290_000006_000000	Men thin away to insignificance and oblivion quite as often by not making the most of good spirits when they have them as by lacking good spirits when they are indispensable.	Men thin away to insignificance and oblivion quite as often by not making the most of good spirits when they have them as by lacking good spirits when they are indispensable.	true	23.24	33.55	18
1460_138290_000006_000001	Gabriel lately, for the first time since his prostration by misfortune, had been independent in thought and vigorous in action to a marked extent--conditions which, powerless without an opportunity as an opportunity without them is barren, would have given him a sure lift upwards when the favourable conjunction should have occurred.	Gabriel lately, for the first time since his prostration by misfortune, had been independent in thought and vigorous in action to a marked extent-conditions which, powerless without an opportunity as an opportunity without them is barren, would have given him a sure lift upwards when the favourable conjunction should have occurred.	true	33.98	52.3	19
1460_138290_000006_000002	But this incurable loitering beside Bathsheba Everdene stole his time ruinously.	But this incurable loitering beside Bathsheba Everdene stole his time ruinously.	true	52.64	57.76	15
1460_138290_000006_000003	The spring tides were going by without floating him off, and the neap might soon come which could not.	The spring tides were going by without floating him off, and the neap might soon come which could not.	true	58.01	62.83	17
1460_138290_000007_000000	It was the first day of June, and the sheep-shearing season culminated, the landscape, even to the leanest pasture, being all health and colour.	It was the first day of June, and the sheep shearing season culminated, the landscape, even to the leanest pasture, being all health and colour.	true	63.71	71.35	16
1460_138290_000007_000001	Every green was young, every pore was open, and every stalk was swollen with racing currents of juice. God was palpably present in the country, and the devil had gone with the world to town.	Every green was young, every pore was open, and every stalk was swollen with racing currents of juice. God was palpably present in the country, and the devil had gone with the world to town.	true	71.75	83.74	21
