1678_142279_000002_000000	CHAPTER V	CHAPTER five
1678_142279_000005_000000	Margaret made a good listener to all her mother's little plans for adding some small comforts to the lot of the poorer parishioners.	Margaret made a good listener to all her mother's little plans for adding some small comforts to the lot of the poorer parishioners.
1678_142279_000005_000001	She could not help listening, though each new project was a stab to her heart.	She could not help listening, though each new project was a stab to her heart.
1678_142279_000005_000002	By the time the frost had set in, they should be far away from Helstone.	By the time the frost had set in, they should be far away from Helstone.
1678_142279_000005_000003	Old Simon's rheumatism might be bad and his eyesight worse; there would be no one to go and read to him, and comfort him with little porringers of broth and good red flannel: or if there was, it would be a stranger, and the old man would watch in vain for her.	Old Simon's rheumatism might be bad and his eyesight worse; there would be no one to go and read to him, and comfort him with little porringers of broth and good red flannel: or if there was, it would be a stranger, and the old man would watch in vain for her.
1678_142279_000005_000004	Mary Domville's little crippled boy would crawl in vain to the door and look for her coming through the forest.	Mary Domville's little crippled boy would crawl in vain to the door and look for her coming through the forest.
1678_142279_000005_000005	These poor friends would never understand why she had forsaken them; and there were many others besides.	These poor friends would never understand why she had forsaken them; and there were many others besides.
1678_142279_000005_000006	'Papa has always spent the income he derived from his living in the parish.	'Papa has always spent the income he derived from his living in the parish.
1678_142279_000007_000000	'Do you feel ill, my darling?' asked Mrs. Hale, anxiously, misunderstanding Margaret's hint of the uncertainty of their stay at Helstone. 'You look pale and tired.	'Do you feel ill, my darling?' asked mrs Hale, anxiously, misunderstanding Margaret's hint of the uncertainty of their stay at Helstone. 'You look pale and tired.
1678_142279_000008_000001	It smells of the freshest, purest fragrance, after the smokiness of Harley Street.	It smells of the freshest, purest fragrance, after the smokiness of Harley Street.
1678_142279_000008_000002	But I am tired: it surely must be near bedtime.'	But I am tired: it surely must be near bedtime.'
1678_142279_000009_000000	'Not far off--it is half-past nine.	'Not far off-it is half past nine.
1678_142279_000009_000001	You had better go to bed at once dear. Ask Dixon for some gruel.	You had better go to bed at once dear. Ask Dixon for some gruel.
1678_142279_000009_000002	I will come and see you as soon as you are in bed.	I will come and see you as soon as you are in bed.
1678_142279_000011_000000	Margaret went upstairs.	Margaret went upstairs.
1678_142279_000011_000005	That morning when she had looked out, her heart had danced at seeing the bright clear lights on the church tower, which foretold a fine and sunny day.	That morning when she had looked out, her heart had danced at seeing the bright clear lights on the church tower, which foretold a fine and sunny day.
1678_142279_000011_000006	This evening--sixteen hours at most had past by--she sat down, too full of sorrow to cry, but with a dull cold pain, which seemed to have pressed the youth and buoyancy out of her heart, never to return.	This evening-sixteen hours at most had past by-she sat down, too full of sorrow to cry, but with a dull cold pain, which seemed to have pressed the youth and buoyancy out of her heart, never to return.
1678_142279_000011_000007	Mr. Henry Lennox's visit--his offer--was like a dream, a thing beside her actual life.	mr Henry Lennox's visit-his offer-was like a dream, a thing beside her actual life.
1678_142279_000012_000000	She looked out upon the dark-gray lines of the church tower, square and straight in the centre of the view, cutting against the deep blue transparent depths beyond, into which she gazed, and felt that she might gaze for ever, seeing at every moment some farther distance, and yet no sign of God!	She looked out upon the dark gray lines of the church tower, square and straight in the centre of the view, cutting against the deep blue transparent depths beyond, into which she gazed, and felt that she might gaze for ever, seeing at every moment some farther distance, and yet no sign of God!
1678_142279_000012_000003	He came to her and touched her shoulder before she was aware that he was there.	He came to her and touched her shoulder before she was aware that he was there.
1678_142279_000013_000000	'Margaret, I heard you were up.	'Margaret, I heard you were up.
1678_142279_000013_000001	I could not help coming in to ask you to pray with me--to say the Lord's Prayer; that will do good to both of us.'	I could not help coming in to ask you to pray with me-to say the Lord's Prayer; that will do good to both of us.'
1678_142279_000014_000000	Mr. Hale and Margaret knelt by the window-seat--he looking up, she bowed down in humble shame.	mr Hale and Margaret knelt by the window seat-he looking up, she bowed down in humble shame.
1678_142279_000014_000001	God was there, close around them, hearing her father's whispered words.	God was there, close around them, hearing her father's whispered words.
1678_142279_000014_000003	She spoke not a word, but stole to bed after her father had left her, like a child ashamed of its fault.	She spoke not a word, but stole to bed after her father had left her, like a child ashamed of its fault.
1678_142279_000014_000004	If the world was full of perplexing problems she would trust, and only ask to see the one step needful for the hour.	If the world was full of perplexing problems she would trust, and only ask to see the one step needful for the hour.
1678_142279_000014_000005	Mr. Lennox--his visit, his proposal--the remembrance of which had been so rudely pushed aside by the subsequent events of the day--haunted her dreams that night.	mr Lennox-his visit, his proposal-the remembrance of which had been so rudely pushed aside by the subsequent events of the day-haunted her dreams that night.
1678_142279_000014_000006	He was climbing up some tree of fabulous height to reach the branch whereon was slung her bonnet: he was falling, and she was struggling to save him, but held back by some invisible powerful hand.	He was climbing up some tree of fabulous height to reach the branch whereon was slung her bonnet: he was falling, and she was struggling to save him, but held back by some invisible powerful hand.
1678_142279_000014_000007	He was dead.	He was dead.
1678_142279_000014_000008	And yet, with a shifting of the scene, she was once more in the Harley Street drawing-room, talking to him as of old, and still with a consciousness all the time that she had seen him killed by that terrible fall.	And yet, with a shifting of the scene, she was once more in the Harley Street drawing room, talking to him as of old, and still with a consciousness all the time that she had seen him killed by that terrible fall.
1678_142279_000015_000000	Miserable, unresting night!	Miserable, unresting night!
1678_142279_000015_000001	Ill preparation for the coming day!	Ill preparation for the coming day!
1678_142279_000015_000002	She awoke with a start, unrefreshed, and conscious of some reality worse even than her feverish dreams.	She awoke with a start, unrefreshed, and conscious of some reality worse even than her feverish dreams.
1678_142279_000015_000003	It all came back upon her; not merely the sorrow, but the terrible discord in the sorrow.	It all came back upon her; not merely the sorrow, but the terrible discord in the sorrow.
1678_142279_000015_000004	Where, to what distance apart, had her father wandered, led by doubts which were to her temptations of the Evil One?	Where, to what distance apart, had her father wandered, led by doubts which were to her temptations of the Evil One?
1678_142279_000016_000001	She talked on, planning village kindnesses, unheeding the silence of her husband and the monosyllabic answers of Margaret. Before the things were cleared away, Mr. Hale got up; he leaned one hand on the table, as if to support himself:	She talked on, planning village kindnesses, unheeding the silence of her husband and the monosyllabic answers of Margaret. Before the things were cleared away, mr Hale got up; he leaned one hand on the table, as if to support himself:
1678_142279_000017_000001	I am going to Bracy Common, and will ask Farmer Dobson to give me something for dinner.	I am going to Bracy Common, and will ask Farmer Dobson to give me something for dinner.
1678_142279_000017_000002	I shall be back to tea at seven.' He did not look at either of them, but Margaret knew what he meant.	I shall be back to tea at seven.' He did not look at either of them, but Margaret knew what he meant.
1678_142279_000017_000004	Mr. Hale would have delayed making it till half-past six, but Margaret was of different stuff.	mr Hale would have delayed making it till half past six, but Margaret was of different stuff.
1678_142279_000017_000005	She could not bear the impending weight on her mind all the day long: better get the worst over; the day would be too short to comfort her mother.	She could not bear the impending weight on her mind all the day long: better get the worst over; the day would be too short to comfort her mother.
1678_142279_000017_000006	But while she stood by the window, thinking how to begin, and waiting for the servant to have left the room, her mother had gone up-stairs to put on her things to go to the school.	But while she stood by the window, thinking how to begin, and waiting for the servant to have left the room, her mother had gone up stairs to put on her things to go to the school.
1678_142279_000017_000007	She came down ready equipped, in a brisker mood than usual.	She came down ready equipped, in a brisker mood than usual.
1678_142279_000018_000000	'Mother, come round the garden with me this morning; just one turn,' said Margaret, putting her arm round Mrs. Hale's waist.	'Mother, come round the garden with me this morning; just one turn,' said Margaret, putting her arm round mrs Hale's waist.
1678_142279_000019_000000	They passed through the open window.	They passed through the open window.
1678_142279_000019_000001	Mrs. Hale spoke--said something--Margaret could not tell what.	mrs Hale spoke-said something-Margaret could not tell what.
1678_142279_000019_000002	Her eye caught on a bee entering a deep-belled flower: when that bee flew forth with his spoil she would begin--that should be the sign.	Her eye caught on a bee entering a deep belled flower: when that bee flew forth with his spoil she would begin-that should be the sign.
1678_142279_000019_000003	Out he came.	Out he came.
1678_142279_000020_000000	'Mamma!	'Mamma!
1678_142279_000020_000002	'He's going to leave the Church, and live in Milton-Northern.' There were the three hard facts hardly spoken.	'He's going to leave the Church, and live in Milton Northern.' There were the three hard facts hardly spoken.
1678_142279_000022_000000	'Papa himself,' said Margaret, longing to say something gentle and consoling, but literally not knowing how.	'Papa himself,' said Margaret, longing to say something gentle and consoling, but literally not knowing how.
1678_142279_000022_000001	They were close to a garden-bench.	They were close to a garden bench.
1678_142279_000024_000001	Papa has written to the bishop, saying that he has such doubts that he cannot conscientiously remain a priest of the Church of England, and that he must give up Helstone.	Papa has written to the bishop, saying that he has such doubts that he cannot conscientiously remain a priest of the Church of England, and that he must give up Helstone.
1678_142279_000024_000002	He has also consulted Mr. Bell--Frederick's godfather, you know, mamma; and it is arranged that we go to live in Milton-Northern.' Mrs. Hale looked up in Margaret's face all the time she was speaking these words: the shadow on her countenance told that she, at least, believed in the truth of what she said.	He has also consulted mr Bell-Frederick's godfather, you know, mamma; and it is arranged that we go to live in Milton Northern.' mrs Hale looked up in Margaret's face all the time she was speaking these words: the shadow on her countenance told that she, at least, believed in the truth of what she said.
1678_142279_000025_000001	'He would surely have told me before it came to this.'	'He would surely have told me before it came to this.'
1678_142279_000026_000000	It came strongly upon Margaret's mind that her mother ought to have been told: that whatever her faults of discontent and repining might have been, it was an error in her father to have left her to learn his change of opinion, and his approaching change of life, from her better-informed child.	It came strongly upon Margaret's mind that her mother ought to have been told: that whatever her faults of discontent and repining might have been, it was an error in her father to have left her to learn his change of opinion, and his approaching change of life, from her better informed child.
1678_142279_000027_000000	'Dear, darling mamma! we were so afraid of giving you pain.	'Dear, darling mamma! we were so afraid of giving you pain.
1678_142279_000028_000000	'When did he tell you, Margaret?'	'When did he tell you, Margaret?'
1678_142279_000029_000000	'Yesterday, only yesterday,' replied Margaret, detecting the jealousy which prompted the inquiry.	'Yesterday, only yesterday,' replied Margaret, detecting the jealousy which prompted the inquiry.
1678_142279_000029_000001	'Poor papa!'--trying to divert her mother's thoughts into compassionate sympathy for all her father had gone through.	'Poor papa!'--trying to divert her mother's thoughts into compassionate sympathy for all her father had gone through.
1678_142279_000029_000002	Mrs. Hale raised her head.	mrs Hale raised her head.
1678_142279_000031_000000	'Can't the bishop set him right?' asked Mrs. Hale, half impatiently.	'Can't the bishop set him right?' asked mrs Hale, half impatiently.
1678_142279_000032_000000	'I'm afraid not,' said Margaret.	'I'm afraid not,' said Margaret.
1678_142279_000032_000001	'But I did not ask.	'But I did not ask.
1678_142279_000032_000004	He is going to leave Helstone in a fortnight.	He is going to leave Helstone in a fortnight.
1678_142279_000032_000005	I am not sure if he did not say he had sent in his deed of resignation.'	I am not sure if he did not say he had sent in his deed of resignation.'
1678_142279_000033_000000	'In a fortnight!' exclaimed Mrs. Hale, 'I do think this is very strange--not at all right.	'In a fortnight!' exclaimed mrs Hale, 'I do think this is very strange-not at all right.
1678_142279_000033_000002	'He has doubts, you say, and gives up his living, and all without consulting me.	'He has doubts, you say, and gives up his living, and all without consulting me.
1678_142279_000034_000000	Mistaken as Margaret felt her father's conduct to have been, she could not bear to hear it blamed by her mother.	Mistaken as Margaret felt her father's conduct to have been, she could not bear to hear it blamed by her mother.
