175_123036_000002_000000	35 Jerry Barker	thirty five Jerry Barker
175_123036_000003_000000	I never knew a better man than my new master.	I never knew a better man than my new master.
175_123036_000003_000001	He was kind and good, and as strong for the right as John Manly; and so good-tempered and merry that very few people could pick a quarrel with him.	He was kind and good, and as strong for the right as john Manly; and so good tempered and merry that very few people could pick a quarrel with him.
175_123036_000003_000002	He was very fond of making little songs, and singing them to himself.	He was very fond of making little songs, and singing them to himself.
175_123036_000003_000003	One he was very fond of was this:	One he was very fond of was this:
175_123036_000004_000000	"Come, father and mother, And sister and brother, Come, all of you, turn to And help one another."	"Come, father and mother, And sister and brother, Come, all of you, turn to And help one another."
175_123036_000005_000000	And so they did; Harry was as clever at stable-work as a much older boy, and always wanted to do what he could.	And so they did; Harry was as clever at stable work as a much older boy, and always wanted to do what he could.
175_123036_000005_000001	Then Polly and Dolly used to come in the morning to help with the cab--to brush and beat the cushions, and rub the glass, while Jerry was giving us a cleaning in the yard, and Harry was rubbing the harness.	Then Polly and Dolly used to come in the morning to help with the cab-to brush and beat the cushions, and rub the glass, while Jerry was giving us a cleaning in the yard, and Harry was rubbing the harness.
175_123036_000005_000003	They were always early in the morning, for Jerry would say:	They were always early in the morning, for Jerry would say:
175_123036_000007_000000	He could not bear any careless loitering and waste of time; and nothing was so near making him angry as to find people, who were always late, wanting a cab horse to be driven hard, to make up for their idleness.	He could not bear any careless loitering and waste of time; and nothing was so near making him angry as to find people, who were always late, wanting a cab horse to be driven hard, to make up for their idleness.
175_123036_000008_000000	One day two wild-looking young men came out of a tavern close by the stand, and called Jerry.	One day two wild looking young men came out of a tavern close by the stand, and called Jerry.
175_123036_000009_000001	You shall have a shilling extra."	You shall have a shilling extra."
175_123036_000010_000000	"I will take you at the regular pace, gentlemen; shillings don't pay for putting on the steam like that."	"I will take you at the regular pace, gentlemen; shillings don't pay for putting on the steam like that."
175_123036_000011_000000	Larry's cab was standing next to ours; he flung open the door, and said, "I'm your man, gentlemen! take my cab, my horse will get you there all right;" and as he shut them in, with a wink toward Jerry, said, "It's against his conscience to go beyond a jog-trot." Then slashing his jaded horse, he set off as hard as he could.	Larry's cab was standing next to ours; he flung open the door, and said, "I'm your man, gentlemen! take my cab, my horse will get you there all right;" and as he shut them in, with a wink toward Jerry, said, "It's against his conscience to go beyond a jog trot." Then slashing his jaded horse, he set off as hard as he could.
175_123036_000011_000001	Jerry patted me on the neck: "No, Jack, a shilling would not pay for that sort of thing, would it, old boy?"	Jerry patted me on the neck: "No, Jack, a shilling would not pay for that sort of thing, would it, old boy?"
175_123036_000012_000000	Although Jerry was determinedly set against hard driving, to please careless people, he always went a good fair pace, and was not against putting on the steam, as he said, if only he knew why.	Although Jerry was determinedly set against hard driving, to please careless people, he always went a good fair pace, and was not against putting on the steam, as he said, if only he knew why.
175_123036_000013_000000	I well remember one morning, as we were on the stand waiting for a fare, that a young man, carrying a heavy portmanteau, trod on a piece of orange peel which lay on the pavement, and fell down with great force.	I well remember one morning, as we were on the stand waiting for a fare, that a young man, carrying a heavy portmanteau, trod on a piece of orange peel which lay on the pavement, and fell down with great force.
175_123036_000014_000000	Jerry was the first to run and lift him up.	Jerry was the first to run and lift him up.
175_123036_000015_000000	"Can you take me to the South-Eastern Railway?" said the young man; "this unlucky fall has made me late, I fear; but it is of great importance that I should not lose the twelve o'clock train.	"Can you take me to the south-eastern Railway?" said the young man; "this unlucky fall has made me late, I fear; but it is of great importance that I should not lose the twelve o'clock train.
175_123036_000015_000001	I should be most thankful if you could get me there in time, and will gladly pay you an extra fare."	I should be most thankful if you could get me there in time, and will gladly pay you an extra fare."
175_123036_000016_000000	"I'll do my very best," said Jerry heartily, "if you think you are well enough, sir," for he looked dreadfully white and ill.	"I'll do my very best," said Jerry heartily, "if you think you are well enough, sir," for he looked dreadfully white and ill.
175_123036_000017_000000	"I must go," he said earnestly, "please to open the door, and let us lose no time."	"I must go," he said earnestly, "please to open the door, and let us lose no time."
175_123036_000018_000000	The next minute Jerry was on the box; with a cheery chirrup to me, and a twitch of the rein that I well understood.	The next minute Jerry was on the box; with a cheery chirrup to me, and a twitch of the rein that I well understood.
175_123036_000019_000000	"Now then, Jack, my boy," said he, "spin along, we'll show them how we can get over the ground, if we only know why."	"Now then, Jack, my boy," said he, "spin along, we'll show them how we can get over the ground, if we only know why."
175_123036_000020_000000	It is always difficult to drive fast in the city in the middle of the day, when the streets are full of traffic, but we did what could be done; and when a good driver and a good horse, who understand each other, are of one mind, it is wonderful what they can do.	It is always difficult to drive fast in the city in the middle of the day, when the streets are full of traffic, but we did what could be done; and when a good driver and a good horse, who understand each other, are of one mind, it is wonderful what they can do.
175_123036_000020_000003	All this is what you have to be ready for. If you want to get through London fast in the middle of the day it wants a deal of practice.	All this is what you have to be ready for. If you want to get through London fast in the middle of the day it wants a deal of practice.
175_123036_000021_000000	Jerry and I were used to it, and no one could beat us at getting through when we were set upon it.	Jerry and I were used to it, and no one could beat us at getting through when we were set upon it.
175_123036_000021_000001	I was quick and bold and could always trust my driver; Jerry was quick and patient at the same time, and could trust his horse, which was a great thing too.	I was quick and bold and could always trust my driver; Jerry was quick and patient at the same time, and could trust his horse, which was a great thing too.
175_123036_000021_000002	He very seldom used the whip; I knew by his voice, and his click, click, when he wanted to get on fast, and by the rein where I was to go; so there was no need for whipping; but I must go back to my story.	He very seldom used the whip; I knew by his voice, and his click, click, when he wanted to get on fast, and by the rein where I was to go; so there was no need for whipping; but I must go back to my story.
175_123036_000022_000000	The streets were very full that day, but we got on pretty well as far as the bottom of Cheapside, where there was a block for three or four minutes.	The streets were very full that day, but we got on pretty well as far as the bottom of Cheapside, where there was a block for three or four minutes.
175_123036_000022_000001	The young man put his head out and said anxiously, "I think I had better get out and walk; I shall never get there if this goes on."	The young man put his head out and said anxiously, "I think I had better get out and walk; I shall never get there if this goes on."
175_123036_000023_000000	"I'll do all that can be done, sir," said Jerry; "I think we shall be in time.	"I'll do all that can be done, sir," said Jerry; "I think we shall be in time.
175_123036_000023_000001	This block-up cannot last much longer, and your luggage is very heavy for you to carry, sir."	This block up cannot last much longer, and your luggage is very heavy for you to carry, sir."
175_123036_000024_000000	Just then the cart in front of us began to move on, and then we had a good turn.	Just then the cart in front of us began to move on, and then we had a good turn.
175_123036_000024_000002	At any rate, we whirled into the station with many more, just as the great clock pointed to eight minutes to twelve o'clock.	At any rate, we whirled into the station with many more, just as the great clock pointed to eight minutes to twelve o'clock.
175_123036_000025_000000	"Thank God! we are in time," said the young man, "and thank you, too, my friend, and your good horse.	"Thank God! we are in time," said the young man, "and thank you, too, my friend, and your good horse.
175_123036_000025_000001	You have saved me more than money can ever pay for.	You have saved me more than money can ever pay for.
175_123036_000025_000002	Take this extra half-crown."	Take this extra half crown."
175_123036_000026_000000	"No, sir, no, thank you all the same; so glad we hit the time, sir; but don't stay now, sir, the bell is ringing.	"No, sir, no, thank you all the same; so glad we hit the time, sir; but don't stay now, sir, the bell is ringing.
175_123036_000026_000001	Here, porter!	Here, porter!
175_123036_000027_000000	"'So glad!' he said, 'so glad!' Poor young fellow!	"'So glad!' he said, 'so glad!' Poor young fellow!
175_123036_000027_000001	I wonder what it was that made him so anxious!"	I wonder what it was that made him so anxious!"
175_123036_000028_000000	Jerry often talked to himself quite loud enough for me to hear when we were not moving.	Jerry often talked to himself quite loud enough for me to hear when we were not moving.
175_123036_000029_000000	On Jerry's return to the rank there was a good deal of laughing and chaffing at him for driving hard to the train for an extra fare, as they said, all against his principles, and they wanted to know how much he had pocketed.	On Jerry's return to the rank there was a good deal of laughing and chaffing at him for driving hard to the train for an extra fare, as they said, all against his principles, and they wanted to know how much he had pocketed.
