1806_143946_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
1806_143946_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
1806_143946_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
1806_143946_000006_000000	INTRODUCTION	INTRODUCTION
1806_143946_000007_000000	It is believed that the scene of this tale, and most of the information necessary to understand its allusions, are rendered sufficiently obvious to the reader in the text itself, or in the accompanying notes.	It is believed that the scene of this tale, and most of the information necessary to understand its allusions, are rendered sufficiently obvious to the reader in the text itself, or in the accompanying notes.
1806_143946_000008_000000	Few men exhibit greater diversity, or, if we may so express it, greater antithesis of character, than the native warrior of North America. In war, he is daring, boastful, cunning, ruthless, self-denying, and self-devoted; in peace, just, generous, hospitable, revengeful, superstitious, modest, and commonly chaste.	Few men exhibit greater diversity, or, if we may so express it, greater antithesis of character, than the native warrior of North America. In war, he is daring, boastful, cunning, ruthless, self denying, and self devoted; in peace, just, generous, hospitable, revengeful, superstitious, modest, and commonly chaste.
1806_143946_000008_000001	These are qualities, it is true, which do not distinguish all alike; but they are so far the predominating traits of these remarkable people as to be characteristic.	These are qualities, it is true, which do not distinguish all alike; but they are so far the predominating traits of these remarkable people as to be characteristic.
1806_143946_000009_000000	It is generally believed that the Aborigines of the American continent have an Asiatic origin.	It is generally believed that the Aborigines of the American continent have an Asiatic origin.
1806_143946_000009_000001	There are many physical as well as moral facts which corroborate this opinion, and some few that would seem to weigh against it.	There are many physical as well as moral facts which corroborate this opinion, and some few that would seem to weigh against it.
1806_143946_000010_000001	Climate may have had great influence on the former, but it is difficult to see how it can have produced the substantial difference which exists in the latter.	Climate may have had great influence on the former, but it is difficult to see how it can have produced the substantial difference which exists in the latter.
1806_143946_000010_000003	In this, perhaps, he does no more than any other energetic and imaginative race would do, being compelled to set bounds to fancy by experience; but the North American Indian clothes his ideas in a dress which is different from that of the African, and is oriental in itself.	In this, perhaps, he does no more than any other energetic and imaginative race would do, being compelled to set bounds to fancy by experience; but the North American Indian clothes his ideas in a dress which is different from that of the African, and is oriental in itself.
1806_143946_000010_000004	His language has the richness and sententious fullness of the Chinese.	His language has the richness and sententious fullness of the Chinese.
1806_143946_000010_000005	He will express a phrase in a word, and he will qualify the meaning of an entire sentence by a syllable; he will even convey different significations by the simplest inflections of the voice.	He will express a phrase in a word, and he will qualify the meaning of an entire sentence by a syllable; he will even convey different significations by the simplest inflections of the voice.
1806_143946_000011_000000	Philologists have said that there are but two or three languages, properly speaking, among all the numerous tribes which formerly occupied the country that now composes the United States.	Philologists have said that there are but two or three languages, properly speaking, among all the numerous tribes which formerly occupied the country that now composes the United States.
1806_143946_000011_000001	They ascribe the known difficulty one people have to understand another to corruptions and dialects.	They ascribe the known difficulty one people have to understand another to corruptions and dialects.
1806_143946_000011_000003	They mutually exhorted each other to be of use in the event of the chances of war throwing either of the parties into the hands of his enemies.	They mutually exhorted each other to be of use in the event of the chances of war throwing either of the parties into the hands of his enemies.
1806_143946_000012_000000	Like nations of higher pretensions, the American Indian gives a very different account of his own tribe or race from that which is given by other people.	Like nations of higher pretensions, the American Indian gives a very different account of his own tribe or race from that which is given by other people.
1806_143946_000013_000000	The whites have assisted greatly in rendering the traditions of the Aborigines more obscure by their own manner of corrupting names.	The whites have assisted greatly in rendering the traditions of the Aborigines more obscure by their own manner of corrupting names.
1806_143946_000013_000001	Thus, the term used in the title of this book has undergone the changes of Mahicanni, Mohicans, and Mohegans; the latter being the word commonly used by the whites.	Thus, the term used in the title of this book has undergone the changes of Mahicanni, Mohicans, and Mohegans; the latter being the word commonly used by the whites.
1806_143946_000013_000002	When it is remembered that the Dutch (who first settled New York), the English, and the French, all gave appellations to the tribes that dwelt within the country which is the scene of this story, and that the Indians not only gave different names to their enemies, but frequently to themselves, the cause of the confusion will be understood.	When it is remembered that the Dutch (who first settled New York), the English, and the French, all gave appellations to the tribes that dwelt within the country which is the scene of this story, and that the Indians not only gave different names to their enemies, but frequently to themselves, the cause of the confusion will be understood.
1806_143946_000014_000000	In these pages, Lenni-Lenape, Lenope, Delawares, Wapanachki, and Mohicans, all mean the same people, or tribes of the same stock.	In these pages, Lenni Lenape, Lenope, Delawares, Wapanachki, and Mohicans, all mean the same people, or tribes of the same stock.
1806_143946_000015_000000	The Mohicans were the possessors of the country first occupied by the Europeans in this portion of the continent.	The Mohicans were the possessors of the country first occupied by the Europeans in this portion of the continent.
