1845_145088_000000_000000	CHAPTER TWENTY-SEVEN	CHAPTER TWENTY SEVEN	false	4.32	22.33	18
1845_145088_000001_000000	Dundee laughed, the parrot which had saved his life echoing his mirth raucously, as his eyes hit upon the following lines of fine print halfway down the third column of page 410 of "Who's Who in America":	Dundee laughed, the parrot which had saved his life echoing his mirth raucously, as his eyes hit upon the following lines of fine print halfway down the third column of page four hundred ten of "Who's Who in America":	false	22.76	36.37	17
1845_145088_000002_000000	BURNS, William John, detective; b.	BURNS, William john, detective; b.	false	36.86	40.5	17.941868
1845_145088_000002_000001	Baltimore, Oct. 19, 1861--	Baltimore, october nineteenth eighteen sixty one--	true	40.5	43.98	15
1845_145088_000003_000000	"A taunt and a joke which turned sour, 'my dear Watson'!" he exulted to the parrot.	"A taunt and a joke which turned sour, 'my dear Watson'!" he exulted to the parrot.	false	43.98	49.84	19.922586
1845_145088_000003_000001	"A joke I was not intended to live to laugh over!"	"A joke I was not intended to live to laugh over!"	true	49.85	52.96	18.980553
1845_145088_000004_000000	He closed the book and replaced it in the bookcase, careless of fingerprints, for he was sure the murderer had been too clever to leave any behind him in that room--or upon the gun and silencer either, for that matter.	He closed the book and replaced it in the bookcase, careless of fingerprints, for he was sure the murderer had been too clever to leave any behind him in that room-or upon the gun and silencer either, for that matter.	true	53.21	65.05	16
1845_145088_000005_000000	Interestedly, Dundee surveyed the scene of his attempted murder.	Interestedly, Dundee surveyed the scene of his attempted murder.	true	65.39	69.55	17
1845_145088_000005_000001	If he had unsuspectingly gone up to the high shelf to reach for the book he would have stood so close to the register that there would have been powder burns on his shirt front--just as there had been on Dexter Sprague's.	If he had unsuspectingly gone up to the high shelf to reach for the book he would have stood so close to the register that there would have been powder burns on his shirt front-just as there had been on Dexter Sprague's.	true	69.77	81.28	16
1845_145088_000005_000002	And he would have been shot so near an open window--no chance for fingerprints there, either, since he had not closed the windows on his departure for New York, not wishing to return to a stuffy apartment--that the police would have been justified in thinking he had been shot from outside.	And he would have been shot so near an open window-no chance for fingerprints there, either, since he had not closed the windows on his departure for New York, not wishing to return to a stuffy apartment-that the police would have been justified in thinking he had been shot from outside.	false	81.32	96.79	16
1845_145088_000005_000003	It was an old-fashioned house in more ways than in the manner of its heating.	It was an old-fashioned house in more ways than in the manner of its heating.	true	97.22	101.32	16
1845_145088_000005_000004	Outside of one of his two unscreened windows there was an iron grating--the topmost landing of a fire escape. Dundee could imagine Captain Strawn's positiveness in placing the murderer there--crouching in wait for his victim....	Outside of one of his two unscreened windows there was an iron grating-the topmost landing of a fire escape. Dundee could imagine Captain Strawn's positiveness in placing the murderer there-crouching in wait for his victim....	true	101.51	116.2	18
1845_145088_000006_000000	Yes, damned ingenious, this attempted murder!	Yes, damned ingenious, this attempted murder!	true	116.9	119.83	17
1845_145088_000006_000001	Undoubtedly Strawn would have dismissed the note as the work of a crank, not hitting upon the fact that it had been written in that very room, on Dundee's own typewriter and stationery.	Undoubtedly Strawn would have dismissed the note as the work of a crank, not hitting upon the fact that it had been written in that very room, on Dundee's own typewriter and stationery.	true	119.9	130.71	15
1845_145088_000006_000002	Strawn might even have got a mournful sort of amusement out of the fact that Dundee had been advised to call upon a greater detective than himself for assistance!...	Strawn might even have got a mournful sort of amusement out of the fact that Dundee had been advised to call upon a greater detective than himself for assistance!...	false	130.71	139.66	15
1845_145088_000006_000003	Yes, ingenious indeed! And so amazingly simple----	Yes, ingenious indeed! And so amazingly simple----	true	139.88	144.25	19
1845_145088_000007_000000	Suddenly the young detective snatched for his hat.	Suddenly the young detective snatched for his hat.	true	145.25	148.18	16
1845_145088_000007_000001	If the murderer was so ingenious in this case, might he not have been equally clever in planning and executing the murder of Nita Leigh Selim?	If the murderer was so ingenious in this case, might he not have been equally clever in planning and executing the murder of Nita Leigh Selim?	true	148.34	156.34	13
