1874_165701_000000_000000	Edition: 10	Edition: ten	false	0	0.3	2
1874_165701_000001_000000	Language: English	Language: English	false	0.3	0.63	-20
1874_165701_000002_000000	Character set encoding: ASCII	Character set encoding: ASCII	false	0.63	1.29	100
1874_165701_000003_000000	*** START OF THE PROJECT GUTENBERG EBOOK THE LINCOLN STORY BOOK ***	asterisk asterisk asterisk START OF THE PROJECT GUTENBERG EBOOK THE LINCOLN STORY BOOK asterisk asterisk asterisk	false	1.29	5.13	17
1874_165701_000004_000000	Produced by Sandra Bannatyne, Tiffany Vergon, Charles Aldarondo, Charles Franks and the Online Distributed Proofreading Team	Produced by Sandra Bannatyne, Tiffany Vergon, Charles Aldarondo, Charles Franks and the Online Distributed Proofreading Team	false	5.13	15.75	22.646828
1874_165701_000005_000000	THE LINCOLN STORY BOOK	THE LINCOLN STORY BOOK	true	15.75	17.38	24.539242
1874_165701_000006_000000	A Judicious Collection of the Best Stories and Anecdotes of the Great President, Many Appearing Here for the First Time in Book Form	A Judicious Collection of the Best Stories and Anecdotes of the Great President, Many Appearing Here for the First Time in Book Form	true	17.66	25.12	24.81549
1874_165701_000007_000000	COMPILED BY	COMPILED BY	true	25.28	26.16	25.068941
1874_165701_000008_000000	HENRY L. WILLIAMS	HENRY l WILLIAMS	true	26.16	27.64	18.166245
1874_165701_000009_000000	PREFACE.	PREFACE.	true	29.06	30.04	20.882565
1874_165701_000010_000000	The Abraham Lincoln Statue at Chicago is accepted as the typical Westerner of the forum, the rostrum, and the tribune, as he stood to be inaugurated under the war-cloud in 1861.	The Abraham Lincoln Statue at Chicago is accepted as the typical Westerner of the forum, the rostrum, and the tribune, as he stood to be inaugurated under the war cloud in eighteen sixty one.	true	31.07	42.1	22
1874_165701_000010_000001	But there is another Lincoln as dear to the common people--the Lincoln of happy quotations, the speaker of household words.	But there is another Lincoln as dear to the common people-the Lincoln of happy quotations, the speaker of household words.	true	42.74	50.35	24.692373
