1923_161972_000002_000000	THE FIRST QUARREL	THE FIRST QUARREL
1923_161972_000003_000000	"I'll give you three guesses, Madge." Dicky stood just inside the door of the living room, holding an immense parcel carefully wrapped.	"I'll give you three guesses, Madge." Dicky stood just inside the door of the living room, holding an immense parcel carefully wrapped.
1923_161972_000003_000001	His hat was on the back of his head, his eyes shining, his whole face aglow with boyish mischief.	His hat was on the back of his head, his eyes shining, his whole face aglow with boyish mischief.
1923_161972_000004_000000	"It's for you, my first housekeeping present, that is needed in every well regulated family," he burlesqued boastfully, "but you are not to see it until we have something to eat, and you have guessed what it is."	"It's for you, my first housekeeping present, that is needed in every well regulated family," he burlesqued boastfully, "but you are not to see it until we have something to eat, and you have guessed what it is."
1923_161972_000005_000000	"I know it is something lovely, dear," I replied sedately, "but come to your dinner.	"I know it is something lovely, dear," I replied sedately, "but come to your dinner.
1923_161972_000005_000001	It is getting cold."	It is getting cold."
1923_161972_000006_000000	Dicky looked a trifle hurt as he followed me to the dining room.	Dicky looked a trifle hurt as he followed me to the dining room.
1923_161972_000006_000001	I knew what he expected--enthusiastic curiosity and a demand for the immediate opening of the parcel, I can imagine the pretty enthusiasm, the caresses with which almost any other woman would have greeted a bridegroom of two weeks with his first present.	I knew what he expected-enthusiastic curiosity and a demand for the immediate opening of the parcel, I can imagine the pretty enthusiasm, the caresses with which almost any other woman would have greeted a bridegroom of two weeks with his first present.
1923_161972_000007_000000	But it's simply impossible for me to gush.	But it's simply impossible for me to gush.
1923_161972_000007_000001	I cannot express emotion of any kind with the facility of most women.	I cannot express emotion of any kind with the facility of most women.
1923_161972_000007_000002	I worshipped my mother, but I rarely kissed her or expressed my love for her in words.	I worshipped my mother, but I rarely kissed her or expressed my love for her in words.
1923_161972_000007_000003	My love for Dicky terrifies me sometimes, it is so strong, but I cannot go up to him and offer him an unsolicited kiss or caress.	My love for Dicky terrifies me sometimes, it is so strong, but I cannot go up to him and offer him an unsolicited kiss or caress.
1923_161972_000007_000004	Respond to his caresses, yes! but offer them of my own volition, never!	Respond to his caresses, yes! but offer them of my own volition, never!
1923_161972_000007_000005	There is something inside me that makes it an absolute impossibility.	There is something inside me that makes it an absolute impossibility.
1923_161972_000008_000000	"What's the menu, Madge?	"What's the menu, Madge?
1923_161972_000008_000001	The beef again?"	The beef again?"
1923_161972_000009_000000	Dicky's tone was mildly quizzical, his smile mischievous, but I flushed hotly.	Dicky's tone was mildly quizzical, his smile mischievous, but I flushed hotly.
1923_161972_000009_000001	He had touched a sore spot.	He had touched a sore spot.
1923_161972_000009_000002	The butcher had brought me a huge slab of meat for my first dinner when I had timidly ordered "rib roast," and with the aid of my mother's cook book and my own smattering of cooking, my sole housewifely accomplishment, I had been trying to disguise it for subsequent meals.	The butcher had brought me a huge slab of meat for my first dinner when I had timidly ordered "rib roast," and with the aid of my mother's cook book and my own smattering of cooking, my sole housewifely accomplishment, I had been trying to disguise it for subsequent meals.
1923_161972_000010_000000	"This is positively its last appearance on any stage," I assured him, trying to be gay.	"This is positively its last appearance on any stage," I assured him, trying to be gay.
1923_161972_000010_000001	"Besides, it's a casserole, with rice, and I defy you to detect whether the chief ingredient be fish, flesh or fowl."	"Besides, it's a casserole, with rice, and I defy you to detect whether the chief ingredient be fish, flesh or fowl."
1923_161972_000011_000000	"Casserole is usually my pet aversion," Dicky said solemnly.	"Casserole is usually my pet aversion," Dicky said solemnly.
1923_161972_000011_000001	Look not on the casserole when it is table d'hote, is one of the pet little proverbs in my immediate set.	Look not on the casserole when it is table d'hote, is one of the pet little proverbs in my immediate set.
1923_161972_000011_000002	Too much like Spanish steak and the other good chances for ptomaines.	Too much like Spanish steak and the other good chances for ptomaines.
1923_161972_000012_000000	"Dicky, you surely do not think I would use meat that was doubtful, do you?" I asked, horror-stricken.	"Dicky, you surely do not think I would use meat that was doubtful, do you?" I asked, horror stricken.
1923_161972_000012_000001	"Don't eat it.	"Don't eat it.
1923_161972_000012_000002	Wait and I'll fix up some eggs for you."	Wait and I'll fix up some eggs for you."
1923_161972_000013_000000	Dicky rose stiffly, walked slowly around to my side of the table, and gravely tapped my head in imitation of a phrenologist.	Dicky rose stiffly, walked slowly around to my side of the table, and gravely tapped my head in imitation of a phrenologist.
1923_161972_000014_000000	"Absolute depression where the bump called 'sense of humor' ought to be.	"Absolute depression where the bump called 'sense of humor' ought to be.
1923_161972_000014_000001	Too bad!	Too bad!
1923_161972_000014_000002	Pretty creature, too.	Pretty creature, too.
1923_161972_000014_000003	Cause her lots of trouble, in the days to come," he chanted solemnly.	Cause her lots of trouble, in the days to come," he chanted solemnly.
1923_161972_000015_000000	Then he bent and kissed me.	Then he bent and kissed me.
1923_161972_000015_000001	"Don't be a goose, Madge," he admonished, "and never, never take me seriously.	"Don't be a goose, Madge," he admonished, "and never, never take me seriously.
1923_161972_000015_000002	I don't know the meaning of the word.	I don't know the meaning of the word.
1923_161972_000015_000003	Come on, let's eat the thing-um bob.	Come on, let's eat the thing um bob.
1923_161972_000016_000000	He uncovered the casserole and regarded the steaming contents critically.	He uncovered the casserole and regarded the steaming contents critically.
1923_161972_000016_000001	"Smells scrumptious," he announced.	"Smells scrumptious," he announced.
1923_161972_000016_000002	"What's in the other? Potatoes au gratin?" as he took off the cover of the other serving dish.	"What's in the other? Potatoes au gratin?" as he took off the cover of the other serving dish.
1923_161972_000016_000003	"Good!	"Good!
1923_161972_000016_000004	One of my favorites."	One of my favorites."
1923_161972_000017_000001	He ate heartily of both dishes, ignoring or not noticing that I scarcely touched either dish.	He ate heartily of both dishes, ignoring or not noticing that I scarcely touched either dish.
1923_161972_000018_000000	For I was fast lapsing into one of the moods which my little mother used to call my "morbid streaks" and which she had vainly tried to cure ever since I was a tiny girl.	For I was fast lapsing into one of the moods which my little mother used to call my "morbid streaks" and which she had vainly tried to cure ever since I was a tiny girl.
1923_161972_000019_000000	Dicky didn't like my cooking!	Dicky didn't like my cooking!
1923_161972_000019_000001	He was only pretending!	He was only pretending!
1923_161972_000019_000002	Dicky was disappointed in the way I received the announcement of his present! Probably he soon would find me wanting in other things.	Dicky was disappointed in the way I received the announcement of his present! Probably he soon would find me wanting in other things.
1923_161972_000021_000000	When I brought on the baked apples which I had prepared with especial care for dessert, Dick gave them one glance which to my oversensitive mind looked disparaging.	When I brought on the baked apples which I had prepared with especial care for dessert, Dick gave them one glance which to my oversensitive mind looked disparaging.
1923_161972_000021_000001	Then he pushed back his chair.	Then he pushed back his chair.
1923_161972_000022_000000	"Don't believe I want any dessert today.	"Don't believe I want any dessert today.
1923_161972_000023_000000	"Whatever in the world?" I began as Dicky lifted the lid and revealed a big Angora cat.	"Whatever in the world?" I began as Dicky lifted the lid and revealed a big Angora cat.
1923_161972_000023_000001	Then my voice changed.	Then my voice changed.
1923_161972_000023_000002	"Why, Dicky, you don't mean--"	"Why, Dicky, you don't mean-"
1923_161972_000023_000003	But Dicky was absorbed in lifting the cat out.	But Dicky was absorbed in lifting the cat out.
1923_161972_000026_000000	"Why not?" Dicky's tone was sharper than I had ever heard it.	"Why not?" Dicky's tone was sharper than I had ever heard it.
1923_161972_000026_000001	He set the cat down on the floor and she walked over to me.	He set the cat down on the floor and she walked over to me.
1923_161972_000026_000002	I pushed her away gently with my foot as I replied:	I pushed her away gently with my foot as I replied:
1923_161972_000028_000000	"Oh, get out of it, Madge," Dicky interrupted.	"Oh, get out of it, Madge," Dicky interrupted.
1923_161972_000028_000001	"Forget that scientific foolishness you absorbed when you were school ma'aming.	"Forget that scientific foolishness you absorbed when you were school ma'aming.
1923_161972_000028_000002	Besides, this cat is a thoroughbred, never been outside the home where she was born till now.	Besides, this cat is a thoroughbred, never been outside the home where she was born till now.
1923_161972_000028_000004	A cool two hundred, that's all.	A cool two hundred, that's all.
1923_161972_000028_000005	It seems to me you might try to get over your prejudices, especially when I tell you that I am very fond of cats and like to see them around."	It seems to me you might try to get over your prejudices, especially when I tell you that I am very fond of cats and like to see them around."
1923_161972_000029_000000	Dicky's voice held a note of appeal, but I chose to ignore it.	Dicky's voice held a note of appeal, but I chose to ignore it.
1923_161972_000029_000001	My particular little devil must have sat at my elbow.	My particular little devil must have sat at my elbow.
1923_161972_000030_000000	"I am sorry," I said coldly, "but really, I do not see why it is any more incumbent on me to try to overcome my very real aversion to cats than it is for you to try to do without their society."	"I am sorry," I said coldly, "but really, I do not see why it is any more incumbent on me to try to overcome my very real aversion to cats than it is for you to try to do without their society."
1923_161972_000031_000000	"Very well," Dicky exclaimed angrily, turning toward the door.	"Very well," Dicky exclaimed angrily, turning toward the door.
1923_161972_000031_000001	"If you feel that way about it, there is nothing more to be said."	"If you feel that way about it, there is nothing more to be said."
1923_161972_000032_000000	Then Dicky slammed the living room door behind him to emphasize his words, went down the hall, slammed the apartment door and ran down the steps.	Then Dicky slammed the living room door behind him to emphasize his words, went down the hall, slammed the apartment door and ran down the steps.
1923_161972_000033_000000	Back in the living room, huddled up in the big chair which is the chief pride of the woman who rents us the furnished apartment, I sat, as angry as Dicky, and heartsick besides.	Back in the living room, huddled up in the big chair which is the chief pride of the woman who rents us the furnished apartment, I sat, as angry as Dicky, and heartsick besides.
1923_161972_000033_000001	Our first quarrel had come!	Our first quarrel had come!
1923_161972_000034_000000	But the cat remained.	But the cat remained.
1923_161972_000034_000001	What was I to do with her?	What was I to do with her?
1923_161972_000034_000002	There is no cure for a quarrel like loneliness and reflection.	There is no cure for a quarrel like loneliness and reflection.
1923_161972_000034_000003	Dicky had not been gone a half-hour after our disagreement over the cat before I was wondering how we both could have been so silly.	Dicky had not been gone a half hour after our disagreement over the cat before I was wondering how we both could have been so silly.
1923_161972_000035_000000	I thought it out carefully.	I thought it out carefully.
1923_161972_000035_000001	I could see that Dicky was accustomed to having his own way unquestioned.	I could see that Dicky was accustomed to having his own way unquestioned.
1923_161972_000037_000000	But I also had the common sense to see that there would be real issues in our lives without wasting our ammunition over a cat.	But I also had the common sense to see that there would be real issues in our lives without wasting our ammunition over a cat.
1923_161972_000037_000001	Then, too, the remembrance of Dicky's happy face when he thought he was surprising me tugged at my heart.	Then, too, the remembrance of Dicky's happy face when he thought he was surprising me tugged at my heart.
