1958_144503_000000_000000	'Oh, Agnes!	'Oh, Agnes!	false	0	1.02	12
1958_144503_000000_000001	Look, look, here!' --That face, so full of pity, and of grief, that rain of tears, that awful mute appeal to me, that solemn hand upraised towards Heaven!	Look, look, here!' --That face, so full of pity, and of grief, that rain of tears, that awful mute appeal to me, that solemn hand upraised towards Heaven!	false	1.02	15.51	18.2142
1958_144503_000001_000000	'Agnes?'	'Agnes?'	false	15.51	16.02	26.627005
1958_144503_000002_000000	It is over.	It is over.	false	16.02	17.58	16.597387
1958_144503_000002_000001	Darkness comes before my eyes; and, for a time, all things are blotted out of my remembrance.	Darkness comes before my eyes; and, for a time, all things are blotted out of my remembrance.	false	17.58	26.385	18.916777
1958_144503_000003_000000	CHAPTER 54.	CHAPTER fifty four.	true	26.385	27.88	16
1958_144503_000003_000001	Mr. MICAWBER'S TRANSACTIONS	mr MICAWBER'S TRANSACTIONS	true	28.43	31.12	20
1958_144503_000004_000000	This is not the time at which I am to enter on the state of my mind beneath its load of sorrow.	This is not the time at which I am to enter on the state of my mind beneath its load of sorrow.	true	33.65	39.22	13
1958_144503_000004_000001	I came to think that the Future was walled up before me, that the energy and action of my life were at an end, that I never could find any refuge but in the grave.	I came to think that the Future was walled up before me, that the energy and action of my life were at an end, that I never could find any refuge but in the grave.	true	40.13	50.2	17.555183
1958_144503_000004_000002	I came to think so, I say, but not in the first shock of my grief.	I came to think so, I say, but not in the first shock of my grief.	true	50.93	55.45	16
1958_144503_000004_000003	It slowly grew to that. If the events I go on to relate, had not thickened around me, in the beginning to confuse, and in the end to augment, my affliction, it is possible (though I think not probable), that I might have fallen at once into this condition.	It slowly grew to that. If the events I go on to relate, had not thickened around me, in the beginning to confuse, and in the end to augment, my affliction, it is possible (though I think not probable), that I might have fallen at once into this condition.	true	56.06	73.78	18.931154
1958_144503_000004_000004	As it was, an interval occurred before I fully knew my own distress; an interval, in which I even supposed that its sharpest pangs were past; and when my mind could soothe itself by resting on all that was most innocent and beautiful, in the tender story that was closed for ever.	As it was, an interval occurred before I fully knew my own distress; an interval, in which I even supposed that its sharpest pangs were past; and when my mind could soothe itself by resting on all that was most innocent and beautiful, in the tender story that was closed for ever.	true	74.45	93.73	20.175705
1958_144503_000005_000000	When it was first proposed that I should go abroad, or how it came to be agreed among us that I was to seek the restoration of my peace in change and travel, I do not, even now, distinctly know.	When it was first proposed that I should go abroad, or how it came to be agreed among us that I was to seek the restoration of my peace in change and travel, I do not, even now, distinctly know.	true	96.02	108.07	15
1958_144503_000005_000001	The spirit of Agnes so pervaded all we thought, and said, and did, in that time of sorrow, that I assume I may refer the project to her influence.	The spirit of Agnes so pervaded all we thought, and said, and did, in that time of sorrow, that I assume I may refer the project to her influence.	true	108.8	118.69	19.41117
1958_144503_000005_000002	But her influence was so quiet that I know no more.	But her influence was so quiet that I know no more.	true	119.09	123.25	17.71893
1958_144503_000006_000000	And now, indeed, I began to think that in my old association of her with the stained-glass window in the church, a prophetic foreshadowing of what she would be to me, in the calamity that was to happen in the fullness of time, had found a way into my mind.	And now, indeed, I began to think that in my old association of her with the stained glass window in the church, a prophetic foreshadowing of what she would be to me, in the calamity that was to happen in the fullness of time, had found a way into my mind.	true	125.09	140.5	17
1958_144503_000006_000001	In all that sorrow, from the moment, never to be forgotten, when she stood before me with her upraised hand, she was like a sacred presence in my lonely house.	In all that sorrow, from the moment, never to be forgotten, when she stood before me with her upraised hand, she was like a sacred presence in my lonely house.	true	141.71	151.24	17
1958_144503_000006_000002	When the Angel of Death alighted there, my child-wife fell asleep--they told me so when I could bear to hear it--on her bosom, with a smile.	When the Angel of Death alighted there, my child wife fell asleep-they told me so when I could bear to hear it-on her bosom, with a smile.	true	152.06	159.7	16
1958_144503_000006_000003	From my swoon, I first awoke to a consciousness of her compassionate tears, her words of hope and peace, her gentle face bending down as from a purer region nearer Heaven, over my undisciplined heart, and softening its pain.	From my swoon, I first awoke to a consciousness of her compassionate tears, her words of hope and peace, her gentle face bending down as from a purer region nearer Heaven, over my undisciplined heart, and softening its pain.	true	160.73	176.41	17
1958_144503_000007_000000	Let me go on.	Let me go on.	true	178.67	179.8	14.113469
1958_144503_000008_000000	I was to go abroad.	I was to go abroad.	true	181.16	182.43	24.52937
1958_144503_000008_000001	That seemed to have been determined among us from the first.	That seemed to have been determined among us from the first.	true	182.43	185.62	9
1958_144503_000008_000002	The ground now covering all that could perish of my departed wife, I waited only for what Mr. Micawber called the 'final pulverization of Heep'; and for the departure of the emigrants.	The ground now covering all that could perish of my departed wife, I waited only for what mr Micawber called the 'final pulverization of Heep'; and for the departure of the emigrants.	true	186.35	198.16	18
1958_144503_000009_000000	At the request of Traddles, most affectionate and devoted of friends in my trouble, we returned to Canterbury: I mean my aunt, Agnes, and I. We proceeded by appointment straight to Mr. Micawber's house; where, and at Mr. Wickfield's, my friend had been labouring ever since our explosive meeting.	At the request of Traddles, most affectionate and devoted of friends in my trouble, we returned to Canterbury: I mean my aunt, Agnes, and i We proceeded by appointment straight to mr Micawber's house; where, and at mr Wickfield's, my friend had been labouring ever since our explosive meeting.	true	199.55	218.71	19
1958_144503_000009_000001	When poor Mrs. Micawber saw me come in, in my black clothes, she was sensibly affected.	When poor mrs Micawber saw me come in, in my black clothes, she was sensibly affected.	true	220.19	226.09	15
1958_144503_000009_000002	There was a great deal of good in Mrs. Micawber's heart, which had not been dunned out of it in all those many years.	There was a great deal of good in mrs Micawber's heart, which had not been dunned out of it in all those many years.	false	226.64	232.63	13
1958_144503_000010_000000	'Well, Mr. and Mrs. Micawber,' was my aunt's first salutation after we were seated.	'Well, mr and mrs Micawber,' was my aunt's first salutation after we were seated.	true	234.08	238.69	17.367672
1958_144503_000010_000001	'Pray, have you thought about that emigration proposal of mine?'	'Pray, have you thought about that emigration proposal of mine?'	true	239.27	242.74	16
