1961_145733_000001_000000	There was once a poor Prince.	There was once a poor Prince.
1961_145733_000004_000000	On the grave of the Prince's father grew a rose-tree, a very beautiful rose-tree.	On the grave of the Prince's father grew a rose tree, a very beautiful rose tree.
1961_145733_000004_000002	Its scent was so sweet that when you smelt it you forgot all your cares and troubles.	Its scent was so sweet that when you smelt it you forgot all your cares and troubles.
1961_145733_000004_000004	This rose and this nightingale the Princess was to have, and so they were both put into silver caskets and sent to her.	This rose and this nightingale the Princess was to have, and so they were both put into silver caskets and sent to her.
1961_145733_000005_000000	The Emperor had them brought to him in the great hall, where the Princess was playing 'Here comes a duke a-riding' with her ladies-in-waiting.	The Emperor had them brought to him in the great hall, where the Princess was playing 'Here comes a duke a riding' with her ladies in waiting.
1961_145733_000006_000000	'If only it were a little pussy cat!' she said.	'If only it were a little pussy cat!' she said.
1961_145733_000006_000001	But the rose-tree with the beautiful rose came out.	But the rose tree with the beautiful rose came out.
1961_145733_000015_000000	'Yes,' said the Emperor; and then he wept like a little child.	'Yes,' said the Emperor; and then he wept like a little child.
1961_145733_000017_000000	'Yes, it is a real bird,' said those who had brought it.	'Yes, it is a real bird,' said those who had brought it.
1961_145733_000018_000000	'Then let the bird fly away,' said the Princess; and she would not on any account allow the Prince to come.	'Then let the bird fly away,' said the Princess; and she would not on any account allow the Prince to come.
1961_145733_000019_000000	'But he was nothing daunted.	'But he was nothing daunted.
1961_145733_000019_000001	He painted his face brown and black, drew his cap well over his face, and knocked at the door.	He painted his face brown and black, drew his cap well over his face, and knocked at the door.
1961_145733_000020_000000	'Yes,' said the Emperor, 'but there are so many who ask for a place that I don't know whether there will be one for you; but, still, I will think of you.	'Yes,' said the Emperor, 'but there are so many who ask for a place that I don't know whether there will be one for you; but, still, I will think of you.
1961_145733_000020_000001	Stay, it has just occurred to me that I want someone to look after the swine, for I have so very many of them.'	Stay, it has just occurred to me that I want someone to look after the swine, for I have so very many of them.'
1961_145733_000021_000000	And the Prince got the situation of Imperial Swineherd.	And the Prince got the situation of Imperial Swineherd.
1961_145733_000021_000001	He had a wretched little room close to the pigsties; here he had to stay, but the whole day he sat working, and when evening was come he had made a pretty little pot.	He had a wretched little room close to the pigsties; here he had to stay, but the whole day he sat working, and when evening was come he had made a pretty little pot.
1961_145733_000022_000000	'Where is Augustus dear? Alas! he's not here, here, here!'	'Where is Augustus dear? Alas! he's not here, here, here!'
1961_145733_000023_000000	But the most wonderful thing was, that when one held one's finger in the steam of the pot, then at once one could smell what dinner was ready in any fire-place in the town.	But the most wonderful thing was, that when one held one's finger in the steam of the pot, then at once one could smell what dinner was ready in any fire place in the town.
