2074_149033_000000_000000	[Illustration: THE AUTHOR]	[Illustration: THE AUTHOR]	false	2.43	4.26	19.859919
2074_149033_000001_000000	THE YOUNG VISITERS OR, MR SALTEENA'S PLAN	THE YOUNG v i s i t e r s o r, MR SALTEENA'S PLAN	false	4.26	13.84	23.540176
2074_149033_000002_000000	BY	BY	true	14.36	14.61	100
2074_149033_000003_000000	DAISY ASHFORD	DAISY ASHFORD	false	14.61	17.79	25.41148
2074_149033_000004_000000	WITH A PREFACE BY J. M. BARRIE	WITH A PREFACE BY j m BARRIE	true	17.79	19.89	21
2074_149033_000005_000000	NEW YORK GEORGE H. DORAN COMPANY	NEW YORK GEORGE h DORAN COMPANY	false	19.89	20.28	-20
2074_149033_000006_000000	_Copyright_, 1919, _By George H. Doran Company_	underscore Copyright underscore, nineteen nineteen, underscore By George h Doran Company underscore	false	20.28	21.09	-20
2074_149033_000007_000000	_Printed in the United States of America_	underscore Printed in the United States of America underscore	false	21.09	24.36	22.117384
2074_149033_000008_000000	[Pg v] PREFACE	[p g v] PREFACE	false	24.36	26.77	24.879831
2074_149033_000009_000000	The "owner of the copyright" guarantees that "The Young Visiters" is the unaided effort in fiction of an authoress of nine years.	The "owner of the copyright" guarantees that "The Young Visiters" is the unaided effort in fiction of an authoress of nine years.	false	28.82	37.15	21.043858
2074_149033_000009_000001	"Effort," however, is an absurd word to use, as you may see by studying the triumphant countenance of the child herself, which is here reproduced as frontispiece to her sublime work.	"Effort," however, is an absurd word to use, as you may see by studying the triumphant countenance of the child herself, which is here reproduced as frontispiece to her sublime work.	true	37.55	48.85	21.2539
2074_149033_000009_000002	This is no portrait of a writer who had to burn the oil at midnight (indeed there is documentary evidence that she was hauled off to bed every evening at six): it has an air of careless power; there is a complacency about it that by the severe might perhaps be called smugness.	This is no portrait of a writer who had to burn the oil at midnight (indeed there is documentary evidence that she was hauled off to bed every evening at six): it has an air of careless power; there is a complacency about it that by the severe might perhaps be called smugness.	true	49.28	66.19	24.215755
2074_149033_000009_000003	It needed no effort for that face to knock off a masterpiece.	It needed no effort for that face to knock off a masterpiece.	true	66.59	69.97	20.38971
2074_149033_000009_000004	It probably represents precisely how she looked when she finished a chapter.	It probably represents precisely how she looked when she finished a chapter.	true	70.19	74.1	24.52514
2074_149033_000009_000005	When she was actually at work I think the expression [Pg vi] was more solemn, with the tongue firmly clenched between the teeth; an unholy rapture showing as she drew near her love chapter.	When she was actually at work I think the expression [p g vi] was more solemn, with the tongue firmly clenched between the teeth; an unholy rapture showing as she drew near her love chapter.	false	74.1	85.42	22.525684
2074_149033_000009_000006	Fellow-craftsmen will see that she is looking forward to this chapter all the time.	Fellow craftsmen will see that she is looking forward to this chapter all the time.	true	85.67	89.89	25.031736
2074_149033_000010_000000	The manuscript is in pencil in a stout little note book (twopence), and there it has lain for years, for though the authoress was nine when she wrote it she is now a grown woman.	The manuscript is in pencil in a stout little note book (twopence), and there it has lain for years, for though the authoress was nine when she wrote it she is now a grown woman.	true	90.65	101.59	21.055065
2074_149033_000010_000001	It has lain, in lavender as it were, in the dumpy note book, waiting for a publisher to ride that way and rescue it; and here he is at last, not a bit afraid that to this age it may appear "Victorian." Indeed if its pictures of High Life are accurate (as we cannot doubt, the authoress seems always so sure of her facts) they had a way of going on in those times which is really surprising.	It has lain, in lavender as it were, in the dumpy note book, waiting for a publisher to ride that way and rescue it; and here he is at last, not a bit afraid that to this age it may appear "Victorian." Indeed if its pictures of High Life are accurate (as we cannot doubt, the authoress seems always so sure of her facts) they had a way of going on in those times which is really surprising.	false	102.02	125.47	22.253183
2074_149033_000010_000002	Even the grand historical figures were free and easy, such as King Edward, of whom we have perhaps the most human picture ever penned, as he appears at a levee "rather sumshiously," in a "small [Pg vii] but costly crown," and afterwards slips away to tuck into ices.	Even the grand historical figures were free and easy, such as King Edward, of whom we have perhaps the most human picture ever penned, as he appears at a levee "rather sumshiously," in a "small [p g vii] but costly crown," and afterwards slips away to tuck into ices.	false	126.05	142.81	20.19149
2074_149033_000010_000003	It would seem in particular that we are oddly wrong in our idea of the young Victorian lady as a person more shy and shrinking than the girl of to-day.	It would seem in particular that we are oddly wrong in our idea of the young Victorian lady as a person more shy and shrinking than the girl of to day.	true	143	151.39	15
2074_149033_000010_000004	The Ethel of this story is a fascinating creature who would have a good time wherever there were a few males, but no longer could she voyage through life quite so jollily without attracting the attention of the censorious.	The Ethel of this story is a fascinating creature who would have a good time wherever there were a few males, but no longer could she voyage through life quite so jollily without attracting the attention of the censorious.	true	151.55	164.44	18.709694
2074_149033_000010_000005	Chaperon seems to be one of the very few good words of which our authoress had never heard.	Chaperon seems to be one of the very few good words of which our authoress had never heard.	true	165.02	171.19	20.74344
2074_149033_000011_000000	The lady she had grown into, the "owner of the copyright" already referred to, gives me a few particulars of this child she used to be, and is evidently a little scared by her.	The lady she had grown into, the "owner of the copyright" already referred to, gives me a few particulars of this child she used to be, and is evidently a little scared by her.	false	172.52	183.34	21.144464
2074_149033_000011_000001	We should probably all be a little scared (though proud) if that portrait was dumped down in front of us as ours, and we were asked to explain why we once thought so much of ourselves as that.	We should probably all be a little scared (though proud) if that portrait was dumped down in front of us as ours, and we were asked to explain why we once thought so much of ourselves as that.	false	183.8	195.67	21.268143
2074_149033_000012_000000	Except for the smirk on her face, all I can learn of her now is that she was one of [Pg viii] a small family who lived in the country, invented their own games, dodged the governess and let the rest of the world go hang.	Except for the smirk on her face, all I can learn of her now is that she was one of [p g viii] a small family who lived in the country, invented their own games, dodged the governess and let the rest of the world go hang.	false	196.31	208.93	21.397606
2074_149033_000012_000001	She read everything that came her way, including, as the context amply proves, the grown-up novels of the period.	She read everything that came her way, including, as the context amply proves, the grown up novels of the period.	true	209.39	217.06	24.39709
2074_149033_000012_000002	"I adored writing and used to pray for bad weather, so that I need not go out but could stay in and write." Her mother used to have early tea in bed; sometimes visitors came to the house, when there was talk of events in high society: there was mention of places called Hampton Court, the Gaiety Theatre and the "Crystale" Palace.	"I adored writing and used to pray for bad weather, so that I need not go out but could stay in and write." Her mother used to have early tea in bed; sometimes visitors came to the house, when there was talk of events in high society: there was mention of places called Hampton Court, the Gaiety Theatre and the "Crystale" Palace.	true	217.64	238.72	22.353533
2074_149033_000012_000003	This is almost all that is now remembered, but it was enough for the blazing child.	This is almost all that is now remembered, but it was enough for the blazing child.	true	239.06	244.45	21.5675
2074_149033_000012_000004	She sucked her thumb for a moment (this is guesswork), and sat down to her amazing tale.	She sucked her thumb for a moment (this is guesswork), and sat down to her amazing tale.	true	244.52	250.62	26.546093
2074_149033_000013_000000	"Her mother used to have early tea in bed." Many authors must have had a similar experience, but they all missed the possibilities of it until this young woman came along.	"Her mother used to have early tea in bed." Many authors must have had a similar experience, but they all missed the possibilities of it until this young woman came along.	true	250.62	259.75	21
2074_149033_000013_000001	It thrilled her; and tea in [Pg ix] bed at last takes its proper place in fiction.	It thrilled her; and tea in [p g ix] bed at last takes its proper place in fiction.	false	259.97	265.96	22.29944
2074_149033_000013_000002	"Mr Salteena woke up rarther early next day and was delighted to find Horace the footman entering with a cup of tea.	"Mr Salteena woke up rarther early next day and was delighted to find Horace the footman entering with a cup of tea.	false	266.57	273.43	24.604488
2074_149033_000013_000003	Oh thank you my man said Mr Salteena rolling over in the costly bed.	Oh thank you my man said Mr Salteena rolling over in the costly bed.	true	273.59	278.74	22.80301
2074_149033_000013_000004	Mr Clark is nearly out of the bath sir announced Horace I will have great pleasure in turning it on for you if such is your desire.	Mr Clark is nearly out of the bath sir announced Horace I will have great pleasure in turning it on for you if such is your desire.	false	278.96	287.5	21.211054
2074_149033_000013_000005	Well yes you might said Mr Salteena seeing it was the idear." Mr Salteena cleverly conceals his emotion, but as soon as he is alone he rushes to Ethel's door, "I say said Mr Salteena excitedly I have had some tea in bed."	Well yes you might said Mr Salteena seeing it was the idear." Mr Salteena cleverly conceals his emotion, but as soon as he is alone he rushes to Ethel's door, "I say said Mr Salteena excitedly I have had some tea in bed."	false	287.72	303.46	20.466694
