208_126600_000000_000000	INTRODUCTION	INTRODUCTION	true	35.535	36.48	15
208_126600_000001_000000	[Illustration]	[Illustration]	false	36.48	37.26	-4
208_126600_000002_000000	In this DIRECTORY you'll see Just what you never ought to be; And so, it should Direct your way To Good Behavior, every day. The children of whose faults I tell Are known by other names, as well, So see that _you_ aren't in this group Of Naughty Ones. _Don't be a Goop_!	In this DIRECTORY you'll see Just what you never ought to be; And so, it should Direct your way To Good Behavior, every day. The children of whose faults I tell Are known by other names, as well, So see that underscore you underscore aren't in this group Of Naughty Ones. underscore Don't be a Goop underscore!	false	37.26	57.54	17.872202
208_126600_000003_000000	MARMADUKE ARGYLL	MARMADUKE ARGYLL	false	57.54	62.07	20.733173
208_126600_000004_000000	A Goop that always makes me smile Is this one: Marmaduke Argyll. His mouth is full from cheek to cheek, Why should he then attempt to speak? It makes me smile, but still, the fact is, It is a most unpleasant practice.	A Goop that always makes me smile Is this one: Marmaduke Argyll. His mouth is full from cheek to cheek, Why should he then attempt to speak? It makes me smile, but still, the fact is, It is a most unpleasant practice.	true	62.07	76.83	20.191317
208_126600_000005_000000	[Illustration: Talking while Eating]	[Illustration: Talking while Eating]	false	76.83	79.86	-8
208_126600_000006_000000	NANCY BEAL	NANCY BEAL	false	79.86	83.34	18.517204
208_126600_000007_000000	On the sidewalk Nancy Beal Throws her old banana peel; Throws her apple skin and cores, Right in front of people's doors! Isn't that a shocking trick? Ask that Goop to stop it, quick!	On the sidewalk Nancy Beal Throws her old banana peel; Throws her apple skin and cores, Right in front of people's doors! Isn't that a shocking trick? Ask that Goop to stop it, quick!	true	83.34	98.4	18.710358
208_126600_000008_000000	[Illustration: Throwing away Things]	[Illustration: Throwing away Things]	false	98.4	98.76	-4
208_126600_000009_000000	MASTER BILDAD	MASTER b i l d a d	false	98.76	102.12	18.563322
208_126600_000010_000000	A puppy, when he gets a bone, Will keep it for himself alone. So Bildad would not share his toys Or lend them to the other boys. He was a Goop; and so are you If you are ever selfish, too!	A puppy, when he gets a bone, Will keep it for himself alone. So Bildad would not share his toys Or lend them to the other boys. He was a Goop; and so are you If you are ever selfish, too!	false	102.12	115.44	19.048103
208_126600_000011_000000	[Illustration: Selfish with Toys]	[Illustration: Selfish with Toys]	false	115.44	118.53	-5
208_126600_000012_000000	PERCY BINGG	PERCY b i n g g	false	118.53	121.74	18.499493
208_126600_000013_000000	Percy Bingg, when he's at play, Is almost always in the way; In the room, or in the street, Always under people's feet! Goops like that annoy me so! _You_ keep out the way, I know!	Percy Bingg, when he's at play, Is almost always in the way; In the room, or in the street, Always under people's feet! Goops like that annoy me so! underscore You underscore keep out the way, I know!	false	121.74	134.31	18.141071
208_126600_000014_000000	[Illustration: In the Way]	[Illustration: In the Way]	false	134.31	137.4	-20
208_126600_000015_000000	BETSY BIRCH	BETSY BIRCH	false	137.4	140.775	16.295244
208_126600_000016_000000	Look at little Betsy Birch, Always whispering in church! Always playing with the books, Never caring how she looks! Never knowing Goops like her Ought to neither talk nor stir!	Look at little Betsy Birch, Always whispering in church! Always playing with the books, Never caring how she looks! Never knowing Goops like her Ought to neither talk nor stir!	true	140.775	153.27	18.80969
208_126600_000017_000000	[Illustration: Talking in Church]	[Illustration: Talking in Church]	false	153.27	156.3	-20
208_126600_000018_000000	LEVI BOING	LEVI BOING	false	156.3	160.26	16.886345
208_126600_000019_000000	Are you a Goop, like Levi Boing? He never looks where he is going; He's always bumping into chairs, And stumbling, when he goes upstairs; He tips things over, bumps his nose. He _can't_ be careful, I suppose!	Are you a Goop, like Levi Boing? He never looks where he is going; He's always bumping into chairs, And stumbling, when he goes upstairs; He tips things over, bumps his nose. He underscore can't underscore be careful, I suppose!	false	160.26	173.43	17.311913
208_126600_000020_000000	[Illustration: Going Carelessly]	[Illustration: Going Carelessly]	false	173.43	176.31	-20
208_126600_000021_000000	MARY C. C. CALL	MARY c c CALL	false	176.31	180.63	18.441973
