2110_161102_000000_000000	(Recorded by Rochlitz as a criticism by Mozart of Italian singers in 1789.)	(Recorded by Rochlitz as a criticism by Mozart of Italian singers in seventeen eighty nine.)	false	0	8.34	18.09823
2110_161102_000001_000000	68.	sixty eight.	false	8.34	9.03	23
2110_161102_000001_000001	"It is thus, they think, that they can infuse warmth and ardor into their singing.	"It is thus, they think, that they can infuse warmth and ardor into their singing.	false	9.03	14.25	17
2110_161102_000001_000002	Ah, if there is no fire in the composition you will surely never get it in by hurrying it."	Ah, if there is no fire in the composition you will surely never get it in by hurrying it."	false	14.25	19.17	17
2110_161102_000002_000000	(According to Rochlitz Mozart used these words while complaining of the manner in which his compositions were ruined by exaggerated speed in the tempi.)	(According to Rochlitz Mozart used these words while complaining of the manner in which his compositions were ruined by exaggerated speed in the tempi.)	false	19.17	36.06	19.25356
2110_161102_000003_000000	EXPRESSIONS CRITICAL	EXPRESSIONS CRITICAL	true	36.06	38.53	25.729559
2110_161102_000004_000000	69.	sixty nine.	true	40.04	41.38	18.877914
2110_161102_000004_000001	"We wish that it were in our power to introduce the German taste in minuets in Italy; minuets here last almost as long as whole symphonies."	"We wish that it were in our power to introduce the German taste in minuets in Italy; minuets here last almost as long as whole symphonies."	true	42.62	52.78	14
2110_161102_000005_000000	(Bologna, September 22, 1770, to his mother and sister.	(Bologna, september twenty second seventeen seventy, to his mother and sister.	false	53.96	60.34	19.017138
2110_161102_000005_000001	Mozart as a lad was making a tour through Italy with his father.	Mozart as a lad was making a tour through Italy with his father.	true	60.92	65.83	16
2110_161102_000005_000002	[There might be a valuable hint here touching the proper tempo for the minuets in Mozart's symphonies.	[There might be a valuable hint here touching the proper tempo for the minuets in Mozart's symphonies.	true	66.29	72.85	17
2110_161102_000005_000003	Of late years the conductors, of the Wagnerian school more particularly, have acted on the belief that the symphonic minuets of Mozart and Haydn must be played with the stately slowness of the old dance.	Of late years the conductors, of the Wagnerian school more particularly, have acted on the belief that the symphonic minuets of Mozart and Haydn must be played with the stately slowness of the old dance.	true	73.4	88.24	14
2110_161102_000005_000004	Mozart himself was plainly of another opinion.	Mozart himself was plainly of another opinion.	true	88.76	92.5	20
2110_161102_000005_000005	H.E.K.])	h e k])	true	93.32	95.17	21.652008
2110_161102_000006_000000	70.	seventy.	true	97.16	98.2	16.505445
2110_161102_000006_000001	"Beecke told me (and it is true) that music is now played in the cabinet of the Emperor (Joseph II) bad enough to set the dogs a-running.	"Beecke told me (and it is true) that music is now played in the cabinet of the Emperor (Joseph the second) bad enough to set the dogs a running.	true	99.17	110.26	18
