2201_7371_000000_000000	CHAPTER IV.	CHAPTER four.	false	0.9	22.86	20.251188
2201_7371_000000_000001	OF DRAWBACKS.	OF DRAWBACKS.	true	22.86	24.01	22.152472
2201_7371_000001_000000	Merchants and manufacturers are not contented with the monopoly of the home market, but desire likewise the most extensive foreign sale for their goods.	Merchants and manufacturers are not contented with the monopoly of the home market, but desire likewise the most extensive foreign sale for their goods.	true	25.37	34.39	16
2201_7371_000001_000001	Their country has no jurisdiction in foreign nations, and therefore can seldom procure them any monopoly there.	Their country has no jurisdiction in foreign nations, and therefore can seldom procure them any monopoly there.	true	34.91	41.05	15
2201_7371_000001_000002	They are generally obliged, therefore, to content themselves with petitioning for certain encouragements to exportation.	They are generally obliged, therefore, to content themselves with petitioning for certain encouragements to exportation.	false	41.54	48.19	16
2201_7371_000002_000000	Of these encouragements, what are called drawbacks seem to be the most reasonable.	Of these encouragements, what are called drawbacks seem to be the most reasonable.	true	49.49	54.31	22
2201_7371_000002_000001	To allow the merchant to draw back upon exportation, either the whole, or a part of whatever excise or inland duty is imposed upon domestic industry, can never occasion the exportation of a greater quantity of goods than what would have been exported had no duty been imposed.	To allow the merchant to draw back upon exportation, either the whole, or a part of whatever excise or inland duty is imposed upon domestic industry, can never occasion the exportation of a greater quantity of goods than what would have been exported had no duty been imposed.	true	54.74	71.41	16
2201_7371_000002_000002	Such encouragements do not tend to turn towards any particular employment a greater share of the capital of the country, than what would go to that employment of its own accord, but only to hinder the duty from driving away any part of that share to other employments.	Such encouragements do not tend to turn towards any particular employment a greater share of the capital of the country, than what would go to that employment of its own accord, but only to hinder the duty from driving away any part of that share to other employments.	false	71.84	86.26	15
2201_7371_000002_000003	They tend not to overturn that balance which naturally establishes itself among all the various employments of the society, but to hinder it from being overturned by the duty.	They tend not to overturn that balance which naturally establishes itself among all the various employments of the society, but to hinder it from being overturned by the duty.	true	86.81	97	16
2201_7371_000002_000004	They tend not to destroy, but to preserve, what it is in most cases advantageous to preserve, the natural division and distribution of labour in the society.	They tend not to destroy, but to preserve, what it is in most cases advantageous to preserve, the natural division and distribution of labour in the society.	true	97.52	107.95	17
2201_7371_000003_000000	The same thing may be said of the drawbacks upon the re-exportation of foreign goods imported, which, in Great Britain, generally amount to by much the largest part of the duty upon importation.	The same thing may be said of the drawbacks upon the re exportation of foreign goods imported, which, in Great Britain, generally amount to by much the largest part of the duty upon importation.	true	108.95	119.92	17
