2230_132101_000000_000000	CHAPTER XI	CHAPTER eleven	false	0.24	19.32	18.662945
2230_132101_000001_000000	A NEW LESSON TO LEARN	A NEW LESSON TO LEARN	true	19.32	20.65	18.626383
2230_132101_000002_000000	It was a long time before the children ceased to talk and laugh over that jolly evening.	It was a long time before the children ceased to talk and laugh over that jolly evening.	true	22.04	26.11	19
2230_132101_000002_000001	Dorry declared he wished there could be a Valentine's-Day every week.	Dorry declared he wished there could be a Valentine's Day every week.	true	26.33	29.5	20.31385
2230_132101_000003_000000	"Don't you think St. Valentine would be tired of writing verses?" asked Katy.	"Don't you think st Valentine would be tired of writing verses?" asked Katy.	false	29.9	33.67	18.758106
2230_132101_000003_000001	But she, too, had enjoyed the frolic, and the bright recollection helped her along through the rest of the long, cold winter.	But she, too, had enjoyed the frolic, and the bright recollection helped her along through the rest of the long, cold winter.	true	33.95	39.76	19
2230_132101_000004_000000	Spring opened late that year, but the Summer, when it came, was a warm one.	Spring opened late that year, but the Summer, when it came, was a warm one.	true	40.46	44.8	19.976885
2230_132101_000004_000001	Katy felt the heat very much.	Katy felt the heat very much.	true	45.11	47.08	20.265911
2230_132101_000004_000002	She could not change her seat and follow the breeze about from window to window as other people could.	She could not change her seat and follow the breeze about from window to window as other people could.	true	47.33	52.03	18.374008
2230_132101_000004_000003	The long burning days left her weak and parched.	The long burning days left her weak and parched.	true	52.37	55.24	19.961205
2230_132101_000004_000004	She hung her head, and seemed to wilt like the flowers in the garden-beds.	She hung her head, and seemed to wilt like the flowers in the garden beds.	true	55.31	59.11	18.030634
2230_132101_000004_000005	Indeed she was worse off than they, for every evening Alexander gave them a watering with the hose, while nobody was able to bring a watering-pot and pour out what she needed--a shower of cold, fresh air.	Indeed she was worse off than they, for every evening Alexander gave them a watering with the hose, while nobody was able to bring a watering pot and pour out what she needed-a shower of cold, fresh air.	false	59.6	70.81	20.199032
2230_132101_000005_000000	It wasn't easy to be good-humored under these circumstances, and one could hardly have blamed Katy if she had sometimes forgotten her resolutions and been cross and fretful.	It wasn't easy to be good humored under these circumstances, and one could hardly have blamed Katy if she had sometimes forgotten her resolutions and been cross and fretful.	true	72.14	80.65	18.702932
2230_132101_000005_000001	But she didn't--not very often. Now and then bad days came, when she was discouraged and forlorn.	But she didn't-not very often. Now and then bad days came, when she was discouraged and forlorn.	false	81.02	87.49	19.87103
2230_132101_000005_000002	But Katy's long year of schooling had taught her self-control, and, as a general thing, her discomforts were borne patiently.	But Katy's long year of schooling had taught her self control, and, as a general thing, her discomforts were borne patiently.	true	87.74	94.27	20.401447
2230_132101_000005_000003	She could not help growing pale and thin however, and Papa saw with concern that, as the summer went on, she became too languid to read, or study, or sew, and just sat hour after hour, with folded hands, gazing wistfully out of the window.	She could not help growing pale and thin however, and Papa saw with concern that, as the summer went on, she became too languid to read, or study, or sew, and just sat hour after hour, with folded hands, gazing wistfully out of the window.	true	94.91	109	20.260338
2230_132101_000006_000000	He tried the experiment of taking her to drive.	He tried the experiment of taking her to drive.	true	110.51	113.02	19.691957
2230_132101_000006_000001	But the motion of the carriage, and the being lifted in and out, brought on so much pain, that Katy begged that he would not ask her to go again.	But the motion of the carriage, and the being lifted in and out, brought on so much pain, that Katy begged that he would not ask her to go again.	false	113.18	120.34	20
2230_132101_000006_000002	So there was nothing to be done but wait for cooler weather.	So there was nothing to be done but wait for cooler weather.	true	120.89	123.55	18.682945
2230_132101_000006_000003	The summer dragged on, and all who loved Katy rejoiced when it was over.	The summer dragged on, and all who loved Katy rejoiced when it was over.	true	124.04	128.5	18.549192
2230_132101_000007_000000	When September came, with cool mornings and nights, and fresh breezes, smelling of pine woods, and hill-tops, all things seemed to revive, and Katy with them.	When September came, with cool mornings and nights, and fresh breezes, smelling of pine woods, and hill tops, all things seemed to revive, and Katy with them.	true	128.75	137.47	19.666172
2230_132101_000007_000001	She began to crochet and to read.	She began to crochet and to read.	true	137.99	139.93	17.574026
2230_132101_000007_000002	After a while she collected her books again, and tried to study as Cousin Helen had advised.	After a while she collected her books again, and tried to study as Cousin Helen had advised.	true	140.18	145.21	20.023493
2230_132101_000007_000003	But so many idle weeks made it seem harder work than ever.	But so many idle weeks made it seem harder work than ever.	true	145.61	148.72	20.41871
