2397_162253_000000_000000	CHAPTER XXII	CHAPTER twenty two	true	20.475	21.91	23
2397_162253_000001_000000	BEHIND THE BARS	BEHIND THE BARS	true	21.92	23.5	12.305987
2397_162253_000002_000000	In the whirl and excitement following the startling outcry from the flats, all Fort Frayne was speedily involved.	In the whirl and excitement following the startling outcry from the flats, all Fort Frayne was speedily involved.	true	24.2	31.45	16
2397_162253_000002_000001	The guard came rushing through the night, Corporal Shannon stumbling over a prostrate form,--the sentry on Number Six, gagged and bound.	The guard came rushing through the night, Corporal Shannon stumbling over a prostrate form,--the sentry on Number Six, gagged and bound.	true	31.49	39.82	19
2397_162253_000002_000002	The steward shouted from the hospital porch that Eagle Wing, the prisoner patient, had escaped through the rear window, despite its height above the sloping ground.	The steward shouted from the hospital porch that Eagle Wing, the prisoner patient, had escaped through the rear window, despite its height above the sloping ground.	true	40.1	49.815	15
2397_162253_000002_000003	A little ladder, borrowed from the quartermaster's corral, was found a moment later.	A little ladder, borrowed from the quartermaster's corral, was found a moment later.	true	49.815	53.95	11
2397_162253_000002_000004	An Indian pony, saddled Sioux fashion, was caught running, riderless, toward the trader's back gate, his horsehair bridle torn half way from his shaggy head.	An Indian pony, saddled Sioux fashion, was caught running, riderless, toward the trader's back gate, his horsehair bridle torn half way from his shaggy head.	false	54.17	63.48	11
2397_162253_000002_000005	Sergeant Crabb, waiting for no orders from the major, no sooner heard that Moreau was gone, than he rushed his stable guard to the saddleroom, and in fifteen minutes had, not only his own squad, but half a dozen "casual" troopers circling the post in search of the trail, and in less than half an hour was hot in chase of two fleeing horsemen, dimly seen ahead through the starlight, across the snowy wastes.	Sergeant Crabb, waiting for no orders from the major, no sooner heard that Moreau was gone, than he rushed his stable guard to the saddleroom, and in fifteen minutes had, not only his own squad, but half a dozen "casual" troopers circling the post in search of the trail, and in less than half an hour was hot in chase of two fleeing horsemen, dimly seen ahead through the starlight, across the snowy wastes.	false	63.48	88.9	12
2397_162253_000002_000006	That snowfall was the Sioux's undoing.	That snowfall was the Sioux's undoing.	true	89.42	91.96	16
2397_162253_000002_000007	Without it the trail would have been invisible at night.	Without it the trail would have been invisible at night.	false	92.24	94.995	13
2397_162253_000002_000008	With it, the pursued were well-nigh hopeless from the start.	With it, the pursued were well nigh hopeless from the start.	true	94.995	98.805	15.059507
2397_162253_000002_000009	Precious time had been lost in circling far out south of the post before making for the ford, whither Crabb's instinct sent him at once, to the end that he and two of his fellows ploughed through the foaming waters, barely five hundred yards behind the chase, and, as they rode vehemently onward through the starlight, straining every nerve, they heard nothing of the happenings about the Fosters' doorway, where by this time post commander, post surgeon, post quartermaster and acting post adjutant, post ordnance, quartermaster and commissary sergeants, many of the post guard and most of the post laundresses had gathered--some silent, anxious and bewildered, some excitedly babbling; while, within the sergeant's domicile, Esther Dade, very pale and somewhat out of breath, was trying with quiet self possession to answer the myriad questions poured at her, while Dr. Waller was ministering to the dazed and moaning sentry, and, in an adjoining tenement, a little group had gathered about an unconscious form.	Precious time had been lost in circling far out south of the post before making for the ford, whither Crabb's instinct sent him at once, to the end that he and two of his fellows ploughed through the foaming waters, barely five hundred yards behind the chase, and, as they rode vehemently onward through the starlight, straining every nerve, they heard nothing of the happenings about the Fosters' doorway, where by this time post commander, post surgeon, post quartermaster and acting post adjutant, post ordnance, quartermaster and commissary sergeants, many of the post guard and most of the post laundresses had gathered-some silent, anxious and bewildered, some excitedly babbling; while, within the sergeant's domicile, esther Dade, very pale and somewhat out of breath, was trying with quiet self possession to answer the myriad questions poured at her, while dr Waller was ministering to the dazed and moaning sentry, and, in an adjoining tenement, a little group had gathered about an unconscious form.	false	98.805	164.43	14
2397_162253_000002_000010	Someone had sent for Mrs. Hay, who was silently, tearfully chafing the limp and almost lifeless hands of a girl in Indian garb.	Someone had sent for mrs Hay, who was silently, tearfully chafing the limp and almost lifeless hands of a girl in Indian garb.	false	164.43	172.81	11
2397_162253_000002_000011	The cloak and skirts of civilization had been found beneath the window of the deserted room, and were exhibited as a means of bringing to his senses a much bewildered major, whose first words on entering the hut gave rise to wonderment in the eyes of most of his hearers, and to an impulsive reply from the lips of Mrs. Hay.	The cloak and skirts of civilization had been found beneath the window of the deserted room, and were exhibited as a means of bringing to his senses a much bewildered major, whose first words on entering the hut gave rise to wonderment in the eyes of most of his hearers, and to an impulsive reply from the lips of mrs Hay.	true	172.85	193.335	12
2397_162253_000003_000000	"I warned the general that girl would play us some Indian trick, but he ordered her release," said Flint, and with wrathful emphasis came the answer.	"I warned the general that girl would play us some Indian trick, but he ordered her release," said Flint, and with wrathful emphasis came the answer.	false	193.335	201.61	18.280972
2397_162253_000004_000000	"The general warned you _this_ girl would play you a trick, and, thanks to no one but you, she's done it!"	"The general warned you underscore this underscore girl would play you a trick, and, thanks to no one but you, she's done it!"	false	201.65	208.36	15
2397_162253_000005_000000	Then rising and stepping aside, the long-suffering woman revealed the pallid, senseless face,--not of the little Indian maid, her shrinking charge and guest,--but of the niece she loved and had lived and lied for many and trying years--Nanette La Fleur, a long-lost sister's only child.	Then rising and stepping aside, the long suffering woman revealed the pallid, senseless face,--not of the little Indian maid, her shrinking charge and guest,--but of the niece she loved and had lived and lied for many and trying years-Nanette La Fleur, a long lost sister's only child.	true	208.52	227.175	13
2397_162253_000006_000000	So Blake knew what he was talking about that keen November morning among the pines at Bear Cliff.	So Blake knew what he was talking about that keen November morning among the pines at Bear Cliff.	false	227.175	232.635	11
2397_162253_000006_000001	He had unearthed an almost forgotten legend of old Fort Laramie.	He had unearthed an almost forgotten legend of old Fort Laramie.	true	232.635	236.98	11
2397_162253_000007_000000	But the amaze and discomfiture of the temporary post commander turned this night of thanksgiving, so far as he was concerned, into something purgatorial.	But the amaze and discomfiture of the temporary post commander turned this night of thanksgiving, so far as he was concerned, into something purgatorial.	true	237.14	246	13
2397_162253_000007_000001	The sight of his sentry, bound, gagged and bleeding,--the discovery of the ladder and of the escape of the prisoner, for whom he was accountable, had filled him with dismay, yet for the moment failed to stagger his indomitable self esteem.	The sight of his sentry, bound, gagged and bleeding,--the discovery of the ladder and of the escape of the prisoner, for whom he was accountable, had filled him with dismay, yet for the moment failed to stagger his indomitable self esteem.	false	246	260.26	18
2397_162253_000007_000002	There had been a plot, of course, and the instant impulse of his soul was to fix the blame on others and to free himself.	There had been a plot, of course, and the instant impulse of his soul was to fix the blame on others and to free himself.	false	260.69	267.4	14
2397_162253_000007_000003	An Indian trick, of course, and who but the little Indian maid within the trader's gates could be the instrument! Through her, of course, the conspirators about the post had been enabled to act.	An Indian trick, of course, and who but the little Indian maid within the trader's gates could be the instrument! Through her, of course, the conspirators about the post had been enabled to act.	false	267.68	278.71	17
2397_162253_000007_000004	She was the general's _protegee_, not his, and the general must shoulder the blame.	She was the general's underscore protegee underscore, not his, and the general must shoulder the blame.	false	278.81	284.11	18
2397_162253_000007_000005	Even when Flint saw Nanette, self convicted through her very garb and her presence at the scene of the final struggle,--even when assured it was she and not the little Ogalalla girl who had been caught in the act,--that the latter, in fact, had never left the trader's house, his disproportioned mind refused to grasp the situation. Nanette, he declared, with pallid face, "must have been made a victim." "Nothing could have been farther from her thoughts than complicity in the escape of Eagle Wing." "She had every reason to desire his restoration to health, strength and to the fostering care of the good and charitable body of Christian people interested in his behalf." "All this would be endangered by his attempt to rejoin the warriors on the warpath." The major ordered the instant arrest of the sentry stationed at the door of the hospital room--shut out by the major's own act from all possibility of seeing what was going on within.	Even when Flint saw Nanette, self convicted through her very garb and her presence at the scene of the final struggle,--even when assured it was she and not the little Ogalalla girl who had been caught in the act,--that the latter, in fact, had never left the trader's house, his disproportioned mind refused to grasp the situation. Nanette, he declared, with pallid face, "must have been made a victim." "Nothing could have been farther from her thoughts than complicity in the escape of Eagle Wing." "She had every reason to desire his restoration to health, strength and to the fostering care of the good and charitable body of Christian people interested in his behalf." "All this would be endangered by his attempt to rejoin the warriors on the warpath." The major ordered the instant arrest of the sentry stationed at the door of the hospital room-shut out by the major's own act from all possibility of seeing what was going on within.	false	284.15	341.59	18
2397_162253_000007_000006	He ordered under arrest the corporal of the relief on post for presumable complicity, and, mindful of a famous case of Ethiopian skill then new in the public mind, demanded of Dr. Waller that he say in so many words that the gag and wrist thongs on the prostrate sentry had not been self applied. Waller impassively pointed to the huge lump at the base of the sufferer's skull, "Gag and bonds he might have so placed, after much assiduous practice," said he, "but no man living could hit himself such a blow at the back of the head."	He ordered under arrest the corporal of the relief on post for presumable complicity, and, mindful of a famous case of Ethiopian skill then new in the public mind, demanded of dr Waller that he say in so many words that the gag and wrist thongs on the prostrate sentry had not been self applied. Waller impassively pointed to the huge lump at the base of the sufferer's skull, "Gag and bonds he might have so placed, after much assiduous practice," said he, "but no man living could hit himself such a blow at the back of the head."	true	341.72	375.82	15
2397_162253_000008_000000	"Who could have done it, then?" asked Flint.	"Who could have done it, then?" asked Flint.	false	376.19	378.615	22.847462
2397_162253_000008_000001	It was inconceivable to Waller's mind that any one of the soldiery could have been tempted to such perfidy for an Indian's sake.	It was inconceivable to Waller's mind that any one of the soldiery could have been tempted to such perfidy for an Indian's sake.	true	378.615	386.14	12
2397_162253_000008_000002	There was not at the moment an Indian scout or soldier at the post, or an Indian warrior, not a prisoner, unaccounted for.	There was not at the moment an Indian scout or soldier at the post, or an Indian warrior, not a prisoner, unaccounted for.	true	386.3	393.55	16
2397_162253_000008_000003	There had been halfbreeds hanging about the store prior to the final escapade of Pete and Crapaud, but these had realized their unpopularity after the battle on the Elk, and had departed for other climes.	There had been halfbreeds hanging about the store prior to the final escapade of Pete and Crapaud, but these had realized their unpopularity after the battle on the Elk, and had departed for other climes.	false	393.89	406.29	14
2397_162253_000008_000004	Crapaud was still under guard.	Crapaud was still under guard.	false	406.29	408.045	16
2397_162253_000008_000005	Pete was still at large, perchance, with Stabber's braves.	Pete was still at large, perchance, with Stabber's braves.	true	408.045	411.49	16
2397_162253_000008_000006	There was not another man about the trader's place whom Flint or others could suspect.	There was not another man about the trader's place whom Flint or others could suspect.	true	411.8	417.04	15
2397_162253_000008_000007	Yet the sergeant of the guard, searching cautiously with his lantern about the post of Number Six, had come upon some suggestive signs.	Yet the sergeant of the guard, searching cautiously with his lantern about the post of Number Six, had come upon some suggestive signs.	false	417.26	425.83	14
2397_162253_000008_000008	The snow was trampled and bloody about the place where the soldier fell, and there were here and there the tracks of moccasined feet,--those of a young woman or child going at speed toward the hospital, running, probably, and followed close by a moccasined man.	The snow was trampled and bloody about the place where the soldier fell, and there were here and there the tracks of moccasined feet,--those of a young woman or child going at speed toward the hospital, running, probably, and followed close by a moccasined man.	true	426.08	440.92	14
2397_162253_000008_000009	Then those of the man, alone, went sprinting down the bluff southeastward over the flats some distance south of the Foster's doorway and up the opposite bluff, to a point where four ponies, shoeless, had been huddled for as much, perhaps, as half an hour.	Then those of the man, alone, went sprinting down the bluff southeastward over the flats some distance south of the Foster's doorway and up the opposite bluff, to a point where four ponies, shoeless, had been huddled for as much, perhaps, as half an hour.	false	440.99	456.94	14
2397_162253_000008_000010	Then all four had come scampering down close together into the space below the hospital, not fifty yards from where the sentry fell, and the moccasined feet of a man and woman had scurried down the bluff from the hospital window, to meet them west of Foster's shanty. Then there had been confusion,--trouble of some kind: One pony, pursued a short distance, had broken away; the others had gone pounding out southeastward up the slope and out over the uplands, then down again, in wide sweep, through the valley of the little rivulet and along the low bench southwest of the fort, crossing the Rock Springs road and striking, further on, diagonally, the Rawlins trail, where Crabb and his fellows had found it and followed.	Then all four had come scampering down close together into the space below the hospital, not fifty yards from where the sentry fell, and the moccasined feet of a man and woman had scurried down the bluff from the hospital window, to meet them west of Foster's shanty. Then there had been confusion,--trouble of some kind: One pony, pursued a short distance, had broken away; the others had gone pounding out southeastward up the slope and out over the uplands, then down again, in wide sweep, through the valley of the little rivulet and along the low bench southwest of the fort, crossing the Rock Springs road and striking, further on, diagonally, the Rawlins trail, where Crabb and his fellows had found it and followed.	false	456.98	500.82	15
2397_162253_000009_000000	But all this took hours of time, and meanwhile, only half revived, Nanette had been gently, pityingly borne away to a sorrowing woman's home, for at last it was found, through the thick and lustrous hair, that she, too, had been struck a harsh and cruel blow; that one reason, probably, why she had been able to oppose no stouter resistance to so slender a girl as Esther Dade was that she was already half dazed through the stroke of some blunt, heavy weapon, wielded probably by him she was risking all to save.	But all this took hours of time, and meanwhile, only half revived, Nanette had been gently, pityingly borne away to a sorrowing woman's home, for at last it was found, through the thick and lustrous hair, that she, too, had been struck a harsh and cruel blow; that one reason, probably, why she had been able to oppose no stouter resistance to so slender a girl as esther Dade was that she was already half dazed through the stroke of some blunt, heavy weapon, wielded probably by him she was risking all to save.	false	500.82	533.2	14
2397_162253_000010_000000	Meantime the major had been pursuing his investigations.	Meantime the major had been pursuing his investigations.	true	533.3	536.94	17
2397_162253_000010_000001	Schmidt, the soldier sentry in front of Moreau's door, a simple-hearted Teuton of irreproachable character, tearfully protested against his incarceration. He had obeyed his orders to the letter.	Schmidt, the soldier sentry in front of Moreau's door, a simple hearted Teuton of irreproachable character, tearfully protested against his incarceration. He had obeyed his orders to the letter.	true	536.94	549.46	18
2397_162253_000010_000002	The major himself had brought the lady to the hospital and showed her in.	The major himself had brought the lady to the hospital and showed her in.	false	549.65	553.62	17.33532
2397_162253_000010_000003	The door that had been open, permitting the sentry constant sight of his prisoner, had been closed by the commanding officer himself.	The door that had been open, permitting the sentry constant sight of his prisoner, had been closed by the commanding officer himself.	true	553.62	561.48	13
2397_162253_000010_000004	Therefore, it was not for him, a private soldier, to presume to reopen it.	Therefore, it was not for him, a private soldier, to presume to reopen it.	false	561.48	566.715	18
2397_162253_000010_000005	The major said to the lady he would return for her soon after ten, and the lady smilingly (Schmidt did not say how smilingly,--how bewitchingly smilingly, but the major needed no reminder) thanked him, and said, by that time she would be ready.	The major said to the lady he would return for her soon after ten, and the lady smilingly (Schmidt did not say how smilingly,--how bewitchingly smilingly, but the major needed no reminder) thanked him, and said, by that time she would be ready.	false	566.715	582.82	15
2397_162253_000010_000006	In a few minutes she came out, saying, (doubtless with the same bewitching smile) she would have to run over home for something, and she was gone nearly half an hour, and all that time the door was open, the prisoner on the bed in his blankets, the lamp brightly burning.	In a few minutes she came out, saying, (doubtless with the same bewitching smile) she would have to run over home for something, and she was gone nearly half an hour, and all that time the door was open, the prisoner on the bed in his blankets, the lamp brightly burning.	false	583.19	599.11	15
2397_162253_000010_000007	It was near tattoo when she returned, with some things under her cloak, and she was breathing quick and seemed hurried and shut the door after thanking him, and he saw no more of her for fifteen minutes, when the door opened and out she came, the same cloak around her, yet she looked different, somehow, and must have tiptoed, for he didn't hear her heels as he had before.	It was near tattoo when she returned, with some things under her cloak, and she was breathing quick and seemed hurried and shut the door after thanking him, and he saw no more of her for fifteen minutes, when the door opened and out she came, the same cloak around her, yet she looked different, somehow, and must have tiptoed, for he didn't hear her heels as he had before.	false	599.36	622.18	16
2397_162253_000010_000008	She didn't seem quite so tall, either, and that was all, for he never knew anything more about it till the steward came running to tell of the escape.	She didn't seem quite so tall, either, and that was all, for he never knew anything more about it till the steward came running to tell of the escape.	true	622.22	631.14	19
2397_162253_000011_000000	So Schmidt could throw but little light upon the situation, save to Flint himself, who did not then see fit to say to anyone that at no time was it covenanted that Miss Flower should be allowed to go and come unattended.	So Schmidt could throw but little light upon the situation, save to Flint himself, who did not then see fit to say to anyone that at no time was it covenanted that Miss Flower should be allowed to go and come unattended.	false	631.14	643.81	10
2397_162253_000011_000001	In doing so she had deluded someone beside the sentry.	In doing so she had deluded someone beside the sentry.	true	644	647.53	16
2397_162253_000012_000000	It was late in the night when Number Six regained his senses and could tell _his_ tale, which was even more damaging.	It was late in the night when Number Six regained his senses and could tell underscore his underscore tale, which was even more damaging.	false	647.57	654.195	12
