2427_154697_000003_000000	MR VILLARS TO LADY HOWARD Berry Hill, May 2.	MR VILLARS TO LADY HOWARD Berry Hill, may second.
2427_154697_000004_000000	YOUR letter, Madam, has opened a source of anxiety, to which I look forward with dread, and which, to see closed, I scarcely dare expect.	YOUR letter, Madam, has opened a source of anxiety, to which I look forward with dread, and which, to see closed, I scarcely dare expect.
2427_154697_000004_000001	I am unwilling to oppose my opinion to that of your Ladyship; nor, indeed, can I, but by arguments which I believe will rather rank me as a hermit ignorant of the world, and fit only for my cell, than as a proper guardian, in an age such as this, for an accomplished young woman.	I am unwilling to oppose my opinion to that of your Ladyship; nor, indeed, can I, but by arguments which I believe will rather rank me as a hermit ignorant of the world, and fit only for my cell, than as a proper guardian, in an age such as this, for an accomplished young woman.
2427_154697_000005_000001	On the fatal day that her gentle soul left its mansion, and not many hours ere she ceased to breathe, I solemnly plighted my faith, That her child if it lived, should know no father but myself, or her acknowledged husband.	On the fatal day that her gentle soul left its mansion, and not many hours ere she ceased to breathe, I solemnly plighted my faith, That her child if it lived, should know no father but myself, or her acknowledged husband.
2427_154697_000006_000000	You cannot, Madam, suppose that I found much difficulty in adhering to this promise, and forbearing to make any claim upon Sir John Belmont.	You cannot, Madam, suppose that I found much difficulty in adhering to this promise, and forbearing to make any claim upon Sir john Belmont.
2427_154697_000006_000001	Could I feel an affection the most paternal for this poor sufferer, and not abominate her destroyer?	Could I feel an affection the most paternal for this poor sufferer, and not abominate her destroyer?
2427_154697_000006_000002	Could I wish to deliver to him, who had so basely betrayed the mother, the helpless and innocent offspring, who, born in so much sorrow, seemed entitled to all the compassionate tenderness of pity?	Could I wish to deliver to him, who had so basely betrayed the mother, the helpless and innocent offspring, who, born in so much sorrow, seemed entitled to all the compassionate tenderness of pity?
2427_154697_000008_000000	You wish to be acquainted with my intentions.-I must acknowledge they were such as I now perceive would not be honoured with your Ladyship's approbation; for though I have sometimes thought of presenting Evelina to her father, and demanding the justice which is her due, yet, at other times, I have both disdained and feared the application; disdained lest it should be refused; and feared, lest it should be accepted!	You wish to be acquainted with my intentions.-I must acknowledge they were such as I now perceive would not be honoured with your Ladyship's approbation; for though I have sometimes thought of presenting Evelina to her father, and demanding the justice which is her due, yet, at other times, I have both disdained and feared the application; disdained lest it should be refused; and feared, lest it should be accepted!
2427_154697_000009_000001	And often would she say, "Should the poor babe have any feelings correspondent with its mother's, it will have no want while under your protection." Alas! she had no sooner quitted it herself, than she was plunged into a gulph of misery, that swallowed up her peace, reputation, and life.	And often would she say, "Should the poor babe have any feelings correspondent with its mother's, it will have no want while under your protection." Alas! she had no sooner quitted it herself, than she was plunged into a gulph of misery, that swallowed up her peace, reputation, and life.
2427_154697_000010_000000	During the childhood of Evelina, I suggested a thousand plans for the security of her birth-right;-but I as many times rejected them.	During the childhood of Evelina, I suggested a thousand plans for the security of her birth right;-but I as many times rejected them.
2427_154697_000010_000003	My plan, therefore, was not merely to educate and to cherish her as my own, but to adopt her the heiress of my small fortune, and to bestow her upon some worthy man, with whom she might spend her days in tranquility, cheerfulness, and good-humour, untainted by vice, folly, or ambition.	My plan, therefore, was not merely to educate and to cherish her as my own, but to adopt her the heiress of my small fortune, and to bestow her upon some worthy man, with whom she might spend her days in tranquility, cheerfulness, and good humour, untainted by vice, folly, or ambition.
