2562_157263_000002_000000	CHAPTER III	CHAPTER three
2562_157263_000003_000000	TREACHERY	TREACHERY
2562_157263_000004_000000	The day following the coming of Vas Kor to the palace of the Prince of Helium great excitement reigned throughout the twin cities, reaching its climax in the palace of Carthoris.	The day following the coming of Vas Kor to the palace of the Prince of Helium great excitement reigned throughout the twin cities, reaching its climax in the palace of Carthoris.
2562_157263_000005_000000	In the council chamber of John Carter, Warlord of Mars, was Tardos Mors, Jeddak of Helium; Mors Kajak, his son, Jed of Lesser Helium; Carthoris, and a score of the great nobles of the empire.	In the council chamber of john Carter, Warlord of Mars, was Tardos Mors, Jeddak of Helium; Mors Kajak, his son, Jed of Lesser Helium; Carthoris, and a score of the great nobles of the empire.
2562_157263_000006_000001	"That you are innocent of the charge that has been placed against you by insinuation, we well know; but Thuvan Dihn must know it well, too.	"That you are innocent of the charge that has been placed against you by insinuation, we well know; but Thuvan Dihn must know it well, too.
2562_157263_000007_000000	"There is but one who may convince him, and that one be you.	"There is but one who may convince him, and that one be you.
2562_157263_000007_000002	Bear with you the authority of the Warlord of Barsoom, and of the Jeddak of Helium to offer every resource of the allied powers to assist Thuvan Dihn to recover his daughter and punish her abductors, whomsoever they may be.	Bear with you the authority of the Warlord of Barsoom, and of the Jeddak of Helium to offer every resource of the allied powers to assist Thuvan Dihn to recover his daughter and punish her abductors, whomsoever they may be.
2562_157263_000008_000000	"Go!	"Go!
2562_157263_000008_000001	I know that I do not need to urge upon you the necessity for haste."	I know that I do not need to urge upon you the necessity for haste."
2562_157263_000009_000000	Carthoris left the council chamber, and hastened to his palace.	Carthoris left the council chamber, and hastened to his palace.
2562_157263_000010_000000	Here slaves were busy in a moment setting things to rights for the departure of their master.	Here slaves were busy in a moment setting things to rights for the departure of their master.
2562_157263_000011_000000	At last all was done.	At last all was done.
2562_157263_000011_000001	But two armed slaves remained on guard. The setting sun hung low above the horizon.	But two armed slaves remained on guard. The setting sun hung low above the horizon.
2562_157263_000011_000002	In a moment darkness would envelop all.	In a moment darkness would envelop all.
2562_157263_000012_000000	One of the guardsmen, a giant of a fellow across whose right cheek there ran a thin scar from temple to mouth, approached his companion. His gaze was directed beyond and above his comrade.	One of the guardsmen, a giant of a fellow across whose right cheek there ran a thin scar from temple to mouth, approached his companion. His gaze was directed beyond and above his comrade.
2562_157263_000012_000001	When he had come quite close he spoke.	When he had come quite close he spoke.
2562_157263_000013_000000	"What strange craft is that?" he asked.	"What strange craft is that?" he asked.
2562_157263_000014_000000	The other turned about quickly to gaze heavenward.	The other turned about quickly to gaze heavenward.
2562_157263_000014_000001	Scarce was his back turned toward the giant than the short-sword of the latter was plunged beneath his left shoulder blade, straight through his heart.	Scarce was his back turned toward the giant than the short sword of the latter was plunged beneath his left shoulder blade, straight through his heart.
2562_157263_000015_000000	Voiceless, the soldier sank in his tracks--stone dead.	Voiceless, the soldier sank in his tracks-stone dead.
2562_157263_000015_000001	Quickly the murderer dragged the corpse into the black shadows within the hangar.	Quickly the murderer dragged the corpse into the black shadows within the hangar.
2562_157263_000015_000002	Then he returned to the flier.	Then he returned to the flier.
2562_157263_000016_000000	Drawing a cunningly wrought key from his pocket-pouch, he removed the cover of the right-hand dial of the controlling destination compass.	Drawing a cunningly wrought key from his pocket pouch, he removed the cover of the right-hand dial of the controlling destination compass.
2562_157263_000016_000001	For a moment he studied the construction of the mechanism beneath.	For a moment he studied the construction of the mechanism beneath.
2562_157263_000016_000002	Then he returned the dial to its place, set the pointer, and removed it again to note the resultant change in the position of the parts affected by the act.	Then he returned the dial to its place, set the pointer, and removed it again to note the resultant change in the position of the parts affected by the act.
2562_157263_000017_000000	A smile crossed his lips.	A smile crossed his lips.
2562_157263_000017_000001	With a pair of cutters he snipped off the projection which extended through the dial from the external pointer--now the latter might be moved to any point upon the dial without affecting the mechanism below.	With a pair of cutters he snipped off the projection which extended through the dial from the external pointer-now the latter might be moved to any point upon the dial without affecting the mechanism below.
2562_157263_000017_000002	In other words, the eastern hemisphere dial was useless.	In other words, the eastern hemisphere dial was useless.
2562_157263_000018_000000	Now he turned his attention to the western dial.	Now he turned his attention to the western dial.
2562_157263_000018_000002	Afterward he removed the cover of this dial also, and with keen tool cut the steel finger from the under side of the pointer.	Afterward he removed the cover of this dial also, and with keen tool cut the steel finger from the under side of the pointer.
2562_157263_000019_000000	As quickly as possible he replaced the second dial cover, and resumed his place on guard.	As quickly as possible he replaced the second dial cover, and resumed his place on guard.
2562_157263_000019_000001	To all intents and purposes the compass was as efficient as before; but, as a matter of fact, the moving of the pointers upon the dials resulted now in no corresponding shift of the mechanism beneath--and the device was set, immovably, upon a destination of the slave's own choosing.	To all intents and purposes the compass was as efficient as before; but, as a matter of fact, the moving of the pointers upon the dials resulted now in no corresponding shift of the mechanism beneath-and the device was set, immovably, upon a destination of the slave's own choosing.
2562_157263_000020_000000	Presently came Carthoris, accompanied by but a handful of his gentlemen.	Presently came Carthoris, accompanied by but a handful of his gentlemen.
2562_157263_000020_000001	He cast but a casual glance upon the single slave who stood guard.	He cast but a casual glance upon the single slave who stood guard.
2562_157263_000020_000002	The fellow's thin, cruel lips, and the sword-cut that ran from temple to mouth aroused the suggestion of an unpleasant memory within him.	The fellow's thin, cruel lips, and the sword cut that ran from temple to mouth aroused the suggestion of an unpleasant memory within him.
2562_157263_000022_000000	It could not have been he, thought Carthoris, for on the very night that Thuvia was taken Astok had been in Dusar, and yet--	It could not have been he, thought Carthoris, for on the very night that Thuvia was taken Astok had been in Dusar, and yet-
2562_157263_000024_000000	With a word of farewell he touched the button which controlled the repulsive rays, and as the flier rose lightly into the air, the engine purred in answer to the touch of his finger upon a second button, the propellers whirred as his hand drew back the speed lever, and Carthoris, Prince of Helium, was off into the gorgeous Martian night beneath the hurtling moons and the million stars.	With a word of farewell he touched the button which controlled the repulsive rays, and as the flier rose lightly into the air, the engine purred in answer to the touch of his finger upon a second button, the propellers whirred as his hand drew back the speed lever, and Carthoris, Prince of Helium, was off into the gorgeous Martian night beneath the hurtling moons and the million stars.
2562_157263_000025_000000	Scarce had the flier found its speed ere the man, wrapping his sleeping silks and furs about him, stretched at full length upon the narrow deck to sleep.	Scarce had the flier found its speed ere the man, wrapping his sleeping silks and furs about him, stretched at full length upon the narrow deck to sleep.
2562_157263_000026_000000	But sleep did not come at once at his bidding.	But sleep did not come at once at his bidding.
2562_157263_000027_000000	Instead, his thoughts ran riot in his brain, driving sleep away. He recalled the words of Thuvia of Ptarth, words that had half assured him that she loved him; for when he had asked her if she loved Kulan Tith, she had answered only that she was promised to him.	Instead, his thoughts ran riot in his brain, driving sleep away. He recalled the words of Thuvia of Ptarth, words that had half assured him that she loved him; for when he had asked her if she loved Kulan Tith, she had answered only that she was promised to him.
2562_157263_000028_000000	Now he saw that her reply was open to more than a single construction. It might, of course, mean that she did not love Kulan Tith; and so, by inference, be taken to mean that she loved another.	Now he saw that her reply was open to more than a single construction. It might, of course, mean that she did not love Kulan Tith; and so, by inference, be taken to mean that she loved another.
2562_157263_000029_000000	But what assurance was there that the other was Carthoris of Helium?	But what assurance was there that the other was Carthoris of Helium?
2562_157263_000030_000000	The more he thought upon it the more positive he became that not only was there no assurance in her words that she loved him, but none either in any act of hers.	The more he thought upon it the more positive he became that not only was there no assurance in her words that she loved him, but none either in any act of hers.
2562_157263_000030_000001	No, the fact was, she did not love him.	No, the fact was, she did not love him.
2562_157263_000030_000002	She loved another.	She loved another.
2562_157263_000030_000003	She had not been abducted--she had fled willingly with her lover.	She had not been abducted-she had fled willingly with her lover.
2562_157263_000031_000000	With such pleasant thoughts filling him alternately with despair and rage, Carthoris at last dropped into the sleep of utter mental exhaustion.	With such pleasant thoughts filling him alternately with despair and rage, Carthoris at last dropped into the sleep of utter mental exhaustion.
2562_157263_000032_000000	The breaking of the sudden dawn found him still asleep.	The breaking of the sudden dawn found him still asleep.
2562_157263_000032_000001	His flier was rushing swiftly above a barren, ochre plain--the world-old bottom of a long-dead Martian sea.	His flier was rushing swiftly above a barren, ochre plain-the world old bottom of a long dead Martian sea.
2562_157263_000034_000000	The countless dismal windows, vacant and forlorn, stared, sightless, from their marble walls; the whole sad city taking on the semblance of scattered mounds of dead men's sun-bleached skulls--the casements having the appearance of eyeless sockets, the portals, grinning jaws.	The countless dismal windows, vacant and forlorn, stared, sightless, from their marble walls; the whole sad city taking on the semblance of scattered mounds of dead men's sun bleached skulls-the casements having the appearance of eyeless sockets, the portals, grinning jaws.
2562_157263_000036_000000	Above the central plaza it stopped, slowly settling Marsward. Within a hundred yards of the ground it came to rest, floating gently in the light air, and at the same instant an alarm sounded at the sleeper's ear.	Above the central plaza it stopped, slowly settling Marsward. Within a hundred yards of the ground it came to rest, floating gently in the light air, and at the same instant an alarm sounded at the sleeper's ear.
2562_157263_000037_000000	Carthoris sprang to his feet.	Carthoris sprang to his feet.
2562_157263_000037_000002	Beside him, already, there should have been an air patrol.	Beside him, already, there should have been an air patrol.
2562_157263_000038_000000	He gazed about in bewildered astonishment.	He gazed about in bewildered astonishment.
2562_157263_000039_000000	No patrol boat lay ready with its familiar challenge.	No patrol boat lay ready with its familiar challenge.
2562_157263_000039_000001	Silent and empty lay the great city--empty and silent the surrounding air.	Silent and empty lay the great city-empty and silent the surrounding air.
2562_157263_000040_000000	What had happened?	What had happened?
2562_157263_000041_000000	Carthoris examined the dial of his compass.	Carthoris examined the dial of his compass.
2562_157263_000041_000003	He would not believe it.	He would not believe it.
2562_157263_000042_000000	Quickly he unlocked the cover, turning it back upon its hinge.	Quickly he unlocked the cover, turning it back upon its hinge.
2562_157263_000042_000001	A single glance showed him the truth, or at least a part of it--the steel projection that communicated the movement of the pointer upon the dial to the heart of the mechanism beneath had been severed.	A single glance showed him the truth, or at least a part of it-the steel projection that communicated the movement of the pointer upon the dial to the heart of the mechanism beneath had been severed.
2562_157263_000043_000000	Who could have done the thing--and why?	Who could have done the thing-and why?
2562_157263_000044_000000	Carthoris could not hazard even a faint guess.	Carthoris could not hazard even a faint guess.
2562_157263_000044_000001	But the thing now was to learn in what portion of the world he was, and then take up his interrupted journey once more.	But the thing now was to learn in what portion of the world he was, and then take up his interrupted journey once more.
