2688_144987_000000_000000	Remember this proportion:	Remember this proportion:	false	5.04	8.37	16.442638
2688_144987_000001_000000	The Robin : The North :: The Mockingbird : The South.	The Robin : The North  The Mockingbird : The South.	false	8.37	22.305	19.017944
2688_144987_000002_000000	CHAPTER XXX	CHAPTER thirty	true	22.305	23.32	18.578363
2688_144987_000003_000000	NEW LAWS NEEDED IN THE STATES (Continued)	NEW LAWS NEEDED IN THE STATES (Continued)	true	24.35	27.4	20.268755
2688_144987_000004_000000	MAINE:	MAINE:	true	28.76	29.5	20.262766
2688_144987_000005_000000	There are reasons for the belief that Maine is conserving her large game better than any other state or province in North America.	There are reasons for the belief that Maine is conserving her large game better than any other state or province in North America.	true	30.38	36.7	17
2688_144987_000005_000001	One glance over her laws is sufficient to convince anyone that instead of studying the clamor of her shooting population, Maine has actually been studying the needs of her game, and providing for those needs.	One glance over her laws is sufficient to convince anyone that instead of studying the clamor of her shooting population, Maine has actually been studying the needs of her game, and providing for those needs.	true	37.49	49.3	18.633295
2688_144987_000005_000002	If all other states were doing equally well, the task of writing a book of admonition would have been unnecessary.	If all other states were doing equally well, the task of writing a book of admonition would have been unnecessary.	true	50.06	56.29	19.229486
2688_144987_000005_000003	The proof of Maine's alertness is to be found in the number of her extra short, or entirely closed, seasons on game.	The proof of Maine's alertness is to be found in the number of her extra short, or entirely closed, seasons on game.	true	57.26	63.7	18
2688_144987_000005_000004	For example:	For example:	true	64.16	65.26	22.024355
2688_144987_000006_000000	Cow and calf moose are permanently protected.	Cow and calf moose are permanently protected.	true	66.59	69.345	20.404228
2688_144987_000007_000000	Only bull moose, with at least two 3-inch prongs on its horns, may be killed.	Only bull moose, with at least two three-inch prongs on its horns, may be killed.	true	69.345	74.14	20.42471
2688_144987_000008_000000	Caribou have had a close season since 1899.	Caribou have had a close season since eighteen ninety nine.	true	75.23	78.64	18.356922
2688_144987_000009_000000	On gray and black squirrels, doves and quail, there is no open season.	On gray and black squirrels, doves and quail, there is no open season.	true	79.85	83.98	18
2688_144987_000010_000000	The open season for deer varies from ten weeks to four weeks, and in parts of three counties there is no open season at all.	The open season for deer varies from ten weeks to four weeks, and in parts of three counties there is no open season at all.	true	84.68	91.3	20
2688_144987_000011_000000	Silencers are prohibited, and firearms in forests may be prohibited by the Governor during droughts.	Silencers are prohibited, and firearms in forests may be prohibited by the Governor during droughts.	true	92.42	97.96	17
2688_144987_000012_000000	Nearly all wild-fowl shooting ends January 1, but in two places, on December 1.	Nearly all wild fowl shooting ends january first, but in two places, on december first.	true	99.47	105.13	19
2688_144987_000013_000000	People who have not learned the facts habitually think of Maine as a vast killing-ground for deer; and it is well for it to be known that the hunting-grounds have been carefully designated, according to the abundance or scarcity of game.	People who have not learned the facts habitually think of Maine as a vast killing ground for deer; and it is well for it to be known that the hunting grounds have been carefully designated, according to the abundance or scarcity of game.	false	106.73	118.75	18.776947
2688_144987_000014_000000	Maine has wisely chosen to regard her hunting-grounds and her deer as a valuable asset, and she manages them accordingly.	Maine has wisely chosen to regard her hunting grounds and her deer as a valuable asset, and she manages them accordingly.	true	120.53	127.06	17.490156
2688_144987_000014_000001	To be a guide in that state is to be a good citizen, and a protector of game from illegal slaughter.	To be a guide in that state is to be a good citizen, and a protector of game from illegal slaughter.	false	127.91	133.15	19
2688_144987_000014_000002	No non-resident may hunt without a licensed guide.	No non resident may hunt without a licensed guide.	true	134.45	137.44	17.869917
2688_144987_000014_000003	The licenses for the thousands of deer killed in Maine each year, and the expenses of the visiting sportsmen who hunt them, annually bring into the state and leave there a huge sum of money, variously estimated at from $2,000,000 to $3,000,000.	The licenses for the thousands of deer killed in Maine each year, and the expenses of the visiting sportsmen who hunt them, annually bring into the state and leave there a huge sum of money, variously estimated at from two million dollars to three million dollars.	false	137.6	153.46	18.510218
2688_144987_000014_000004	One can only guess at the amount from the number of non-resident licenses issued; but certainly the total can not be less than $1,000,000.	One can only guess at the amount from the number of non resident licenses issued; but certainly the total can not be less than one million dollars.	true	155.21	163.33	18.52874
2688_144987_000015_000000	Although Mr. L.T.	Although mr l t	true	164.75	165.9	19
2688_144987_000015_000001	Carleton is no longer chairman of the Commission of Inland Fisheries and Game, the splendid services that he rendered the state of Maine during his thirteen years of service, especially in the creation of a good code of game laws, constitute an imperishable monument to his name and fame.	Carleton is no longer chairman of the Commission of Inland Fisheries and Game, the splendid services that he rendered the state of Maine during his thirteen years of service, especially in the creation of a good code of game laws, constitute an imperishable monument to his name and fame.	true	165.9	182.17	19
2688_144987_000016_000000	There is very little that Maine needs in the line of new legislation, or better protection to her game.	There is very little that Maine needs in the line of new legislation, or better protection to her game.	true	183.2	189.25	19.194767
2688_144987_000016_000001	With the enactment of a resident license law and a five-year close season for woodcock, plover, snipe and sandpipers, I think her laws for the protection of wild life would be sufficiently perfect for all practical purposes.	With the enactment of a resident license law and a five year close season for woodcock, plover, snipe and sandpipers, I think her laws for the protection of wild life would be sufficiently perfect for all practical purposes.	true	189.59	203.35	18.458723
2688_144987_000016_000002	The Pine-Tree State is to be congratulated upon its wise and efficient handling of the wild-life situation.	The Pine Tree State is to be congratulated upon its wise and efficient handling of the wild life situation.	true	204.74	210.88	17
2688_144987_000017_000000	MARYLAND:	MARYLAND:	true	212.66	213.55	20.609192
2688_144987_000018_000000	How has it come to pass that Maryland _lacks_ more good wild-life laws than any other state in the Union except North Carolina?	How has it come to pass that Maryland underscore lacks underscore more good wild life laws than any other state in the Union except North Carolina?	false	214.64	222.67	17
2688_144987_000018_000001	Of the really fundamental protective laws, embracing the list that to every self-respecting state seems indispensable, Maryland has almost none save certain bag-limit laws!	Of the really fundamental protective laws, embracing the list that to every self respecting state seems indispensable, Maryland has almost none save certain bag limit laws!	true	223.55	235.18	19.548992
2688_144987_000018_000002	Otherwise, the state is wide open!	Otherwise, the state is wide open!	true	235.94	238	20.468569
2688_144987_000018_000003	It is indeed high time that she should abandon her present attitude of hostility to wild life, and become a good neighbor.	It is indeed high time that she should abandon her present attitude of hostility to wild life, and become a good neighbor.	true	238.55	244.93	19.410051
2688_144987_000018_000004	She should do what is _fair_ and _right_ about the protection of the migratory game and bird life that annually passes twice through her territory!	She should do what is underscore fair underscore and underscore right underscore about the protection of the migratory game and bird life that annually passes twice through her territory!	false	245.87	252.73	17
2688_144987_000019_000000	At the last session of the Maryland legislature, the law preventing the use of power boats in wild-fowl shooting was repealed.	At the last session of the Maryland legislature, the law preventing the use of power boats in wild fowl shooting was repealed.	true	254.33	261.28	20.311565
2688_144987_000019_000001	That was a step ten years backward; and Maryland should be ashamed of it!	That was a step ten years backward; and Maryland should be ashamed of it!	false	261.47	265.38	20.448458
2688_144987_000020_000000	The list of things that Maryland must do in order to clear her record is a long one.	The list of things that Maryland must do in order to clear her record is a long one.	false	265.38	271.39	18.58134
2688_144987_000020_000001	Here it is:	Here it is:	true	271.88	272.71	19.92748
2688_144987_000021_000000	Local regulations should be replaced by a uniform state law.	Local regulations should be replaced by a uniform state law.	true	274.43	278.14	19.463614
2688_144987_000022_000000	The sale of all native wild game should be stopped.	The sale of all native wild game should be stopped.	true	279.05	281.89	19.32036
2688_144987_000023_000000	Spring and late winter shooting of game should be stopped.	Spring and late winter shooting of game should be stopped.	true	282.35	285.61	18.230515
2688_144987_000024_000000	All non-game birds not already included under the statutes should be protected.	All non game birds not already included under the statutes should be protected.	true	286.7	291.4	18
2688_144987_000025_000000	The exportation of all game should be prohibited, unless accompanied by the man who shot it, bearing his license, and the law should be state-wide instead of depending upon a separate enactment for each county.	The exportation of all game should be prohibited, unless accompanied by the man who shot it, bearing his license, and the law should be state-wide instead of depending upon a separate enactment for each county.	false	292.28	302.91	17
2688_144987_000026_000000	There should be a hunter's license law for all who hunt.	There should be a hunter's license law for all who hunt.	false	302.91	306.97	17.015396
2688_144987_000027_000000	The use of machine shotguns in hunting should be stopped, at once.	The use of machine shotguns in hunting should be stopped, at once.	true	307.73	311.35	17
2688_144987_000028_000000	Stop the use of power boats in wild-fowl shooting.	Stop the use of power boats in wild fowl shooting.	true	312.26	315.28	19
2688_144987_000029_000000	MASSACHUSETTS:	MASSACHUSETTS:	true	317.33	318.49	24.235996
2688_144987_000030_000000	In 1912 the state of Massachusetts moved up into the foremost rank of states, where for one year New York had stood alone.	In nineteen twelve the state of Massachusetts moved up into the foremost rank of states, where for one year New York had stood alone.	true	320.15	327.94	19
2688_144987_000030_000001	She passed a counterpart of the New York law, absolutely prohibiting the sale of all wild American game in Massachusetts, but providing for the sale of game that has been reared in preserves and tagged by state officers.	She passed a counterpart of the New York law, absolutely prohibiting the sale of all wild American game in Massachusetts, but providing for the sale of game that has been reared in preserves and tagged by state officers.	true	328.91	342.22	19
2688_144987_000030_000002	This victory was achieved only after three months of hard fighting.	This victory was achieved only after three months of hard fighting.	true	343.76	347.44	19
2688_144987_000030_000003	The coalition of sportsmen, zoologists and friends of wild life in general proved irresistible, just as a similar union of forces accomplished the Bayne law in New York in 1911.	The coalition of sportsmen, zoologists and friends of wild life in general proved irresistible, just as a similar union of forces accomplished the Bayne law in New York in nineteen eleven.	true	347.72	358.3	18
2688_144987_000030_000004	The victory is highly instructive, as great victories usually are.	The victory is highly instructive, as great victories usually are.	true	359.15	362.89	20.302912
2688_144987_000030_000005	It proves once more that whenever the American people can be aroused from their normal apathy regarding wild life, _any good conservation legislation can be enacted!_ The prime necessities to success are good measures, good management, a reasonable campaign fund, and tireless energy and persistence.	It proves once more that whenever the American people can be aroused from their normal apathy regarding wild life, underscore any good conservation legislation can be enacted!underscore The prime necessities to success are good measures, good management, a reasonable campaign fund, and tireless energy and persistence.	false	363.2	382.42	19.58573
2688_144987_000030_000006	Massachusetts is to be roundly congratulated on having so thoroughly cleaned up her sale-of-game situation.	Massachusetts is to be roundly congratulated on having so thoroughly cleaned up her sale of game situation.	true	383.12	389.92	18.894619
2688_144987_000031_000000	Incidentally, five bills for the repeal of the Massachusetts law against spring shooting were introduced, and each one went down to the defeat that it deserved.	Incidentally, five bills for the repeal of the Massachusetts law against spring shooting were introduced, and each one went down to the defeat that it deserved.	false	390.92	399.99	19.856197
2688_144987_000031_000001	_The repeal of a spring-shooting law, anywhere, is a step backward ten years!_	underscore The repeal of a spring shooting law, anywhere, is a step backward ten years!underscore	false	399.99	406.86	20.061625
2688_144987_000032_000000	Massachusetts needs a bag-limit law more in keeping with her small remnant of wild life; and that she will have ere long.	Massachusetts needs a bag limit law more in keeping with her small remnant of wild life; and that she will have ere long.	true	406.86	413.5	18
2688_144987_000032_000001	Very soon, also, her sportsmen will raise the standard of ethics in shotgun shooting, by barring out the automatic and pump shotguns so much beloved by the market shooters.	Very soon, also, her sportsmen will raise the standard of ethics in shotgun shooting, by barring out the automatic and pump shotguns so much beloved by the market shooters.	true	413.99	425.05	20.218847
2688_144987_000032_000002	As matters stand at this date (1912) the Old Bay State needs the following new laws:	As matters stand at this date (nineteen twelve) the Old Bay State needs the following new laws:	true	426.17	432.85	20.55212
2688_144987_000033_000000	Low bag limits on all game.	Low bag limits on all game.	true	434.57	436.72	21.139542
2688_144987_000034_000000	Five-year close seasons on all shore birds, snipe and woodcock.	Five year close seasons on all shore birds, snipe and woodcock.	false	437.54	441.31	18
2688_144987_000035_000000	Expulsion of the automatic and pump shotguns, in hunting.	Expulsion of the automatic and pump shotguns, in hunting.	true	441.74	445.45	20.044178
2688_144987_000036_000000	MICHIGAN:	MICHIGAN:	true	447.44	448.27	25.024792
2688_144987_000037_000000	On the whole, the game laws of Michigan are in excellent shape, and leave little to be desired in the line of betterment except to be simplified.	On the whole, the game laws of Michigan are in excellent shape, and leave little to be desired in the line of betterment except to be simplified.	true	448.58	456.28	19.423506
2688_144987_000037_000001	All the game protected by the laws of the state is debarred from sale; squirrels, pinnated grouse, doves and wild turkeys enjoy long close seasons; the bag limits on deer and game birds are reasonably low; spring shooting still is possible on nine species of ducks; and this should be stopped without delay.	All the game protected by the laws of the state is debarred from sale; squirrels, pinnated grouse, doves and wild turkeys enjoy long close seasons; the bag limits on deer and game birds are reasonably low; spring shooting still is possible on nine species of ducks; and this should be stopped without delay.	true	456.95	475.12	20.296202
2688_144987_000038_000000	Only three or four suggestions are in order:	Only three or four suggestions are in order:	true	476.21	478.72	17.721123
2688_144987_000039_000000	All spring shooting should be prohibited.	All spring shooting should be prohibited.	true	479.63	481.99	21.292698
2688_144987_000040_000000	All shore birds should have a five-year close season.	All shore birds should have a five year close season.	true	482.39	485.56	17
2688_144987_000041_000000	The use of the machine shotguns in hunting should be stopped.	The use of the machine shotguns in hunting should be stopped.	true	486.32	489.37	18.534864
