2688_144987_000003_000000	NEW LAWS NEEDED IN THE STATES (Continued)	NEW LAWS NEEDED IN THE STATES (Continued)
2688_144987_000004_000000	MAINE:	MAINE:
2688_144987_000005_000004	For example:	For example:
2688_144987_000006_000000	Cow and calf moose are permanently protected.	Cow and calf moose are permanently protected.
2688_144987_000007_000000	Only bull moose, with at least two 3-inch prongs on its horns, may be killed.	Only bull moose, with at least two three-inch prongs on its horns, may be killed.
2688_144987_000010_000000	The open season for deer varies from ten weeks to four weeks, and in parts of three counties there is no open season at all.	The open season for deer varies from ten weeks to four weeks, and in parts of three counties there is no open season at all.
2688_144987_000017_000000	MARYLAND:	MARYLAND:
2688_144987_000018_000002	Otherwise, the state is wide open!	Otherwise, the state is wide open!
2688_144987_000019_000000	At the last session of the Maryland legislature, the law preventing the use of power boats in wild-fowl shooting was repealed.	At the last session of the Maryland legislature, the law preventing the use of power boats in wild fowl shooting was repealed.
2688_144987_000029_000000	MASSACHUSETTS:	MASSACHUSETTS:
2688_144987_000030_000004	The victory is highly instructive, as great victories usually are.	The victory is highly instructive, as great victories usually are.
2688_144987_000032_000001	Very soon, also, her sportsmen will raise the standard of ethics in shotgun shooting, by barring out the automatic and pump shotguns so much beloved by the market shooters.	Very soon, also, her sportsmen will raise the standard of ethics in shotgun shooting, by barring out the automatic and pump shotguns so much beloved by the market shooters.
2688_144987_000032_000002	As matters stand at this date (1912) the Old Bay State needs the following new laws:	As matters stand at this date (nineteen twelve) the Old Bay State needs the following new laws:
2688_144987_000033_000000	Low bag limits on all game.	Low bag limits on all game.
2688_144987_000035_000000	Expulsion of the automatic and pump shotguns, in hunting.	Expulsion of the automatic and pump shotguns, in hunting.
2688_144987_000036_000000	MICHIGAN:	MICHIGAN:
2688_144987_000037_000001	All the game protected by the laws of the state is debarred from sale; squirrels, pinnated grouse, doves and wild turkeys enjoy long close seasons; the bag limits on deer and game birds are reasonably low; spring shooting still is possible on nine species of ducks; and this should be stopped without delay.	All the game protected by the laws of the state is debarred from sale; squirrels, pinnated grouse, doves and wild turkeys enjoy long close seasons; the bag limits on deer and game birds are reasonably low; spring shooting still is possible on nine species of ducks; and this should be stopped without delay.
2688_144987_000039_000000	All spring shooting should be prohibited.	All spring shooting should be prohibited.
2688_144987_000043_000000	Two or three state game preserves, for deer, each at least four miles square, should be established without delay.	Two or three state game preserves, for deer, each at least four miles square, should be established without delay.
2688_144987_000046_000000	There should be five-year close seasons enacted for quail, grouse, plover, woodcock, snipe, and all other shore birds.	There should be five year close seasons enacted for quail, grouse, plover, woodcock, snipe, and all other shore birds.
2688_144987_000049_000000	The state should prohibit the use of machine guns in hunting.	The state should prohibit the use of machine guns in hunting.
2688_144987_000052_000000	MISSISSIPPI:	MISSISSIPPI:
