2751_142362_000004_000000	Chapter XXIII	Chapter twenty three
2751_142362_000005_000000	Dinner-Time	Dinner Time
2751_142362_000006_000001	But Mr. Mills, the butler, assured him that Captain Donnithorne had given particular orders about it, and would be very angry if Adam was not there.	But mr Mills, the butler, assured him that Captain Donnithorne had given particular orders about it, and would be very angry if Adam was not there.
2751_142362_000008_000000	"Nay, nay, lad," said Seth, "thy honour's our honour; and if thee get'st respect, thee'st won it by thy own deserts.	"Nay, nay, lad," said Seth, "thy honour's our honour; and if thee get'st respect, thee'st won it by thy own deserts.
2751_142362_000010_000000	"Well, thee canst say thee wast ordered to come without being told the reason.	"Well, thee canst say thee wast ordered to come without being told the reason.
2751_142362_000010_000001	That's the truth.	That's the truth.
2751_142362_000011_000000	Adam was not the only guest invited to come upstairs on other grounds than the amount he contributed to the rent-roll.	Adam was not the only guest invited to come upstairs on other grounds than the amount he contributed to the rent roll.
2751_142362_000011_000001	There were other people in the two parishes who derived dignity from their functions rather than from their pocket, and of these Bartle Massey was one.	There were other people in the two parishes who derived dignity from their functions rather than from their pocket, and of these Bartle Massey was one.
2751_142362_000011_000003	Opportunities of getting to Hetty's side would be sure to turn up in the course of the day, and Adam contented himself with that for he disliked any risk of being "joked" about Hetty--the big, outspoken, fearless man was very shy and diffident as to his love-making.	Opportunities of getting to Hetty's side would be sure to turn up in the course of the day, and Adam contented himself with that for he disliked any risk of being "joked" about Hetty-the big, outspoken, fearless man was very shy and diffident as to his love making.
2751_142362_000013_000000	"Ah!" said Bartle, pausing, with one hand on his back.	"Ah!" said Bartle, pausing, with one hand on his back.
2751_142362_000013_000001	"Then there's something in the wind--there's something in the wind.	"Then there's something in the wind-there's something in the wind.
2751_142362_000013_000002	Have you heard anything about what the old squire means to do?"	Have you heard anything about what the old squire means to do?"
2751_142362_000014_000000	"Why, yes," said Adam; "I'll tell you what I know, because I believe you can keep a still tongue in your head if you like, and I hope you'll not let drop a word till it's common talk, for I've particular reasons against its being known."	"Why, yes," said Adam; "I'll tell you what I know, because I believe you can keep a still tongue in your head if you like, and I hope you'll not let drop a word till it's common talk, for I've particular reasons against its being known."
2751_142362_000015_000000	"Trust to me, my boy, trust to me.	"Trust to me, my boy, trust to me.
2751_142362_000015_000002	If you trust a man, let him be a bachelor--let him be a bachelor."	If you trust a man, let him be a bachelor-let him be a bachelor."
2751_142362_000016_000002	But if anybody asks any questions upstairs, just you take no notice, and turn the talk to something else, and I'll be obliged to you.	But if anybody asks any questions upstairs, just you take no notice, and turn the talk to something else, and I'll be obliged to you.
