2774_131722_000001_000000	MAGNETIC ORE MILLING WORK	MAGNETIC ORE MILLING WORK
2774_131722_000002_000000	DURING the Hudson-Fulton celebration of October, 1909, Burgomaster Van Leeuwen, of Amsterdam, member of the delegation sent officially from Holland to escort the Half Moon and participate in the functions of the anniversary, paid a visit to the Edison laboratory at Orange to see the inventor, who may be regarded as pre-eminent among those of Dutch descent in this country.	DURING the Hudson Fulton celebration of October, nineteen o nine, Burgomaster Van Leeuwen, of Amsterdam, member of the delegation sent officially from Holland to escort the Half Moon and participate in the functions of the anniversary, paid a visit to the Edison laboratory at Orange to see the inventor, who may be regarded as pre-eminent among those of Dutch descent in this country.
2774_131722_000004_000001	In other words, Mr. Edison was at least a quarter of a century ahead of the times in the work now to be considered.	In other words, mr Edison was at least a quarter of a century ahead of the times in the work now to be considered.
2774_131722_000005_000004	During the twenty-eight years that have intervened it has never come back." This incident was really the prelude to the development set forth in this chapter.	During the twenty eight years that have intervened it has never come back." This incident was really the prelude to the development set forth in this chapter.
2774_131722_000006_000001	This ore could be excavated very cheaply by means of improved mining facilities, and transported at low cost to lake ports.	This ore could be excavated very cheaply by means of improved mining facilities, and transported at low cost to lake ports.
2774_131722_000006_000002	Hence the iron and steel mills east of the Alleghanies--compelled to rely on limited local deposits of Bessemer ore, and upon foreign ores which were constantly rising in value--began to sustain a serious competition with Western mills, even in Eastern markets.	Hence the iron and steel mills east of the Alleghanies-compelled to rely on limited local deposits of Bessemer ore, and upon foreign ores which were constantly rising in value-began to sustain a serious competition with Western mills, even in Eastern markets.
2774_131722_000007_000002	To pay railroad charges on ores carrying perhaps 80 to 90 per cent. of useless material would be prohibitive.	To pay railroad charges on ores carrying perhaps eighty to ninety per cent. of useless material would be prohibitive.
2774_131722_000007_000003	Hence the elimination of the worthless "gangue" by concentration of the iron particles associated with it, seemed to be the only solution of the problem.	Hence the elimination of the worthless "gangue" by concentration of the iron particles associated with it, seemed to be the only solution of the problem.
2774_131722_000008_000000	Many attempts had been made in by-gone days to concentrate the iron in such ores by water processes, but with only a partial degree of success. The impossibility of obtaining a uniform concentrate was a most serious objection, had there not indeed been other difficulties which rendered this method commercially impracticable.	Many attempts had been made in by gone days to concentrate the iron in such ores by water processes, but with only a partial degree of success. The impossibility of obtaining a uniform concentrate was a most serious objection, had there not indeed been other difficulties which rendered this method commercially impracticable.
2774_131722_000008_000003	At the time he took up the matter, however, no one seems to have realized the full meaning of the tremendous problems involved.	At the time he took up the matter, however, no one seems to have realized the full meaning of the tremendous problems involved.
2774_131722_000009_000000	From 1880 to 1885, while still very busy in the development of his electric-light system, Edison found opportunity to plan crushing and separating machinery.	From eighteen eighty to eighteen eighty five, while still very busy in the development of his electric light system, Edison found opportunity to plan crushing and separating machinery.
2774_131722_000009_000001	His first patent on the subject was applied for and issued early in 1880.	His first patent on the subject was applied for and issued early in eighteen eighty.
2774_131722_000009_000003	It was his opinion that it was cheaper to quarry and concentrate lean ore in a big way than to attempt to mine, under adverse circumstances, limited bodies of high-grade ore.	It was his opinion that it was cheaper to quarry and concentrate lean ore in a big way than to attempt to mine, under adverse circumstances, limited bodies of high grade ore.
2774_131722_000009_000005	It may be stated as broadly true that Edison engineered to handle immense masses of stuff automatically, while his predecessors aimed chiefly at close separation.	It may be stated as broadly true that Edison engineered to handle immense masses of stuff automatically, while his predecessors aimed chiefly at close separation.
2774_131722_000010_000000	Reduced to its barest, crudest terms, the proposition of magnetic separation is simplicity itself.	Reduced to its barest, crudest terms, the proposition of magnetic separation is simplicity itself.
2774_131722_000010_000003	The non-magnetic gangue descends in a straight line to the other side of the partition.	The non magnetic gangue descends in a straight line to the other side of the partition.
2774_131722_000010_000004	Thus a complete separation is effected.	Thus a complete separation is effected.
2774_131722_000011_000000	Simple though the principle appears, it was in its application to vast masses of material and in the solving of great engineering problems connected therewith that Edison's originality made itself manifest in the concentrating works that he established in New Jersey, early in the nineties.	Simple though the principle appears, it was in its application to vast masses of material and in the solving of great engineering problems connected therewith that Edison's originality made itself manifest in the concentrating works that he established in New Jersey, early in the nineties.
2774_131722_000011_000002	These are too numerous to specify in detail, as they extended throughout the various ramifications of the plant, but the principal ones are worthy of mention, such as:	These are too numerous to specify in detail, as they extended throughout the various ramifications of the plant, but the principal ones are worthy of mention, such as:
2774_131722_000013_000001	His genius as an inventor is revealed in many details of the great concentrating plant....	His genius as an inventor is revealed in many details of the great concentrating plant....
2774_131722_000014_000000	A cursory glance at these problems will reveal their import.	A cursory glance at these problems will reveal their import.
2774_131722_000015_000000	"I knew it was a commercial problem to produce high-grade Bessemer ore from these deposits, and took steps to acquire a large amount of the property.	"I knew it was a commercial problem to produce high grade Bessemer ore from these deposits, and took steps to acquire a large amount of the property.
2774_131722_000015_000001	I also planned a great magnetic survey of the East, and I believe it remains the most comprehensive of its kind yet performed.	I also planned a great magnetic survey of the East, and I believe it remains the most comprehensive of its kind yet performed.
2774_131722_000015_000002	I had a number of men survey a strip reaching from Lower Canada to North Carolina.	I had a number of men survey a strip reaching from Lower Canada to North Carolina.
2774_131722_000015_000003	The only instrument we used was the special magnetic needle. We started in Lower Canada and travelled across the line of march twenty-five miles; then advanced south one thousand feet; then back across the line of march again twenty-five miles; then south another thousand feet, across again, and so on.	The only instrument we used was the special magnetic needle. We started in Lower Canada and travelled across the line of march twenty five miles; then advanced south one thousand feet; then back across the line of march again twenty five miles; then south another thousand feet, across again, and so on.
2774_131722_000015_000004	Thus we advanced all the way to North Carolina, varying our cross-country march from two to twenty-five miles, according to geological formation.	Thus we advanced all the way to North Carolina, varying our cross-country march from two to twenty five miles, according to geological formation.
2774_131722_000015_000006	We also knew the width, length, and approximate depth of every one of these deposits, which were enormous.	We also knew the width, length, and approximate depth of every one of these deposits, which were enormous.
2774_131722_000016_000000	"The amount of ore disclosed by this survey was simply fabulous.	"The amount of ore disclosed by this survey was simply fabulous.
2774_131722_000016_000002	I also secured sixteen thousand acres in which the deposit was proportionately as large.	I also secured sixteen thousand acres in which the deposit was proportionately as large.
