278_127215_000000_000000	"Oh, papa, I am so glad!"	"Oh, papa, I am so glad!"	false	0	0	
278_127215_000001_000000	"My darling child!	"My darling child!	false	0	0.03	-1
278_127215_000001_000001	It did cost me a pang at first, Nelly, to think that you should lose your pretty drawing-room, and your ponies, and your garden: the garden will be the worst of all;--but there is a garden at Crabtree, a very pretty garden."	It did cost me a pang at first, Nelly, to think that you should lose your pretty drawing room, and your ponies, and your garden: the garden will be the worst of all;--but there is a garden at Crabtree, a very pretty garden."	false	0.03	0.24	-3
278_127215_000002_000000	Crabtree Parva was the name of the small living which Mr Harding had held as a minor canon, and which still belonged to him.	Crabtree Parva was the name of the small living which Mr Harding had held as a minor canon, and which still belonged to him.	false	0.24	0.36	-20
278_127215_000002_000001	It was only worth some eighty pounds a year, and a small house and glebe, all of which were now handed over to Mr Harding's curate; but it was to Crabtree glebe that Mr Harding thought of retiring.	It was only worth some eighty pounds a year, and a small house and glebe, all of which were now handed over to Mr Harding's curate; but it was to Crabtree glebe that Mr Harding thought of retiring.	false	0.36	0.555	4
278_127215_000002_000002	This parish must not be mistaken for that other living, Crabtree Canonicorum, as it is called.	This parish must not be mistaken for that other living, Crabtree Canonicorum, as it is called.	false	0.555	1.11	22
278_127215_000002_000003	Crabtree Canonicorum is a very nice thing; there are only two hundred parishioners; there are four hundred acres of glebe; and the great and small tithes, which both go to the rector, are worth four hundred pounds a year more.	Crabtree Canonicorum is a very nice thing; there are only two hundred parishioners; there are four hundred acres of glebe; and the great and small tithes, which both go to the rector, are worth four hundred pounds a year more.	false	1.11	6.6	26.390108
278_127215_000002_000004	Crabtree Canonicorum is in the gift of the dean and chapter, and is at this time possessed by the Honourable and Reverend Dr Vesey Stanhope, who also fills the prebendal stall of Goosegorge in Barchester Chapter, and holds the united rectory of Eiderdown and Stogpingum, or Stoke Pinquium, as it should be written. This is the same Dr Vesey Stanhope whose hospitable villa on the Lake of Como is so well known to the _elite_ of English travellers, and whose collection of Lombard butterflies is supposed to be unique.	Crabtree Canonicorum is in the gift of the dean and chapter, and is at this time possessed by the Honourable and Reverend Dr Vesey Stanhope, who also fills the prebendal stall of Goosegorge in Barchester Chapter, and holds the united rectory of Eiderdown and Stogpingum, or Stoke Pinquium, as it should be written. This is the same Dr Vesey Stanhope whose hospitable villa on the Lake of Como is so well known to the underscore elite underscore of English travellers, and whose collection of Lombard butterflies is supposed to be unique.	false	6.6	7.74	17
278_127215_000003_000000	"Yes," said the warden, musing, "there is a very pretty garden at Crabtree;--but I shall be sorry to disturb poor Smith." Smith was the curate of Crabtree, a gentleman who was maintaining a wife and half a dozen children on the income arising from his profession.	"Yes," said the warden, musing, "there is a very pretty garden at Crabtree;--but I shall be sorry to disturb poor Smith." Smith was the curate of Crabtree, a gentleman who was maintaining a wife and half a dozen children on the income arising from his profession.	false	7.74	7.74	
278_127215_000004_000000	Eleanor assured her father that, as far as she was concerned, she could leave her house and her ponies without a single regret.	Eleanor assured her father that, as far as she was concerned, she could leave her house and her ponies without a single regret.	false	7.74	7.74	
278_127215_000004_000001	She was only so happy that he was going--going where he would escape all this dreadful turmoil.	She was only so happy that he was going-going where he would escape all this dreadful turmoil.	false	7.74	7.74	
