278_127215_000010_000000	Chapter XIV	Chapter fourteen
278_127215_000011_000000	MOUNT OLYMPUS	MOUNT OLYMPUS
278_127215_000012_000000	Wretched in spirit, groaning under the feeling of insult, self-condemning, and ill-satisfied in every way, Bold returned to his London lodgings.	Wretched in spirit, groaning under the feeling of insult, self condemning, and ill satisfied in every way, Bold returned to his London lodgings.
278_127215_000012_000001	Ill as he had fared in his interview with the archdeacon, he was not the less under the necessity of carrying out his pledge to Eleanor; and he went about his ungracious task with a heavy heart.	Ill as he had fared in his interview with the archdeacon, he was not the less under the necessity of carrying out his pledge to Eleanor; and he went about his ungracious task with a heavy heart.
278_127215_000013_000000	The attorneys whom he had employed in London received his instructions with surprise and evident misgiving; however, they could only obey, and mutter something of their sorrow that such heavy costs should only fall upon their own employer,--especially as nothing was wanting but perseverance to throw them on the opposite party.	The attorneys whom he had employed in London received his instructions with surprise and evident misgiving; however, they could only obey, and mutter something of their sorrow that such heavy costs should only fall upon their own employer,--especially as nothing was wanting but perseverance to throw them on the opposite party.
278_127215_000014_000000	He next thought of the newspapers.	He next thought of the newspapers.
278_127215_000014_000002	He had been very intimate with Tom Towers, and had often discussed with him the affairs of the hospital.	He had been very intimate with Tom Towers, and had often discussed with him the affairs of the hospital.
278_127215_000014_000004	He did not even know, as a fact, that they had been written by his friend.	He did not even know, as a fact, that they had been written by his friend.
278_127215_000014_000005	Tom Towers had never said that such a view of the case, or such a side in the dispute, would be taken by the paper with which he was connected.	Tom Towers had never said that such a view of the case, or such a side in the dispute, would be taken by the paper with which he was connected.
278_127215_000014_000007	Nevertheless Bold believed that to him were owing those dreadful words which had caused such panic at Barchester,--and he conceived himself bound to prevent their repetition.	Nevertheless Bold believed that to him were owing those dreadful words which had caused such panic at Barchester,--and he conceived himself bound to prevent their repetition.
278_127215_000014_000008	With this view he betook himself from the attorneys' office to that laboratory where, with amazing chemistry, Tom Towers compounded thunderbolts for the destruction of all that is evil, and for the furtherance of all that is good, in this and other hemispheres.	With this view he betook himself from the attorneys' office to that laboratory where, with amazing chemistry, Tom Towers compounded thunderbolts for the destruction of all that is evil, and for the furtherance of all that is good, in this and other hemispheres.
278_127215_000015_000000	Who has not heard of Mount Olympus,--that high abode of all the powers of type, that favoured seat of the great goddess Pica, that wondrous habitation of gods and devils, from whence, with ceaseless hum of steam and never-ending flow of Castalian ink, issue forth fifty thousand nightly edicts for the governance of a subject nation?	Who has not heard of Mount Olympus,--that high abode of all the powers of type, that favoured seat of the great goddess Pica, that wondrous habitation of gods and devils, from whence, with ceaseless hum of steam and never ending flow of Castalian ink, issue forth fifty thousand nightly edicts for the governance of a subject nation?
278_127215_000016_000000	Velvet and gilding do not make a throne, nor gold and jewels a sceptre.	Velvet and gilding do not make a throne, nor gold and jewels a sceptre.
278_127215_000016_000001	It is a throne because the most exalted one sits there,--and a sceptre because the most mighty one wields it.	It is a throne because the most exalted one sits there,--and a sceptre because the most mighty one wields it.
278_127215_000016_000003	Should a stranger make his way thither at dull noonday, or during the sleepy hours of the silent afternoon, he would find no acknowledged temple of power and beauty, no fitting fane for the great Thunderer, no proud facades and pillared roofs to support the dignity of this greatest of earthly potentates.	Should a stranger make his way thither at dull noonday, or during the sleepy hours of the silent afternoon, he would find no acknowledged temple of power and beauty, no fitting fane for the great Thunderer, no proud facades and pillared roofs to support the dignity of this greatest of earthly potentates.
278_127215_000016_000004	To the outward and uninitiated eye, Mount Olympus is a somewhat humble spot,--undistinguished, unadorned,--nay, almost mean.	To the outward and uninitiated eye, Mount Olympus is a somewhat humble spot,--undistinguished, unadorned,--nay, almost mean.
278_127215_000016_000006	"Is this Mount Olympus?" asks the unbelieving stranger.	"Is this Mount Olympus?" asks the unbelieving stranger.
278_127215_000016_000007	"Is it from these small, dark, dingy buildings that those infallible laws proceed which cabinets are called upon to obey; by which bishops are to be guided, lords and commons controlled, judges instructed in law, generals in strategy, admirals in naval tactics, and orange-women in the management of their barrows?" "Yes, my friend--from these walls.	"Is it from these small, dark, dingy buildings that those infallible laws proceed which cabinets are called upon to obey; by which bishops are to be guided, lords and commons controlled, judges instructed in law, generals in strategy, admirals in naval tactics, and orange women in the management of their barrows?" "Yes, my friend-from these walls.
278_127215_000016_000008	From here issue the only known infallible bulls for the guidance of British souls and bodies. This little court is the Vatican of England.	From here issue the only known infallible bulls for the guidance of British souls and bodies. This little court is the Vatican of England.
278_127215_000017_000001	With what endless care, with what unsparing labour, do we not strive to get together for our great national council the men most fitting to compose it.	With what endless care, with what unsparing labour, do we not strive to get together for our great national council the men most fitting to compose it.
278_127215_000017_000006	Why should we look to Lord John Russell;--why should we regard Palmerston and Gladstone, when Tom Towers without a struggle can put us right?	Why should we look to Lord john Russell;--why should we regard Palmerston and Gladstone, when Tom Towers without a struggle can put us right?
278_127215_000017_000007	Look at our generals, what faults they make; at our admirals, how inactive they are.	Look at our generals, what faults they make; at our admirals, how inactive they are.
278_127215_000017_000008	What money, honesty, and science can do, is done; and yet how badly are our troops brought together, fed, conveyed, clothed, armed, and managed. The most excellent of our good men do their best to man our ships, with the assistance of all possible external appliances; but in vain. All, all is wrong--alas! alas!	What money, honesty, and science can do, is done; and yet how badly are our troops brought together, fed, conveyed, clothed, armed, and managed. The most excellent of our good men do their best to man our ships, with the assistance of all possible external appliances; but in vain. All, all is wrong-alas! alas!
278_127215_000017_000009	Tom Towers, and he alone, knows all about it.	Tom Towers, and he alone, knows all about it.
278_127215_000017_000010	Why, oh why, ye earthly ministers, why have ye not followed more closely this heaven-sent messenger that is among us?	Why, oh why, ye earthly ministers, why have ye not followed more closely this heaven sent messenger that is among us?
278_127215_000018_000001	Would it not be wise in us to abandon useless talking, idle thinking, and profitless labour?	Would it not be wise in us to abandon useless talking, idle thinking, and profitless labour?
278_127215_000018_000003	Is not Tom Towers here, able to guide us and willing?	Is not Tom Towers here, able to guide us and willing?
