2823_160964_000000_000000	THE THREE SILLIES	THE THREE SILLIES	true	25.38	26.71	21.061543
2823_160964_000001_000000	ADAPTED BY JOSEPH JACOBS	ADAPTED BY JOSEPH JACOBS	true	26.9	29.5	23.874535
2823_160964_000002_000000	Once upon a time there was a farmer and his wife who had one daughter, and she was courted by a gentleman.	Once upon a time there was a farmer and his wife who had one daughter, and she was courted by a gentleman.	true	30.35	37.78	20.821959
2823_160964_000002_000001	Every evening he used to come and see her, and stop to supper at the farmhouse, and the daughter used to be sent down into the cellar to draw the beer for supper.	Every evening he used to come and see her, and stop to supper at the farmhouse, and the daughter used to be sent down into the cellar to draw the beer for supper.	true	38.45	50.44	20.278193
2823_160964_000002_000002	So one evening she had gone down to draw the beer, and she happened to look up at the ceiling while she was drawing, and she saw a mallet stuck in one of the beams.	So one evening she had gone down to draw the beer, and she happened to look up at the ceiling while she was drawing, and she saw a mallet stuck in one of the beams.	true	50.81	62.65	21.925606
2823_160964_000002_000003	It must have been there a long, long time, but somehow or other she had never noticed it before, and she began a-thinking.	It must have been there a long, long time, but somehow or other she had never noticed it before, and she began a thinking.	true	63.14	72.25	21.228178
2823_160964_000002_000004	And she thought it was very dangerous to have that mallet there, for she said to herself: "Suppose him and me was to be married, and we was to have a son, and he was to grow up to be a man, and come down into the cellar to draw the beer, like as I'm doing now, and the mallet was to fall on his head and kill him, what a dreadful thing it would be!" And she put down the candle and the jug, and sat herself down and began a-crying.	And she thought it was very dangerous to have that mallet there, for she said to herself: "Suppose him and me was to be married, and we was to have a son, and he was to grow up to be a man, and come down into the cellar to draw the beer, like as I'm doing now, and the mallet was to fall on his head and kill him, what a dreadful thing it would be!" And she put down the candle and the jug, and sat herself down and began a crying.	true	72.53	106.3	20.644962
2823_160964_000003_000000	Well, they began to wonder upstairs how it was that she was so long drawing the beer, and her mother went down to see after her, and she found her sitting on the settle crying, and the beer running over the floor.	Well, they began to wonder upstairs how it was that she was so long drawing the beer, and her mother went down to see after her, and she found her sitting on the settle crying, and the beer running over the floor.	true	107.75	122.38	18.355612
2823_160964_000003_000001	"Why, whatever is the matter?" said her mother.	"Why, whatever is the matter?" said her mother.	true	122.93	125.74	19.552303
2823_160964_000003_000002	"Oh, mother!" says she, "look at that horrid mallet!	"Oh, mother!" says she, "look at that horrid mallet!	true	125.84	129.76	23.246515
2823_160964_000003_000003	Suppose we was to be married, and was to have a son, and he was to grow up, and was to come down to the cellar to draw the beer, and the mallet was to fall on his head and kill him, what a dreadful thing it would be!" "Dear, dear!	Suppose we was to be married, and was to have a son, and he was to grow up, and was to come down to the cellar to draw the beer, and the mallet was to fall on his head and kill him, what a dreadful thing it would be!" "Dear, dear!	false	130.19	147.6	21.454926
2823_160964_000003_000004	what a dreadful thing it would be!" said the mother, and she sat her down beside the daughter and started crying too.	what a dreadful thing it would be!" said the mother, and she sat her down beside the daughter and started crying too.	true	147.6	155.5	20.473148
2823_160964_000003_000005	Then after a bit the father began to wonder that they didn't come back, and he went down into the cellar to look after them himself, and there they two sat crying, and the beer running all over the floor.	Then after a bit the father began to wonder that they didn't come back, and he went down into the cellar to look after them himself, and there they two sat crying, and the beer running all over the floor.	true	155.87	170.92	20.719173
2823_160964_000003_000006	"Whatever is the matter?" says he.	"Whatever is the matter?" says he.	true	171.8	174.28	19.90257
2823_160964_000003_000007	"Why," says the mother, "look at that horrid mallet. Just suppose, if our daughter and her sweetheart was to be married, and was to have a son, and he was to grow up, and was to come down into the cellar to draw the beer, and the mallet was to fall on his head and kill him, what a dreadful thing it would be!" "Dear, dear, dear! so it would!" said the father, and he sat himself down aside of the other two, and started a-crying.	"Why," says the mother, "look at that horrid mallet. Just suppose, if our daughter and her sweetheart was to be married, and was to have a son, and he was to grow up, and was to come down into the cellar to draw the beer, and the mallet was to fall on his head and kill him, what a dreadful thing it would be!" "Dear, dear, dear! so it would!" said the father, and he sat himself down aside of the other two, and started a crying.	false	174.44	204.01	21.560163
