288_121741_000000_000000	CHAPTER IV	CHAPTER four	true	23.055	24.25	23.251192
288_121741_000001_000000	Kirsty	Kirsty	true	24.74	25.57	20.743746
288_121741_000002_000000	My father had a housekeeper, a trusty woman, he considered her.	My father had a housekeeper, a trusty woman, he considered her.	true	25.76	29.71	20.205088
288_121741_000002_000001	We thought her _very_ old.	We thought her underscore very underscore old.	false	30.02	31.78	20.466122
288_121741_000002_000002	I suppose she was about forty.	I suppose she was about forty.	true	31.97	34.06	21.019733
288_121741_000002_000003	She was not pleasant, for she was grim-faced and censorious, with a very straight back, and a very long upper lip.	She was not pleasant, for she was grim faced and censorious, with a very straight back, and a very long upper lip.	true	34.43	41.92	21.890116
288_121741_000002_000004	Indeed the distance from her nose to her mouth was greater than the length of her nose.	Indeed the distance from her nose to her mouth was greater than the length of her nose.	true	42.05	46.66	20.417446
288_121741_000002_000005	When I think of her first, it is always as making some complaint to my father against us.	When I think of her first, it is always as making some complaint to my father against us.	true	47.21	52	21.15359
288_121741_000002_000006	Perhaps she meant to speak the truth, or rather, perhaps took it for granted that she always did speak the truth; but certainly she would exaggerate things, and give them quite another look.	Perhaps she meant to speak the truth, or rather, perhaps took it for granted that she always did speak the truth; but certainly she would exaggerate things, and give them quite another look.	true	52.73	63.97	19.399336
288_121741_000002_000007	The bones of her story might be true, but she would put a skin over it after her own fashion, which was not one of mildness and charity.	The bones of her story might be true, but she would put a skin over it after her own fashion, which was not one of mildness and charity.	false	64.88	74.08	20.3547
288_121741_000002_000008	The consequence was that the older we grew, the more our minds were alienated from her, and the more we came to regard her as our enemy. If she really meant to be our friend after the best fashion she knew, it was at least an uncomely kind of friendship, that showed itself in constant opposition, fault-finding, and complaint.	The consequence was that the older we grew, the more our minds were alienated from her, and the more we came to regard her as our enemy. If she really meant to be our friend after the best fashion she knew, it was at least an uncomely kind of friendship, that showed itself in constant opposition, fault finding, and complaint.	true	75.29	94.21	20.468143
288_121741_000002_000009	The real mistake was that we were boys.	The real mistake was that we were boys.	true	95.96	98.02	20.825766
288_121741_000002_000010	There was something in her altogether antagonistic to the boy-nature.	There was something in her altogether antagonistic to the boy nature.	true	98.9	102.91	20.58326
288_121741_000002_000011	You would have thought that to be a boy was in her eyes to be something wrong to begin with; that boys ought never to have been made; that they must always, by their very nature, be about something amiss.	You would have thought that to be a boy was in her eyes to be something wrong to begin with; that boys ought never to have been made; that they must always, by their very nature, be about something amiss.	false	103.22	116.58	19.120768
288_121741_000002_000012	I have occasionally wondered how she would have behaved to a girl.	I have occasionally wondered how she would have behaved to a girl.	true	116.58	119.89	19.328323
288_121741_000002_000013	On reflection, I think a little better; but the girl would have been worse off, because she could not have escaped from her as we did.	On reflection, I think a little better; but the girl would have been worse off, because she could not have escaped from her as we did.	true	120.47	127.06	20.257425
288_121741_000002_000014	My father would hear her complaints to the end without putting in a word, except it were to ask her a question, and when she had finished, would turn again to his book or his sermon, saying--	My father would hear her complaints to the end without putting in a word, except it were to ask her a question, and when she had finished, would turn again to his book or his sermon, saying-	false	128.51	138.88	21.710361
288_121741_000003_000000	"Very well, Mrs. Mitchell; I will speak to them about it."	"Very well, mrs Mitchell; I will speak to them about it."	true	140.27	143.56	21.102993
288_121741_000004_000000	My impression is that he did not believe the half she told him.	My impression is that he did not believe the half she told him.	true	145.4	148.63	19.39438
288_121741_000004_000001	At all events, when he had sent for us, he would ask our version of the affair, and listen to that as he had listened to hers.	At all events, when he had sent for us, he would ask our version of the affair, and listen to that as he had listened to hers.	false	148.94	155.65	19.537083
288_121741_000004_000002	Then he would set forth to us where we had been wrong, if we were wrong, and send us away with an injunction not to provoke Mrs. Mitchell, who couldn't help being short in her temper, poor thing!	Then he would set forth to us where we had been wrong, if we were wrong, and send us away with an injunction not to provoke mrs Mitchell, who couldn't help being short in her temper, poor thing!	true	156.62	167.23	20.66723
288_121741_000004_000003	Somehow or other we got it into our heads that the shortness of her temper was mysteriously associated with the shortness of her nose.	Somehow or other we got it into our heads that the shortness of her temper was mysteriously associated with the shortness of her nose.	false	168.11	175.84	18.713984
288_121741_000005_000000	She was saving even to stinginess.	She was saving even to stinginess.	true	177.92	180.04	20.61365
