2999_156967_000000_000000	(2) Mrs. Ballington Booth's Work for Released Prisoners.	(two) mrs Ballington Booth's Work for Released Prisoners.	false	0	3.6	21.286606
2999_156967_000000_000001	_After Prison--What_?	underscore After Prison-What underscore?	false	3.6	5.88	23.232904
2999_156967_000001_000000	(3) The Practical Effects of the Indeterminate Sentence.	(three) The Practical Effects of the Indeterminate Sentence.	false	5.88	12.69	21.649853
2999_156967_000001_000001	Reports of the Prison Reform Association.	Reports of the Prison Reform Association.	false	12.69	23.55	21.260592
2999_156967_000002_000000	(4) Influence of Contract Prison Labor.	(four) Influence of Contract Prison Labor.	false	23.55	27.03	20.819427
2999_156967_000002_000001	American Magazine, 1912, Jan., Feb., Mar., April.	American Magazine, nineteen twelve, Jan., feb, Mar., April.	false	27.03	32.37	22.33714
2999_156967_000003_000000	STUDY IV	STUDY i v	false	32.37	33.45	23.113394
2999_156967_000004_000000	THE SURVIVAL OF THE FITTEST.	THE SURVIVAL OF THE FITTEST.	true	33.45	35.44	18.70469
2999_156967_000005_000000	THE STORY OF THE GREAT FLOOD.--Gen. 6-8.	THE STORY OF THE GREAT FLOOD.--Gen. six to eight.	false	35.66	39.75	25.039854
2999_156967_000006_000000	_Parallel Readings_.	underscore Parallel Readings underscore.	false	39.75	41.82	21.627495
2999_156967_000007_000000	Hist.	Hist.	false	41.82	42.39	19
2999_156967_000007_000001	Bible I, 52-65. Darwin, _Origin of Species_; Wallace, _Darwinism_; 3.	Bible I, fifty two to sixty five. Darwin, underscore Origin of Species underscore; Wallace, underscore Darwinism underscore; three.	false	42.39	52.81	20.714699
2999_156967_000007_000002	William Dawson, _Modern Ideas of Evolution_; Article _Evolution_ in leading encyclopedias.	William Dawson, underscore Modern Ideas of Evolution underscore; Article underscore Evolution underscore in leading encyclopedias.	false	53.42	61	20.90962
2999_156967_000008_000000	When Jehovah saw that the wickedness of man was great in the earth, and that every purpose in the thoughts of his heart was only evil continually, it was a source of regret that he had made man on the earth and it grieved him to his heart.	When Jehovah saw that the wickedness of man was great in the earth, and that every purpose in the thoughts of his heart was only evil continually, it was a source of regret that he had made man on the earth and it grieved him to his heart.	true	61.55	77.02	20.2803
2999_156967_000008_000001	Therefore Jehovah said, I will destroy from the face of the ground man whom I have created, for I regret that I have made mankind.	Therefore Jehovah said, I will destroy from the face of the ground man whom I have created, for I regret that I have made mankind.	true	77.96	87.82	20.203035
2999_156967_000009_000000	Then Jehovah said to Noah, enter thou and all thy house into the ark; for thee I have found righteous before me in this generation.	Then Jehovah said to Noah, enter thou and all thy house into the ark; for thee I have found righteous before me in this generation.	false	89.21	98.76	20.054115
2999_156967_000010_000000	And Noah did according to all that Jehovah commanded him.	And Noah did according to all that Jehovah commanded him.	false	98.76	100.41	-10
2999_156967_000011_000000	Then Jehovah destroyed everything that existed upon the face of the ground, both man and animals, and creeping things, and birds of the heavens, so that they were destroyed from the earth; and Noah only was left and they who were with him in the ark.--Gen. 6:5-8; 7:1, 5, 23 (_Hist.	Then Jehovah destroyed everything that existed upon the face of the ground, both man and animals, and creeping things, and birds of the heavens, so that they were destroyed from the earth; and Noah only was left and they who were with him in the ark.--Gen. six to five minus eight; seven to one, five, twenty three (underscore Hist.	false	100.41	124.56	22.004711
2999_156967_000011_000001	Bible_).	Bible underscore).	false	124.56	126.99	27.454878
2999_156967_000012_000000	And without faith it is impossible to be well-pleasing with God; for he that cometh to God must believe that he is, and that he is a rewarder of them that seek after him.	And without faith it is impossible to be well pleasing with God; for he that cometh to God must believe that he is, and that he is a rewarder of them that seek after him.	true	126.99	138.73	21.851942
2999_156967_000012_000001	By faith Noah, being warned of God concerning things not seen as yet, moved with godly fear, prepared an ark to the saving of his house, through which he condemned the world and became heir of the righteousness which is according to faith.--_Heb. 11:6, 7_.	By faith Noah, being warned of God concerning things not seen as yet, moved with godly fear, prepared an ark to the saving of his house, through which he condemned the world and became heir of the righteousness which is according to faith.--underscore Heb. eleven to six, seven underscore.	false	139.79	161.04	22.137253
2999_156967_000013_000000	Rare is the man who can look back over his life and not confess, at least to himself, that the things which have made him most a man are the very things from which he tried with all his soul to escape.	Rare is the man who can look back over his life and not confess, at least to himself, that the things which have made him most a man are the very things from which he tried with all his soul to escape.	true	161.04	175.6	20.47817
2999_156967_000014_000000	If we would attain happiness, We must first attain helpfulness.	If we would attain happiness, We must first attain helpfulness.	true	176.24	180.43	23.701958
2999_156967_000015_000000	But stay! no age was e'er degenerate Unless men held it at too cheap a rate, For in our likeness still we shape our fate. --_Lowell_.	But stay! no age was e'er degenerate Unless men held it at too cheap a rate, For in our likeness still we shape our fate. --underscore Lowell underscore.	false	180.98	194.58	22.66172
2999_156967_000016_000000	I.	I.	false	194.58	195.75	18.848381
