3009_10328_000000_000000	QUESTION 51	QUESTION fifty one
3009_10328_000002_000000	We next inquire about the angels in comparison with corporeal things; and in the first place about their comparison with bodies; secondly, of the angels in comparison with corporeal places; and, thirdly, of their comparison with local movement.	We next inquire about the angels in comparison with corporeal things; and in the first place about their comparison with bodies; secondly, of the angels in comparison with corporeal places; and, thirdly, of their comparison with local movement.
3009_10328_000009_000000	Objection 1: It would seem that angels have bodies naturally united to them.	Objection one: It would seem that angels have bodies naturally united to them.
3009_10328_000009_000004	Therefore angels have bodies naturally united to them.	Therefore angels have bodies naturally united to them.
3009_10328_000013_000001	For whatever belongs to any nature as an accident is not found universally in that nature; thus, for instance, to have wings, because it is not of the essence of an animal, does not belong to every animal.	For whatever belongs to any nature as an accident is not found universally in that nature; thus, for instance, to have wings, because it is not of the essence of an animal, does not belong to every animal.
3009_10328_000013_000006	Consequently not all intellectual substances are united to bodies; but some are quite separated from bodies, and these we call angels.	Consequently not all intellectual substances are united to bodies; but some are quite separated from bodies, and these we call angels.
3009_10328_000018_000000	Whether Angels Assume Bodies?	Whether Angels Assume Bodies?
3009_10328_000019_000000	Objection 1: It would seem that angels do not assume bodies.	Objection one: It would seem that angels do not assume bodies.
3009_10328_000019_000001	For there is nothing superfluous in the work of an angel, as there is nothing of the kind in the work of nature.	For there is nothing superfluous in the work of an angel, as there is nothing of the kind in the work of nature.
3009_10328_000019_000003	Therefore an angel does not assume a body.	Therefore an angel does not assume a body.
3009_10328_000023_000002	Yet Divine Scripture from time to time introduces angels so apparent as to be seen commonly by all; just as the angels who appeared to Abraham were seen by him and by his whole family, by Lot, and by the citizens of Sodom; in like manner the angel who appeared to Tobias was seen by all present.	Yet Divine Scripture from time to time introduces angels so apparent as to be seen commonly by all; just as the angels who appeared to Abraham were seen by him and by his whole family, by Lot, and by the citizens of Sodom; in like manner the angel who appeared to Tobias was seen by all present.
3009_10328_000023_000004	Now by such a vision only a body can be beheld.	Now by such a vision only a body can be beheld.
3009_10328_000024_000001	Moreover that angels assumed bodies under the Old Law was a figurative indication that the Word of God would take a human body; because all the apparitions in the Old Testament were ordained to that one whereby the Son of God appeared in the flesh.	Moreover that angels assumed bodies under the Old Law was a figurative indication that the Word of God would take a human body; because all the apparitions in the Old Testament were ordained to that one whereby the Son of God appeared in the flesh.
3009_10328_000029_000000	Objection 1: It would seem that the angels exercise functions of life in assumed bodies.	Objection one: It would seem that the angels exercise functions of life in assumed bodies.
3009_10328_000029_000001	For pretence is unbecoming in angels of truth.	For pretence is unbecoming in angels of truth.
3009_10328_000030_000002	Consequently, the angel perceives by the assumed body; and this is the most special function of life.	Consequently, the angel perceives by the assumed body; and this is the most special function of life.
3009_10328_000032_000001	But it is evident from many passages of Sacred Scripture that angels spoke in assumed bodies.	But it is evident from many passages of Sacred Scripture that angels spoke in assumed bodies.
3009_10328_000032_000002	Therefore in their assumed bodies they exercise functions of life.	Therefore in their assumed bodies they exercise functions of life.
3009_10328_000035_000001	Therefore they cannot exercise functions of life through assumed bodies.	Therefore they cannot exercise functions of life through assumed bodies.
3009_10328_000037_000001	For the bodies are assumed merely for this purpose, that the spiritual properties and works of the angels may be manifested by the properties of man and of his works.	For the bodies are assumed merely for this purpose, that the spiritual properties and works of the angels may be manifested by the properties of man and of his works.
3009_10328_000037_000002	This could not so fittingly be done if they were to assume true men; because the properties of such men would lead us to men, and not to angels.	This could not so fittingly be done if they were to assume true men; because the properties of such men would lead us to men, and not to angels.
3009_10328_000038_000001	Consequently it can in no way be said that the angels perceive through the organs of their assumed bodies.	Consequently it can in no way be said that the angels perceive through the organs of their assumed bodies.
3009_10328_000039_000001	Yet the angels are moved accidentally, when such bodies are moved, since they are in them as movers are in the moved; and they are here in such a way as not to be elsewhere, which cannot be said of God.	Yet the angels are moved accidentally, when such bodies are moved, since they are in them as movers are in the moved; and they are here in such a way as not to be elsewhere, which cannot be said of God.
3009_10328_000039_000002	Accordingly, although God is not moved when the things are moved in which He exists, since He is everywhere; yet the angels are moved accidentally according to the movement of the bodies assumed.	Accordingly, although God is not moved when the things are moved in which He exists, since He is everywhere; yet the angels are moved accidentally according to the movement of the bodies assumed.
3009_10328_000042_000001	But the food taken by angels was neither changed into the assumed body, nor was the body of such a nature that food could be changed into it; consequently, it was not a true eating, but figurative of spiritual eating.	But the food taken by angels was neither changed into the assumed body, nor was the body of such a nature that food could be changed into it; consequently, it was not a true eating, but figurative of spiritual eating.
3009_10328_000044_000002	Hence it is folly to deny it.	Hence it is folly to deny it.
3009_10328_000044_000004	Hence by the sons of God are to be understood the sons of Seth, who were good; while by the daughters of men the Scripture designates those who sprang from the race of Cain.	Hence by the sons of God are to be understood the sons of Seth, who were good; while by the daughters of men the Scripture designates those who sprang from the race of Cain.
