3083_7944_000001_000000	CHAPTER II.	CHAPTER two.
3083_7944_000004_000000	Mr. Matthews was a giant.	mr Matthews was a giant.
3083_7944_000004_000001	Fully six feet four inches in height, with big bones, broad shoulders, and mighty muscles.	Fully six feet four inches in height, with big bones, broad shoulders, and mighty muscles.
3083_7944_000004_000003	And still, throughout the country side, the old folks tell with pride tales of the marvelous feats of strength performed in the days when "Old Matt" was young.	And still, throughout the country side, the old folks tell with pride tales of the marvelous feats of strength performed in the days when "Old Matt" was young.
3083_7944_000005_000000	Of the son, "Young Matt," the people called him, it is enough to say that he seemed made of the same metal and cast in the same mold as the father; a mighty frame, softened yet by young manhood's grace; a powerful neck and well poised head with wavy red-brown hair; and blue eyes that had in them the calm of summer skies or the glint of battle steel.	Of the son, "Young Matt," the people called him, it is enough to say that he seemed made of the same metal and cast in the same mold as the father; a mighty frame, softened yet by young manhood's grace; a powerful neck and well poised head with wavy red brown hair; and blue eyes that had in them the calm of summer skies or the glint of battle steel.
3083_7944_000005_000001	It was a countenance fearless and frank, but gentle and kind, and the eyes were honest eyes.	It was a countenance fearless and frank, but gentle and kind, and the eyes were honest eyes.
3083_7944_000006_000000	Anyone meeting the pair, as they walked with the long swinging stride of the mountaineer up the steep mill road that gray afternoon, would have turned for a second look; such men are seldom seen.	Anyone meeting the pair, as they walked with the long swinging stride of the mountaineer up the steep mill road that gray afternoon, would have turned for a second look; such men are seldom seen.
3083_7944_000007_000000	When they reached the big log house that looks down upon the Hollow, the boy went at once with his axe to the woodpile, while the older man busied himself with the milking and other chores about the barn.	When they reached the big log house that looks down upon the Hollow, the boy went at once with his axe to the woodpile, while the older man busied himself with the milking and other chores about the barn.
3083_7944_000008_000000	Young Matt had not been chopping long when he heard, coming up the hill, the sound of a horse's feet on the Old Trail.	Young Matt had not been chopping long when he heard, coming up the hill, the sound of a horse's feet on the Old Trail.
3083_7944_000008_000001	The horse stopped at the house and a voice, that stirred the blood in the young man's veins, called, "Howdy, Aunt Mollie."	The horse stopped at the house and a voice, that stirred the blood in the young man's veins, called, "Howdy, Aunt Mollie."
3083_7944_000009_000000	Mrs. Matthews appeared in the doorway; by her frank countenance and kindly look anyone would have known her at a glance as the boy's mother.	mrs Matthews appeared in the doorway; by her frank countenance and kindly look anyone would have known her at a glance as the boy's mother.
