3157_119295_000000_000000	CHAPTER 3	CHAPTER three	true	16.845	17.85	26.055515
3157_119295_000001_000000	TORNADOES	TORNADOES	true	17.85	18.9	22.24433
3157_119295_000002_000000	* _When a tornado watch (forecast) is announced_, this means that tornadoes are expected in or near your area.	asterisk underscore When a tornado watch (forecast) is announced underscore, this means that tornadoes are expected in or near your area.	false	18.9	27.28	24.577213
3157_119295_000002_000001	Keep your radio or television set tuned to a local station for information and advice from your local government or the Weather Bureau.	Keep your radio or television set tuned to a local station for information and advice from your local government or the Weather Bureau.	true	27.41	35.65	21
3157_119295_000002_000002	Also, keep watching the sky, especially to the south and southwest.	Also, keep watching the sky, especially to the south and southwest.	true	35.81	40.78	25.287388
3157_119295_000002_000003	(When a tornado watch is announced during the approach of a hurricane, however, keep watching the sky to the east.) If you see any revolving, funnel-shaped clouds, report them by telephone immediately to your local police department, sheriff's office or Weather Bureau office.	(When a tornado watch is announced during the approach of a hurricane, however, keep watching the sky to the east.) If you see any revolving, funnel shaped clouds, report them by telephone immediately to your local police department, sheriff's office or Weather Bureau office.	true	40.97	57.7	23.948835
3157_119295_000002_000004	But do not use the phone to get information and advice--depend on radio or TV.	But do not use the phone to get information and advice-depend on radio or t v.	false	57.89	63.87	21.291319
3157_119295_000003_000000	* _When a tornado warning is issued, take shelter immediately_.	asterisk underscore When a tornado warning is issued, take shelter immediately underscore.	false	63.87	69.06	21.460026
3157_119295_000003_000001	The warning means that a tornado has actually been sighted, and this (or other tornadoes) may strike in your vicinity.	The warning means that a tornado has actually been sighted, and this (or other tornadoes) may strike in your vicinity.	true	69.06	76.93	21.390535
3157_119295_000003_000002	You must take action to protect yourself from being blown away, struck by falling objects, or injured by flying debris.	You must take action to protect yourself from being blown away, struck by falling objects, or injured by flying debris.	false	77.18	84.82	23
3157_119295_000003_000003	Your best protection is an underground shelter or cave, or a substantial steel-framed or reinforced-concrete building. But if none of these is available, there are other places where you can take refuge:	Your best protection is an underground shelter or cave, or a substantial steel framed or reinforced concrete building. But if none of these is available, there are other places where you can take refuge:	true	85.13	98.29	24.267338
3157_119295_000004_000000	--If you are _at home_, go to your underground storm cellar or your basement fallout shelter, if you have one.	--If you are underscore at home underscore, go to your underground storm cellar or your basement fallout shelter, if you have one.	false	98.81	105.37	22
3157_119295_000004_000001	If not, go to a corner of your home basement and take cover under a sturdy workbench or table (but not underneath heavy appliances on the floor above).	If not, go to a corner of your home basement and take cover under a sturdy workbench or table (but not underneath heavy appliances on the floor above).	true	105.56	115.51	23.801275
3157_119295_000004_000002	If your home has no basement, take cover under heavy furniture on the ground floor in the center part of the house, or in a small room on the ground floor that is away from outside walls and windows.	If your home has no basement, take cover under heavy furniture on the ground floor in the center part of the house, or in a small room on the ground floor that is away from outside walls and windows.	true	115.85	127.66	20
3157_119295_000004_000003	(As a last resort, go outside to a nearby ditch, excavation, culvert or ravine.) Doors and windows on the sides of your house _away from_, the tornado may be left open to help reduce damage to the building, but stay away from them to avoid flying debris.	(As a last resort, go outside to a nearby ditch, excavation, culvert or ravine.) Doors and windows on the sides of your house underscore away from underscore, the tornado may be left open to help reduce damage to the building, but stay away from them to avoid flying debris.	false	128.06	145.63	23.090607
3157_119295_000004_000004	Do not remain in a trailer or mobile home if a tornado is approaching; take cover elsewhere.	Do not remain in a trailer or mobile home if a tornado is approaching; take cover elsewhere.	true	146	152.53	22.895
3157_119295_000005_000000	--If you are _at work_ in an office building, go to the basement or to an inner hallway on a lower floor.	--If you are underscore at work underscore in an office building, go to the basement or to an inner hallway on a lower floor.	false	153.23	159.79	24
3157_119295_000005_000001	In a factory, go to a shelter area, or to the basement if there is one.	In a factory, go to a shelter area, or to the basement if there is one.	true	160.04	165.31	25.22643
3157_119295_000006_000000	--If you are _outside in open country_, drive away from the tornado's path, at a right angle to it.	--If you are underscore outside in open country underscore, drive away from the tornado's path, at a right angle to it.	false	165.86	172.54	25.243782
3157_119295_000006_000001	If there isn't time to do this--or if you are walking--take cover and lie flat in the nearest depression, such as a ditch, culvert, excavation, or ravine.	If there isn't time to do this-or if you are walking-take cover and lie flat in the nearest depression, such as a ditch, culvert, excavation, or ravine.	true	172.79	183.22	23.768736
3157_119295_000007_000000	CHAPTER 4	CHAPTER four	true	184.22	185.265	23.317966
3157_119295_000008_000000	WINTER STORMS	WINTER STORMS	true	185.265	186.55	20.330275
3157_119295_000009_000000	Here is advice that will help you protect yourself and your family against the hazards of winter storms--blizzards, heavy snows, ice storms, freezing rain, or sleet.	Here is advice that will help you protect yourself and your family against the hazards of winter storms-blizzards, heavy snows, ice storms, freezing rain, or sleet.	true	186.98	197.82	23.485773
3157_119295_000010_000000	* KEEP POSTED ON WEATHER CONDITIONS.	asterisk KEEP POSTED ON WEATHER CONDITIONS.	false	197.82	201.01	23.48849
