3185_163507_000001_000000	NOT A PIN TO CHOOSE BETWEEN THEM	NOT A PIN TO CHOOSE BETWEEN THEM
3185_163507_000002_000000	Once on a time there was a man, and he had a wife.	Once on a time there was a man, and he had a wife.
3185_163507_000002_000001	Now this couple wanted to sow their fields, but they had neither seed-corn nor money to buy it with.	Now this couple wanted to sow their fields, but they had neither seed corn nor money to buy it with.
3185_163507_000002_000002	But they had a cow, and the man was to drive it into town and sell it, to get money to buy corn for seed.	But they had a cow, and the man was to drive it into town and sell it, to get money to buy corn for seed.
3185_163507_000002_000003	But when it came to the pinch, the wife dared not let her husband start for fear he should spend the money in drink, so she set off herself with the cow, and took besides a hen with her.	But when it came to the pinch, the wife dared not let her husband start for fear he should spend the money in drink, so she set off herself with the cow, and took besides a hen with her.
3185_163507_000003_000000	Close by the town she met a butcher, who asked:	Close by the town she met a butcher, who asked:
3185_163507_000004_000000	'Will you sell that cow, Goody?'	'Will you sell that cow, Goody?'
3185_163507_000007_000001	I must have five shillings for the cow, but you shall have the hen for ten pounds.'	I must have five shillings for the cow, but you shall have the hen for ten pounds.'
3185_163507_000008_000000	'Very good!' said the man; 'I don't want the hen, and you'll soon get it off your hands in the town, but I'll give you five shillings for the cow.'	'Very good!' said the man; 'I don't want the hen, and you'll soon get it off your hands in the town, but I'll give you five shillings for the cow.'
3185_163507_000009_000000	Well, she sold her cow for five shillings, but there was no one in the town who would give ten pounds for a lean tough old hen, so she went back to the butcher, and said:	Well, she sold her cow for five shillings, but there was no one in the town who would give ten pounds for a lean tough old hen, so she went back to the butcher, and said:
3185_163507_000010_000000	'Do all I can, I can't get rid of this hen, master! you must take it too, as you took the cow.'	'Do all I can, I can't get rid of this hen, master! you must take it too, as you took the cow.'
3185_163507_000011_000001	But while she slept, the butcher took and dipped her into a tar-barrel, and then laid her down on a heap of feathers; and when she woke up, she was feathered all over, and began to wonder what had befallen her.	But while she slept, the butcher took and dipped her into a tar barrel, and then laid her down on a heap of feathers; and when she woke up, she was feathered all over, and began to wonder what had befallen her.
3185_163507_000012_000000	'Is it me, or is it not me?	'Is it me, or is it not me?
3185_163507_000012_000001	No, it can never be me; it must be some great strange bird.	No, it can never be me; it must be some great strange bird.
3185_163507_000012_000002	But what shall I do to find out whether it is me or not.	But what shall I do to find out whether it is me or not.
3185_163507_000012_000003	Oh!	Oh!
3185_163507_000012_000004	I know how I shall be able to tell whether it is me; if the calves come and lick me, and our dog Tray doesn't bark at me when I get home, then it must be me, and no one else.'	I know how I shall be able to tell whether it is me; if the calves come and lick me, and our dog Tray doesn't bark at me when I get home, then it must be me, and no one else.'
3185_163507_000014_000000	'Ah, deary me', said she, 'I thought so; it can't be me surely.' So she went to the straw-yard, and the calves wouldn't lick her, when they snuffed in the strong smell of tar.	'Ah, deary me', said she, 'I thought so; it can't be me surely.' So she went to the straw yard, and the calves wouldn't lick her, when they snuffed in the strong smell of tar.
3185_163507_000014_000001	'No, no!' she said, 'it can't be me; it must be some strange outlandish bird.'	'No, no!' she said, 'it can't be me; it must be some strange outlandish bird.'
