335_125945_000000_000000	Line-Art Drawing	Line Art Drawing	false	6.39	8.19	21.134201
335_125945_000001_000000	147 A Highly Magnified History	one hundred forty seven A Highly Magnified History	false	8.19	23.23	19.817448
335_125945_000002_000000	"It is but honest that I should acknowledge at the beginning of my recital that I was born an ordinary Woggle-Bug," began the creature, in a frank and friendly tone.	"It is but honest that I should acknowledge at the beginning of my recital that I was born an ordinary Woggle Bug," began the creature, in a frank and friendly tone.	true	24.92	34.27	21.189314
335_125945_000002_000001	"Knowing no better, I used my arms as well as my legs for walking, and crawled under the edges of stones or hid among the roots of grasses with no thought beyond finding a few insects smaller than myself to feed upon.	"Knowing no better, I used my arms as well as my legs for walking, and crawled under the edges of stones or hid among the roots of grasses with no thought beyond finding a few insects smaller than myself to feed upon.	true	34.52	47.17	21.032047
335_125945_000003_000000	"The chill nights rendered me stiff and motionless, for I wore no clothing, but each morning the warm rays of the sun gave me new life and restored me to activity.	"The chill nights rendered me stiff and motionless, for I wore no clothing, but each morning the warm rays of the sun gave me new life and restored me to activity.	true	48.05	57.55	22
335_125945_000003_000001	A horrible existence is this, but you must remember it is the regular ordained existence of Woggle-Bugs, as well as of many other tiny creatures that inhabit the earth.	A horrible existence is this, but you must remember it is the regular ordained existence of Woggle Bugs, as well as of many other tiny creatures that inhabit the earth.	false	58.52	69.52	21.951195
335_125945_000004_000000	"But Destiny had singled me out, humble though I was, for a grander fate! One day I crawled near	"But Destiny had singled me out, humble though I was, for a grander fate! One day I crawled near	true	71.12	78.03	21.875038
335_125945_000005_000000	148 to a country school house, and my curiosity being excited by the monotonous hum of the students within, I made bold to enter and creep along a crack between two boards until I reached the far end, where, in front of a hearth of glowing embers, sat the master at his desk.	one hundred forty eight to a country school house, and my curiosity being excited by the monotonous hum of the students within, I made bold to enter and creep along a crack between two boards until I reached the far end, where, in front of a hearth of glowing embers, sat the master at his desk.	false	78.03	95.35	21.899082
335_125945_000006_000000	"No one noticed so small a creature as a Woggle-Bug, and when I found that the hearth was even warmer and more comfortable than the sunshine, I resolved to establish my future home beside it.	"No one noticed so small a creature as a Woggle Bug, and when I found that the hearth was even warmer and more comfortable than the sunshine, I resolved to establish my future home beside it.	true	96.26	106.9	21
335_125945_000006_000001	So I found a charming nest between two bricks and hid myself therein for many, many months.	So I found a charming nest between two bricks and hid myself therein for many, many months.	true	107.18	114.82	19
335_125945_000007_000000	"Professor Nowitall is, doubtless, the most famous scholar in the land of Oz, and after a few days I began to listen to the lectures and discourses he gave his pupils.	"Professor Nowitall is, doubtless, the most famous scholar in the land of Oz, and after a few days I began to listen to the lectures and discourses he gave his pupils.	true	115.79	125.32	19
335_125945_000007_000001	Not one of them was more attentive than the humble, unnoticed Woggle-Bug, and I acquired in this way a fund of knowledge that I will myself confess is simply marvelous.	Not one of them was more attentive than the humble, unnoticed Woggle Bug, and I acquired in this way a fund of knowledge that I will myself confess is simply marvelous.	true	125.66	136.72	21.949478
335_125945_000007_000002	That is why I place 'T.E.' Thoroughly Educated upon my cards; for my greatest pride lies in the fact that the world cannot produce another Woggle-Bug with a tenth part of my own culture and erudition."	That is why I place 't e' Thoroughly Educated upon my cards; for my greatest pride lies in the fact that the world cannot produce another Woggle Bug with a tenth part of my own culture and erudition."	true	137.81	153.01	23.036457
335_125945_000008_000000	"I do not blame you," said the Scarecrow.	"I do not blame you," said the Scarecrow.	true	154.07	156.43	24.71756
335_125945_000008_000001	"Education is a thing to be proud of.	"Education is a thing to be proud of.	true	156.56	158.805	23.035187
335_125945_000008_000002	I'm educated myself.	I'm educated myself.	true	158.805	160.96	20.480076
335_125945_000008_000003	The mess of brains given me by the Great	The mess of brains given me by the Great	true	160.97	163.26	15
335_125945_000009_000000	149 Wizard is considered by my friends to be unexcelled."	one hundred forty nine Wizard is considered by my friends to be unexcelled."	false	163.26	166.72	22
335_125945_000010_000000	"Nevertheless," interrupted the Tin Woodman, "a good heart is, I believe, much more desirable than education or brains."	"Nevertheless," interrupted the Tin Woodman, "a good heart is, I believe, much more desirable than education or brains."	true	167.45	175.75	21.582687
335_125945_000011_000000	"To me," said the Saw-Horse, "a good leg is more desirable than either."	"To me," said the Saw Horse, "a good leg is more desirable than either."	true	176.66	181.36	23.441216
335_125945_000012_000000	"Could seeds be considered in the light of brains?" enquired the Pumpkinhead, abruptly.	"Could seeds be considered in the light of brains?" enquired the Pumpkinhead, abruptly.	true	182.99	187.84	21.672224
335_125945_000013_000000	"Keep quiet!" commanded Tip, sternly.	"Keep quiet!" commanded Tip, sternly.	true	188.3	190.81	28.102545
335_125945_000014_000000	"Very well, dear father," answered the obedient Jack.	"Very well, dear father," answered the obedient Jack.	true	191.33	194.68	29.23018
335_125945_000015_000000	The Woggle-Bug listened patiently--even respectfully--to these remarks, and then resumed his story.	The Woggle Bug listened patiently-even respectfully-to these remarks, and then resumed his story.	true	195.17	202.51	21.762564
335_125945_000016_000000	"I must have lived fully three years in that secluded school-house hearth," said he, "drinking thirstily of the ever-flowing fount of limpid knowledge before me."	"I must have lived fully three years in that secluded school house hearth," said he, "drinking thirstily of the ever flowing fount of limpid knowledge before me."	true	203.21	212.53	23.34785
335_125945_000017_000000	"Quite poetical," commented the Scarecrow, nodding his head approvingly.	"Quite poetical," commented the Scarecrow, nodding his head approvingly.	true	213.38	217.24	26.243387
335_125945_000018_000000	"But one, day" continued the Bug, "a marvelous circumstance occurred that altered my very existence and brought me to my present pinnacle of greatness.	"But one, day" continued the Bug, "a marvelous circumstance occurred that altered my very existence and brought me to my present pinnacle of greatness.	true	217.73	226.63	22.800486
335_125945_000019_000000	Line-Art Drawing	Line Art Drawing	false	227.13	227.13	
335_125945_000020_000000	150 Professor discovered me in the act of crawling across the hearth, and before I could escape he had caught me between his thumb and forefinger.	one hundred fifty Professor discovered me in the act of crawling across the hearth, and before I could escape he had caught me between his thumb and forefinger.	false	227.13	233.89	23
335_125945_000021_000000	"'My dear children,' said he, 'I have captured a Woggle-Bug--a very rare and interesting specimen.	"'My dear children,' said he, 'I have captured a Woggle Bug-a very rare and interesting specimen.	true	234.62	241.62	21.273254
335_125945_000021_000001	Do any of you know what a Woggle-Bug is?'	Do any of you know what a Woggle Bug is?'	false	241.62	243.97	20.774094
335_125945_000022_000000	"'No!' yelled the scholars, in chorus.	"'No!' yelled the scholars, in chorus.	true	244.7	247.33	20.32671
335_125945_000023_000000	"'Then,' said the Professor, 'I will get out my famous magnifying-glass and throw the insect upon a screen in a highly-magnified condition, that you may all study carefully its peculiar construction and become acquainted with its habits and manner of life.'	"'Then,' said the Professor, 'I will get out my famous magnifying glass and throw the insect upon a screen in a highly magnified condition, that you may all study carefully its peculiar construction and become acquainted with its habits and manner of life.'	false	247.88	264.48	21.881857
335_125945_000024_000000	"He then brought from a cupboard a most curious instrument, and before I could realize what had happened I found myself thrown upon a screen in a highly-magnified state--even as you now behold me.	"He then brought from a cupboard a most curious instrument, and before I could realize what had happened I found myself thrown upon a screen in a highly magnified state-even as you now behold me.	false	264.48	274.66	17
335_125945_000025_000000	"The students stood up on their stools and craned their heads forward to get a better view of me, and two little girls jumped upon the sill of an open window where they could see more plainly.	"The students stood up on their stools and craned their heads forward to get a better view of me, and two little girls jumped upon the sill of an open window where they could see more plainly.	true	275.15	284.29	20
335_125945_000026_000000	"'Behold!' cried the Professor, in a loud voice, 'this highly-magnified Woggle-Bug; one of the most curious insects in existence!'	"'Behold!' cried the Professor, in a loud voice, 'this highly magnified Woggle Bug; one of the most curious insects in existence!'	false	284.96	293.68	24.868841
335_125945_000027_000000	"Being Thoroughly Educated, and knowing what is required of a cultured gentleman, at this juncture I stood upright and, placing my hand upon my	"Being Thoroughly Educated, and knowing what is required of a cultured gentleman, at this juncture I stood upright and, placing my hand upon my	false	294.8	302.79	22.253807
335_125945_000028_000000	151 Full page line-art drawing.	one hundred fifty one Full page line art drawing.	false	302.79	302.79	
335_125945_000029_000000	"THEE STUDENTS STOOD UP ON THEIR STOOLS."	"THEE STUDENTS STOOD UP ON THEIR STOOLS."	false	302.79	302.79	
335_125945_000030_000000	152 bosom, made a very polite bow.	one hundred fifty two bosom, made a very polite bow.	false	302.79	305.98	25.611284
335_125945_000030_000001	My action, being unexpected, must have startled them, for one of the little girls perched upon the window-sill gave a scream and fell backward out the window, drawing her companion with her as she disappeared.	My action, being unexpected, must have startled them, for one of the little girls perched upon the window sill gave a scream and fell backward out the window, drawing her companion with her as she disappeared.	true	306.17	317.8	24.053799
335_125945_000031_000000	"The Professor uttered a cry of horror and rushed away through the door to see if the poor children were injured by the fall.	"The Professor uttered a cry of horror and rushed away through the door to see if the poor children were injured by the fall.	true	317.93	323.92	24.77137
335_125945_000031_000001	The scholars followed after him in a wild mob, and I was left alone in the school-room, still in a Highly-Magnified state and free to do as I pleased.	The scholars followed after him in a wild mob, and I was left alone in the school room, still in a Highly Magnified state and free to do as I pleased.	true	324.08	334.33	21.998613
335_125945_000032_000000	"It immediately occurred to me that this was a good opportunity to escape.	"It immediately occurred to me that this was a good opportunity to escape.	true	334.94	339.85	27.333693
335_125945_000032_000001	I was proud of my great size, and realized that now I could safely travel anywhere in the world, while my superior culture would make me a fit associate for the most learned person I might chance to meet.	I was proud of my great size, and realized that now I could safely travel anywhere in the world, while my superior culture would make me a fit associate for the most learned person I might chance to meet.	true	339.86	350.98	21
335_125945_000033_000000	"So, while the Professor picked the little girls--who were more frightened than hurt--off the ground, and the pupils clustered around him closely grouped, I calmly walked out of the school-house, turned a corner, and escaped unnoticed to a grove of trees that stood near"	"So, while the Professor picked the little girls-who were more frightened than hurt-off the ground, and the pupils clustered around him closely grouped, I calmly walked out of the school house, turned a corner, and escaped unnoticed to a grove of trees that stood near"	false	351.68	367.45	23.240265
335_125945_000034_000000	"Wonderful!" exclaimed the Pumpkinhead, admiringly.	"Wonderful!" exclaimed the Pumpkinhead, admiringly.	true	368.12	371.83	21.147385
335_125945_000035_000000	"It was, indeed," agreed the Woggle-Bug.	"It was, indeed," agreed the Woggle Bug.	true	372.14	375.36	22.414274
335_125945_000035_000001	"I	"I	true	375.36	375.78	38
335_125945_000036_000000	153 have never ceased to congratulate myself for escaping while I was Highly Magnified; for even my excess-	one hundred fifty three have never ceased to congratulate myself for escaping while I was Highly Magnified; for even my excess	false	375.78	381.15	19
335_125945_000037_000000	Line-Art Drawing	Line Art Drawing	false	381.15	381.24	11
335_125945_000038_000000	ive knowledge would have proved of little use to me had I remained a tiny, insignificant insect."	ive knowledge would have proved of little use to me had I remained a tiny, insignificant insect."	false	381.24	387.22	22.076101
335_125945_000039_000000	"I didn't know before," said Tip, looking at the	"I didn't know before," said Tip, looking at the	true	387.62	390.12	25.114138
335_125945_000040_000000	154 Woggle-Bug with a puzzled expression, "that insects wore clothes."	one hundred fifty four Woggle Bug with a puzzled expression, "that insects wore clothes."	false	390.12	393.88	20.925865
335_125945_000041_000000	"Nor do they, in their natural state," returned the stranger.	"Nor do they, in their natural state," returned the stranger.	true	395.27	399.16	25.527164
335_125945_000041_000001	"But in the course of my wanderings I had the good fortune to save the ninth life of a tailor--tailors having, like cats, nine lives, as you probably know.	"But in the course of my wanderings I had the good fortune to save the ninth life of a tailor-tailors having, like cats, nine lives, as you probably know.	true	399.26	408.22	22.986458
335_125945_000041_000002	The fellow was exceedingly grateful, for had he lost that ninth life it would have been the end of him; so he begged permission to furnish me with the stylish costume I now wear.	The fellow was exceedingly grateful, for had he lost that ninth life it would have been the end of him; so he begged permission to furnish me with the stylish costume I now wear.	true	408.65	419.05	23.473612
335_125945_000041_000003	It fits very nicely, does it not?" and the Woggle-Bug stood up and turned himself around slowly, that all might examine his person.	It fits very nicely, does it not?" and the Woggle Bug stood up and turned himself around slowly, that all might examine his person.	false	419.33	428.98	21.963442
335_125945_000042_000000	"He must have been a good tailor," said the Scarecrow, somewhat enviously.	"He must have been a good tailor," said the Scarecrow, somewhat enviously.	true	429.86	434.38	25.775272
335_125945_000043_000000	"He was a good-hearted tailor, at any rate," observed Nick Chopper.	"He was a good hearted tailor, at any rate," observed Nick Chopper.	true	435.05	438.73	26.55094
335_125945_000044_000000	"But where were you going, when you met us?" Tip asked the Woggle-Bug.	"But where were you going, when you met us?" Tip asked the Woggle Bug.	true	439.34	444.01	23.166603
335_125945_000045_000000	"Nowhere in particular," was the reply, "although it is my intention soon to visit the Emerald City and arrange to give a course of lectures to select audiences on the 'Advantages of Magnification.'"	"Nowhere in particular," was the reply, "although it is my intention soon to visit the Emerald City and arrange to give a course of lectures to select audiences on the 'Advantages of Magnification.'"	true	444.38	455.32	24
335_125945_000046_000000	"We are bound for the Emerald City now," said the Tin Woodman; "so, if it pleases you to do so, you are welcome to travel in our company."	"We are bound for the Emerald City now," said the Tin Woodman; "so, if it pleases you to do so, you are welcome to travel in our company."	true	456.59	464.4	23.394516
335_125945_000047_000000	155	one hundred fifty five	false	464.4	465.42	0
335_125945_000048_000000	The Woggle-Bug bowed with profound grace.	The Woggle Bug bowed with profound grace.	true	465.42	469.27	25.409622
335_125945_000049_000000	"It will give me great pleasure," said he "to accept your kind invitation; for nowhere in the Land of Oz could I hope to meet with so congenial a company."	"It will give me great pleasure," said he "to accept your kind invitation; for nowhere in the Land of Oz could I hope to meet with so congenial a company."	false	469.31	479.17	22.991838
335_125945_000050_000000	"That is true," acknowledged the Pumpkinhead.	"That is true," acknowledged the Pumpkinhead.	true	479.96	482.47	23.560425
335_125945_000050_000001	"We are quite as congenial as flies and honey."	"We are quite as congenial as flies and honey."	true	482.54	485.25	20
335_125945_000051_000000	"But--pardon me if I seem inquisitive--are you not all rather--ahem! rather unusual?" asked the Woggle-Bug, looking from one to another with unconcealed interest.	"But-pardon me if I seem inquisitive-are you not all rather-ahem! rather unusual?" asked the Woggle Bug, looking from one to another with unconcealed interest.	false	485.25	499.69	22.869196
335_125945_000052_000000	"Not more so than yourself," answered the Scarecrow.	"Not more so than yourself," answered the Scarecrow.	true	500.36	503.53	20.812098
335_125945_000052_000001	"Everything in life is unusual until you get accustomed to it."	"Everything in life is unusual until you get accustomed to it."	true	503.66	506.83	24.327257
335_125945_000053_000000	"What rare philosophy!" exclaimed the Woggle-Bug, admiringly.	"What rare philosophy!" exclaimed the Woggle Bug, admiringly.	true	508.49	512.32	22.975306
335_125945_000054_000000	"Yes; my brains are working well today," admitted the Scarecrow, an accent of pride in his voice.	"Yes; my brains are working well today," admitted the Scarecrow, an accent of pride in his voice.	true	513.32	519.64	23.238277
335_125945_000055_000000	"Then, if you are sufficiently rested and refreshed, let us bend our steps toward the Emerald City," suggested the magnified one.	"Then, if you are sufficiently rested and refreshed, let us bend our steps toward the Emerald City," suggested the magnified one.	true	520.64	527.68	21.531147
335_125945_000056_000000	"We can't," said Tip.	"We can't," said Tip.	true	528.29	530.235	32.26438
335_125945_000056_000001	"The Saw-Horse has broken a leg, so he can't bend his steps.	"The Saw Horse has broken a leg, so he can't bend his steps.	false	530.235	533.355	23.538057
335_125945_000056_000002	And there is no wood around to make him a new limb from.	And there is no wood around to make him a new limb from.	true	533.355	535.875	22.484482
