3357_28375_000000_000000	Such was the homage which that enthusiastic people, voluptuous and passionate, paid to beauty.	Such was the homage which that enthusiastic people, voluptuous and passionate, paid to beauty.	false	0	4.56	21.149992
3357_28375_000000_000001	More guided by sentiment than reason, and having laws rather than principles, they banished their great men, honored their courtezans, murdered Socrates, permitted themselves to be governed by Aspasia, preserved inviolate the marriage bed, and placed Phryne in the temple of Apollo!	More guided by sentiment than reason, and having laws rather than principles, they banished their great men, honored their courtezans, murdered Socrates, permitted themselves to be governed by Aspasia, preserved inviolate the marriage bed, and placed Phryne in the temple of Apollo!	false	4.56	22.53	21.839767
3357_28375_000001_000000	ROMAN WOMEN.	ROMAN WOMEN.	true	22.53	24.07	20.41496
3357_28375_000002_000000	Among the Romans, a grave and austere people, who, during five hundred years, were unacquainted with the elegancies and the pleasures of life, and who, in the middle of furrows and fields of battle, were employed in tillage or in war, the manners of the women were a long time as solemn and severe as those of the men, and without the smallest mixture of corruption, or of weakness.	Among the romans, a grave and austere people, who, during five hundred years, were unacquainted with the elegancies and the pleasures of life, and who, in the middle of furrows and fields of battle, were employed in tillage or in war, the manners of the women were a long time as solemn and severe as those of the men, and without the smallest mixture of corruption, or of weakness.	false	24.98	51.28	21.446486
3357_28375_000003_000000	The time when the Roman women began to appear in public, marks a particular era in history.	The time when the Roman women began to appear in public, marks a particular era in history.	true	52.28	58.27	20.345692
3357_28375_000004_000000	The Roman women, for many ages, were respected over the whole world. Their victorious husbands re-visited them with transport, at their return from battle.	The Roman women, for many ages, were respected over the whole world. Their victorious husbands re visited them with transport, at their return from battle.	true	58.94	69.37	22.57918
3357_28375_000004_000001	They laid at their feet the spoils of the enemy, and endeared themselves in their eyes by the wounds which they had received for them and for the state.	They laid at their feet the spoils of the enemy, and endeared themselves in their eyes by the wounds which they had received for them and for the state.	true	69.74	79.24	21.661528
3357_28375_000004_000002	Those warriors often came from imposing commands upon kings, and in their own houses accounted it an honor to obey.	Those warriors often came from imposing commands upon kings, and in their own houses accounted it an honor to obey.	true	79.76	88.45	22.337996
3357_28375_000004_000003	In vain the too rigid laws made them the arbiters of life and death.	In vain the too rigid laws made them the arbiters of life and death.	true	88.58	93.64	20.826164
3357_28375_000004_000004	More powerful than the laws, the women ruled their judges.	More powerful than the laws, the women ruled their judges.	true	93.86	97.78	20.56005
3357_28375_000004_000005	In vain the legislature, foreseeing the wants which exist only among a corrupt people, permitted divorce.	In vain the legislature, foreseeing the wants which exist only among a corrupt people, permitted divorce.	true	97.97	105.55	22.840014
3357_28375_000004_000006	The indulgence of the polity was proscribed by the manners.	The indulgence of the polity was proscribed by the manners.	true	106.07	109.69	20.7982
3357_28375_000005_000000	Such was the influence of beauty at Rome before the licentious intercourse of the sexes had corrupted both.	Such was the influence of beauty at Rome before the licentious intercourse of the sexes had corrupted both.	true	110.27	117.67	20
3357_28375_000006_000000	The Roman matrons do not seem to have possessed that military courage which Plutarch has praised in certain Greek and barbarian women; they partook more of the nature of their sex; or, at least, they departed less from its character.	The Roman matrons do not seem to have possessed that military courage which Plutarch has praised in certain Greek and barbarian women; they partook more of the nature of their sex; or, at least, they departed less from its character.	true	118.01	133.71	23.478819
3357_28375_000006_000001	Their first quality was decency.	Their first quality was decency.	true	133.71	136.51	23.172804
3357_28375_000006_000002	Every one knows the story of Cato the censor, _who stabbed a Roman Senator for kissing his own wife in the presence of his daughter_.	Every one knows the story of Cato the censor, underscore who stabbed a Roman Senator for kissing his own wife in the presence of his daughter underscore.	false	137.24	146.52	22.203293
3357_28375_000007_000000	To these austere manners, the Roman women joined an enthusiastic love of their country, which discovered itself upon many great occasions.	To these austere manners, the Roman women joined an enthusiastic love of their country, which discovered itself upon many great occasions.	true	146.52	155.62	24.136753
3357_28375_000007_000001	On the death of Brutus, they all clothed themselves in mourning.	On the death of Brutus, they all clothed themselves in mourning.	true	156.11	160.54	21.700079
3357_28375_000007_000002	In the time of Coriolanus they saved the city.	In the time of Coriolanus they saved the city.	true	161	164.44	21.122026
3357_28375_000007_000003	That incensed warrior who had insulted the senate and priests, and who was superior even to the pride of pardoning, could not resist the tears and entreaties of the women. _They_ melted his obdurate heart.	That incensed warrior who had insulted the senate and priests, and who was superior even to the pride of pardoning, could not resist the tears and entreaties of the women. underscore They underscore melted his obdurate heart.	false	164.63	177.97	21.353024
3357_28375_000007_000004	The senate decreed them public thanks, ordered the men to give place to them upon all occasions, caused an altar to be erected for them on the spot where the mother had softened her son, and the wife her husband; and the sex were permitted to add another ornament to their head-dress.	The senate decreed them public thanks, ordered the men to give place to them upon all occasions, caused an altar to be erected for them on the spot where the mother had softened her son, and the wife her husband; and the sex were permitted to add another ornament to their head dress.	true	178.46	195.25	22.526165
3357_28375_000008_000000	The Roman women saved the city a second time, when besieged by Brennus. They gave up all their gold as its ransom.	The Roman women saved the city a second time, when besieged by Brennus. They gave up all their gold as its ransom.	true	195.95	204.82	21.483023
