3389_13247_000000_000000	Chapter Three	Chapter Three	true	17.985	18.79	15.003317
3389_13247_000001_000000	"He that saith he abideth in Him ought himself also to walk even as He walked."	"He that saith he abideth in Him ought himself also to walk even as He walked."	false	20.81	26.47	21.51655
3389_13247_000002_000000	EDWARD NORMAN, editor of the Raymond DAILY NEWS, sat in his office room Monday morning and faced a new world of action.	EDWARD NORMAN, editor of the Raymond DAILY NEWS, sat in his office room Monday morning and faced a new world of action.	false	27.62	33.64	19.226381
3389_13247_000002_000001	He had made his pledge in good faith to do everything after asking "What would Jesus do?" and, as he supposed, with his eyes open to all the possible results.	He had made his pledge in good faith to do everything after asking "What would Jesus do?" and, as he supposed, with his eyes open to all the possible results.	true	33.71	43.96	19.502619
3389_13247_000002_000002	But as the regular life of the paper started on another week's rush and whirl of activity, he confronted it with a degree of hesitation and a feeling nearly akin to fear.	But as the regular life of the paper started on another week's rush and whirl of activity, he confronted it with a degree of hesitation and a feeling nearly akin to fear.	false	44.45	53.26	19.306976
3389_13247_000003_000000	He had come down to the office very early, and for a few minutes was by himself.	He had come down to the office very early, and for a few minutes was by himself.	true	54.08	58.51	20.571321
3389_13247_000003_000001	He sat at his desk in a growing thoughtfulness that finally became a desire which he knew was as great as it was unusual.	He sat at his desk in a growing thoughtfulness that finally became a desire which he knew was as great as it was unusual.	true	58.88	64.84	19
3389_13247_000003_000002	He had yet to learn, with all the others in that little company pledged to do the Christlike thing, that the Spirit of Life was moving in power through his own life as never before.	He had yet to learn, with all the others in that little company pledged to do the Christlike thing, that the Spirit of Life was moving in power through his own life as never before.	true	65.33	75.55	19.489752
3389_13247_000003_000003	He rose and shut his door, and then did what he had not done for years.	He rose and shut his door, and then did what he had not done for years.	true	76.13	80.2	18.56869
3389_13247_000003_000004	He kneeled down by his desk and prayed for the Divine Presence and wisdom to direct him.	He kneeled down by his desk and prayed for the Divine Presence and wisdom to direct him.	true	80.9	85.6	19.31697
3389_13247_000004_000000	He rose with the day before him, and his promise distinct and clear in his mind.	He rose with the day before him, and his promise distinct and clear in his mind.	true	87.05	92.14	17.994795
3389_13247_000004_000001	"Now for action," he seemed to say.	"Now for action," he seemed to say.	true	92.6	94.75	18.546524
3389_13247_000004_000002	But he would be led by events as fast as they came on.	But he would be led by events as fast as they came on.	true	95.57	98.65	19.705404
3389_13247_000005_000000	He opened his door and began the routine of the office work.	He opened his door and began the routine of the office work.	true	99.38	102.43	19.65388
3389_13247_000005_000001	The managing editor had just come in and was at his desk in the adjoining room.	The managing editor had just come in and was at his desk in the adjoining room.	false	102.62	109.62	17.717651
3389_13247_000005_000002	One of the reporters there was pounding out something on a typewriter.	One of the reporters there was pounding out something on a typewriter.	true	109.62	112.93	17
3389_13247_000005_000003	Edward Norman began to write an editorial.	Edward Norman began to write an editorial.	true	113.12	115.39	19.810299
3389_13247_000005_000004	The DAILY NEWS was an evening paper, and Norman usually completed his leading editorial before nine o'clock.	The DAILY NEWS was an evening paper, and Norman usually completed his leading editorial before nine o'clock.	true	115.73	121.24	18.069721
3389_13247_000006_000000	He had been writing for fifteen minutes when the managing editor called out: "Here's this press report of yesterday's prize fight at the Resort.	He had been writing for fifteen minutes when the managing editor called out: "Here's this press report of yesterday's prize fight at the Resort.	true	121.85	128.56	19.228033
3389_13247_000006_000001	It will make up three columns and a half.	It will make up three columns and a half.	true	128.96	130.935	20.58774
3389_13247_000006_000002	I suppose it all goes in?"	I suppose it all goes in?"	true	130.935	133.21	16.48792
3389_13247_000007_000000	Norman was one of those newspaper men who keep an eye on every detail of the paper.	Norman was one of those newspaper men who keep an eye on every detail of the paper.	false	133.52	137.205	19.742897
3389_13247_000007_000001	The managing editor always consulted his chief in matters of both small and large importance.	The managing editor always consulted his chief in matters of both small and large importance.	false	137.205	141.61	16
3389_13247_000007_000002	Sometimes, as in this case, it was merely a nominal inquiry.	Sometimes, as in this case, it was merely a nominal inquiry.	true	141.8	144.88	17.772934
3389_13247_000008_000000	"Yes--No.	"Yes-no	true	145.04	146.685	20.056383
3389_13247_000008_000001	Let me see it."	Let me see it."	true	146.685	147.55	19.304182
3389_13247_000009_000000	He took the type-written matter just as it came from the telegraph editor and ran over it carefully.	He took the type written matter just as it came from the telegraph editor and ran over it carefully.	true	148.97	153.46	20.670448
3389_13247_000009_000001	Then he laid the sheets down on his desk and did some very hard thinking.	Then he laid the sheets down on his desk and did some very hard thinking.	false	153.89	158.2	20.109732
3389_13247_000010_000000	"We won't run this today," he said finally.	"We won't run this today," he said finally.	true	158.84	161.32	19.278984
3389_13247_000011_000000	The managing editor was standing in the doorway between the two rooms.	The managing editor was standing in the doorway between the two rooms.	false	161.9	164.835	17
3389_13247_000011_000001	He was astounded at his chief's remark, and thought he had perhaps misunderstood him.	He was astounded at his chief's remark, and thought he had perhaps misunderstood him.	false	164.835	169.03	20.968023
3389_13247_000012_000000	"What did you say?"	"What did you say?"	true	169.34	170.32	18.58723
3389_13247_000013_000000	"Leave it out.	"Leave it out.	true	171.26	171.96	18.767845
3389_13247_000013_000001	We won't use it."	We won't use it."	true	171.96	172.9	17
3389_13247_000014_000000	"But--"	"But-"	true	173.63	174.34	21.149946
3389_13247_000014_000001	The managing editor was simply dumbfounded.	The managing editor was simply dumbfounded.	true	174.62	176.95	19
3389_13247_000014_000002	He stared at Norman as if the man was out of his mind.	He stared at Norman as if the man was out of his mind.	true	176.96	179.47	19.97408
3389_13247_000015_000000	"I don't think, Clark, that it ought to be printed, and that's the end of it," said Norman, looking up from his desk.	"I don't think, Clark, that it ought to be printed, and that's the end of it," said Norman, looking up from his desk.	true	180.5	184.93	20.962837
3389_13247_000016_000000	Clark seldom had any words with the chief.	Clark seldom had any words with the chief.	true	186.23	189.04	19.707497
3389_13247_000016_000001	His word had always been law in the office and he had seldom been known to change his mind. The circumstances now, however, seemed to be so extraordinary that Clark could not help expressing himself.	His word had always been law in the office and he had seldom been known to change his mind. The circumstances now, however, seemed to be so extraordinary that Clark could not help expressing himself.	false	189.05	198.52	18
3389_13247_000017_000000	"Do you mean that the paper is to go to press without a word of the prize fight in it?"	"Do you mean that the paper is to go to press without a word of the prize fight in it?"	true	199.22	202.51	20
3389_13247_000018_000000	"Yes.	"Yes.	true	203.27	203.79	19.349504
3389_13247_000018_000001	That's what I mean."	That's what I mean."	true	203.79	204.79	18.292927
3389_13247_000019_000000	"But it's unheard of.	"But it's unheard of.	true	205.55	206.79	19.516935
3389_13247_000019_000001	All the other papers will print it.	All the other papers will print it.	true	206.79	208.33	21.298346
3389_13247_000019_000002	What will our subscribers say?	What will our subscribers say?	true	208.37	210.01	18.905853
3389_13247_000019_000003	Why, it is simply--" Clark paused, unable to find words to say what he thought.	Why, it is simply-" Clark paused, unable to find words to say what he thought.	false	210.32	214.33	19.657127
3389_13247_000020_000000	Norman looked at Clark thoughtfully.	Norman looked at Clark thoughtfully.	true	215.12	216.94	20.67152
3389_13247_000020_000001	The managing editor was a member of a church of a different denomination from that of Norman's.	The managing editor was a member of a church of a different denomination from that of Norman's.	true	217.1	221.08	18.81737
3389_13247_000020_000002	The two men had never talked together on religious matters although they had been associated on the paper for several years.	The two men had never talked together on religious matters although they had been associated on the paper for several years.	false	221.3	225.91	17
3389_13247_000021_000000	"Come in here a minute, Clark, and shut the door," said Norman.	"Come in here a minute, Clark, and shut the door," said Norman.	true	226.46	229.3	19.991667
3389_13247_000022_000000	Clark came in and the two men faced each other alone.	Clark came in and the two men faced each other alone.	true	229.91	232.57	20.324572
