3482_170452_000000_000000	CHAPTER V	CHAPTER five	false	2.28	27.94	21.752344
3482_170452_000001_000000	For the reason just stated, the little girls were sent home in the autumn of 1825, when Charlotte was little more than nine years old.	For the reason just stated, the little girls were sent home in the autumn of eighteen twenty five, when Charlotte was little more than nine years old.	true	30.38	39.46	21.462603
3482_170452_000002_000000	About this time, an elderly woman of the village came to live as servant at the parsonage.	About this time, an elderly woman of the village came to live as servant at the parsonage.	false	40.22	46.21	20.562567
3482_170452_000002_000001	She remained there, as a member of the household, for thirty years; and from the length of her faithful service, and the attachment and respect which she inspired, is deserving of mention.	She remained there, as a member of the household, for thirty years; and from the length of her faithful service, and the attachment and respect which she inspired, is deserving of mention.	true	47.06	59.26	21.285614
3482_170452_000002_000002	Tabby was a thorough specimen of a Yorkshire woman of her class, in dialect, in appearance, and in character.	Tabby was a thorough specimen of a Yorkshire woman of her class, in dialect, in appearance, and in character.	false	60.38	67.57	24.609825
3482_170452_000002_000003	She abounded in strong practical sense and shrewdness.	She abounded in strong practical sense and shrewdness.	true	68.45	71.86	21.460024
3482_170452_000002_000004	Her words were far from flattery; but she would spare no deeds in the cause of those whom she kindly regarded.	Her words were far from flattery; but she would spare no deeds in the cause of those whom she kindly regarded.	true	72.17	79.03	22.449583
3482_170452_000002_000005	She ruled the children pretty sharply; and yet never grudged a little extra trouble to provide them with such small treats as came within her power.	She ruled the children pretty sharply; and yet never grudged a little extra trouble to provide them with such small treats as came within her power.	false	79.58	88.75	24.462889
3482_170452_000002_000006	In return, she claimed to be looked upon as a humble friend; and, many years later, Miss Bronte told me that she found it somewhat difficult to manage, as Tabby expected to be informed of all the family concerns, and yet had grown so deaf that what was repeated to her became known to whoever might be in or about the house.	In return, she claimed to be looked upon as a humble friend; and, many years later, Miss Bronte told me that she found it somewhat difficult to manage, as Tabby expected to be informed of all the family concerns, and yet had grown so deaf that what was repeated to her became known to whoever might be in or about the house.	false	90.47	111.99	22.348179
3482_170452_000002_000007	To obviate this publication of what it might be desirable to keep secret, Miss Bronte used to take her out for a walk on the solitary moors; where, when both were seated on a tuft of heather, in some high lonely place, she could acquaint the old woman, at leisure, with all that she wanted to hear.	To obviate this publication of what it might be desirable to keep secret, Miss Bronte used to take her out for a walk on the solitary moors; where, when both were seated on a tuft of heather, in some high lonely place, she could acquaint the old woman, at leisure, with all that she wanted to hear.	false	111.99	132.16	20.679424
3482_170452_000003_000000	Tabby had lived in Haworth in the days when the pack-horses went through once a week, with their tinkling bells and gay worsted adornment, carrying the produce of the country from Keighley over the hills to Colne and Burnley.	Tabby had lived in Haworth in the days when the pack horses went through once a week, with their tinkling bells and gay worsted adornment, carrying the produce of the country from Keighley over the hills to Colne and Burnley.	false	132.5	147.64	22.268183
3482_170452_000003_000001	What is more, she had known the "bottom," or valley, in those primitive days when the fairies frequented the margin of the "beck" on moonlight nights, and had known folk who had seen them.	What is more, she had known the "bottom," or valley, in those primitive days when the fairies frequented the margin of the "beck" on moonlight nights, and had known folk who had seen them.	true	148.37	161.26	20.394619
3482_170452_000003_000002	But that was when there were no mills in the valleys; and when all the wool-spinning was done by hand in the farm-houses round.	But that was when there were no mills in the valleys; and when all the wool spinning was done by hand in the farm houses round.	true	161.96	169.3	19.5717
3482_170452_000003_000003	"It wur the factories as had driven 'em away," she said.	"It w u r the factories as had driven 'em away," she said.	false	169.94	173.32	19.548428
3482_170452_000003_000004	No doubt she had many a tale to tell of by- gone days of the country-side; old ways of living, former inhabitants, decayed gentry, who had melted away, and whose places knew them no more; family tragedies, and dark superstitious dooms; and in telling these things, without the least consciousness that there might ever be anything requiring to be softened down, would give at full length the bare and simple details.	No doubt she had many a tale to tell of by gone days of the country side; old ways of living, former inhabitants, decayed gentry, who had melted away, and whose places knew them no more; family tragedies, and dark superstitious dooms; and in telling these things, without the least consciousness that there might ever be anything requiring to be softened down, would give at full length the bare and simple details.	true	173.78	201.85	21.902164
3482_170452_000004_000000	Miss Branwell instructed the children at regular hours in all she could teach, making her bed-chamber into their schoolroom.	Miss Branwell instructed the children at regular hours in all she could teach, making her bed chamber into their schoolroom.	true	202.94	210.73	21.342817
3482_170452_000004_000001	Their father was in the habit of relating to them any public news in which he felt an interest; and from the opinions of his strong and independent mind they would gather much food for thought; but I do not know whether he gave them any direct instruction.	Their father was in the habit of relating to them any public news in which he felt an interest; and from the opinions of his strong and independent mind they would gather much food for thought; but I do not know whether he gave them any direct instruction.	true	211.43	227.17	20.469534
