3521_12715_000001_000001	When thoroughly mixed, add three pints of cold water.	When thoroughly mixed, add three pints of cold water.
3521_12715_000001_000003	When lukewarm, stir in half a pint of family yeast, (if brewers' yeast is used, a less quantity will answer,) a table-spoonful of salt, knead in flour till stiff enough to mould up, and free from lumps.	When lukewarm, stir in half a pint of family yeast, (if brewers' yeast is used, a less quantity will answer,) a table spoonful of salt, knead in flour till stiff enough to mould up, and free from lumps.
3521_12715_000001_000004	The more the bread is kneaded, the better it will be.	The more the bread is kneaded, the better it will be.
3521_12715_000001_000005	Cover it over with a thick cloth, and if the weather is cold, set it near a fire.	Cover it over with a thick cloth, and if the weather is cold, set it near a fire.
3521_12715_000001_000006	To ascertain when it has risen, cut it through the middle with a knife--if full of small holes like a sponge, it is sufficiently light for baking.	To ascertain when it has risen, cut it through the middle with a knife-if full of small holes like a sponge, it is sufficiently light for baking.
3521_12715_000001_000007	It should be baked as soon as light.	It should be baked as soon as light.
3521_12715_000001_000009	The bread should stand ten or twelve minutes in the pans before baking it.	The bread should stand ten or twelve minutes in the pans before baking it.
3521_12715_000001_000010	If you like your bread baked a good deal, let it stand in the oven an hour and a half.	If you like your bread baked a good deal, let it stand in the oven an hour and a half.
3521_12715_000001_000011	When the wheat is grown, it makes better bread to wet the flour entirely with boiling water.	When the wheat is grown, it makes better bread to wet the flour entirely with boiling water.
3521_12715_000001_000012	It should remain till cool before working in the yeast.	It should remain till cool before working in the yeast.
3521_12715_000001_000013	Some cooks have an idea that it kills the life of the flour to scald it, but it is a mistaken idea--it is sweeter for it, and will keep good much longer.	Some cooks have an idea that it kills the life of the flour to scald it, but it is a mistaken idea-it is sweeter for it, and will keep good much longer.
3521_12715_000001_000014	Bread made in this way is nearly as good as that which is wet with milk.	Bread made in this way is nearly as good as that which is wet with milk.
3521_12715_000001_000015	Care must be taken not to put the yeast in when the dough is hot, as it will scald it, and prevents its rising.	Care must be taken not to put the yeast in when the dough is hot, as it will scald it, and prevents its rising.
3521_12715_000001_000016	Most ovens require heating an hour and a half for bread.	Most ovens require heating an hour and a half for bread.
3521_12715_000001_000017	A brisk fire should be kept up, and the doors of the room should be kept shut, if the weather is cold.	A brisk fire should be kept up, and the doors of the room should be kept shut, if the weather is cold.
3521_12715_000001_000018	Pine and ash, mixed together, or birch-wood, is the best for heating an oven.	Pine and ash, mixed together, or birch wood, is the best for heating an oven.
