3738_176680_000000_000000	"I'm sorry for all this.	"I'm sorry for all this.	false	0	2.25	17
3738_176680_000000_000001	I'm even sorry that your man was not a better shot."	I'm even sorry that your man was not a better shot."	false	2.25	6.27	18
3738_176680_000001_000000	The old man straightened then and with a gesture he motioned young Dave to the foot of the coffin and stooped himself at the head.	The old man straightened then and with a gesture he motioned young Dave to the foot of the coffin and stooped himself at the head.	false	6.27	13.17	16
3738_176680_000001_000001	Past the wagon they went, the crowd giving way before them, and with the dead Tolliver on their shoulders, old Judd and young Dave passed with their followers out of sight.	Past the wagon they went, the crowd giving way before them, and with the dead Tolliver on their shoulders, old Judd and young Dave passed with their followers out of sight.	false	13.17	25.26	16
3738_176680_000002_000000	XXX	x x x	false	25.26	26.43	-20
3738_176680_000003_000000	The longest of her life was that day to June.	The longest of her life was that day to June.	true	26.43	29.07	11
3738_176680_000003_000001	The anxiety in times of war for the women who wait at home is vague because they are mercifully ignorant of the dangers their loved ones run, but a specific issue that involves death to those loved ones has a special and poignant terror of its own.	The anxiety in times of war for the women who wait at home is vague because they are mercifully ignorant of the dangers their loved ones run, but a specific issue that involves death to those loved ones has a special and poignant terror of its own.	true	29.07	43.69	13
3738_176680_000003_000002	June knew her father's plan, the precise time the fight would take place, and the especial danger that was Hale's, for she knew that young Dave Tolliver had marked him with the first shot fired.	June knew her father's plan, the precise time the fight would take place, and the especial danger that was Hale's, for she knew that young Dave Tolliver had marked him with the first shot fired.	true	44.36	55.72	17
3738_176680_000003_000003	Dry-eyed and white and dumb, she watched them make ready for the start that morning while it was yet dark; dully she heard the horses snorting from the cold, the low curt orders of her father, and the exciting mutterings of Bub and young Dave; dully she watched the saddles thrown on, the pistols buckled, the Winchesters caught up, and dully she watched them file out the gate and ride away, single file, into the cold, damp mist like ghostly figures in a dream.	Dry eyed and white and dumb, she watched them make ready for the start that morning while it was yet dark; dully she heard the horses snorting from the cold, the low curt orders of her father, and the exciting mutterings of Bub and young Dave; dully she watched the saddles thrown on, the pistols buckled, the Winchesters caught up, and dully she watched them file out the gate and ride away, single file, into the cold, damp mist like ghostly figures in a dream.	false	56.12	85.6	16
3738_176680_000003_000004	Once only did she open her lips and that was to plead with her father to leave Bub at home, but her father gave her no answer and Bub snorted his indignation--he was a man now, and his now was the privilege of a man.	Once only did she open her lips and that was to plead with her father to leave Bub at home, but her father gave her no answer and Bub snorted his indignation-he was a man now, and his now was the privilege of a man.	false	85.7	98.86	13
3738_176680_000003_000005	For a while she stood listening to the ring of metal against stone that came to her more and more faintly out of the mist, and she wondered if it was really June Tolliver standing there, while father and brother and cousin were on their way to fight the law--how differently she saw these things now--for a man who deserved death, and to fight a man who was ready to die for his duty to that law--the law that guarded them and her and might not perhaps guard him: the man who had planted for her the dew-drenched garden that was waiting for the sun, and had built the little room behind her for her comfort and seclusion; who had sent her to school, had never been anything but kind and just to her and to everybody--who had taught her life and, thank God, love.	For a while she stood listening to the ring of metal against stone that came to her more and more faintly out of the mist, and she wondered if it was really June Tolliver standing there, while father and brother and cousin were on their way to fight the law-how differently she saw these things now-for a man who deserved death, and to fight a man who was ready to die for his duty to that law-the law that guarded them and her and might not perhaps guard him: the man who had planted for her the dew drenched garden that was waiting for the sun, and had built the little room behind her for her comfort and seclusion; who had sent her to school, had never been anything but kind and just to her and to everybody-who had taught her life and, thank God, love.	false	99.23	146.89	12
