3864_185125_000000_000000	ORNITHOLOGY ON A COTTON PLANTATION.	ORNITHOLOGY ON A COTTON PLANTATION.
3864_185125_000001_000000	On one of my first jaunts into the suburbs of Tallahassee I noticed not far from the road a bit of swamp,--shallow pools with muddy borders and flats.	On one of my first jaunts into the suburbs of Tallahassee I noticed not far from the road a bit of swamp,--shallow pools with muddy borders and flats.
3864_185125_000001_000001	It was a likely spot for "waders," and would be worth a visit.	It was a likely spot for "waders," and would be worth a visit.
3864_185125_000001_000003	Ordinarily I call myself a simple bird-gazer, an amateur, a field naturalist, if you will; but on occasions like the present I assume--with myself, that is--all the rights and titles of an ornithologist proper, a man of science strictly so called.	Ordinarily I call myself a simple bird gazer, an amateur, a field naturalist, if you will; but on occasions like the present I assume-with myself, that is-all the rights and titles of an ornithologist proper, a man of science strictly so called.
3864_185125_000001_000004	In the interest of science, then, I climbed the fence and picked my way across the field.	In the interest of science, then, I climbed the fence and picked my way across the field.
3864_185125_000001_000005	True enough, about the edges of the water were two or three solitary sandpipers, and at least half a dozen of the smaller yellowlegs,--two additions to my Florida list,--not to speak of a little blue heron and a green heron, the latter in most uncommonly green plumage.	True enough, about the edges of the water were two or three solitary sandpipers, and at least half a dozen of the smaller yellowlegs,--two additions to my Florida list,--not to speak of a little blue heron and a green heron, the latter in most uncommonly green plumage.
3864_185125_000001_000007	"The letter killeth" is a pretty good text in emergencies of this kind.	"The letter killeth" is a pretty good text in emergencies of this kind.
3864_185125_000001_000009	The herons, meanwhile, had taken French leave, but the smaller birds were less suspicious; I watched them at my leisure, and left them still feeding.	The herons, meanwhile, had taken French leave, but the smaller birds were less suspicious; I watched them at my leisure, and left them still feeding.
3864_185125_000002_000002	He pulled up his horse and bade me good-afternoon.	He pulled up his horse and bade me good afternoon.
3864_185125_000002_000006	As it was, he protected the birds on his plantation, and the place was full of them.	As it was, he protected the birds on his plantation, and the place was full of them.
3864_185125_000002_000009	"We have orioles here," he added; and so far, at any rate, he was right; I had seen perhaps twenty that day (orchard orioles, that is), and one sat in a tree before us at the moment.	"We have orioles here," he added; and so far, at any rate, he was right; I had seen perhaps twenty that day (orchard orioles, that is), and one sat in a tree before us at the moment.
3864_185125_000002_000010	His whole manner was most kindly and hospitable,--as was that of every Tallahassean with whom I had occasion to speak,--and I told him with sincere gratitude that I should certainly avail myself of his courtesy and stroll through his woods.	His whole manner was most kindly and hospitable,--as was that of every Tallahassean with whom I had occasion to speak,--and I told him with sincere gratitude that I should certainly avail myself of his courtesy and stroll through his woods.
3864_185125_000003_000000	I approached them, two mornings afterward, from the opposite side, where, finding no other place of entrance, I climbed a six-barred, tightly locked gate--feeling all the while like "a thief and a robber"--in front of a deserted cabin.	I approached them, two mornings afterward, from the opposite side, where, finding no other place of entrance, I climbed a six barred, tightly locked gate-feeling all the while like "a thief and a robber"--in front of a deserted cabin.
3864_185125_000003_000001	Then I had only to cross a grassy field, in which meadow larks were singing, and I was in the woods.	Then I had only to cross a grassy field, in which meadow larks were singing, and I was in the woods.
3864_185125_000003_000002	I wandered through them without finding anything more unusual or interesting than summer tanagers and yellow-throated warblers, which were in song there, as they were in every such place, and after a while came out into a pleasant glade, from which different parts of the plantation could be seen, and through which ran a plantation road.	I wandered through them without finding anything more unusual or interesting than summer tanagers and yellow throated warblers, which were in song there, as they were in every such place, and after a while came out into a pleasant glade, from which different parts of the plantation could be seen, and through which ran a plantation road.
3864_185125_000003_000003	Here was a wooden fence,--a most unusual thing,--and I lost no time in mounting it, to rest and look about me.	Here was a wooden fence,--a most unusual thing,--and I lost no time in mounting it, to rest and look about me.
3864_185125_000003_000004	It is one of the marks of a true Yankee, I suspect, to like such a perch.	It is one of the marks of a true Yankee, I suspect, to like such a perch.
3864_185125_000003_000005	My own weakness in that direction is a frequent subject of mirth with chance fellow travelers. The attitude is comfortable and conducive to meditation; and now that I was seated and at my ease, I felt that this was one of the New England luxuries which, almost without knowing it, I had missed ever since I left home.	My own weakness in that direction is a frequent subject of mirth with chance fellow travelers. The attitude is comfortable and conducive to meditation; and now that I was seated and at my ease, I felt that this was one of the New England luxuries which, almost without knowing it, I had missed ever since I left home.
3864_185125_000004_000001	In the latter case, indeed, and perhaps in the former as well, it would seem more reasonable to draw an exactly opposite inference.	In the latter case, indeed, and perhaps in the former as well, it would seem more reasonable to draw an exactly opposite inference.
3864_185125_000004_000002	But, quibbles apart, one thing I do remember: I sat for some time on the fence, in the shade of a tree, with an eye upon the cane-swamp and an ear open for bird-voices.	But, quibbles apart, one thing I do remember: I sat for some time on the fence, in the shade of a tree, with an eye upon the cane swamp and an ear open for bird voices.
3864_185125_000004_000003	Yes, and it comes to me at this moment that here I heard the first and only bull-frog that I heard anywhere in Florida.	Yes, and it comes to me at this moment that here I heard the first and only bull frog that I heard anywhere in Florida.
3864_185125_000004_000004	It was like a voice from home, and belonged with the fence.	It was like a voice from home, and belonged with the fence.
3864_185125_000004_000006	One chorus brought me out of bed in Daytona--in the evening--after a succession of February dog-day showers.	One chorus brought me out of bed in Daytona-in the evening-after a succession of February dog day showers.
3864_185125_000004_000009	No doubt the creatures were frogs, but of some kind new to me, with voices more lugubrious and homesick than I should have supposed could possibly belong to any batrachian.	No doubt the creatures were frogs, but of some kind new to me, with voices more lugubrious and homesick than I should have supposed could possibly belong to any batrachian.
3864_185125_000004_000010	A week or two later, in the New Smyrna flat-woods, I heard in the distance a sound which I took for the grunting of pigs.	A week or two later, in the New Smyrna flat woods, I heard in the distance a sound which I took for the grunting of pigs.
3864_185125_000004_000012	A man was approaching, and when we met I asked him what was making that noise yonder.	A man was approaching, and when we met I asked him what was making that noise yonder.
3864_185125_000004_000013	"Frogs," he said.	"Frogs," he said.
3864_185125_000004_000014	At another time, in the flat-woods of Port Orange (I hope I am not taxing my reader's credulity too far, or making myself out a man of too imaginative an ear), I heard the bleating of sheep.	At another time, in the flat woods of Port Orange (I hope I am not taxing my reader's credulity too far, or making myself out a man of too imaginative an ear), I heard the bleating of sheep.
3864_185125_000004_000016	But this frog in the sugar-cane swamp was the same fellow that on summer evenings, ever and ever so many years ago, in sonorous bass that could be heard a quarter of a mile away, used to call from Reuben Loud's pond, "Pull him in!	But this frog in the sugar cane swamp was the same fellow that on summer evenings, ever and ever so many years ago, in sonorous bass that could be heard a quarter of a mile away, used to call from Reuben Loud's pond, "Pull him in!
3864_185125_000004_000018	Jug o' rum!"	Jug o' rum!"
3864_185125_000005_000000	I dismounted from my perch at last, and was sauntering idly along the path (idleness like this is often the best of ornithological industry), when suddenly I had a vision!	I dismounted from my perch at last, and was sauntering idly along the path (idleness like this is often the best of ornithological industry), when suddenly I had a vision!
3864_185125_000005_000001	Before me, in the leafy top of an oak sapling, sat a blue grosbeak.	Before me, in the leafy top of an oak sapling, sat a blue grosbeak.
3864_185125_000005_000002	I knew him on the instant.	I knew him on the instant.
3864_185125_000005_000004	Here was a new bird, a bird about which I had felt fifteen years of curiosity; and, more than that, a bird which here and now was quite unexpected, since it was not included in either of the two Florida lists that I had brought with me from home.	Here was a new bird, a bird about which I had felt fifteen years of curiosity; and, more than that, a bird which here and now was quite unexpected, since it was not included in either of the two Florida lists that I had brought with me from home.
3864_185125_000005_000005	For perhaps five seconds I had my opera-glass on the blue head and the thick-set, dark bill, with its lighter-colored under mandible.	For perhaps five seconds I had my opera glass on the blue head and the thick set, dark bill, with its lighter colored under mandible.
3864_185125_000005_000006	Then I heard the clatter of a horse's hoofs, and lifted my eyes.	Then I heard the clatter of a horse's hoofs, and lifted my eyes.
3864_185125_000005_000007	My friend the owner of the plantation was coming down the road at a gallop, straight upon me.	My friend the owner of the plantation was coming down the road at a gallop, straight upon me.
3864_185125_000005_000008	If I was to see the grosbeak and make sure of him, it must be done at once.	If I was to see the grosbeak and make sure of him, it must be done at once.
3864_185125_000005_000009	I moved to bring him fully into view, and he flew into the thick of a pine-tree out of sight.	I moved to bring him fully into view, and he flew into the thick of a pine tree out of sight.
3864_185125_000005_000011	A bright thought came to me.	A bright thought came to me.
3864_185125_000005_000014	Alas! he had too much courtesy to pass his own guest without speaking.	Alas! he had too much courtesy to pass his own guest without speaking.
3864_185125_000005_000015	"Still after the birds?" he said, as he checked his horse.	"Still after the birds?" he said, as he checked his horse.
3864_185125_000005_000016	I responded, as I hope, without any symptom of annoyance.	I responded, as I hope, without any symptom of annoyance.
3864_185125_000005_000017	Then, of course, he wished to know what I was looking at, and I told him that a blue grosbeak had just flown into that pine-tree, and that I was most distressingly anxious to see more of him.	Then, of course, he wished to know what I was looking at, and I told him that a blue grosbeak had just flown into that pine tree, and that I was most distressingly anxious to see more of him.
3864_185125_000005_000018	He looked at the pine-tree.	He looked at the pine tree.
3864_185125_000005_000019	"I can't see him," he said. No more could I. "It wasn't a blue jay, was it?" he asked.	"I can't see him," he said. No more could i "It wasn't a blue jay, was it?" he asked.
3864_185125_000005_000021	By this time the grosbeak had disappeared utterly.	By this time the grosbeak had disappeared utterly.
3864_185125_000005_000022	Possibly he had gone to a bit of wood on the opposite side of the cane-swamp.	Possibly he had gone to a bit of wood on the opposite side of the cane swamp.
3864_185125_000005_000023	I scaled a barbed-wire fence and made in that direction, but to no purpose.	I scaled a barbed wire fence and made in that direction, but to no purpose.
3864_185125_000005_000024	The grosbeak was gone for good.	The grosbeak was gone for good.
3864_185125_000005_000026	Could the planter have read my thoughts just then he would perhaps have been angry with himself, and pretty certainly he would have been angry with me.	Could the planter have read my thoughts just then he would perhaps have been angry with himself, and pretty certainly he would have been angry with me.
3864_185125_000005_000027	That a Yankee should accept his hospitality, and then load him with curses and call him all manner of names!	That a Yankee should accept his hospitality, and then load him with curses and call him all manner of names!
3864_185125_000005_000028	How should he know that I was so insane a hobbyist as to care more for the sight of a new bird than for all the laws and customs of ordinary politeness?	How should he know that I was so insane a hobbyist as to care more for the sight of a new bird than for all the laws and customs of ordinary politeness?
3864_185125_000005_000029	As my feelings cooled, I saw that I was stepping over hills or rows of some strange-looking plants just out of the ground.	As my feelings cooled, I saw that I was stepping over hills or rows of some strange looking plants just out of the ground.
3864_185125_000006_000000	I was preparing to surmount the barbed-wire fence again, when the planter returned and halted for another chat.	I was preparing to surmount the barbed wire fence again, when the planter returned and halted for another chat.
