3866_9919_000000_000000	This family was that of the merry barefoot boy.	This family was that of the merry barefoot boy.	false	0	3.78	12
3866_9919_000000_000001	He arrived there and found distress, and, what is still sadder, no smile; a cold hearth and cold hearts.	He arrived there and found distress, and, what is still sadder, no smile; a cold hearth and cold hearts.	false	3.78	8.37	15
3866_9919_000000_000002	When he entered, he was asked: "Whence come you?" He replied: "From the street." When he went away, they asked him: "Whither are you going?" He replied: "Into the streets." His mother said to him: "What did you come here for?"	When he entered, he was asked: "Whence come you?" He replied: "From the street." When he went away, they asked him: "Whither are you going?" He replied: "Into the streets." His mother said to him: "What did you come here for?"	false	8.37	11.13	11.708066
3866_9919_000001_000000	This child lived, in this absence of affection, like the pale plants which spring up in cellars.	This child lived, in this absence of affection, like the pale plants which spring up in cellars.	false	11.13	11.46	4
3866_9919_000001_000001	It did not cause him suffering, and he blamed no one.	It did not cause him suffering, and he blamed no one.	false	11.46	11.88	9
3866_9919_000001_000002	He did not know exactly how a father and mother should be.	He did not know exactly how a father and mother should be.	false	11.88	12.81	13
3866_9919_000002_000000	Nevertheless, his mother loved his sisters.	Nevertheless, his mother loved his sisters.	false	12.81	13.26	10
3866_9919_000003_000000	We have forgotten to mention, that on the Boulevard du Temple this child was called Little Gavroche.	We have forgotten to mention, that on the Boulevard du Temple this child was called Little Gavroche.	false	13.26	14.19	11
3866_9919_000003_000001	Why was he called Little Gavroche?	Why was he called Little Gavroche?	false	14.19	14.25	4
3866_9919_000004_000000	Probably because his father's name was Jondrette.	Probably because his father's name was Jondrette.	false	14.25	14.31	-6
3866_9919_000005_000000	It seems to be the instinct of certain wretched families to break the thread.	It seems to be the instinct of certain wretched families to break the thread.	false	14.31	15.78	15
3866_9919_000006_000000	The chamber which the Jondrettes inhabited in the Gorbeau hovel was the last at the end of the corridor.	The chamber which the Jondrettes inhabited in the Gorbeau hovel was the last at the end of the corridor.	false	15.78	18.06	15
3866_9919_000006_000001	The cell next to it was occupied by a very poor young man who was called M. Marius.	The cell next to it was occupied by a very poor young man who was called m Marius.	false	18.06	23.76	14
3866_9919_000007_000000	Let us explain who this M. Marius was.	Let us explain who this m Marius was.	false	23.76	27.495	15
3866_9919_000008_000000	BOOK SECOND.--THE GREAT BOURGEOIS	BOOK SECOND.--THE GREAT BOURGEOIS	false	27.495	30.76	13
3866_9919_000009_000000	CHAPTER I--NINETY YEARS AND THIRTY-TWO TEETH	CHAPTER one-NINETY YEARS AND THIRTY TWO TEETH	false	30.95	36.19	15.758602
3866_9919_000010_000000	In the Rue Boucherat, Rue de Normandie and the Rue de Saintonge there still exist a few ancient inhabitants who have preserved the memory of a worthy man named M. Gillenormand, and who mention him with complaisance. This good man was old when they were young.	In the Rue Boucherat, Rue de Normandie and the Rue de Saintonge there still exist a few ancient inhabitants who have preserved the memory of a worthy man named m Gillenormand, and who mention him with complaisance. This good man was old when they were young.	false	37.25	60.34	15.92646
3866_9919_000010_000001	This silhouette has not yet entirely disappeared--for those who regard with melancholy that vague swarm of shadows which is called the past--from the labyrinth of streets in the vicinity of the Temple to which, under Louis XIV., the names of all the provinces of France were appended exactly as in our day, the streets of the new Tivoli quarter have received the names of all the capitals of Europe; a progression, by the way, in which progress is visible.	This silhouette has not yet entirely disappeared-for those who regard with melancholy that vague swarm of shadows which is called the past-from the labyrinth of streets in the vicinity of the Temple to which, under Louis the fourteenth., the names of all the provinces of France were appended exactly as in our day, the streets of the new Tivoli quarter have received the names of all the capitals of Europe; a progression, by the way, in which progress is visible.	false	60.47	91.98	18.907131
