3866_9920_000000_000000	CHAPTER V--BASQUE AND NICOLETTE	CHAPTER five-BASQUE AND NICOLETTE	false	1.53	34.87	20.238981
3866_9920_000001_000000	He had theories.	He had theories.	true	36.32	37.81	18.506237
3866_9920_000001_000001	Here is one of them: "When a man is passionately fond of women, and when he has himself a wife for whom he cares but little, who is homely, cross, legitimate, with plenty of rights, perched on the code, and jealous at need, there is but one way of extricating himself from the quandry and of procuring peace, and that is to let his wife control the purse-strings.	Here is one of them: "When a man is passionately fond of women, and when he has himself a wife for whom he cares but little, who is homely, cross, legitimate, with plenty of rights, perched on the code, and jealous at need, there is but one way of extricating himself from the quandry and of procuring peace, and that is to let his wife control the purse strings.	false	38.42	64.93	18.829983
3866_9920_000001_000002	This abdication sets him free.	This abdication sets him free.	true	65.39	68.11	19.961521
3866_9920_000001_000003	Then his wife busies herself, grows passionately fond of handling coin, gets her fingers covered with verdigris in the process, undertakes the education of half-share tenants and the training of farmers, convokes lawyers, presides over notaries, harangues scriveners, visits limbs of the law, follows lawsuits, draws up leases, dictates contracts, feels herself the sovereign, sells, buys, regulates, promises and compromises, binds fast and annuls, yields, concedes and retrocedes, arranges, disarranges, hoards, lavishes; she commits follies, a supreme and personal delight, and that consoles her.	Then his wife busies herself, grows passionately fond of handling coin, gets her fingers covered with verdigris in the process, undertakes the education of half share tenants and the training of farmers, convokes lawyers, presides over notaries, harangues scriveners, visits limbs of the law, follows lawsuits, draws up leases, dictates contracts, feels herself the sovereign, sells, buys, regulates, promises and compromises, binds fast and annuls, yields, concedes and retrocedes, arranges, disarranges, hoards, lavishes; she commits follies, a supreme and personal delight, and that consoles her.	true	68.57	116.44	20.334663
3866_9920_000001_000004	While her husband disdains her, she has the satisfaction of ruining her husband." This theory M. Gillenormand had himself applied, and it had become his history.	While her husband disdains her, she has the satisfaction of ruining her husband." This theory m Gillenormand had himself applied, and it had become his history.	false	117.14	130.45	18.633806
3866_9920_000001_000005	His wife--the second one--had administered his fortune in such a manner that, one fine day, when M. Gillenormand found himself a widower, there remained to him just sufficient to live on, by sinking nearly the whole of it in an annuity of fifteen thousand francs, three-quarters of which would expire with him.	His wife-the second one-had administered his fortune in such a manner that, one fine day, when m Gillenormand found himself a widower, there remained to him just sufficient to live on, by sinking nearly the whole of it in an annuity of fifteen thousand francs, three quarters of which would expire with him.	false	130.64	154.11	19.846384
3866_9920_000001_000006	He had not hesitated on this point, not being anxious to leave a property behind him.	He had not hesitated on this point, not being anxious to leave a property behind him.	true	154.11	160.03	18.920729
3866_9920_000001_000007	Besides, he had noticed that patrimonies are subject to adventures, and, for instance, become national property; he had been present at the avatars of consolidated three per cents, and he had no great faith in the Great Book of the Public Debt.	Besides, he had noticed that patrimonies are subject to adventures, and, for instance, become national property; he had been present at the avatars of consolidated three per cents, and he had no great faith in the Great Book of the Public Debt.	false	160.91	179.47	19.894205
3866_9920_000001_000008	"All that's the Rue Quincampois!" he said.	"All that's the Rue Quincampois!" he said.	true	180.11	184.06	19.63125
3866_9920_000001_000009	His house in the Rue Filles-du-Clavaire belonged to him, as we have already stated.	His house in the Rue Filles du Clavaire belonged to him, as we have already stated.	false	184.37	191.44	19.711102
