3876_174953_000000_000000	CHAPTER XXXVI.	CHAPTER thirty six.	false	0.57	23.08	22.270084
3876_174953_000001_000000	SEVENTY-TWO.	SEVENTY TWO.	true	23.63	25.48	20.729567
3876_174953_000002_000000	On the next morning Phineas, with his speech before him, was obliged for a while to forget, or at least to postpone, Mr. Bonteen and his injuries.	On the next morning Phineas, with his speech before him, was obliged for a while to forget, or at least to postpone, mr Bonteen and his injuries.	true	27.8	38.5	19
3876_174953_000002_000001	He could not now go to Lord Cantrip, as the hours were too precious to him, and, as he felt, too short.	He could not now go to Lord Cantrip, as the hours were too precious to him, and, as he felt, too short.	true	38.87	46.42	21.244339
3876_174953_000002_000002	Though he had been thinking what he would say ever since the debate had become imminent, and knew accurately the line which he would take, he had not as yet prepared a word of his speech.	Though he had been thinking what he would say ever since the debate had become imminent, and knew accurately the line which he would take, he had not as yet prepared a word of his speech.	true	46.88	57.61	19
3876_174953_000002_000003	But he had resolved that he would not prepare a word otherwise than he might do by arranging certain phrases in his memory.	But he had resolved that he would not prepare a word otherwise than he might do by arranging certain phrases in his memory.	true	58.1	65.29	14
3876_174953_000002_000004	There should be nothing written; he had tried that before in old days, and had broken down with the effort.	There should be nothing written; he had tried that before in old days, and had broken down with the effort.	true	65.69	71.89	21.177153
3876_174953_000002_000005	He would load himself with no burden of words in itself so heavy that the carrying of it would incapacitate him for any other effort.	He would load himself with no burden of words in itself so heavy that the carrying of it would incapacitate him for any other effort.	true	72.29	80.5	19.497293
3876_174953_000003_000000	After a late breakfast he walked out far away, into the Regent's Park, and there, wandering among the uninteresting paths, he devised triumphs of oratory for himself.	After a late breakfast he walked out far away, into the Regent's Park, and there, wandering among the uninteresting paths, he devised triumphs of oratory for himself.	true	81.41	93.94	20.247164
3876_174953_000003_000001	Let him resolve as he would to forget Mr. Bonteen, and that charge of having been untrue to his companions, he could not restrain himself from efforts to fit the matter after some fashion into his speech.	Let him resolve as he would to forget mr Bonteen, and that charge of having been untrue to his companions, he could not restrain himself from efforts to fit the matter after some fashion into his speech.	true	93.95	106.87	18
3876_174953_000003_000002	Dim ideas of a definition of political honesty crossed his brain, bringing with him, however, a conviction that his thought must be much more clearly worked out than it could be on that day before he might venture to give it birth in the House of Commons.	Dim ideas of a definition of political honesty crossed his brain, bringing with him, however, a conviction that his thought must be much more clearly worked out than it could be on that day before he might venture to give it birth in the House of Commons.	true	107.39	122.95	20
3876_174953_000003_000003	He knew that he had been honest two years ago in separating himself from his colleagues.	He knew that he had been honest two years ago in separating himself from his colleagues.	true	123.38	128.29	19.169909
3876_174953_000003_000004	He knew that he would be honest now in voting with them, apparently in opposition to the pledges he had given at Tankerville.	He knew that he would be honest now in voting with them, apparently in opposition to the pledges he had given at Tankerville.	true	128.66	135.46	18
3876_174953_000003_000005	But he knew also that it would behove him to abstain from speaking of himself unless he could do so in close reference to some point specially in dispute between the two parties.	But he knew also that it would behove him to abstain from speaking of himself unless he could do so in close reference to some point specially in dispute between the two parties.	true	135.95	147.195	20.571718
3876_174953_000003_000006	When he returned to eat a mutton chop at Great Marlborough Street at three o'clock he was painfully conscious that all his morning had been wasted.	When he returned to eat a mutton chop at Great Marlborough Street at three o'clock he was painfully conscious that all his morning had been wasted.	true	147.195	155.71	19
3876_174953_000003_000007	He had allowed his mind to run revel, instead of tying it down to the formation of sentences and construction of arguments.	He had allowed his mind to run revel, instead of tying it down to the formation of sentences and construction of arguments.	true	155.81	163.27	18
3876_174953_000004_000000	He entered the House with the Speaker at four o'clock, and took his seat without uttering a word to any man.	He entered the House with the Speaker at four o'clock, and took his seat without uttering a word to any man.	true	164.21	170.41	20
3876_174953_000004_000001	He seemed to be more than ever disjoined from his party.	He seemed to be more than ever disjoined from his party.	true	170.66	173.8	18
3876_174953_000004_000002	Hitherto, since he had been seated by the Judge's order, the former companions of his Parliamentary life,--the old men whom he had used to know,--had to a certain degree admitted him among them.	Hitherto, since he had been seated by the Judge's order, the former companions of his Parliamentary life,--the old men whom he had used to know,--had to a certain degree admitted him among them.	true	173.9	185.86	18
3876_174953_000004_000003	Many of them sat on the front Opposition bench, whereas he, as a matter of course, had seated himself behind. But he had very frequently found himself next to some man who had held office and was living in the hope of holding it again, and had felt himself to be in some sort recognised as an aspirant.	Many of them sat on the front Opposition bench, whereas he, as a matter of course, had seated himself behind. But he had very frequently found himself next to some man who had held office and was living in the hope of holding it again, and had felt himself to be in some sort recognised as an aspirant.	true	186.23	204.91	19
3876_174953_000004_000004	Now it seemed to him that it was otherwise.	Now it seemed to him that it was otherwise.	true	205.34	207.85	18
3876_174953_000004_000005	He did not doubt but that Bonteen had shown the correspondence to his friends, and that the Ratlers and Erles had conceded that he, Phineas, was put out of court by it.	He did not doubt but that Bonteen had shown the correspondence to his friends, and that the Ratlers and Erles had conceded that he, Phineas, was put out of court by it.	true	208.04	219.19	22
3876_174953_000004_000006	He sat doggedly still, at the end of a bench behind Mr. Gresham, and close to the gangway.	He sat doggedly still, at the end of a bench behind mr Gresham, and close to the gangway.	true	219.26	225.25	20
3876_174953_000004_000007	When Mr. Gresham entered the House he was received with much cheering; but Phineas did not join in the cheer.	When mr Gresham entered the House he was received with much cheering; but Phineas did not join in the cheer.	true	226.19	233.26	20
3876_174953_000004_000008	He was studious to avoid any personal recognition of the future giver-away of places, though they two were close together; and he then fancied that Mr. Gresham had specially and most ungraciously abstained from any recognition of him.	He was studious to avoid any personal recognition of the future giver away of places, though they two were close together; and he then fancied that mr Gresham had specially and most ungraciously abstained from any recognition of him.	true	233.48	248.77	17
3876_174953_000004_000009	Mr. Monk, who sat near him, spoke a kind word to him.	mr Monk, who sat near him, spoke a kind word to him.	true	249.11	253.18	19.80798
