3889_9915_000002_000000	CHAPTER V--HIS FRONTIERS	CHAPTER five-HIS FRONTIERS
3889_9915_000003_000000	The gamin loves the city, he also loves solitude, since he has something of the sage in him.	The gamin loves the city, he also loves solitude, since he has something of the sage in him.
3889_9915_000003_000001	Urbis amator, like Fuscus; ruris amator, like Flaccus.	Urbis amator, like Fuscus; ruris amator, like Flaccus.
3889_9915_000004_000000	To roam thoughtfully about, that is to say, to lounge, is a fine employment of time in the eyes of the philosopher; particularly in that rather illegitimate species of campaign, which is tolerably ugly but odd and composed of two natures, which surrounds certain great cities, notably Paris.	To roam thoughtfully about, that is to say, to lounge, is a fine employment of time in the eyes of the philosopher; particularly in that rather illegitimate species of campaign, which is tolerably ugly but odd and composed of two natures, which surrounds certain great cities, notably Paris.
3889_9915_000004_000001	To study the suburbs is to study the amphibious animal. End of the trees, beginning of the roofs; end of the grass, beginning of the pavements; end of the furrows, beginning of the shops, end of the wheel-ruts, beginning of the passions; end of the divine murmur, beginning of the human uproar; hence an extraordinary interest.	To study the suburbs is to study the amphibious animal. End of the trees, beginning of the roofs; end of the grass, beginning of the pavements; end of the furrows, beginning of the shops, end of the wheel ruts, beginning of the passions; end of the divine murmur, beginning of the human uproar; hence an extraordinary interest.
3889_9915_000006_000000	He who writes these lines has long been a prowler about the barriers of Paris, and it is for him a source of profound souvenirs.	He who writes these lines has long been a prowler about the barriers of Paris, and it is for him a source of profound souvenirs.
3889_9915_000007_000001	The campagna of Rome is one idea, the banlieue of Paris is another; to behold nothing but fields, houses, or trees in what a stretch of country offers us, is to remain on the surface; all aspects of things are thoughts of God.	The campagna of Rome is one idea, the banlieue of Paris is another; to behold nothing but fields, houses, or trees in what a stretch of country offers us, is to remain on the surface; all aspects of things are thoughts of God.
3889_9915_000007_000002	The spot where a plain effects its junction with a city is always stamped with a certain piercing melancholy.	The spot where a plain effects its junction with a city is always stamped with a certain piercing melancholy.
3889_9915_000007_000003	Nature and humanity both appeal to you at the same time there.	Nature and humanity both appeal to you at the same time there.
3889_9915_000007_000004	Local originalities there make their appearance.	Local originalities there make their appearance.
3889_9915_000008_000002	The outer boulevard is their breathing space; the suburbs belong to them.	The outer boulevard is their breathing space; the suburbs belong to them.
3889_9915_000008_000003	There they are eternally playing truant.	There they are eternally playing truant.
3889_9915_000008_000004	There they innocently sing their repertory of dirty songs.	There they innocently sing their repertory of dirty songs.
3889_9915_000008_000006	These encounters with strange children are one of the charming and at the same time poignant graces of the environs of Paris.	These encounters with strange children are one of the charming and at the same time poignant graces of the environs of Paris.
3889_9915_000009_000000	Sometimes there are little girls among the throng of boys,--are they their sisters?--who are almost young maidens, thin, feverish, with sunburnt hands, covered with freckles, crowned with poppies and ears of rye, gay, haggard, barefooted.	Sometimes there are little girls among the throng of boys,--are they their sisters?--who are almost young maidens, thin, feverish, with sunburnt hands, covered with freckles, crowned with poppies and ears of rye, gay, haggard, barefooted.
3889_9915_000009_000001	They can be seen devouring cherries among the wheat.	They can be seen devouring cherries among the wheat.
3889_9915_000009_000002	In the evening they can be heard laughing.	In the evening they can be heard laughing.
3889_9915_000010_000000	Paris, centre, banlieue, circumference; this constitutes all the earth to those children.	Paris, centre, banlieue, circumference; this constitutes all the earth to those children.
3889_9915_000010_000001	They never venture beyond this.	They never venture beyond this.
3889_9915_000010_000002	They can no more escape from the Parisian atmosphere than fish can escape from the water.	They can no more escape from the Parisian atmosphere than fish can escape from the water.
3889_9915_000011_000000	CHAPTER VI--A BIT OF HISTORY	CHAPTER six-A BIT OF HISTORY
3889_9915_000012_000001	The statistics give an average of two hundred and sixty homeless children picked up annually at that period, by the police patrols, in unenclosed lands, in houses in process of construction, and under the arches of the bridges.	The statistics give an average of two hundred and sixty homeless children picked up annually at that period, by the police patrols, in unenclosed lands, in houses in process of construction, and under the arches of the bridges.
3889_9915_000012_000002	One of these nests, which has become famous, produced "the swallows of the bridge of Arcola." This is, moreover, the most disastrous of social symptoms.	One of these nests, which has become famous, produced "the swallows of the bridge of Arcola." This is, moreover, the most disastrous of social symptoms.
3889_9915_000013_000000	Let us make an exception in favor of Paris, nevertheless.	Let us make an exception in favor of Paris, nevertheless.
3889_9915_000013_000001	In a relative measure, and in spite of the souvenir which we have just recalled, the exception is just.	In a relative measure, and in spite of the souvenir which we have just recalled, the exception is just.
3889_9915_000013_000002	While in any other great city the vagabond child is a lost man, while nearly everywhere the child left to itself is, in some sort, sacrificed and abandoned to a kind of fatal immersion in the public vices which devour in him honesty and conscience, the street boy of Paris, we insist on this point, however defaced and injured on the surface, is almost intact on the interior.	While in any other great city the vagabond child is a lost man, while nearly everywhere the child left to itself is, in some sort, sacrificed and abandoned to a kind of fatal immersion in the public vices which devour in him honesty and conscience, the street boy of Paris, we insist on this point, however defaced and injured on the surface, is almost intact on the interior.
3889_9915_000013_000003	It is a magnificent thing to put on record, and one which shines forth in the splendid probity of our popular revolutions, that a certain incorruptibility results from the idea which exists in the air of Paris, as salt exists in the water of the ocean.	It is a magnificent thing to put on record, and one which shines forth in the splendid probity of our popular revolutions, that a certain incorruptibility results from the idea which exists in the air of Paris, as salt exists in the water of the ocean.
3889_9915_000014_000000	What we have just said takes away nothing of the anguish of heart which one experiences every time that one meets one of these children around whom one fancies that he beholds floating the threads of a broken family.	What we have just said takes away nothing of the anguish of heart which one experiences every time that one meets one of these children around whom one fancies that he beholds floating the threads of a broken family.
3889_9915_000014_000001	In the civilization of the present day, incomplete as it still is, it is not a very abnormal thing to behold these fractured families pouring themselves out into the darkness, not knowing clearly what has become of their children, and allowing their own entrails to fall on the public highway.	In the civilization of the present day, incomplete as it still is, it is not a very abnormal thing to behold these fractured families pouring themselves out into the darkness, not knowing clearly what has become of their children, and allowing their own entrails to fall on the public highway.
3889_9915_000014_000002	Hence these obscure destinies.	Hence these obscure destinies.
3889_9915_000015_000000	Let it be said by the way, that this abandonment of children was not discouraged by the ancient monarchy.	Let it be said by the way, that this abandonment of children was not discouraged by the ancient monarchy.
3889_9915_000015_000001	A little of Egypt and Bohemia in the lower regions suited the upper spheres, and compassed the aims of the powerful.	A little of Egypt and Bohemia in the lower regions suited the upper spheres, and compassed the aims of the powerful.
3889_9915_000015_000002	The hatred of instruction for the children of the people was a dogma.	The hatred of instruction for the children of the people was a dogma.
3889_9915_000015_000004	Such was the countersign. Now, the erring child is the corollary of the ignorant child.	Such was the countersign. Now, the erring child is the corollary of the ignorant child.
3889_9915_000016_000000	Besides this, the monarchy sometimes was in need of children, and in that case it skimmed the streets.	Besides this, the monarchy sometimes was in need of children, and in that case it skimmed the streets.
3889_9915_000017_000000	Under Louis XIV., not to go any further back, the king rightly desired to create a fleet.	Under Louis the fourteenth., not to go any further back, the king rightly desired to create a fleet.
3889_9915_000017_000001	The idea was a good one.	The idea was a good one.
3889_9915_000017_000002	But let us consider the means.	But let us consider the means.
3889_9915_000017_000006	A man kept his hat on in the presence of a procession--it was a Huguenot attitude; he was sent to the galleys.	A man kept his hat on in the presence of a procession-it was a Huguenot attitude; he was sent to the galleys.
3889_9915_000017_000007	A child was encountered in the streets; provided that he was fifteen years of age and did not know where he was to sleep, he was sent to the galleys.	A child was encountered in the streets; provided that he was fifteen years of age and did not know where he was to sleep, he was sent to the galleys.
3889_9915_000018_000000	Under Louis XV. children disappeared in Paris; the police carried them off, for what mysterious purpose no one knew.	Under Louis the fifteenth. children disappeared in Paris; the police carried them off, for what mysterious purpose no one knew.
3889_9915_000018_000001	People whispered with terror monstrous conjectures as to the king's baths of purple.	People whispered with terror monstrous conjectures as to the king's baths of purple.
3889_9915_000018_000003	It sometimes happened that the exempts of the guard, when they ran short of children, took those who had fathers.	It sometimes happened that the exempts of the guard, when they ran short of children, took those who had fathers.
3889_9915_000018_000004	The fathers, in despair, attacked the exempts.	The fathers, in despair, attacked the exempts.
3889_9915_000018_000005	In that case, the parliament intervened and had some one hung.	In that case, the parliament intervened and had some one hung.
3889_9915_000018_000006	Who?	Who?
