3922_723_000000_000000	Chapter VIII.	Chapter eight.	false	1.8	26.35	22.958405
3922_723_000000_000001	The Evidence Of The Witnesses.	The Evidence Of The Witnesses.	false	26.87	28.75	20
3922_723_000000_000002	The Babe	The Babe	true	28.79	29.83	23.974241
3922_723_000001_000000	The examination of the witnesses began.	The examination of the witnesses began.	true	30.95	33.22	21
3922_723_000001_000001	But we will not continue our story in such detail as before.	But we will not continue our story in such detail as before.	true	33.53	36.73	23.926771
3922_723_000001_000002	And so we will not dwell on how Nikolay Parfenovitch impressed on every witness called that he must give his evidence in accordance with truth and conscience, and that he would afterwards have to repeat his evidence on oath, how every witness was called upon to sign the protocol of his evidence, and so on.	And so we will not dwell on how Nikolay Parfenovitch impressed on every witness called that he must give his evidence in accordance with truth and conscience, and that he would afterwards have to repeat his evidence on oath, how every witness was called upon to sign the protocol of his evidence, and so on.	true	37.13	53.95	22.706186
3922_723_000001_000003	We will only note that the point principally insisted upon in the examination was the question of the three thousand roubles, that is, was the sum spent here, at Mokroe, by Mitya on the first occasion, a month before, three thousand or fifteen hundred?	We will only note that the point principally insisted upon in the examination was the question of the three thousand roubles, that is, was the sum spent here, at Mokroe, by Mitya on the first occasion, a month before, three thousand or fifteen hundred?	true	54.5	70.3	23.74826
3922_723_000001_000004	And again had he spent three thousand or fifteen hundred yesterday?	And again had he spent three thousand or fifteen hundred yesterday?	true	70.67	74.56	23.650702
3922_723_000001_000005	Alas, all the evidence given by every one turned out to be against Mitya.	Alas, all the evidence given by every one turned out to be against Mitya.	true	75.2	79.39	22.223654
3922_723_000001_000006	There was not one in his favor, and some witnesses introduced new, almost crushing facts, in contradiction of his, Mitya's, story.	There was not one in his favor, and some witnesses introduced new, almost crushing facts, in contradiction of his, Mitya's, story.	true	79.88	88.18	23
3922_723_000002_000000	The first witness examined was Trifon Borissovitch.	The first witness examined was Trifon Borissovitch.	false	89.12	91.93	21.538698
3922_723_000002_000001	He was not in the least abashed as he stood before the lawyers.	He was not in the least abashed as he stood before the lawyers.	true	92.39	95.44	20.380766
3922_723_000002_000002	He had, on the contrary, an air of stern and severe indignation with the accused, which gave him an appearance of truthfulness and personal dignity.	He had, on the contrary, an air of stern and severe indignation with the accused, which gave him an appearance of truthfulness and personal dignity.	true	95.84	103.96	22.220423
3922_723_000002_000003	He spoke little, and with reserve, waited to be questioned, answered precisely and deliberately. Firmly and unhesitatingly he bore witness that the sum spent a month before could not have been less than three thousand, that all the peasants about here would testify that they had heard the sum of three thousand mentioned by Dmitri Fyodorovitch himself.	He spoke little, and with reserve, waited to be questioned, answered precisely and deliberately. Firmly and unhesitatingly he bore witness that the sum spent a month before could not have been less than three thousand, that all the peasants about here would testify that they had heard the sum of three thousand mentioned by Dmitri Fyodorovitch himself.	true	104.48	124.42	22.266045
3922_723_000002_000004	"What a lot of money he flung away on the gypsy girls alone!	"What a lot of money he flung away on the gypsy girls alone!	false	124.91	128.23	21.767813
3922_723_000002_000005	He wasted a thousand, I daresay, on them alone."	He wasted a thousand, I daresay, on them alone."	true	128.54	131.47	21.99179
3922_723_000003_000000	"I don't believe I gave them five hundred," was Mitya's gloomy comment on this.	"I don't believe I gave them five hundred," was Mitya's gloomy comment on this.	false	132.11	136.45	20.890152
3922_723_000003_000001	"It's a pity I didn't count the money at the time, but I was drunk...."	"It's a pity I didn't count the money at the time, but I was drunk...."	true	136.91	140.56	22.253998
3922_723_000004_000000	Mitya was sitting sideways with his back to the curtains.	Mitya was sitting sideways with his back to the curtains.	true	141.29	144.16	21.537935
3922_723_000004_000001	He listened gloomily, with a melancholy and exhausted air, as though he would say:	He listened gloomily, with a melancholy and exhausted air, as though he would say:	true	144.41	149.08	22
3922_723_000005_000000	"Oh, say what you like.	"Oh, say what you like.	true	149.45	150.99	22.26281
3922_723_000005_000001	It makes no difference now."	It makes no difference now."	true	150.99	152.47	20.850374
3922_723_000006_000000	"More than a thousand went on them, Dmitri Fyodorovitch," retorted Trifon Borissovitch firmly.	"More than a thousand went on them, Dmitri Fyodorovitch," retorted Trifon Borissovitch firmly.	true	153.41	159.1	24.141052
3922_723_000006_000001	"You flung it about at random and they picked it up. They were a rascally, thievish lot, horse-stealers, they've been driven away from here, or maybe they'd bear witness themselves how much they got from you.	"You flung it about at random and they picked it up. They were a rascally, thievish lot, horse stealers, they've been driven away from here, or maybe they'd bear witness themselves how much they got from you.	true	159.35	169.96	20.974806
