3922_723_000000_000002	The Babe	The Babe
3922_723_000001_000000	The examination of the witnesses began.	The examination of the witnesses began.
3922_723_000001_000001	But we will not continue our story in such detail as before.	But we will not continue our story in such detail as before.
3922_723_000001_000002	And so we will not dwell on how Nikolay Parfenovitch impressed on every witness called that he must give his evidence in accordance with truth and conscience, and that he would afterwards have to repeat his evidence on oath, how every witness was called upon to sign the protocol of his evidence, and so on.	And so we will not dwell on how Nikolay Parfenovitch impressed on every witness called that he must give his evidence in accordance with truth and conscience, and that he would afterwards have to repeat his evidence on oath, how every witness was called upon to sign the protocol of his evidence, and so on.
3922_723_000001_000003	We will only note that the point principally insisted upon in the examination was the question of the three thousand roubles, that is, was the sum spent here, at Mokroe, by Mitya on the first occasion, a month before, three thousand or fifteen hundred?	We will only note that the point principally insisted upon in the examination was the question of the three thousand roubles, that is, was the sum spent here, at Mokroe, by Mitya on the first occasion, a month before, three thousand or fifteen hundred?
3922_723_000001_000004	And again had he spent three thousand or fifteen hundred yesterday?	And again had he spent three thousand or fifteen hundred yesterday?
3922_723_000001_000005	Alas, all the evidence given by every one turned out to be against Mitya.	Alas, all the evidence given by every one turned out to be against Mitya.
3922_723_000001_000006	There was not one in his favor, and some witnesses introduced new, almost crushing facts, in contradiction of his, Mitya's, story.	There was not one in his favor, and some witnesses introduced new, almost crushing facts, in contradiction of his, Mitya's, story.
3922_723_000002_000001	He was not in the least abashed as he stood before the lawyers.	He was not in the least abashed as he stood before the lawyers.
3922_723_000002_000002	He had, on the contrary, an air of stern and severe indignation with the accused, which gave him an appearance of truthfulness and personal dignity.	He had, on the contrary, an air of stern and severe indignation with the accused, which gave him an appearance of truthfulness and personal dignity.
3922_723_000002_000003	He spoke little, and with reserve, waited to be questioned, answered precisely and deliberately. Firmly and unhesitatingly he bore witness that the sum spent a month before could not have been less than three thousand, that all the peasants about here would testify that they had heard the sum of three thousand mentioned by Dmitri Fyodorovitch himself.	He spoke little, and with reserve, waited to be questioned, answered precisely and deliberately. Firmly and unhesitatingly he bore witness that the sum spent a month before could not have been less than three thousand, that all the peasants about here would testify that they had heard the sum of three thousand mentioned by Dmitri Fyodorovitch himself.
3922_723_000002_000005	He wasted a thousand, I daresay, on them alone."	He wasted a thousand, I daresay, on them alone."
3922_723_000003_000001	"It's a pity I didn't count the money at the time, but I was drunk...."	"It's a pity I didn't count the money at the time, but I was drunk...."
3922_723_000004_000000	Mitya was sitting sideways with his back to the curtains.	Mitya was sitting sideways with his back to the curtains.
3922_723_000004_000001	He listened gloomily, with a melancholy and exhausted air, as though he would say:	He listened gloomily, with a melancholy and exhausted air, as though he would say:
3922_723_000005_000000	"Oh, say what you like.	"Oh, say what you like.
3922_723_000005_000001	It makes no difference now."	It makes no difference now."
3922_723_000006_000000	"More than a thousand went on them, Dmitri Fyodorovitch," retorted Trifon Borissovitch firmly.	"More than a thousand went on them, Dmitri Fyodorovitch," retorted Trifon Borissovitch firmly.
3922_723_000006_000001	"You flung it about at random and they picked it up. They were a rascally, thievish lot, horse-stealers, they've been driven away from here, or maybe they'd bear witness themselves how much they got from you.	"You flung it about at random and they picked it up. They were a rascally, thievish lot, horse stealers, they've been driven away from here, or maybe they'd bear witness themselves how much they got from you.
3922_723_000006_000002	I saw the sum in your hands, myself--count it I didn't, you didn't let me, that's true enough--but by the look of it I should say it was far more than fifteen hundred ... fifteen hundred, indeed!	I saw the sum in your hands, myself-count it I didn't, you didn't let me, that's true enough-but by the look of it I should say it was far more than fifteen hundred ... fifteen hundred, indeed!
3922_723_000006_000004	We can judge of amounts...."	We can judge of amounts...."
3922_723_000007_000000	As for the sum spent yesterday he asserted that Dmitri Fyodorovitch had told him, as soon as he arrived, that he had brought three thousand with him.	As for the sum spent yesterday he asserted that Dmitri Fyodorovitch had told him, as soon as he arrived, that he had brought three thousand with him.
3922_723_000008_000000	"Come now, is that so, Trifon Borissovitch?" replied Mitya.	"Come now, is that so, Trifon Borissovitch?" replied Mitya.
3922_723_000008_000001	"Surely I didn't declare so positively that I'd brought three thousand?"	"Surely I didn't declare so positively that I'd brought three thousand?"
3922_723_000009_000000	"You did say so, Dmitri Fyodorovitch.	"You did say so, Dmitri Fyodorovitch.
3922_723_000009_000001	You said it before Andrey.	You said it before Andrey.
3922_723_000009_000002	Andrey himself is still here.	Andrey himself is still here.
3922_723_000009_000003	Send for him.	Send for him.
3922_723_000009_000004	And in the hall, when you were treating the chorus, you shouted straight out that you would leave your sixth thousand here--that is with what you spent before, we must understand.	And in the hall, when you were treating the chorus, you shouted straight out that you would leave your sixth thousand here-that is with what you spent before, we must understand.
3922_723_000009_000005	Stepan and Semyon heard it, and Pyotr Fomitch Kalganov, too, was standing beside you at the time.	Stepan and Semyon heard it, and Pyotr Fomitch Kalganov, too, was standing beside you at the time.
3922_723_000009_000006	Maybe he'd remember it...."	Maybe he'd remember it...."
3922_723_000010_000001	They were delighted with this new mode of reckoning; three and three made six, three thousand then and three now made six, that was clear.	They were delighted with this new mode of reckoning; three and three made six, three thousand then and three now made six, that was clear.
3922_723_000011_000000	They questioned all the peasants suggested by Trifon Borissovitch, Stepan and Semyon, the driver Andrey, and Kalganov.	They questioned all the peasants suggested by Trifon Borissovitch, Stepan and Semyon, the driver Andrey, and Kalganov.
3922_723_000011_000001	The peasants and the driver unhesitatingly confirmed Trifon Borissovitch's evidence.	The peasants and the driver unhesitatingly confirmed Trifon Borissovitch's evidence.
3922_723_000012_000000	The psychological Ippolit Kirillovitch heard this with a subtle smile, and ended by recommending that these remarks as to where Dmitri Fyodorovitch would go should be "included in the case."	The psychological Ippolit Kirillovitch heard this with a subtle smile, and ended by recommending that these remarks as to where Dmitri Fyodorovitch would go should be "included in the case."
3922_723_000013_000001	He began by saying that "he knew nothing about it and didn't want to." But it appeared that he had heard of the "sixth" thousand, and he admitted that he had been standing close by at the moment.	He began by saying that "he knew nothing about it and didn't want to." But it appeared that he had heard of the "sixth" thousand, and he admitted that he had been standing close by at the moment.
3922_723_000013_000002	As far as he could see he "didn't know" how much money Mitya had in his hands.	As far as he could see he "didn't know" how much money Mitya had in his hands.
3922_723_000013_000003	He affirmed that the Poles had cheated at cards.	He affirmed that the Poles had cheated at cards.
3922_723_000013_000004	In reply to reiterated questions he stated that, after the Poles had been turned out, Mitya's position with Agrafena Alexandrovna had certainly improved, and that she had said that she loved him.	In reply to reiterated questions he stated that, after the Poles had been turned out, Mitya's position with Agrafena Alexandrovna had certainly improved, and that she had said that she loved him.
3922_723_000013_000006	In spite of the young man's obvious repugnance at giving evidence, Ippolit Kirillovitch examined him at great length, and only from him learnt all the details of what made up Mitya's "romance," so to say, on that night. Mitya did not once pull Kalganov up.	In spite of the young man's obvious repugnance at giving evidence, Ippolit Kirillovitch examined him at great length, and only from him learnt all the details of what made up Mitya's "romance," so to say, on that night. Mitya did not once pull Kalganov up.
3922_723_000013_000007	At last they let the young man go, and he left the room with unconcealed indignation.	At last they let the young man go, and he left the room with unconcealed indignation.
3922_723_000014_000000	The Poles, too, were examined.	The Poles, too, were examined.
3922_723_000014_000001	Though they had gone to bed in their room, they had not slept all night, and on the arrival of the police officers they hastily dressed and got ready, realizing that they would certainly be sent for.	Though they had gone to bed in their room, they had not slept all night, and on the arrival of the police officers they hastily dressed and got ready, realizing that they would certainly be sent for.
3922_723_000014_000003	The little Pole turned out to be a retired official of the twelfth class, who had served in Siberia as a veterinary surgeon.	The little Pole turned out to be a retired official of the twelfth class, who had served in Siberia as a veterinary surgeon.
3922_723_000014_000004	His name was Mussyalovitch.	His name was Mussyalovitch.
3922_723_000014_000005	Pan Vrublevsky turned out to be an uncertificated dentist.	Pan Vrublevsky turned out to be an uncertificated dentist.
3922_723_000014_000006	Although Nikolay Parfenovitch asked them questions on entering the room they both addressed their answers to Mihail Makarovitch, who was standing on one side, taking him in their ignorance for the most important person and in command, and addressed him at every word as "Pan Colonel." Only after several reproofs from Mihail Makarovitch himself, they grasped that they had to address their answers to Nikolay Parfenovitch only.	Although Nikolay Parfenovitch asked them questions on entering the room they both addressed their answers to Mihail Makarovitch, who was standing on one side, taking him in their ignorance for the most important person and in command, and addressed him at every word as "Pan Colonel." Only after several reproofs from Mihail Makarovitch himself, they grasped that they had to address their answers to Nikolay Parfenovitch only.
3922_723_000014_000007	It turned out that they could speak Russian quite correctly except for their accent in some words.	It turned out that they could speak Russian quite correctly except for their accent in some words.
3922_723_000014_000008	Of his relations with Grushenka, past and present, Pan Mussyalovitch spoke proudly and warmly, so that Mitya was roused at once and declared that he would not allow the "scoundrel" to speak like that in his presence!	Of his relations with Grushenka, past and present, Pan Mussyalovitch spoke proudly and warmly, so that Mitya was roused at once and declared that he would not allow the "scoundrel" to speak like that in his presence!
3922_723_000014_000009	Pan Mussyalovitch at once called attention to the word "scoundrel" and begged that it should be put down in the protocol. Mitya fumed with rage.	Pan Mussyalovitch at once called attention to the word "scoundrel" and begged that it should be put down in the protocol. Mitya fumed with rage.
3922_723_000015_000000	"He's a scoundrel!	"He's a scoundrel!
3922_723_000015_000002	You can put that down.	You can put that down.
3922_723_000015_000003	And put down, too, that, in spite of the protocol I still declare that he's a scoundrel!" he cried.	And put down, too, that, in spite of the protocol I still declare that he's a scoundrel!" he cried.
3922_723_000016_000001	After sternly reprimanding Mitya, he cut short all further inquiry into the romantic aspect of the case, and hastened to pass to what was essential.	After sternly reprimanding Mitya, he cut short all further inquiry into the romantic aspect of the case, and hastened to pass to what was essential.
3922_723_000017_000000	The prosecutor positively pounced on this piece of evidence.	The prosecutor positively pounced on this piece of evidence.
3922_723_000017_000002	This would explain the circumstance, so baffling for the prosecution, that only eight hundred roubles were to be found in Mitya's hands.	This would explain the circumstance, so baffling for the prosecution, that only eight hundred roubles were to be found in Mitya's hands.
3922_723_000018_000000	"And you imagine he would have accepted such a deed as a substitute for two thousand three hundred roubles in cash?"	"And you imagine he would have accepted such a deed as a substitute for two thousand three hundred roubles in cash?"
3922_723_000019_000000	"He certainly would have accepted it," Mitya declared warmly.	"He certainly would have accepted it," Mitya declared warmly.
3922_723_000019_000001	"Why, look here, he might have grabbed not two thousand, but four or six, for it.	"Why, look here, he might have grabbed not two thousand, but four or six, for it.
3922_723_000019_000002	He would have put his lawyers, Poles and Jews, on to the job, and might have got, not three thousand, but the whole property out of the old man."	He would have put his lawyers, Poles and Jews, on to the job, and might have got, not three thousand, but the whole property out of the old man."
3922_723_000020_000001	Then they let the Poles go.	Then they let the Poles go.
3922_723_000020_000003	Nikolay Parfenovitch was too well pleased with them, as it was, and did not want to worry them with trifles, moreover, it was nothing but a foolish, drunken quarrel over cards.	Nikolay Parfenovitch was too well pleased with them, as it was, and did not want to worry them with trifles, moreover, it was nothing but a foolish, drunken quarrel over cards.
