3972_5791_000001_000000	Chapter XLI.	Chapter forty one.
3972_5791_000002_000000	The State Prison.	The State Prison.
3972_5791_000003_000000	The regent's re-entrance into the citadel of Stirling, being on the evening preceding the day he had promised should see the English lords depart for their country, De Warenne, as a mark of respect to a man whom he could not but regard with admiration, went to the barbican-gate to bid him welcome.	The regent's re entrance into the citadel of Stirling, being on the evening preceding the day he had promised should see the English lords depart for their country, De Warenne, as a mark of respect to a man whom he could not but regard with admiration, went to the barbican gate to bid him welcome.
3972_5791_000006_000000	After having transferred his captives to the charge of Lord Mar, Wallace went alone to the chamber of Montgomery, to see whether the state of his wounds would allow him to march on the morrow.	After having transferred his captives to the charge of Lord Mar, Wallace went alone to the chamber of Montgomery, to see whether the state of his wounds would allow him to march on the morrow.
3972_5791_000006_000001	While he was yet there, an invitation arrived from the Countess of Mar, requesting his presence at an entertainment which, by her husband's consent, she meant to give that night at Snawdoun, to the Southron lords before their departure for England.	While he was yet there, an invitation arrived from the Countess of Mar, requesting his presence at an entertainment which, by her husband's consent, she meant to give that night at Snawdoun, to the Southron lords before their departure for England.
3972_5791_000007_000000	"I fear you dare not expend your strength on this party?" inquired Wallace, turning to Montgomery.	"I fear you dare not expend your strength on this party?" inquired Wallace, turning to Montgomery.
3972_5791_000008_000000	"Certainly not," returned he; "but I shall see you amidst your noble friends, at some future period.	"Certainly not," returned he; "but I shall see you amidst your noble friends, at some future period.
3972_5791_000008_000001	When the peace your arms must win, is established between the two nations, I shall then revisit Scotland; and openly declare my friendship for Sir William Wallace."	When the peace your arms must win, is established between the two nations, I shall then revisit Scotland; and openly declare my friendship for Sir William Wallace."
3972_5791_000010_000000	"Sanguinary have been the instruments of my sovereign's rule in Scotland," replied Montgomery; "but such cruelty is foreign to his gallant heart; and without offending that high-souled patriotism, which would make me revere its possessor, were he the lowliest man in your legions, allow me, noblest of Scots, to plead one word in vindication of him to whom my allegiance is pledged.	"Sanguinary have been the instruments of my sovereign's rule in Scotland," replied Montgomery; "but such cruelty is foreign to his gallant heart; and without offending that high souled patriotism, which would make me revere its possessor, were he the lowliest man in your legions, allow me, noblest of Scots, to plead one word in vindication of him to whom my allegiance is pledged.
3972_5791_000010_000001	Had he come hither, conducted by war alone, what would Edward have been worse than any other conqueror?	Had he come hither, conducted by war alone, what would Edward have been worse than any other conqueror?
3972_5791_000010_000002	But on the reverse, was not his right to the supremacy of Scotland acknowledged by the princes who contended for the crown?	But on the reverse, was not his right to the supremacy of Scotland acknowledged by the princes who contended for the crown?
3972_5791_000010_000003	And besides, did not all the great lords swear fealty to England, on the day he nominated their king?"	And besides, did not all the great lords swear fealty to England, on the day he nominated their king?"
3972_5791_000011_000001	All the princes whom you speak of, excepting Bruce of Annandale, did assent to the newly offered claim of Edward on Scotland; but who, amongst them, had any probable chance for the throne, but Bruce or Baliol?	All the princes whom you speak of, excepting Bruce of Annandale, did assent to the newly offered claim of Edward on Scotland; but who, amongst them, had any probable chance for the throne, but Bruce or Baliol?
3972_5791_000011_000002	Such ready acquiescence was meant to create them one.	Such ready acquiescence was meant to create them one.
3972_5791_000011_000003	Bruce, conscious of his inherent rights, rejected the iniquitous demand of Edward; Baliol accorded with it, and was made king.	Bruce, conscious of his inherent rights, rejected the iniquitous demand of Edward; Baliol accorded with it, and was made king.
3972_5791_000012_000003	Terrible as such ambition was, it is innocence to what Edward has done.	Terrible as such ambition was, it is innocence to what Edward has done.
3972_5791_000012_000005	Was this honor?	Was this honor?
3972_5791_000012_000006	Was this the right of conquest?	Was this the right of conquest?
