3977_87547_000003_000003	16, I found that when water was admitted to it, only one fourth of the air was imbibed.	sixteen, I found that when water was admitted to it, only one fourth of the air was imbibed.
3977_87547_000003_000004	Probably the whole of it would have been rendered immiscible in water, if the electrical operation had been continued a sufficient time. This air continued several days in water, and was even agitated in water without any farther diminution.	Probably the whole of it would have been rendered immiscible in water, if the electrical operation had been continued a sufficient time. This air continued several days in water, and was even agitated in water without any farther diminution.
3977_87547_000003_000005	It was not, however, common air, for it was not diminished by nitrous air.	It was not, however, common air, for it was not diminished by nitrous air.
3977_87547_000004_000000	By means of iron filings and brimstone I have, since my former experiments, procured a considerable quantity of this kind of air in a method something different from that which I used before.	By means of iron filings and brimstone I have, since my former experiments, procured a considerable quantity of this kind of air in a method something different from that which I used before.
3977_87547_000004_000001	For having placed a pot of this mixture under a receiver, and exhausted it with a pump of Mr. Smeaton's construction, I filled it with fixed air, and then left it plunged under water; so that no common air could have access to it.	For having placed a pot of this mixture under a receiver, and exhausted it with a pump of mr Smeaton's construction, I filled it with fixed air, and then left it plunged under water; so that no common air could have access to it.
3977_87547_000004_000002	In this manner, and in about a week, there was, as near as I can recollect, one sixth, or at least one eighth of the whole converted into a permanent air, not imbibed by water.	In this manner, and in about a week, there was, as near as I can recollect, one sixth, or at least one eighth of the whole converted into a permanent air, not imbibed by water.
3977_87547_000005_000001	Perhaps more time may be requisite for this purpose, for this process was not continued more than a day and a night.	Perhaps more time may be requisite for this purpose, for this process was not continued more than a day and a night.
3977_87547_000006_000000	Iron filings and brimstone, I have observed, ferment with great heat in nitrous air, and I have since observed that this process is attended with greater heat in fixed air than in common air.	Iron filings and brimstone, I have observed, ferment with great heat in nitrous air, and I have since observed that this process is attended with greater heat in fixed air than in common air.
3977_87547_000007_000000	Though fixed air incorporated with water dissolves iron, fixed air without water has no such power, as I observed before.	Though fixed air incorporated with water dissolves iron, fixed air without water has no such power, as I observed before.
3977_87547_000007_000001	I imagined that, if it could have dissolved iron, the phlogiston would have united with the air, and have made it immiscible with water, as in the former instances; but after being confined in a phial full of nails from the 15th of December to the 4th of October following, neither the iron nor the air appeared to have been affected by their mutual contact.	I imagined that, if it could have dissolved iron, the phlogiston would have united with the air, and have made it immiscible with water, as in the former instances; but after being confined in a phial full of nails from the fifteenth of December to the fourth of October following, neither the iron nor the air appeared to have been affected by their mutual contact.
3977_87547_000009_000001	In this manner I procured a very considerable quantity of fixed air, so that I judged it was all discharged from the tartar.	In this manner I procured a very considerable quantity of fixed air, so that I judged it was all discharged from the tartar.
3977_87547_000011_000000	MISCELLANEOUS EXPERIMENTS.	MISCELLANEOUS EXPERIMENTS.
3977_87547_000012_000000	1.	one.
3977_87547_000013_000000	I put about the quantity of half a nut-shell full of ether, inclosed in a glass tube, through a body of quicksilver, into an ounce measure of common air, confined by quicksilver; upon which it presently began to expand, till it occupied the space of two ounce measures.	I put about the quantity of half a nut shell full of ether, inclosed in a glass tube, through a body of quicksilver, into an ounce measure of common air, confined by quicksilver; upon which it presently began to expand, till it occupied the space of two ounce measures.
3977_87547_000013_000003	Withdrawing the quicksilver, and admitting water to this air, without any agitation, it began to be absorbed; but only about half an ounce measure had disappeared after it had stood an hour in the water.	Withdrawing the quicksilver, and admitting water to this air, without any agitation, it began to be absorbed; but only about half an ounce measure had disappeared after it had stood an hour in the water.
3977_87547_000013_000004	But by once passing it through water the air was reduced to its original dimensions.	But by once passing it through water the air was reduced to its original dimensions.
3977_87547_000013_000005	Being tried by a mixture of nitrous air, it appeared not to be so good as fresh air, though the injury it had received was not considerable.	Being tried by a mixture of nitrous air, it appeared not to be so good as fresh air, though the injury it had received was not considerable.
3977_87547_000014_000000	All the phenomena of dilatation and contraction were nearly the same, when, instead of common air, I used nitrous air, fixed air, inflammable air, or any species of phlogisticated common air.	All the phenomena of dilatation and contraction were nearly the same, when, instead of common air, I used nitrous air, fixed air, inflammable air, or any species of phlogisticated common air.
3977_87547_000014_000001	The quantity of each of these kinds of air was nearly doubled while they were kept in quicksilver, but fixed air was not so much increased as the rest, and phlogisticated air less; but after passing through the water, they appeared not to have been sensibly changed by the process.	The quantity of each of these kinds of air was nearly doubled while they were kept in quicksilver, but fixed air was not so much increased as the rest, and phlogisticated air less; but after passing through the water, they appeared not to have been sensibly changed by the process.
3977_87547_000015_000002	To what this appearance was owing I cannot tell, and indeed I did not examine into it.	To what this appearance was owing I cannot tell, and indeed I did not examine into it.
3977_87547_000016_000000	3.	three.
3977_87547_000017_000001	As some of the circumstances attending the ignition of this paper in some of the kinds of air were a little remarkable, I shall just recite them.	As some of the circumstances attending the ignition of this paper in some of the kinds of air were a little remarkable, I shall just recite them.
3977_87547_000019_000002	I repeated this experiment with the same event.	I repeated this experiment with the same event.
3977_87547_000020_000000	Paper dipped in a solution of mercury, zinc, or iron, in nitrous acid, has, in a small degree, the same property with paper dipped in a solution of copper in the same acid.	Paper dipped in a solution of mercury, zinc, or iron, in nitrous acid, has, in a small degree, the same property with paper dipped in a solution of copper in the same acid.
3977_87547_000021_000001	Gunpowder is also fired in all kinds of air, and, in the quantity in which I tried it, did not make any sensible change in them, except that the common air in which it was fired would not afterwards admit a candle to burn in it.	Gunpowder is also fired in all kinds of air, and, in the quantity in which I tried it, did not make any sensible change in them, except that the common air in which it was fired would not afterwards admit a candle to burn in it.
3977_87547_000021_000002	In order to try this experiment I half exhausted a receiver, and then with a burning-glass fired the gunpowder which had been previously put into it.	In order to try this experiment I half exhausted a receiver, and then with a burning glass fired the gunpowder which had been previously put into it.
3977_87547_000021_000003	By this means I could fire a greater quantity of gunpowder in a small quantity of air, and avoid the hazard of blowing up, and breaking my receiver.	By this means I could fire a greater quantity of gunpowder in a small quantity of air, and avoid the hazard of blowing up, and breaking my receiver.
3977_87547_000023_000001	In the experiment with inflammable air a considerable mixture of common air would have been exceedingly hazardous: for, by that assistance, the inflammable air might have exploded in such a manner, as to have been dangerous to the operator. Indeed, I believe I should not have ventured to have made the experiment at all with any other pump besides Mr. Smeaton's.	In the experiment with inflammable air a considerable mixture of common air would have been exceedingly hazardous: for, by that assistance, the inflammable air might have exploded in such a manner, as to have been dangerous to the operator. Indeed, I believe I should not have ventured to have made the experiment at all with any other pump besides mr Smeaton's.
3977_87547_000024_000000	Sometimes, I filled a glass vessel with quicksilver, and introduced the air to it, when it was inverted in a bason of quicksilver.	Sometimes, I filled a glass vessel with quicksilver, and introduced the air to it, when it was inverted in a bason of quicksilver.
3977_87547_000024_000001	By this means I intirely avoided any mixture of common air; but then it was not easy to convey the gunpowder into it, in the exact quantity that was requisite for my purpose.	By this means I intirely avoided any mixture of common air; but then it was not easy to convey the gunpowder into it, in the exact quantity that was requisite for my purpose.
3977_87547_000024_000002	This, however, was the only method by which I could contrive to fire gunpowder in acid or alkaline air, in which it exploded just as it did in nitrous or fixed air.	This, however, was the only method by which I could contrive to fire gunpowder in acid or alkaline air, in which it exploded just as it did in nitrous or fixed air.
