3994_156757_000001_000001	MARY'S HALL--THANKSGIVING DAY IN CALIFORNIA--ANOTHER BROTHER-IN-LAW.	MARY'S HALL-THANKSGIVING DAY IN CALIFORNIA-ANOTHER BROTHER IN LAW.
3994_156757_000002_000000	"Mrs. Brunner has become too childish to have the responsibility of young girls," had been frequently remarked before Elitha's visit; and after her departure, the same friends expressed regret that she had not taken us away with her.	"mrs Brunner has become too childish to have the responsibility of young girls," had been frequently remarked before Elitha's visit; and after her departure, the same friends expressed regret that she had not taken us away with her.
3994_156757_000003_000000	These whispered comments, which did not improve our situation, suddenly ceased, for the smallpox made its appearance in Sonoma, and helpers were needed to care for the afflicted.	These whispered comments, which did not improve our situation, suddenly ceased, for the smallpox made its appearance in Sonoma, and helpers were needed to care for the afflicted.
3994_156757_000003_000002	In fact, she had such confidence in her method of treating it, that she would not have Georgia and me vaccinated while the epidemic prevailed, insisting that if we should take the disease she could nurse us through it without disfigurement, and we would thenceforth be immune.	In fact, she had such confidence in her method of treating it, that she would not have Georgia and me vaccinated while the epidemic prevailed, insisting that if we should take the disease she could nurse us through it without disfigurement, and we would thenceforth be immune.
3994_156757_000003_000003	She did not expose us during what she termed the "catching-stage," but after that had passed, she called us to share her work and become familiar with its details, and taught us how to brew the teas, make the ointments, and apply them.	She did not expose us during what she termed the "catching stage," but after that had passed, she called us to share her work and become familiar with its details, and taught us how to brew the teas, make the ointments, and apply them.
3994_156757_000004_000000	I do not remember a death among her patients, and only two who were badly disfigured.	I do not remember a death among her patients, and only two who were badly disfigured.
3994_156757_000004_000002	Grandma was called hurriedly in the night, because the afflicted girl, in delirium, had loosened the straps which held her upon her bed, and while her attendant was out of the room had rushed from the house into the rain, and was not found until after she had become thoroughly drenched.	Grandma was called hurriedly in the night, because the afflicted girl, in delirium, had loosened the straps which held her upon her bed, and while her attendant was out of the room had rushed from the house into the rain, and was not found until after she had become thoroughly drenched.
3994_156757_000005_000000	The other was our arch-enemy, Castle, who seemed so near death that one night as grandma was peering into the darkness for signal lights from the homes of the sick, she exclaimed impulsively, "Hark, children! there goes the Catholic bell.	The other was our arch enemy, Castle, who seemed so near death that one night as grandma was peering into the darkness for signal lights from the homes of the sick, she exclaimed impulsively, "Hark, children! there goes the Catholic bell.
3994_156757_000005_000001	Count its strokes.	Count its strokes.
3994_156757_000006_000000	She was right.	She was right.
3994_156757_000006_000001	Later he came to us to recuperate, and was the most exacting and profane man we ever waited on.	Later he came to us to recuperate, and was the most exacting and profane man we ever waited on.
3994_156757_000006_000002	He conceived a special grudge against Georgia, whom he had caught slyly laughing when she first observed the change in his appearance.	He conceived a special grudge against Georgia, whom he had caught slyly laughing when she first observed the change in his appearance.
3994_156757_000006_000003	Yet months previous, he had laid the foundation for her mirth.	Yet months previous, he had laid the foundation for her mirth.
3994_156757_000010_000000	He was then a handsome, rugged fellow, and particularly proud of the shape of his nose.	He was then a handsome, rugged fellow, and particularly proud of the shape of his nose.
3994_156757_000010_000002	Now, look at mine, large and finely shaped.	Now, look at mine, large and finely shaped.
3994_156757_000011_000000	Georgia fled, and cried in anger over this indignity, declaring that she hated Castle and would not be sorry if something should happen to spoil his fine nose.	Georgia fled, and cried in anger over this indignity, declaring that she hated Castle and would not be sorry if something should happen to spoil his fine nose.
3994_156757_000011_000001	So when he came to us from the sick-room, soured and crestfallen because disease had deeply pitted and seamed that feature which had formerly been his pride, she laughingly whispered, "Well, I don't care, my nose could never look like his, even if I had the smallpox, for there is not so much of it to spoil."	So when he came to us from the sick room, soured and crestfallen because disease had deeply pitted and seamed that feature which had formerly been his pride, she laughingly whispered, "Well, I don't care, my nose could never look like his, even if I had the smallpox, for there is not so much of it to spoil."
3994_156757_000015_000001	I raised my sleeve, showed the welt on my arm, and replied, "I am going to see if I can't find a home where they will treat me kindly."	I raised my sleeve, showed the welt on my arm, and replied, "I am going to see if I can't find a home where they will treat me kindly."
3994_156757_000016_000000	Poor grandma was conscience-stricken, drew me into her own room, and did not let me leave it until after she had soothed my hurts and we had become friends again.	Poor grandma was conscience stricken, drew me into her own room, and did not let me leave it until after she had soothed my hurts and we had become friends again.
3994_156757_000017_000000	Georgia went to Mrs. Bergwald's, and remained quite a while.	Georgia went to mrs Bergwald's, and remained quite a while.
3994_156757_000017_000001	When she came back speaking English, and insisting that she was an American, grandma became very angry, and threatened to send her away among strangers; then hesitated, as if realizing how fully Georgia belonged to me and I to her, and that we would cling together whatever might happen.	When she came back speaking English, and insisting that she was an American, grandma became very angry, and threatened to send her away among strangers; then hesitated, as if realizing how fully Georgia belonged to me and I to her, and that we would cling together whatever might happen.
3994_156757_000017_000002	In her perplexity, she besought Mrs. Bergwald's advice.	In her perplexity, she besought mrs Bergwald's advice.
3994_156757_000018_000000	Now, Mrs. Bergwald was a native of Stockholm, a lady of rare culture, and used the French language in conversing with grandma.	Now, mrs Bergwald was a native of Stockholm, a lady of rare culture, and used the French language in conversing with grandma.
3994_156757_000019_000000	Thereafter grandma changed her methods.	Thereafter grandma changed her methods.
3994_156757_000019_000003	Sometimes she would let us bring her, from under the sofa, her gorgeous prints, illustrating "Wilhelm Tell," and would repeat the text relating to the scenes as we examined each picture with eager interest.	Sometimes she would let us bring her, from under the sofa, her gorgeous prints, illustrating "Wilhelm Tell," and would repeat the text relating to the scenes as we examined each picture with eager interest.
