4039_184264_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	4.74	7.03	25.912859
4039_184264_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	7.58	10.87	20.91024
4039_184264_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	false	11.3	18.66	23.588932
4039_184264_000001_000000	THE HUNTING OF THE SNARK ***	THE HUNTING OF THE SNARK asterisk asterisk asterisk	false	18.66	23.25	21.497175
4039_184264_000002_000000	THE HUNTING OF THE SNARK	THE HUNTING OF THE SNARK	true	23.25	24.9	20.960983
4039_184264_000003_000000	Lewis Carroll	Lewis Carroll	false	24.9	24.93	-20
4039_184264_000004_000000	THE MILLENNIUM FULCRUM EDITION 1.2	THE MILLENNIUM FULCRUM EDITION one point two	false	24.93	25.11	41
4039_184264_000005_000000	THE HUNTING OF THE SNARK an Agony in Eight Fits by Lewis Carroll	THE HUNTING OF THE SNARK an Agony in Eight Fits by Lewis Carroll	false	25.11	26.71	22.040771
4039_184264_000006_000000	PREFACE	PREFACE	true	29.15	29.92	22.756077
4039_184264_000007_000000	If--and the thing is wildly possible--the charge of writing nonsense were ever brought against the author of this brief but instructive poem, it would be based, I feel convinced, on the line (in p.4)	If-and the thing is wildly possible-the charge of writing nonsense were ever brought against the author of this brief but instructive poem, it would be based, I feel convinced, on the line (in p point four)	false	30.8	44.19	20.373112
4039_184264_000008_000000	"Then the bowsprit got mixed with the rudder sometimes."	"Then the bowsprit got mixed with the rudder sometimes."	true	44.19	47.32	14
4039_184264_000009_000000	In view of this painful possibility, I will not (as I might) appeal indignantly to my other writings as a proof that I am incapable of such a deed: I will not (as I might) point to the strong moral purpose of this poem itself, to the arithmetical principles so cautiously inculcated in it, or to its noble teachings in Natural History--I will take the more prosaic course of simply explaining how it happened.	In view of this painful possibility, I will not (as I might) appeal indignantly to my other writings as a proof that I am incapable of such a deed: I will not (as I might) point to the strong moral purpose of this poem itself, to the arithmetical principles so cautiously inculcated in it, or to its noble teachings in Natural History-I will take the more prosaic course of simply explaining how it happened.	true	48.62	75.645	21.587154
