4381_14904_000000_000000	CHAPTER XIV	CHAPTER fourteen	false	0.12	7.8	23.967499
4381_14904_000001_000000	THE OTTERHOUND	THE OTTERHOUND	false	7.8	22.77	24.230139
4381_14904_000002_000000	The Otterhound is a descendant of the old Southern Hound, and there is reason to believe that all hounds hunting their quarry by nose had a similar source.	The Otterhound is a descendant of the old Southern Hound, and there is reason to believe that all hounds hunting their quarry by nose had a similar source.	true	22.77	34.03	18.702545
4381_14904_000002_000001	Why the breed was first called the Southern Hound, or when his use became practical in Great Britain, must be subjects of conjecture; but that there was a hound good enough to hold a line for many hours is accredited in history that goes very far back into past centuries.	Why the breed was first called the Southern Hound, or when his use became practical in Great Britain, must be subjects of conjecture; but that there was a hound good enough to hold a line for many hours is accredited in history that goes very far back into past centuries.	true	34.46	54.49	21.243399
4381_14904_000002_000002	The hound required three centuries ago even was all the better esteemed for being slow and unswerving on a line of scent, and in many parts of the Kingdom, up to within half that period, the so-called Southern Hound had been especially employed.	The hound required three centuries ago even was all the better esteemed for being slow and unswerving on a line of scent, and in many parts of the Kingdom, up to within half that period, the so-called Southern Hound had been especially employed.	true	54.65	71.805	22.196325
4381_14904_000002_000003	In Devonshire and Wales the last sign of him in his purity was perhaps when Captain Hopwood hunted a small pack of hounds very similar in character on the fitch or pole-cat; the _modus operandi_ being to find the foraging grounds of the animal, and then on a line that might be two days old hunt him to his lair, often enough ten or twelve miles off.	In Devonshire and Wales the last sign of him in his purity was perhaps when Captain Hopwood hunted a small pack of hounds very similar in character on the fitch or pole cat; the underscore modus operandi underscore being to find the foraging grounds of the animal, and then on a line that might be two days old hunt him to his lair, often enough ten or twelve miles off.	false	71.805	97.38	21.335821
4381_14904_000003_000000	When this sort of hunting disappeared, and improved ideas of fox-hunting came into vogue, there was nothing left for the Southern Hound to do but to hunt the otter.	When this sort of hunting disappeared, and improved ideas of fox hunting came into vogue, there was nothing left for the Southern Hound to do but to hunt the otter.	true	97.38	108.075	19
4381_14904_000003_000001	He may have done this before at various periods, but history rather tends to show that otter-hunting was originally associated with a mixed pack, and some of Sir Walter Scott's pages seem to indicate that the Dandie Dinmont and kindred Scottish terriers had a good deal to do with the sport.	He may have done this before at various periods, but history rather tends to show that otter hunting was originally associated with a mixed pack, and some of Sir Walter Scott's pages seem to indicate that the Dandie Dinmont and kindred Scottish terriers had a good deal to do with the sport.	true	108.075	128.55	18
4381_14904_000003_000002	It is more than probable that the rough-coated terrier is identical with the now recognised Otterhound as an offshoot of the Southern Hound; but be that as it may, there has been a special breed of Otterhound for the last eighty years, very carefully bred and gradually much improved in point of appearance.	It is more than probable that the rough coated terrier is identical with the now recognised Otterhound as an offshoot of the Southern Hound; but be that as it may, there has been a special breed of Otterhound for the last eighty years, very carefully bred and gradually much improved in point of appearance.	false	128.55	150.19	16
4381_14904_000003_000003	They are beautiful hounds to-day, with heads as typical as those of Bloodhounds, legs and feet that would do for Foxhounds, a unique coat of their own, and they are exactly suitable for hunting the otter, as everyone knows who has had the enjoyment of a day's sport on river or brook.	They are beautiful hounds to day, with heads as typical as those of Bloodhounds, legs and feet that would do for Foxhounds, a unique coat of their own, and they are exactly suitable for hunting the otter, as everyone knows who has had the enjoyment of a day's sport on river or brook.	false	150.2	171.825	21.767145
4381_14904_000004_000000	The greatest otter hunter of the last century may have been the Hon. Geoffrey Hill, a younger brother of the late Lord Hill.	The greatest otter hunter of the last century may have been the honorable Geoffrey Hill, a younger brother of the late Lord Hill.	true	171.825	180.87	15
4381_14904_000004_000001	A powerful athlete of over six feet, Major Hill was an ideal sportsman in appearance, and he was noted for the long distances he would travel on foot with his hounds.	A powerful athlete of over six feet, Major Hill was an ideal sportsman in appearance, and he was noted for the long distances he would travel on foot with his hounds.	true	180.87	193.06	17
4381_14904_000004_000002	They were mostly of the pure rough sort, not very big; the dogs he reckoned at about 23-1/2 inches, bitches 22: beautiful Bloodhound type of heads, coats of thick, hard hair, big in ribs and bones, and good legs and feet.	They were mostly of the pure rough sort, not very big; the dogs he reckoned at about twenty three to half an inch, bitches twenty two: beautiful Bloodhound type of heads, coats of thick, hard hair, big in ribs and bones, and good legs and feet.	false	193.07	211.545	20.874577
4381_14904_000005_000000	Major Hill seldom exhibited his hounds.	Major Hill seldom exhibited his hounds.	true	211.545	215.16	18
4381_14904_000005_000001	They were seen now and then at Birmingham; but, hunting as hard as they did through Shropshire, Staffordshire, Cheshire, and into Wales, where they got their best water, there was not much time for showing.	They were seen now and then at Birmingham; but, hunting as hard as they did through Shropshire, Staffordshire, Cheshire, and into Wales, where they got their best water, there was not much time for showing.	false	215.16	226.35	20
4381_14904_000005_000002	Their famous Master has been dead now many years, but his pack is still going, and shows great sport as the Hawkstone under the Mastership of Mr. H. P. Wardell, the kennels being at Ludlow race-course, Bromfield.	Their famous Master has been dead now many years, but his pack is still going, and shows great sport as the Hawkstone under the Mastership of mr h p Wardell, the kennels being at Ludlow race course, Bromfield.	true	226.35	242.865	18
